index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Fanfare",12053,False,True,"","","Nintendo Music – Highlights","3691c785-93a6-4dfc-b055-49a9396236a2","https://image-assets.m.nintendo.com/ab3e0ec4-d414-46b1-a3cc-4bb0bea034dc"
2,"K. Rool Returns (Title Theme)",39482,False,True,"","Titelthemen","Das Beste von Nintendo Music|Nintendo Music – Highlights","4f3129f1-01bb-4096-8b55-86c4e4140707","https://image-assets.m.nintendo.com/efe56b87-2573-49e2-a8c9-7afd83b543dd"
3,"Steel Drum Rhumba (Option Screen)",63004,True,False,"","Gehen","","40e61a4f-1bb7-48b5-ab11-9924537a7d75","https://image-assets.m.nintendo.com/314c416b-f1d1-43a2-8ac8-3195af9e33e1"
4,"Welcome to Crocodile Isle (Map Screen)",68324,True,True,"","","Nintendo Music – Highlights","acd8c1c0-a6c5-4aa8-9a70-33717fc7d5b0","https://image-assets.m.nintendo.com/39ad0f38-9338-4a59-9033-c892c1b7642c"
5,"Klomp's Romp (Pirate Panic)",145887,False,True,"Level","Neue Abenteuer","Nintendo Music – Highlights","d94fb9a3-a40c-42c4-8409-9bf4593394f7","https://image-assets.m.nintendo.com/b60d85c7-0dd0-4967-ae59-efe035925a5b"
6,"Jib Jig (Mainbrace Mayhem)",113640,True,False,"Level","","","8c5e4d5c-aa9d-4992-8f06-84e4b800ec05","https://image-assets.m.nintendo.com/b3e6061b-49f7-4aaf-b4ba-88fa8c47bb3e"
7,"Lockjaw's Saga (Lockjaw's Locker)",117098,True,True,"Level","","Nintendo Music – Highlights","b6764370-289e-4370-80eb-96b5f9fb49e0","https://image-assets.m.nintendo.com/840f9628-b8e0-4cc8-ab20-06eabfebf23b"
8,"Boss Bossanova (Boss Theme)",70973,True,True,"","Bosskämpfe","Nintendo Music – Highlights","b31190e1-5546-455d-8b72-db3b82c201ff","https://image-assets.m.nintendo.com/60ffc666-8ca0-4639-8f0b-8844bf2228b5"
9,"Diddy's Victory",22973,True,False,"","Gewonnen!","","afa8741e-7fdf-49f2-b5fe-1a031d44cac3","https://image-assets.m.nintendo.com/436fc10d-03e3-489a-8877-52d50fac8b38"
10,"Schoolhouse Harmony (Wrinkly's Theme)",101962,True,False,"Wrinkly Kong","","","56f8fc9c-b7b3-406a-ae99-9a294fd3306c","https://image-assets.m.nintendo.com/a7e38c42-17cf-4655-ac14-7f972933820c"
11,"Hot-Head Bop (Hot-Head Hop)",122568,True,True,"Level","","Auswahl an Tracks, die die Längenanpassung unterstützen|Nintendo Music – Highlights","229bfa6b-52a2-43ff-a8ef-7ba021672177","https://image-assets.m.nintendo.com/d078f466-5d67-4228-b727-5a70213f6008"
12,"Kannon's Klanking (Kannon's Klaim)",220173,True,True,"Level","","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","963de024-5038-4e9d-91db-503477c14737","https://image-assets.m.nintendo.com/f6f7a5b6-73b8-4d54-ba19-8ed7c68dc9de"
13,"Funky the Main Monkey (Funky's Theme)",62406,True,True,"Funky Kong","","Nintendo Music – Highlights","fbfbf979-e8e5-4acb-9ecc-9e3bd38aba3a","https://image-assets.m.nintendo.com/98c8fc48-3f9c-4aea-8f34-ab8d94f44617"
14,"Bayou Boogie (Barrel Bayou)",94838,False,False,"Level","","","23c60a9e-ea84-4a5d-84ff-19fc53c084c2","https://image-assets.m.nintendo.com/56c458b2-14a2-4a30-9287-e5f9978b13e8"
15,"Dixie's Victory",9745,False,False,"","Gewonnen!","","13282eac-42df-437d-98b5-e60d72b611c6","https://image-assets.m.nintendo.com/ff4f1e5d-ca3e-4e6d-9ead-b43bbcceef24"
16,"Snakey Chantey (Rattle Battle)",93769,True,True,"Level","","Nintendo Music – Highlights","000fbc34-341d-4fde-85b5-7b295ae79889","https://image-assets.m.nintendo.com/d230cff2-5acd-44d8-8e17-0073c778e84b"
17,"Stickerbush Symphony (Bramble Blast)",288656,True,True,"Level","","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","285eb026-dad2-4f43-96f3-a5def525d23d","https://image-assets.m.nintendo.com/70845e1c-fb76-4f8a-ad41-d005d77863fd"
18,"Cranky's Conga (Cranky's Theme)",80475,False,False,"Cranky Kong","","","c321047b-fa62-4a18-89aa-31cbdfa105f7","https://image-assets.m.nintendo.com/d1db2344-4cb4-4290-8a9a-b4b3c04f7e21"
19,"Flight of the Zinger (Hornet Hole)",145767,True,True,"Level","","Nintendo Music – Highlights","7127bee8-fd80-4dd1-8a69-fc0617178029","https://image-assets.m.nintendo.com/d59ff956-3e61-4836-87ef-4c4a2b392760"
20,"Disco Train (Target Terror)",150715,True,False,"Level","","","d5c4ecec-b33d-48f1-8816-a80c63ec281e","https://image-assets.m.nintendo.com/2652f864-9c41-4199-93c1-ac51aa053a81"
21,"Run, Rambi! Run! (Parrot Chute Panic)",46347,True,False,"","","","98a97e9c-1384-4337-be96-ac13997797e7","https://image-assets.m.nintendo.com/283c9b34-9d09-41a0-87b0-b1eb6dc5ec32"
22,"Swanky Swing (Swanky's Bonus Bonanza)",45277,True,False,"","","","a5b05aab-265b-47da-874c-0f07c6b812ab","https://image-assets.m.nintendo.com/322b48cf-eb30-46ae-a1b1-ac832b0a7295"
23,"Haunted Chase (Haunted Hall)",135634,True,True,"Level","","Nintendo Music – Highlights","35da5d61-76a9-4207-8a67-abba0d3d1270","https://image-assets.m.nintendo.com/ff92ea8f-5771-43bc-81e5-9cab27548096"
24,"Forest Interlude (Web Woods)",181129,True,True,"Level","Zeit für eine Pause","Nintendo Music – Highlights","f3799e36-2342-4447-8910-51db8a6b2652","https://image-assets.m.nintendo.com/3a59d6a4-780d-4a43-8281-93881a59b370"
25,"Token Tango (Bonus Level)",69812,False,True,"","Dreh auf!","Nintendo Music – Highlights","7b606bc1-36de-4b3b-9d92-dc78182c784f","https://image-assets.m.nintendo.com/71a3f23b-82e8-496d-ad79-8395fa80ded8"
26,"Krook's March (Chain Link Chamber)",115939,False,True,"Level","","Nintendo Music – Highlights","c80e47ce-960b-4cd7-90e3-92c8d32534f7","https://image-assets.m.nintendo.com/f9ae92d2-3c5b-4611-b710-af88bd752f9e"
27,"In a Snowbound Land (Clapper's Cavern)",184259,True,True,"Level","Winter|Zeit für eine Pause","Nintendo Music – Highlights","3fd4f377-8690-4e3d-94d3-6c503659c92d","https://image-assets.m.nintendo.com/e6904c62-d7c2-488e-aae2-b93774cf0ece"
28,"Klubba's Reveille (Klubba's Kiosk)",63544,True,False,"","","","1fe800d6-fb62-4084-bdfd-c4cbdf4de255","https://image-assets.m.nintendo.com/925890c8-2731-4b92-8e01-f1114c6751ed"
29,"Lost World Anthem (The Lost World)",97156,True,False,"","","","ca68ff6a-75fd-4579-b1b4-8331a265ab9b","https://image-assets.m.nintendo.com/f0f3152f-37ae-460a-bc5e-965d8501694f"
30,"Primal Rave (Animal Antics)",104744,True,False,"Level","","","0d1ee31a-e6db-4f97-990d-92ae0ba9ba9a","https://image-assets.m.nintendo.com/ef3dd7ce-48d7-4994-87ec-a22987a7cb5a"
31,"False Victory",32797,False,True,"","","Nintendo Music – Highlights","3cf43e7e-dbf8-4cb0-9d61-112c28ce20ea","https://image-assets.m.nintendo.com/f3349cd4-51f3-4c1e-a2dc-55f0474898c9"
32,"Bad Bird Rag (Screech's Sprint)",60995,False,False,"","","","2045307a-37ca-423e-a426-c70b52cfe3f5","https://image-assets.m.nintendo.com/cf0974ed-5fe1-4f11-9d85-98dfb189b718"
33,"Crocodile Cacophony (K. Rool's Theme)",87949,True,True,"","Entscheidende Kämpfe","Nintendo Music – Highlights","61bfe2b1-6c10-4461-8b59-ea32db5815fe","https://image-assets.m.nintendo.com/51d9be22-188d-4eb8-826e-06884261faf4"
34,"Donkey Kong Rescued (Credits Roll)",130599,True,True,"","Credits","Nintendo Music – Highlights","f7206a47-ec4b-43a6-b440-783c451e9eb0","https://image-assets.m.nintendo.com/5b2e9489-1f92-499f-a04c-96313acafe54"
35,"Game Over",18381,False,False,"","","","31e289bc-084a-4772-9ca7-756109245c54","https://image-assets.m.nintendo.com/ce6bea0e-982d-4645-b536-d14edaa1b54c"
36,"Dixie's Failure / Diddy's Failure",5794,False,False,"","","","688cbb5b-2a4b-4818-846c-a4b7969e2e60","https://image-assets.m.nintendo.com/20973165-b9d9-46aa-abc6-8a5d5e16a90c"
