index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening",45824,True,True,"","Credits|Titelthemen","Nintendo Music – Highlights","13539d52-9726-4756-9c24-49bd919d276a","https://image-assets.m.nintendo.com/14f08092-5332-4395-bd5e-1c3f01db23ba"
2,"Mute City",125830,True,True,"","","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","1ebe04f1-e82d-4e3d-92b0-849b8a92bd26","https://image-assets.m.nintendo.com/6c1ea03b-19fb-44b8-bfca-428077f5d6ea"
3,"Big Blue",152042,True,True,"","Dreh auf!|Sommer","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","527d01fb-a795-4206-a88e-69a263b2b137","https://image-assets.m.nintendo.com/0dc12256-17c3-441c-bdc8-c5f3e6526ee3"
4,"Sand Ocean",141148,True,True,"","","Nintendo Music – Highlights","9af3cd62-a072-440a-ab9e-09337f30224f","https://image-assets.m.nintendo.com/3d3678f8-638d-48b2-901c-32f7f30f770e"
5,"Death Wind",142049,True,True,"","","Nintendo Music – Highlights","e7e04053-2acb-4963-a0db-adccdf3ba086","https://image-assets.m.nintendo.com/0ef7c0d3-4167-4eaf-b244-a42fccf03793"
6,"Silence",110532,True,True,"","","Nintendo Music – Highlights","f89d4537-94c3-480f-a3c8-cd0b46d2539f","https://image-assets.m.nintendo.com/b1e9992a-27e1-42d5-aeba-73a4ad03e715"
7,"Port Town",156444,True,True,"","","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","daad01fe-6f4a-4316-89e9-fe75d1cb8abd","https://image-assets.m.nintendo.com/8c82518a-fce9-455f-a320-d54662cc927b"
8,"Red Canyon",142115,True,True,"","Dreh auf!|Laufen","Nintendo Music – Highlights","3a653369-9c75-4c8d-bb28-618a3470b8f4","https://image-assets.m.nintendo.com/ad60d797-cbf6-4a44-9df4-e1c545e993d3"
9,"White Land I",128360,True,True,"","Winter","Nintendo Music – Highlights","6ae444f8-0a85-480f-88d5-cfeb85d5bb17","https://image-assets.m.nintendo.com/ec3267f0-8171-4bfc-81e9-e594d2d99b4e"
10,"White Land II",113529,True,True,"","","Nintendo Music – Highlights","c867030e-0445-458e-b65b-ed0eb6ffb02d","https://image-assets.m.nintendo.com/ae66988a-a28b-4838-b382-3ee1fb7ec586"
11,"Fire Field",193662,True,True,"","","Nintendo Music – Highlights","9c5e2da2-dad1-450b-bb0c-cc2602fe6c1f","https://image-assets.m.nintendo.com/0ec5dfe4-5316-4672-9268-7ec17f7b85f6"
12,"Results",39695,True,False,"","","","77347373-e309-45af-a9a0-600a7afca6bc","https://image-assets.m.nintendo.com/100ef164-6761-4dfb-917b-db67c0746cea"
13,"You Lost",3373,False,False,"","","","43619f09-e7fd-4a0f-9bcb-61597de9dd0f","https://image-assets.m.nintendo.com/51db5d7f-e018-4d3f-a8ac-7534207d21f4"
14,"Ending",71340,True,True,"","Gewonnen!","Nintendo Music – Highlights","6568d0ab-15c7-4166-83f8-02551f9418f8","https://image-assets.m.nintendo.com/3490187c-1030-4c5a-b0b7-82855191c166"
