index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Ready to Go!",153219,True,True,"","Titelthemen","702b5df1-980b-408a-bf73-aa01a2a3d224","https://image-assets.m.nintendo.com/c912b740-2b40-41a1-a543-c49aa4218366"
2,"Running Through the New World",285453,True,True,"Abschnitte","Dreh auf!|Frühling|Laufen|Neue Abenteuer","e298f61b-47e1-475a-97c6-8fb5534eb522","https://image-assets.m.nintendo.com/facfaaad-01ac-4b7b-bcd3-e4852f12f128"
3,"A Trip to Alivel Mall",180975,True,False,"Abschnitte","Laufen","235a4ab6-3a2f-4127-b621-356d5e24c9c1","https://image-assets.m.nintendo.com/2814a0d8-a9aa-4b92-aa58-6b8a7c869da4"
4,"VS. Dangerous Beast",147324,True,True,"Bosskämpfe","","3b26412a-a1c6-46dc-8264-53f42d8f2f67","https://image-assets.m.nintendo.com/8e10fb11-4d78-42d2-9202-a05e4b6fc429"
5,"Abandoned Beach",239320,True,True,"Abschnitte","","c74c9394-3686-4232-93cd-6a2b472bc217","https://image-assets.m.nintendo.com/1d06b14c-6669-40ed-8937-4b0b51824604"
6,"Welcome to Wondaria",271943,True,True,"Abschnitte","Laufen","e5b45528-9367-4730-be9d-8430746c4127","https://image-assets.m.nintendo.com/bf36a9b8-b70c-489f-b3e2-0a8d83ea6e5d"
7,"Waddle Dee Town",154991,True,False,"Waddle Dee|Waddle-Dee-Stadt","Frühling|Gehen","240a2586-280e-4eb5-b92d-fd9b5eb20b08","https://image-assets.m.nintendo.com/e61f711d-97fa-4167-8458-2bc1fd5f89de"
8,"Waddle Dee's Weapons Shop",133225,True,False,"Waddle Dee|Waddle-Dee-Stadt","","73472d2d-6ca2-45d9-a475-2c673543295b","https://image-assets.m.nintendo.com/fcc3f331-654c-45c3-854b-1737a61aa306"
9,"Lunch Rush! A Wave of Waddles",57958,True,False,"Waddle Dee|Waddle-Dee-Stadt","Party","dc04bc2e-2c7f-4e18-bb9e-7be748bd7877","https://image-assets.m.nintendo.com/aeb5b2f1-d4c2-4e45-b404-1dc096e360ea"
10,"Sword of the Surviving Guardian",301501,True,False,"Bosskämpfe|Meta-Knight|Waddle-Dee-Stadt","","b4eb5a07-455d-481b-9d5a-d3e733c8fc05","https://image-assets.m.nintendo.com/2a353720-ccc7-45cb-969f-cbaf53d33bcd"
11,"Northeast Frost Street",323877,True,True,"Abschnitte","Winter","d41e6d29-54bf-4dbf-bdf9-6e02be075d12","https://image-assets.m.nintendo.com/44380509-abb9-421b-a856-b9677181c514"
12,"Roar of Dedede",269659,True,True,"Bosskämpfe|König Dedede","Bosskämpfe","d39afaae-b00e-4674-a4ee-395e5183d02c","https://image-assets.m.nintendo.com/3be68b05-d2f1-4dd6-9d68-994ba4ba08dd"
13,"Moonlight Canyon",274327,True,True,"Abschnitte","Gehen","a00c92c3-f9e9-45a2-aa1e-a6a6a4bbf7bb","https://image-assets.m.nintendo.com/d433fe53-224f-4765-8f58-1b4e49548b65"
14,"Enter the Fiery Forbidden Lands",387204,True,True,"Abschnitte","","ce54779b-490e-42d5-bc2c-0a4daada5b01","https://image-assets.m.nintendo.com/d0245e7f-82cc-47f1-adb7-bd3d65f49df5"
15,"Burning, Churning Power Plant",291889,True,False,"Abschnitte","","a646047c-d1f7-41e0-9262-69cc3cddb967","https://image-assets.m.nintendo.com/f5f84286-b433-4c0e-a804-4591078ff462"
16,"Masked and Wild: D.D.D.",103934,True,True,"Bosskämpfe|König Dedede","Dreh auf!","6c2c73ce-30d5-44cf-918c-04720c795236","https://image-assets.m.nintendo.com/d5802966-fdb6-4f00-8668-697bfcd9120b"
17,"The Dream Discoveries Tour",145629,False,True,"","","9770a31a-8696-41e2-ae65-f0b319e737e7","https://image-assets.m.nintendo.com/f0557aef-c1f5-421c-9da2-600ce49d07b9"
18,"The Raging Lion Roars",354371,True,True,"Bosskämpfe","","d4dbac08-08b1-4da8-8b00-e45d07f15a4b","https://image-assets.m.nintendo.com/b127e3e9-54c8-4ef7-b5e6-2e435d11a411"
19,"Elfilin",79804,True,False,"Elfilin","Gute Nacht","cd63b503-e77d-4775-951b-67ae7b84aa27","https://image-assets.m.nintendo.com/827498ca-d724-40bd-a6d6-30404d632c9f"
20,"Two Planets Approach the Roche Limit",498433,True,True,"Bosskämpfe|Elfilin","Entscheidende Kämpfe","b694c07a-0d69-4261-a7f5-d79a72c2f2a1","https://image-assets.m.nintendo.com/d24429e2-6dc7-43ff-a494-3287bbef1b85"
21,"A Full-Speed Farewell from the New World",191850,True,True,"Bosskämpfe|Elfilin","Dreh auf!","7b522821-270c-4f19-b3f8-d4ca285df5c6","https://image-assets.m.nintendo.com/e9e1efd6-cf4c-4087-a0e8-46ae94f4233e"
22,"Soaring Determination: No Night is Eternal",82442,False,False,"Elfilin","","c75782fb-40b7-4b79-949d-9aa05cddbddf","https://image-assets.m.nintendo.com/0524dd1f-c941-453a-9a2a-8cde18b01ab9"
23,"Welcome to the New World! (Full)",214638,False,True,"","Credits|Dreh auf!|Gehen","55692139-79ca-4236-bff6-c509a45457c7","https://image-assets.m.nintendo.com/b96204f2-eabf-4d7b-a96e-ab73398a21e9"
