index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Opening Theme",98508,False,True,"","","eac08659-4c5c-4746-8c8a-9626ed15f2d3","https://image-assets.m.nintendo.com/2dda3131-1d1c-4462-8582-6745f1782a47"
2,"Title Theme",74659,True,True,"","Titelthemen","b127d1eb-1ee8-49f9-9a6e-3f23c6187bc7","https://image-assets.m.nintendo.com/4f192129-9ffa-4a21-983d-fee6d67a2ff3"
3,"Select Theme",109369,True,False,"","Zeit für eine Pause","42dfceae-22f5-47d9-85c1-79face0e764d","https://image-assets.m.nintendo.com/bfbe4ca6-4912-43ec-a007-98bc88f90354"
4,"Map Theme",116067,True,False,"","","c2eb324b-529c-43e8-a9dc-768770d99c5e","https://image-assets.m.nintendo.com/41f8eadf-6f2a-484e-a6e5-5d8e7ac8ea57"
5,"VS Select",57943,True,False,"","","bcc5b5be-336a-4e57-9176-fe55f9d5fb32","https://image-assets.m.nintendo.com/9a8e4353-a7fb-44a3-8311-823f3e8e2ace"
6,"Demo 1",52719,False,True,"Schwere Route","Neue Abenteuer","c8a06667-071b-4928-8147-73c89b4a5e6e","https://image-assets.m.nintendo.com/bc61fb0b-ebc0-4051-a5eb-97b793625033"
7,"Demo 2",8791,False,False,"","","2af8e8be-172c-43f2-97c1-cf17a3157e3e","https://image-assets.m.nintendo.com/957563b9-6207-4409-b0f2-165493475db1"
8,"Training Mode",60381,True,False,"","","01d80bf6-c5ea-4101-8710-cdcf61477fcf","https://image-assets.m.nintendo.com/61717afa-c841-4aef-b9d2-4bf211614d74"
9,"Corneria",138979,True,True,"Missionen|Schwere Route","","e1364b70-1981-4fc7-8dee-dc18b0ef45ad","https://image-assets.m.nintendo.com/4e60f276-fbf0-45bc-8b06-c47ad78c3562"
10,"Fichina & Sector Z",111385,True,True,"Missionen|Schwere Route","","ddf465ed-55b8-4b18-bb05-707e4ab5a229","https://image-assets.m.nintendo.com/3a9a1811-ffd1-48c3-9245-a3e2c354a067"
