index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Game Startup",16674,False,False,"","","","c4440945-b2d1-48b5-a1e2-b4d6aea86231","https://image-assets.m.nintendo.com/d05c4cfb-704d-4fc8-a354-499c3ef643bc"
2,"Opening",88365,False,True,"","","","9e871fd5-1f3c-47da-8ca7-d3eb7d7d92d9","https://image-assets.m.nintendo.com/5bdd4238-f720-431c-a53d-9af7ff9b681b"
3,"Title Screen",138405,True,True,"","Titelthemen","Das Beste von Nintendo Music|Das Beste: Mario-Serie","ac6786fb-b9e6-4c55-8faf-ac2cfc97a5bc","https://image-assets.m.nintendo.com/cc5f22f1-a7be-4740-a533-8efb678f6ca3"
4,"Stage Start 1",4867,False,True,"","","","79f5a85c-a826-4823-99d5-792085d26a54","https://image-assets.m.nintendo.com/cd1f031f-25ef-4ed3-a800-1255ba6568fc"
5,"Stage BGM 1",168789,True,True,"","","Das Beste von Nintendo Music|Das Beste: Mario-Serie","d603142e-b269-45e2-bda8-81de341e3637","https://image-assets.m.nintendo.com/194416ec-7b28-4a45-be9d-26e4890f6dfc"
6,"Stage Clear",50486,True,True,"","","","fb66bb70-dc81-41bc-bd57-6ee20489e1c5","https://image-assets.m.nintendo.com/eea3107b-fca8-4e33-9985-39a84b18b9fc"
7,"Bonus Chance",34026,True,True,"","","","5ec62d45-01ed-4700-8048-b18bfa9ff40a","https://image-assets.m.nintendo.com/80010748-81c2-4444-be12-4ee014c8779f"
8,"Bonus Chance Results",45885,True,True,"","","","22864f3d-191d-4149-aae9-707396788f63","https://image-assets.m.nintendo.com/fa0cd0de-afaf-495d-a62a-064d052ea17e"
9,"Stage BGM 2",168789,True,True,"","","Das Beste von Nintendo Music|Das Beste: Mario-Serie","da8887bb-7fb6-491c-99bf-bc62efe0a4df","https://image-assets.m.nintendo.com/aff7e3c2-d553-482e-8469-d4678421a6a7"
10,"Stage Start 2",4986,False,True,"","","","f09d6d32-13f5-4954-ade7-1edb9cd87bdb","https://image-assets.m.nintendo.com/453fb1fd-7e0e-4adc-ae6f-87670150d6af"
11,"Stage BGM 3",166370,True,True,"","","","7491fc4b-27d9-43ab-a651-d7bed7179c40","https://image-assets.m.nintendo.com/0dc33996-48fb-4b78-8385-d7788f15abea"
12,"Fever Time",19367,True,True,"","","","87a671a6-ccee-4fce-9d99-c2fe52b506e2","https://image-assets.m.nintendo.com/1a3a02a1-d85f-4117-9b4f-bdbfe27de99d"
13,"Stage BGM 4",170549,True,True,"","","","e14a333a-d85d-4ec0-9aed-35757fe17118","https://image-assets.m.nintendo.com/fb78112b-409f-4d4c-9f99-e493ab02b508"
14,"Break Time",17316,False,False,"","","","0c1a8896-ac35-40fc-a3e8-2d5152588907","https://image-assets.m.nintendo.com/ea1f7fa1-696e-4425-bf67-02775dfc5b12"
15,"Stage BGM 5",170965,True,True,"","","","de868baa-07ab-4a93-a2aa-a020c6203138","https://image-assets.m.nintendo.com/dc5d80b3-106b-47c3-a5e0-0879208a0af4"
16,"100,000 Points",10636,False,False,"","","","1cf6eea8-7ab1-46b1-918e-a2188a74fd76","https://image-assets.m.nintendo.com/7c9d635e-7921-4a10-82cc-56b6bbc41afd"
17,"Game Over",5428,False,False,"","","","b81dcddf-2ae6-4a4c-a426-ef551f953ec1","https://image-assets.m.nintendo.com/ab077493-d62f-4a9e-a54f-99ec58a4c27e"
18,"Results",14378,False,True,"","","","3836f2ef-3c82-4a1a-a620-17cd5623934d","https://image-assets.m.nintendo.com/5b2bbfc0-3fce-4651-95b5-09944eb9465d"
19,"Top Score",27928,True,True,"","","","68f424dc-b6a0-4dd3-8754-410024d1496e","https://image-assets.m.nintendo.com/0efe87db-db2a-45bd-89de-27e928e3145d"
20,"Top Score (Ranked)",55231,True,True,"","","","ef0404dc-1224-45c1-acc7-194bcf8d2eb5","https://image-assets.m.nintendo.com/4e7134a7-2cb6-48f7-8735-8b711d891ff2"
21,"You Win!",66563,True,False,"","","","2d445ad6-716b-4f37-bbb0-396aa3d02547","https://image-assets.m.nintendo.com/13923d86-8ae8-4819-b17d-a614e2161798"
22,"Top Score (999,999 Points)",61322,True,True,"","","","fa067e66-075e-4178-ad8c-afa5eb3bdc52","https://image-assets.m.nintendo.com/a432195f-5062-444a-9162-058cafcd04d1"
