index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme 1",143606,True,True,"","Titelthemen","Das Beste von Nintendo Music|Das Beste: Mario-Serie|Nintendo Music – Highlights","53427b75-9111-459b-8d26-5e9fc020edd1","https://image-assets.m.nintendo.com/fd5248fb-58f4-41cc-a8c0-b1ded75ec960"
2,"Title Theme 2",12354,False,False,"","Titelthemen","","a141511b-002b-41f3-b087-e23664fbf667","https://image-assets.m.nintendo.com/7fc1871e-d72f-4521-90e2-8a212a3db231"
3,"Title Theme 3",58735,True,False,"","Titelthemen","","b884c67f-9464-493a-ac58-af095ed5f063","https://image-assets.m.nintendo.com/eae9ed5d-fda5-498d-98e8-7bfd7805a91f"
4,"Opening 1",8825,False,True,"","","Nintendo Music – Highlights","9b1a577c-c315-4555-bda1-197bda1b1ad0","https://image-assets.m.nintendo.com/88ab4510-a433-48f0-87e8-8c08f0d5b5ff"
5,"Opening 2",8345,False,False,"","","Nintendo Music – Highlights","7c301b72-9daf-4996-980f-b921b0c2121e","https://image-assets.m.nintendo.com/bd9c8b6b-5c81-4d69-85cb-a4cd6fe36519"
6,"Drawing Board 1",120561,True,True,"","Gehen","Das Beste von Nintendo Music|Das Beste: Mario-Serie|Nintendo Music – Highlights","f76e385a-fa70-40f9-b79f-00c8e33d5c09","https://image-assets.m.nintendo.com/10c3040d-bf39-4c42-8e82-317f50a0fba6"
7,"Drawing Board 2",189065,True,True,"","Gehen","Nintendo Music – Highlights","b351ee3e-4ce2-48f7-866f-a1b79815f6d3","https://image-assets.m.nintendo.com/1eeea91e-2f23-42a0-8351-f34d2c63f485"
8,"Drawing Board 3",214992,True,True,"","Gute Nacht","Nintendo Music – Highlights","e620bc70-10f5-4fa8-ae35-d8ec08a2d271","https://image-assets.m.nintendo.com/6c5bb724-3837-4340-b4e8-1ffff63f286b"
9,"Special Stamp",123112,True,True,"","","Nintendo Music – Highlights","4802fd73-1e7c-4973-af8b-68aa79982201","https://image-assets.m.nintendo.com/7efac294-c5c4-4155-8c39-76fa2b6b6186"
10,"Precomposed Melody 1",50644,True,True,"","","Nintendo Music – Highlights","bceceb9c-653a-43ed-b3c3-1e56030a990f","https://image-assets.m.nintendo.com/db7b548d-f22c-4a96-a449-d6a611c363d1"
11,"Precomposed Melody 2",84581,True,False,"","","","bf9458e3-79a3-45c9-9fd5-675b8e156545","https://image-assets.m.nintendo.com/ef3792ab-5ad2-4e9b-ae22-e60b87c5e2bc"
12,"Precomposed Melody 3",55735,True,False,"","Party","","e9a338f0-c2af-4722-a6d5-6a6e5e2ba84e","https://image-assets.m.nintendo.com/3494bd2d-acdb-42f3-90c4-124a4fe0b0a6"
13,"Save & Load",84189,True,True,"","","Nintendo Music – Highlights","73fc934a-8a1d-4d02-81da-16e120fb96ce","https://image-assets.m.nintendo.com/9e7fee98-575d-4360-a1ba-fff049c047ac"
14,"Gnat Attack: Level 1",191813,True,True,"Gnat Attack","","Das Beste von Nintendo Music|Das Beste: Mario-Serie|Nintendo Music – Highlights","634c1c81-af44-4028-b763-f26466ffa823","https://image-assets.m.nintendo.com/ec77fc85-324e-4901-ad24-b132a59dd860"
15,"Gnat Attack: Level 2",133457,True,False,"Gnat Attack","","","2d4e7b87-716a-43bc-8b1c-61abe6540234","https://image-assets.m.nintendo.com/ad2a70ef-6297-48cc-bd65-fe0588dc3f50"
16,"Gnat Attack: Level 3",85145,True,False,"Gnat Attack","","","5f7ddd74-e9d0-4e02-b79b-b6c399fdba3e","https://image-assets.m.nintendo.com/8019842d-7229-4c39-8ecf-fbbcf98a0f17"
17,"Gnat Attack: King Watinga",110221,True,True,"Gnat Attack","Bosskämpfe|Laufen","Nintendo Music – Highlights","2c2f19b6-c9e6-4e8c-8a78-b2b9ced6671e","https://image-assets.m.nintendo.com/d2e43675-c85c-42cf-948a-75e064e4bfce"
18,"Gnat Attack: Stage Clear",9950,False,True,"Gnat Attack","Gewonnen!","Nintendo Music – Highlights","4a10b99a-59a3-49a1-9dfd-26d1bd9e81ff","https://image-assets.m.nintendo.com/7b9a0abd-6a79-4057-8d79-11050544c783"
19,"Gnat Attack: Game Over",6368,False,False,"Gnat Attack","","","cd7b27e5-3088-48a0-bb71-745dcbb16973","https://image-assets.m.nintendo.com/818fa24f-c857-4b67-a8d2-53f37aa157d4"
