index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Title Screen",119852,True,True,"Pikmin","Titelthemen","aadb1061-bfab-4ce0-a67a-2282ebfaa2ab","https://image-assets.m.nintendo.com/b1f92467-05c5-450c-a213-f2da75e60b38"
2,"Pikmin Discovered!",48547,True,False,"Pikmin","","b6eec1df-e4e7-4b55-b204-2b3558274329","https://image-assets.m.nintendo.com/8b0d560e-540b-4179-95dd-8df266af7422"
3,"Taking Charge",30371,True,False,"","","d0032bce-c520-49a6-ab0f-c9a1acac336e","https://image-assets.m.nintendo.com/6fa074a8-c7ac-4b42-b482-bdbb4e1ee241"
4,"Taking on More",52050,True,False,"","","02ec9cd6-8e8f-460f-9a62-6d482989d273","https://image-assets.m.nintendo.com/ad7b3d72-3a4d-4965-8bd4-18035615c303"
5,"Pikmin Hide-and-Seek",150737,True,False,"Pikmin|Planet PNF-404","","76d791b3-ca4a-4371-a693-792ea388d71e","https://image-assets.m.nintendo.com/3cd1250b-a3d8-46ce-8a75-e45600db4d51"
6,"Ready to Deploy",156061,True,False,"","","ef468ea6-332e-43c1-9277-8d0101bac5d6","https://image-assets.m.nintendo.com/79919281-b011-48bb-bcd0-cff799afcfaf"
7,"Must Be Fate",28667,False,True,"","Neue Abenteuer","1c8a2ae2-6306-45bc-8d5d-5e9c9e57cd1e","https://image-assets.m.nintendo.com/4a6a3cc4-638d-417b-b1cb-cc211febefb1"
8,"Meeting Oatchi",12195,False,False,"","","31abfc46-9d7a-4e12-980f-296ea31027d4","https://image-assets.m.nintendo.com/4f54c87e-0efe-4dec-8698-5a99dca2b7fe"
9,"The Way to the Surface?",9229,False,False,"","","2a6d2f61-7601-48cb-9bd2-fc1158f695bf","https://image-assets.m.nintendo.com/548a9f6d-7b6b-40b5-9d4c-f1ff02805864"
10,"Restart the S.S. Shepherd",195780,True,False,"Planet PNF-404","","c20f5dd7-e37e-4f6a-b1d2-aed1cda5289a","https://image-assets.m.nintendo.com/9e5346e3-d6e2-4137-83ba-04302f3bd7ef"
11,"The Onion Takes Root",72677,True,False,"","","ced8f8b5-b752-4165-859c-c30fde12e34c","https://image-assets.m.nintendo.com/41ac6971-37a7-4d1c-b881-7bc080531dcf"
12,"First Day's Results",186740,True,False,"","Gute Nacht","5410d2a3-24cf-4d0e-8187-2de5f7b6a86c","https://image-assets.m.nintendo.com/11431d98-a8d0-44f9-ae17-3c2fc3ec2654"
13,"Rise and Shine",15286,False,True,"","","220ba27b-f1c6-4daf-beb6-1c3fec120e6c","https://image-assets.m.nintendo.com/83135232-74c7-4500-aa51-b690681a2e50"
14,"Strategy Meeting",82446,True,False,"","","c70a4a55-794c-4851-9a43-9d8bbbf3bba8","https://image-assets.m.nintendo.com/5ac7e189-5d95-44b9-a3df-1a9c823a407d"
15,"Setting Out to Explore 1",14864,False,True,"","","b5533296-afe3-46c3-8d22-715baa4bbb73","https://image-assets.m.nintendo.com/f110deb1-b93a-402d-98a7-588ed76c1fc8"
16,"Setting Out to Explore 2",14864,False,False,"","","39d195ea-789e-400a-a847-beec98aad7d6","https://image-assets.m.nintendo.com/cebf66a0-998e-418a-802c-f49c3b36b230"
17,"Setting Out to Explore 3",14864,False,False,"","","ae3d091c-d7b6-4419-a134-3e654ab9e7a6","https://image-assets.m.nintendo.com/9467663c-8897-4b8b-a0e7-1af76c4f50fe"
18,"Small Discovery",58238,True,False,"","","536d04e9-690d-4ee3-903d-63ec032308cf","https://image-assets.m.nintendo.com/8313877f-aa25-4594-8eff-850058b3e5cd"
19,"New Discovery",35529,True,False,"","","aa3a0d72-cf66-4dc0-8807-b817bb9ef539","https://image-assets.m.nintendo.com/cdf44de2-e6f1-448a-a01d-5ebaea70cf0d"
20,"Big Discovery",51368,True,False,"","","5377417d-3bce-4ab2-80cd-7fad50e0ad3f","https://image-assets.m.nintendo.com/104eed36-e117-4ed0-b6c1-ac4c9d7c8bf6"
21,"An Abnormality!",52490,True,False,"","","89bb2cf4-2d36-4c0d-94c2-5fc9f1f66fd3","https://image-assets.m.nintendo.com/6054dbb0-cff5-4ea3-807c-9ed128acfbb6"
22,"Meeting the Red Pikmin",97191,True,False,"Pikmin","","11a451d5-bebc-4199-afb9-4c05c3a64514","https://image-assets.m.nintendo.com/1bd48f21-9564-48d6-bcde-7b22c36edca1"
23,"Meeting the Blue Pikmin",11122,False,False,"Pikmin","","2dbb035a-a2f4-45ae-a6ed-1018796ba027","https://image-assets.m.nintendo.com/b90e103a-15cd-4c6c-9434-2a9c8a455cc2"
24,"Meeting the Yellow Pikmin",11122,False,False,"Pikmin","","45d69aba-8f7e-4074-aa40-37598558c23d","https://image-assets.m.nintendo.com/98ce0ffe-f2c7-4b9a-a00b-898646bb5e3d"
25,"Meeting the Purple Pikmin",11122,False,False,"Pikmin","","e8fcfba9-f774-40e5-b87c-29bd0c4c26ec","https://image-assets.m.nintendo.com/22c3b07b-ed78-4281-9c9c-9754d3b9b2f6"
26,"Meeting the White Pikmin",11122,False,False,"Pikmin","","d1330278-1a7c-4e32-a93e-bd4e75554a2c","https://image-assets.m.nintendo.com/86f8572b-c585-4625-bf9f-17c009959ed5"
27,"Meeting the Rock Pikmin",11122,False,False,"Pikmin","","dca5b717-188a-47ef-86a4-4c63c066a08b","https://image-assets.m.nintendo.com/b9615071-e0cb-468d-a1b0-7b192d1d6ec3"
28,"Meeting the Winged Pikmin",11122,False,False,"Pikmin","","8bd5cc43-9884-47be-9841-ac4b115f193a","https://image-assets.m.nintendo.com/d9bc5a66-21f7-48a0-9827-90be27d7f1e8"
29,"Meeting the Ice Pikmin",11122,False,False,"Pikmin","","6b7c9d36-d7cd-42ff-8072-a7f28c6987dc","https://image-assets.m.nintendo.com/3ac6cf98-0d97-4beb-b4fe-0dba5da64600"
30,"An Onion Matures",47787,True,False,"","","d0a9d74c-d75b-4a73-8ef1-c9dc6a52cab3","https://image-assets.m.nintendo.com/dd0b7007-7aa8-4a97-a772-91cc6e5872b1"
31,"Onions Fuse",58280,True,False,"","","3926b260-6776-4c25-b266-f5d8e63b5feb","https://image-assets.m.nintendo.com/9eb3dc8c-c23e-4a0e-92b9-8a11ef2d1130"
32,"Before Nightfall",19398,False,True,"","","f0b3eed7-681a-4270-8bb5-bc782420cbb7","https://image-assets.m.nintendo.com/c314370d-3fd7-439e-a7d0-1e388997aee1"
33,"Today's Rescue Results",145919,True,True,"","Zeit für eine Pause","4babb2ac-1ae5-4366-a234-e499abd531a9","https://image-assets.m.nintendo.com/a96c2605-9764-485f-bdb8-dd0ec6c868fa"
34,"Rescue Command Post",213419,True,True,"Planet PNF-404","","86747a4e-dd1e-4e3e-94b7-58c6e89590d5","https://image-assets.m.nintendo.com/02f20909-6810-4b0e-a093-22afbd26e2fb"
35,"Expanding the Rescue Command Post",117942,True,False,"","","edf4fdb4-e769-4f20-84f5-3e02ead41739","https://image-assets.m.nintendo.com/16b32d81-0589-4a3e-9f2b-c16bd124fc49"
36,"Field Guides",181822,True,False,"","","695b7977-b895-46e9-9b3a-d615788069ae","https://image-assets.m.nintendo.com/57c8eb58-c973-434f-aeb8-f2960a405d20"
37,"Dandori Preparation",122672,True,False,"","","1fe9dd8e-c05b-47e7-8f29-67305bc2b863","https://image-assets.m.nintendo.com/79e722bd-4b08-4daf-9780-4f77a3b6dc7f"
38,"Sun-Speckled Terrace (Flyover)",33991,False,False,"","Gute Nacht","ce55295f-66da-4410-8d77-ae6c8f90162b","https://image-assets.m.nintendo.com/0ed84f3e-677d-48f9-843d-0ab18688bab5"
39,"Sun-Speckled Terrace",302085,True,True,"Planet PNF-404","","adc58188-daeb-4e17-bc1a-a2a3aed6658a","https://image-assets.m.nintendo.com/4b5491f4-195e-4744-9ba2-3b3c5b863da9"
40,"Blossoming Arcadia (Flyover)",22248,False,False,"","","72a192b2-586e-45c8-85be-c8d9f37a42e5","https://image-assets.m.nintendo.com/0b4759a1-439d-41ec-b6bc-825a95ee3703"
41,"Blossoming Arcadia",299585,True,True,"Planet PNF-404","Frühling|Zeit für eine Pause","bdd1211b-232b-4c5a-bf23-a5c70199f6ce","https://image-assets.m.nintendo.com/9995bee7-f06e-4e25-a918-b5e91a5b9fab"
42,"Serene Shores (Flyover)",24104,False,False,"","","9e3c2ed4-ac9b-46f4-8d5a-d9ce7a45d11c","https://image-assets.m.nintendo.com/2609d52b-7e37-40b9-8f81-c4218c4dd513"
43,"Serene Shores",297024,True,True,"Planet PNF-404","Gute Nacht","3bf2aff8-6ca6-42e9-959e-b17ec3888192","https://image-assets.m.nintendo.com/d1f5d6cf-60fb-49db-b8bf-bc69578729aa"
44,"Hero's Hideaway (Flyover)",25980,False,False,"","","d72b2a93-851b-4c67-a180-c52f85e7c800","https://image-assets.m.nintendo.com/248ba986-6dee-41e4-b602-71cbf490f4d9"
45,"Hero's Hideaway",298191,True,True,"Planet PNF-404","","32335373-f019-48c0-bdef-98d2ba64c94d","https://image-assets.m.nintendo.com/258ef435-cbdf-422d-9645-483d8c66dba7"
46,"Giant's Hearth (Flyover)",29828,False,False,"","","f82a7adb-78b5-448e-ad3c-1e8d08f1b518","https://image-assets.m.nintendo.com/9e1aaee7-8499-48c9-ae2a-989deb66a160"
47,"Giant's Hearth",302507,True,True,"Planet PNF-404","","405b3f8b-d404-4231-8063-f20ffd3cc7e9","https://image-assets.m.nintendo.com/46650710-1024-4f7b-86b5-9e1a30c349b3"
48,"Primordial Thicket (Flyover)",23400,False,False,"","","1a892c2e-a79f-4a43-8060-aeaf4c447eb0","https://image-assets.m.nintendo.com/693fd5db-1bdb-4229-9720-40c09d24e110"
49,"Primordial Thicket",304781,True,True,"Planet PNF-404","","741a3c74-fd5f-4425-b544-5e0db1af8e08","https://image-assets.m.nintendo.com/8770184e-fa35-4c54-b804-da8108c0f616"
50,"Into the Cave",5892,False,False,"","","46437a31-1126-4661-b689-157e598896b5","https://image-assets.m.nintendo.com/edddef7d-78f3-464c-ad14-84bcd944d284"
51,"Spelunking",303243,True,True,"Planet PNF-404","","9d9e669a-1fcf-4d31-8bf5-1d164ac2b94a","https://image-assets.m.nintendo.com/5ef6f2d4-c1ae-4605-92db-7c1d494492fe"
52,"Cave Exploration (Toy Box)",305770,False,False,"Planet PNF-404","","97597e41-4ff9-47ae-bf26-95c0c968f60c","https://image-assets.m.nintendo.com/511a3c52-c20b-43c2-8a51-adcc9464fffb"
53,"Cave Exploration (Engulfed Castle)",239454,True,False,"Planet PNF-404","","8b5ec12a-a50c-42b2-b62e-d7bdb7d40e5f","https://image-assets.m.nintendo.com/cbb082b5-5428-41ca-bd00-d5b836207070"
54,"Waterwraith Appears",43260,True,False,"","","e87dd4a5-8eb6-4dd9-9f88-7edc8f78b30d","https://image-assets.m.nintendo.com/8987e60b-9482-4e8d-bb88-c30185db5574"
55,"Cave Exploration (Waterwraith)",103106,True,False,"Planet PNF-404","","7fdc9ac7-3bf3-478e-9a90-09e2e62aa185","https://image-assets.m.nintendo.com/224bfb47-a500-4c7e-91a4-0beaa194679e"
56,"All Pikmin Lost!",45877,True,False,"","","6713d7fb-6ecb-43ef-accc-72f3df1c7339","https://image-assets.m.nintendo.com/42c68127-cb04-474f-94af-db729aa039ec"
57,"Cave Exploration (Safe)",312450,True,False,"Planet PNF-404","Gute Nacht","1c0ccbb7-1913-4465-8f35-c3b04bbc15ce","https://image-assets.m.nintendo.com/87b66303-05ad-4b77-b2dd-9e33aed6308a"
58,"Escape to the Surface",9020,False,False,"","","41c1364f-97cc-42ab-b69b-d9297a8a647e","https://image-assets.m.nintendo.com/b012780c-6f74-4698-bf3d-0121344d07b5"
59,"Cave Results",100960,True,False,"","","bf9da3da-f437-44c7-820c-990b524bc630","https://image-assets.m.nintendo.com/2682125a-5cbd-4f2b-8bd6-a72a8fe19755"
60,"Back on the Surface",5622,False,False,"","","fa295362-7700-49ab-8c1b-5ef106f2dbdb","https://image-assets.m.nintendo.com/267bea7e-ad85-4d50-9293-0741c21b4642"
61,"Battling a Strong Creature",81363,True,True,"Bosskämpfe","","31d282e8-aaef-4848-9604-9ca5288a22c2","https://image-assets.m.nintendo.com/6719d899-8f33-48d6-9150-f01737702db2"
62,"Strong Creature Defeated",7992,False,False,"","Gewonnen!","fac688f6-b91e-43c8-8d2d-78ba257dbffb","https://image-assets.m.nintendo.com/7e2c0532-a660-4770-b153-50fbb901a389"
63,"Battling a Stronger Creature",108288,True,True,"Bosskämpfe","","f1b12aae-b86a-46c7-9141-a0ace15d83b0","https://image-assets.m.nintendo.com/0614b676-36b9-4ead-b3d5-b05a72c19d3f"
64,"Stronger Creature Defeated",5877,False,False,"","Gewonnen!","d247ff1b-dd15-49d8-9a9e-fe387cdfe0c6","https://image-assets.m.nintendo.com/7e31458e-c61b-485f-ae2e-bfeb305569ed"
65,"Battling an Even Stronger Creature",140141,True,True,"Bosskämpfe","","607e26dc-f98c-4f64-a085-5dd1ac0f6f49","https://image-assets.m.nintendo.com/baf14828-3cac-4dc0-9ad3-e8332c647191"
66,"Even Stronger Creature Defeated",11169,False,False,"","Gewonnen!","699bdb9a-f461-4695-abfb-7a945c23b05b","https://image-assets.m.nintendo.com/f9f6affa-b2dd-441e-b0b4-eb26fb5bf23c"
67,"Groovy Long Legs Battle",232992,True,False,"Bosskämpfe","Bosskämpfe|Party","bc1ca575-17fb-42d5-9540-0d2a7ec2e819","https://image-assets.m.nintendo.com/33a28f0c-b73e-431e-a9bc-4a522dadb636"
68,"Giant Breadbug Battle",197732,True,False,"Bosskämpfe","","6d839fcf-00bc-429d-98d4-2308c30ceb40","https://image-assets.m.nintendo.com/e06d6ef9-56ee-4a8b-a1b0-b8a26e82ab4d"
