index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Super Mario Kart Title Screen",47374,True,True,"","Dreh auf!|Titelthemen","49d83adb-50d9-4d2c-8980-50ee36bf6551","https://image-assets.m.nintendo.com/2a571bae-8240-408a-918d-b4d74b6ad7a7"
2,"Selection Screens",37918,True,True,"","","4d21238b-b2b5-4793-a202-14679448cd30","https://image-assets.m.nintendo.com/19452ba5-00e2-4e14-accf-6bbff36bb5c7"
3,"Starting Grid",2699,False,True,"","","d612b481-c861-4794-8ca1-f6662cea4009","https://image-assets.m.nintendo.com/8b5bd953-4b8a-44f2-8916-766c19886cbf"
4,"Mario Circuit",84759,True,True,"","Dreh auf!","8730523d-623e-4cbe-8895-b994c4991556","https://image-assets.m.nintendo.com/c13b2ad7-a411-4091-b424-2756d0d40caa"
5,"Mario Circuit (Final Lap)",68877,True,False,"","","aae58559-e386-4555-993c-9317b0aa86c8","https://image-assets.m.nintendo.com/52049a6e-c681-48cb-9478-6ebb3286b934"
6,"Donut Plains",78326,True,True,"","","6093f2f6-b834-444b-8a56-71aa45e36173","https://image-assets.m.nintendo.com/aedf2a81-efbf-43c3-9131-8475a03d940c"
7,"Donut Plains (Final Lap)",62974,True,False,"","","bdb77ca2-15ea-4e82-b9f4-dd34bd3e4296","https://image-assets.m.nintendo.com/cc90011b-dd42-4c71-883e-d0d184a5f895"
8,"Ghost Valley",90012,True,True,"Buu Huu","","652ff586-fe6c-48a8-ba4e-6ee4ccf19979","https://image-assets.m.nintendo.com/1ecd11a3-4eed-4e86-b93c-e527b3408e2d"
9,"Ghost Valley (Final Lap)",63062,True,False,"","","c80b5f3d-884d-4f1f-b525-9beb547bde6e","https://image-assets.m.nintendo.com/024a5559-18ec-4b77-9c5c-ef55e49d6f17"
10,"Bowser Castle",95129,True,True,"Bowser","","36e7585b-de18-447d-8b09-14aa5f1fe910","https://image-assets.m.nintendo.com/2a5ad2e0-8481-4baf-97bb-2eb5f0ccbd06"
11,"Bowser Castle (Final Lap)",77600,True,False,"","","bb6148b9-e19e-4d5f-975c-aa8f69871b40","https://image-assets.m.nintendo.com/6d4a7294-198b-4067-a179-8ed35a893a99"
12,"Choco Island",99194,True,True,"","Gehen","d35c57cd-1e5c-4f2a-b75e-5c7785a763a1","https://image-assets.m.nintendo.com/8ab5b434-e427-4b28-8935-aca664c39874"
13,"Choco Island (Final Lap)",78857,True,False,"","","0735a816-6dc6-463f-a532-28df12263883","https://image-assets.m.nintendo.com/33b70602-a678-45bb-8455-14d5e601a2c3"
14,"Koopa Beach",93778,True,True,"Koopa","Gehen","7cdeb410-9d5a-4195-a557-556c20a29a61","https://image-assets.m.nintendo.com/cb587a66-8e32-44aa-8dab-b520d7763b80"
15,"Koopa Beach (Final Lap)",74738,True,False,"","","7b224e5e-4f4b-4f44-b9f0-03c0c64e5b5a","https://image-assets.m.nintendo.com/010e686d-814f-4f4f-84cd-a17e834712ab"
16,"Vanilla Lake",75097,True,True,"","Winter","3d7493c6-f30d-4c17-a9e6-4af6fb5e9037","https://image-assets.m.nintendo.com/43e22333-12f7-4588-9473-9792b6bcd17c"
17,"Vanilla Lake (Final Lap)",60711,True,False,"","","d1671db5-2ebb-496b-89b9-d07f89864cc3","https://image-assets.m.nintendo.com/a58120e7-0564-4f6e-83f1-ebb0dcb6e2b5"
18,"Rainbow Road",120016,True,True,"","","ffaf7598-87ae-41ee-b0f4-6265c1c16050","https://image-assets.m.nintendo.com/56d526a2-c047-4e39-b140-a683357377f3"
19,"Rainbow Road (Final Lap)",95892,True,False,"","","5b02e715-28f9-430c-8a4f-e4b99cc7d7f2","https://image-assets.m.nintendo.com/a119412a-37b8-4b82-8c7d-83b1ba51de1d"
20,"Battle Mode",87395,True,False,"","Dreh auf!","4e7b52bb-ffc1-4376-b10c-ede2568189b1","https://image-assets.m.nintendo.com/7d5b3037-6c3b-4ea2-9ec6-28b8c083fac8"
21,"Super Star",27782,True,False,"","","fa3bed24-8522-45b7-b7c2-b4793918f905","https://image-assets.m.nintendo.com/993fad4e-4dab-47a3-9fda-80b4bc5d98d7"
22,"Final Lap!",2438,False,True,"","","89d9ad03-425a-49d3-916b-0055a9dd0cb4","https://image-assets.m.nintendo.com/b85a6dd3-6e6a-4dce-ab34-dc1a76085f32"
23,"Finish! (1st – 4th Place)",4731,False,True,"","Gewonnen!","28b6e6bf-0093-4de6-97f1-4b0d0dc5251e","https://image-assets.m.nintendo.com/9fbfff3e-a2b7-4964-8a89-3aa2ad66a306"
24,"Finish! (5th – 8th Place)",3936,False,False,"","","4c22855f-0d3d-4d70-a4d5-a9d3a5c09cb4","https://image-assets.m.nintendo.com/c1266a29-c6a5-409e-b648-88108b5d8f9c"
25,"Finish! (Time Trials)",4460,False,False,"","","d95c4022-d581-4e1c-a57e-a853b39c0cb1","https://image-assets.m.nintendo.com/9412c1b0-80ff-4c4d-b451-d20a05b74bec"
26,"Game Over",4395,False,False,"","","61fd1a91-f0c4-4794-8266-a2a3d1b41428","https://image-assets.m.nintendo.com/ced0f214-2fe7-4b72-b704-a4ec308a5004"
27,"Race Results (Mario)",35781,True,True,"","","735e249c-c7a5-455f-973a-af97bea40a0a","https://image-assets.m.nintendo.com/59fab2a9-0b93-4b86-b22e-43aaf36626e0"
28,"Race Results (Luigi)",33840,True,False,"","","5457a058-70fb-4e9d-9345-ca0aafe5d685","https://image-assets.m.nintendo.com/13f323c2-2e62-4a50-a2b8-31b6b9f0c4ad"
29,"Race Results (Princess)",39429,True,False,"Peach","","4e43ac86-672d-456e-afa6-cbeb251743ff","https://image-assets.m.nintendo.com/3832c155-b309-446a-8a4f-5bf4dbc68b8f"
30,"Race Results (Yoshi)",32131,True,False,"Yoshi","","02f1940a-8a0b-4e9b-9372-75b7bdbfe81e","https://image-assets.m.nintendo.com/8f2dc361-1314-42eb-8d72-57dc99a5c513"
31,"Race Results (Bowser)",41940,True,False,"Bowser","","0ef1ec33-fda7-48c5-a9b4-6a76a955b49c","https://image-assets.m.nintendo.com/26f20ddb-416d-404d-9338-b11b6ab775ec"
32,"Race Results (Donkey Kong Jr.)",29628,True,False,"","","59d5f770-6445-4f77-b888-a8a8380d2a60","https://image-assets.m.nintendo.com/3bc69128-b840-430e-b978-bf793ae81792"
33,"Race Results (Koopa Troopa)",31555,True,False,"Koopa","","d2fcd8ce-b95a-4c52-b59b-4b2143899a58","https://image-assets.m.nintendo.com/43295685-9b9a-47b5-899c-59e6a4b83c66"
34,"Race Results (Toad)",38151,True,False,"Toad","","d5c9f682-2815-42ca-9673-f43d6e546a2c","https://image-assets.m.nintendo.com/3b290370-464b-4be5-9a1c-00b06b1ebcf8"
35,"Awards Ceremony (1st – 3rd Place)",57222,True,True,"","Gewonnen!","1a3907f2-aeb5-48f3-b66f-0f0a90dba482","https://image-assets.m.nintendo.com/ffeae540-133f-4302-8ef0-5fefb3449a77"
36,"Awards Ceremony (4th – 8th Place)",46571,True,False,"","","361dcdfd-d851-4b2e-9d05-f736d9ff6cdd","https://image-assets.m.nintendo.com/bf3b123d-13da-4f8f-9215-025ecd290bb4"
37,"Staff Credits",95878,False,True,"","Credits","beb5810e-653e-4090-98eb-eab01a45352d","https://image-assets.m.nintendo.com/409e989b-e13d-4886-9dc7-b38803ec393f"
