index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"The Ballad of the Goddess (Main Theme)",93811,False,True,"","","d928afcb-f09f-4feb-bfe8-1d9cff38987a","https://image-assets.m.nintendo.com/7f33eefc-2687-4134-bf5c-1d7285b0f144"
2,"An Ages-Old Tale",182666,False,False,"","","f3c93878-2687-4061-8c6e-2cff834da42a","https://image-assets.m.nintendo.com/2b69cbe5-0227-4d62-a318-54183d957077"
3,"File Select",64326,False,False,"","","f7aad8fd-3858-4dcb-850e-512059cc03f8","https://image-assets.m.nintendo.com/4dacea82-ee4e-4ec2-8881-f955e0788d7c"
4,"Islands in the Sky",68149,False,True,"","Neue Abenteuer","bfcfd368-16af-4905-9631-8788e008c337","https://image-assets.m.nintendo.com/2e1dd51f-23e0-47db-9548-f0507710561c"
5,"The First Omen",69232,False,False,"","","3d53f8c8-62e5-4e2f-a312-4013dc299218","https://image-assets.m.nintendo.com/cebc4058-bfd5-461e-98f5-116d065cee85"
6,"The Knight Academy",105727,True,False,"Erde & Himmel","","cb033789-d9f9-4b9d-9578-ab16b294ac3a","https://image-assets.m.nintendo.com/8945b48d-e872-4a84-9bc9-246fc9a3968f"
7,"Skyloft",193668,True,True,"Oberwelt","","93088803-29e4-47e2-aea2-ec330384127e","https://image-assets.m.nintendo.com/f8edd80a-69fe-428e-8ef0-5a835c32fbe8"
8,"Before the Goddess Statue",43666,False,False,"Zelda","","d62fe491-c353-4290-895b-51cd765b229f","https://image-assets.m.nintendo.com/48771ee6-4595-434a-bd1d-e157cc120c8a"
9,"A Moment with Zelda",161056,True,True,"Zelda","","cd14a47e-24ff-4f47-b201-fa715beb7b3f","https://image-assets.m.nintendo.com/49f85c07-e371-41e9-bd14-750822f1f755"
10,"Something's Wrong",46415,False,False,"","","a41d255e-ee96-45c1-91fa-1af2f322bbf1","https://image-assets.m.nintendo.com/cb195989-8fd6-4484-b370-da6b7ff4ee45"
11,"Groose Appears",111972,True,True,"Bado","","c73047ad-738f-4acc-a765-43dbf797cb68","https://image-assets.m.nintendo.com/1435e560-f908-4891-a78a-fa86827cb0da"
12,"Groose Appears Uneasy",121758,True,False,"Bado","","1cd07d57-a03f-4b7f-bb7b-0e752b5ad886","https://image-assets.m.nintendo.com/91d2e9ff-61c9-4e63-8c75-936ab5e598e7"
13,"Groose Appears Nervous",73948,True,False,"Bado","","5b8db71d-68de-4df3-9eda-c2633bf4db90","https://image-assets.m.nintendo.com/be21e6cf-8ac5-4eee-af74-0b62be4eb49f"
14,"Waterfall Cave",71291,True,False,"Oberwelt","","38b55559-db36-4a3d-8fa5-b94a7c3d5230","https://image-assets.m.nintendo.com/6d1300f8-d009-42b0-afc4-6ac382d6778f"
15,"Loftwing Located",6155,False,False,"","","8517043a-6458-4c62-846e-8ab2a3e0bedf","https://image-assets.m.nintendo.com/6fa993df-731e-4b40-8463-5df465509b9a"
16,"Flight Training",129560,True,False,"","","21e7371c-7569-4e90-b6cb-ec0081146577","https://image-assets.m.nintendo.com/72e8130d-3e4d-4ab8-b3c7-f597e2cc4aed"
17,"Wing Ceremony Opening",17203,False,False,"","","ace8f74a-a82a-4d2f-bdbc-3a8d5a7289b5","https://image-assets.m.nintendo.com/4798f3a6-5272-4466-b6e1-ffe789fdf634"
18,"The Wing Ceremony",129969,True,True,"","Dreh auf!|Laufen","4f7e1aa2-d7e5-48f0-ac6c-a1998b94b3d3","https://image-assets.m.nintendo.com/d02633a8-6d3a-46f9-bb46-71d4f686b217"
19,"Wing Ceremony Winner",78393,False,False,"","Gehen|Gewonnen!","07be825d-317c-4eeb-b9e8-b83e8cfc4d81","https://image-assets.m.nintendo.com/5c68d52b-a1e7-4f40-a36d-ae909b0e9b18"
20,"An Audience with the Goddess",20935,False,False,"Die Lyra der Göttin|Zelda","","ad64f4de-0650-4e18-8df2-677e77caed36","https://image-assets.m.nintendo.com/087b95e8-dbf1-4032-a8c1-66dc1f64b868"
21,"The Goddess's Blessing",80724,True,False,"Zelda","","4f860c27-667f-4bb4-a901-ef2c7d63ddff","https://image-assets.m.nintendo.com/5e56e067-e432-43dc-85e2-8f73252c803d"
22,"Among the Clouds",123654,True,True,"Zelda","Frühling|Zeit für eine Pause","4455405e-9b5d-4714-8715-2f7c7d216e3a","https://image-assets.m.nintendo.com/163ebe2d-953e-4305-9c3c-1ba67ae530ce"
23,"The Black Tornado",50132,True,True,"","","4aaefc72-20af-475b-94d9-7c8f2b7a0a7a","https://image-assets.m.nintendo.com/f0a22a90-c42d-4853-8cbb-a28daa56117e"
24,"The Second Omen",100092,True,False,"","","fc976e5b-a881-41f4-bcd1-2751ad082c17","https://image-assets.m.nintendo.com/7387a653-eec9-4d4d-8ef0-85f44e0bffe4"
25,"What Happened to Zelda?",170686,True,False,"","","36b1e4ed-99dd-4839-86ac-1a124c4fb507","https://image-assets.m.nintendo.com/36615faa-5013-4254-9bfb-48f1074d1e22"
26,"The Spirit's Guidance",176807,True,False,"Phai","","f0b104a7-d5f1-4809-836e-644fade36df5","https://image-assets.m.nintendo.com/69f2f143-1618-44a6-87ff-8c007bf1e54f"
27,"Fi's Theme",203989,True,True,"Phai","","ec462fcd-5304-4b9b-8320-c190d7ec67bf","https://image-assets.m.nintendo.com/a05df208-c0c3-470a-937e-f70c0ff3938f"
28,"Raise the Sword Skyward",10973,False,False,"","","2df2d142-2036-403a-afed-fea9bc0afb19","https://image-assets.m.nintendo.com/8e553c97-917a-441e-acb8-b56600bd004f"
29,"Tablet Acquired",7015,False,False,"","","24dc73f6-03b2-41d0-943a-60fdcc0210bc","https://image-assets.m.nintendo.com/2906fb0a-eef8-48a8-bdf7-ec5002d84c65"
30,"A Column of Light Emerges",16633,False,False,"","","28318fae-ec35-4833-8b02-9db34de6f8f1","https://image-assets.m.nintendo.com/f3c1f3f6-5c44-4757-9fa6-8702e97b04e2"
