index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Making a Friend",183760,True,True,"","","Das Beste von Nintendo Music|Nintendo Music – Highlights","cc57690a-28c4-42e6-8dcb-79de6e9abdd0","https://image-assets.m.nintendo.com/a5f25e2c-6db7-4407-ad77-b96f94c90ade"
2,"Apartment Hangout",203000,True,True,"","","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","021bbef3-af43-49c1-b2c1-9f17225f885b","https://image-assets.m.nintendo.com/dfdaa3bb-37ca-41b1-9bd5-83ed5ed84262"
3,"Afternoon on the Island",99027,True,True,"","Gehen","Auswahl an Tracks, die die Längenanpassung unterstützen|Das Beste von Nintendo Music|Nintendo Music – Highlights","abd25125-01bc-4a96-bf3a-e35fa627ce82","https://image-assets.m.nintendo.com/bfa52a94-7873-4c4c-95d6-309668b1d017"
4,"Nighttime on the Island",148640,True,True,"","Abendzeit","Nintendo Music – Highlights","c2876303-1fba-40b4-bdd4-97141b6d7316","https://image-assets.m.nintendo.com/7636ea39-ca88-4559-bf53-99d5330ceeea"
5,"News Flash",46107,True,False,"","","","14794d86-4f4e-4ef1-bcd4-c2b037a7e96b","https://image-assets.m.nintendo.com/f0e1e964-1c59-4774-9bfc-ff5e583573ce"
6,"Mii News Report",65587,True,True,"","","Nintendo Music – Highlights","eb28aeea-5a89-4798-8174-43ad71e43fa4","https://image-assets.m.nintendo.com/42e06e8e-0452-4355-9c79-2a6294fca04a"
7,"Food Mart",67626,True,True,"","","Auswahl an Tracks, die die Längenanpassung unterstützen|Nintendo Music – Highlights","9df3a680-1fbb-4037-af9e-0aa4dd6968ea","https://image-assets.m.nintendo.com/f1cee583-721e-447e-aaad-368bb421db9d"
8,"Clothing Shop",81626,True,True,"","","Nintendo Music – Highlights","0178bb07-18d5-479b-91b5-9e348ce182e7","https://image-assets.m.nintendo.com/e8d008b6-a0ca-444f-98ba-f6ead5cf8790"
9,"Interiors Shop",96226,True,True,"","","Nintendo Music – Highlights","36de386a-481b-4b6e-a719-df90ddda56c9","https://image-assets.m.nintendo.com/3c83d11d-db44-4e31-83a1-d0f9ded557ac"
10,"Majority Rule",29360,True,True,"","","Nintendo Music – Highlights","0c99d190-70b8-4d96-b703-09a244f93c05","https://image-assets.m.nintendo.com/d8c13aa7-955a-407e-a341-8aa46c9c10d8"
11,"Compatibility Tester",50053,True,True,"","Zeit für eine Pause","Nintendo Music – Highlights","32bd5962-e2b4-4b08-aaa7-68ea0f7854d4","https://image-assets.m.nintendo.com/5ed717ee-2df3-4019-886b-ac628f210a46"
12,"Career Counselor",64813,True,True,"","","Nintendo Music – Highlights","02cb6dfc-14e8-4d68-abe3-d14ad4277d09","https://image-assets.m.nintendo.com/5d9523ab-9d24-4804-9194-50984f1c8f60"
13,"Q&A",74693,True,True,"","","Nintendo Music – Highlights","10d7e6c4-102d-4c26-8a24-057cf60959a4","https://image-assets.m.nintendo.com/9df39e52-43de-481c-807c-30fb990d7de2"
14,"Let's Play a Game",79240,True,True,"","","Nintendo Music – Highlights","7b91b97a-a2e3-444b-befb-227231e1cdff","https://image-assets.m.nintendo.com/41fc4e04-0314-4da0-868a-b02f8cb5a250"
15,"Ballad: The Past 50 Years",43826,False,False,"Mii-Songs","","","965cf617-cd00-40ff-bf84-39e8d1ecc692","https://image-assets.m.nintendo.com/7d17be9a-6dc4-4bc9-8582-126ca5ab1048"
16,"Rap: Hot Track",29213,False,False,"Mii-Songs","","","373dedd1-6836-41b2-a902-ad5c3ba4a9b1","https://image-assets.m.nintendo.com/24386ecf-20bf-48a8-b5b4-6191396c1dd3"
17,"Mood Music: Rain-Soaked Streets",61773,False,False,"Mii-Songs","","","7f9c1a9d-b7e2-469c-95d8-955324e3ad37","https://image-assets.m.nintendo.com/d2b7f022-a12b-4359-a9f3-38a4689cf730"
18,"J-Pop: To a New Future",43066,False,False,"Mii-Songs","","","89a821af-9b6b-44b7-a921-8fd001fbadd6","https://image-assets.m.nintendo.com/52eda7d9-583e-45a3-ac10-afe261e83e49"
19,"Metal: Unremitted Desire",36239,False,False,"Mii-Songs","","","487ab501-3022-44ce-86c4-d222dccd831c","https://image-assets.m.nintendo.com/e29c5e7e-ece5-42a3-b9de-8ff1cca58038"
20,"Pop: Flitter-Flutter Days",34507,False,False,"Mii-Songs","","","f82f3947-c802-46d3-b387-90dee485965d","https://image-assets.m.nintendo.com/ae2c1dac-d92c-4065-a897-cf32df4db3cf"
21,"Forming a Friendship",4240,False,False,"","","","f77cfe42-8428-45a2-b2df-0e43e1fefdb5","https://image-assets.m.nintendo.com/56a5e7fb-1d95-4fdb-8eed-316861e123e5"
22,"Fixing a Friendship",8000,False,False,"","","","451e2ed4-4654-441d-b7d6-60536181dfea","https://image-assets.m.nintendo.com/0cefc422-e421-47cd-a1be-4abd6379259a"
23,"Fracturing a Friendship",4907,False,False,"","","","20d6ee2d-e684-45d9-bdab-3c2ab809d069","https://image-assets.m.nintendo.com/d49fbaca-b1d4-438b-969a-32c34b0faa0d"
24,"Pent-Up Passion",74386,True,True,"","","Nintendo Music – Highlights","b75d4464-4845-45b4-9913-e9f43299d5a3","https://image-assets.m.nintendo.com/d87aa08d-0175-4d51-9b6e-3e34c645abaa"
25,"Love Requited",8933,False,True,"","","Nintendo Music – Highlights","4a1ee77c-b2d0-446b-8964-a7c1cc032ed7","https://image-assets.m.nintendo.com/01a394ec-b08d-4695-9bfb-064e1ca0e29d"
26,"Love Rejected",5920,False,False,"","","","2df27437-5d9d-40e7-b9a3-f42b22b0a670","https://image-assets.m.nintendo.com/905a33eb-3412-42c0-8091-d61c2d624ac9"
27,"Stewing in Rejection",88707,True,False,"","","","d27aa43a-34cc-40d3-b63a-e4cc234829ab","https://image-assets.m.nintendo.com/2c1c4f71-7635-4154-a08a-89a2c64b9e08"
28,"Married No More",80893,True,False,"","","","7c361417-af9d-4197-b910-51359c952fa5","https://image-assets.m.nintendo.com/0544bb31-326c-4b78-a4cc-0f9d7c325b8c"
29,"Separating with a Sweetheart",60959,True,False,"","","","23ca9276-70b0-4b28-a8b0-786bd6c9fd55","https://image-assets.m.nintendo.com/ab7c0090-50d4-4a23-9467-c1c31b1302f5"
30,"All-Time Favorite",14280,False,False,"","","","3d5357a8-9cde-451c-8145-b00a05ff0ee9","https://image-assets.m.nintendo.com/2dc7be91-c47e-443b-8e0c-11d150a56b22"
31,"Loved It",4560,False,False,"","","","2e0837ed-acf5-4a32-99c1-66587c4d5a8d","https://image-assets.m.nintendo.com/dda78c6a-7be4-4eef-a677-33b25ec52411"
32,"Really Liked It",4093,False,False,"","","","89cb810a-8bb8-46a0-bd9e-acbea0293b6c","https://image-assets.m.nintendo.com/14d4acbc-7ca4-4eb9-b78b-f82d2a34394f"
33,"Liked It",4093,False,False,"","","","f3a56a3d-9ab0-4c08-ac8b-1541853e441c","https://image-assets.m.nintendo.com/d3ce1a30-e141-4abb-aa23-d05628eb6d4f"
34,"Didn't Really Like It",4093,False,False,"","","","4d7b9a98-5fff-448c-ba42-08fa5d0c9671","https://image-assets.m.nintendo.com/e9d2f01c-e510-499e-9138-9ac1b2916c0b"
35,"Didn't Like It at All",4093,False,False,"","","","a84b9dd5-2875-409d-9a78-e493460a0020","https://image-assets.m.nintendo.com/6cc5b6d3-5a18-4691-ba16-dccadf10a6e6"
36,"Thought It Was the Worst",7946,False,False,"","","","74e4e83c-bf27-48b4-a64c-ab9dbb35a3f2","https://image-assets.m.nintendo.com/b780fab6-ab5a-42cd-918f-1ba91f08ceac"
37,"The Medicine Worked",4213,False,False,"","","","e2b66d1b-4f00-4535-891f-728957263205","https://image-assets.m.nintendo.com/000acded-ecef-42df-8582-70b1add9ab4e"
38,"Back on Your Feet",5013,False,False,"","","","a85b3c66-aaff-4374-b273-d37ac5fe2e63","https://image-assets.m.nintendo.com/660cc2e6-7045-4f7f-9071-0bc6317e791f"
39,"Town Hall",106759,True,True,"","Gehen","Nintendo Music – Highlights","c5f6ed6a-b98e-4c4b-9d32-7a23338ff3cd","https://image-assets.m.nintendo.com/1c0144c1-67bf-4552-9dce-568a6ee9e6d2"
40,"Save Screen",71626,True,False,"","Gute Nacht","","5fe41f30-e964-4a58-b745-0bdfea5e53cc","https://image-assets.m.nintendo.com/b5f50aab-4414-47eb-97f6-4e5d3de6d695"
41,"Music Box: Making a Friend",41880,False,False,"Spieluhr","","","8450414a-fab4-4c76-be2e-277d48ac6ab3","https://image-assets.m.nintendo.com/379ed55e-727f-4004-8e44-55fc86f7a9f8"
42,"Music Box: Afternoon on the Island",38827,False,False,"Spieluhr","","","944152e5-2812-4253-9217-77ad57a1a535","https://image-assets.m.nintendo.com/cbe23ff8-bf7b-47a3-8c21-2f73187eee23"
43,"Music Box: Food Mart",38787,False,False,"Spieluhr","","","2644c726-e98c-4c4a-b545-3c6c3e3da69d","https://image-assets.m.nintendo.com/41e679b9-9600-4d09-911e-75032ba05462"
44,"Music Box: Compatibility Tester",50346,False,False,"Spieluhr","","","37fb4a66-8d8b-408e-a8f8-74a31b0b9e6c","https://image-assets.m.nintendo.com/4372bb2d-7633-4e82-806e-c9f572d2ff53"
45,"Music Box: Mii News Report",55413,False,False,"Spieluhr","","","b1b27449-e921-49e2-9b66-84e45496de2e","https://image-assets.m.nintendo.com/19358770-8834-4768-87ee-3bcdcaa5b146"
46,"Music Box: Career Counselor",54093,False,False,"Spieluhr","","","d70cd436-13eb-4969-a07a-9306c2e1f44a","https://image-assets.m.nintendo.com/ed028c58-1345-4558-a57e-6e0e64944e17"
47,"Street Band: Cheerful Tango",56226,False,False,"Straßenmusik","Gehen","","94cdba9b-ed18-44fe-8b79-9c44a8a9e01f","https://image-assets.m.nintendo.com/819871d8-71db-4cc5-b730-f9c033c1e44c"
48,"Street Band: Jaunty Allegro",48293,False,False,"Straßenmusik","","","9539119f-cc46-47f0-9b8e-f7d75f234dee","https://image-assets.m.nintendo.com/8c38524d-f228-4651-b14d-581e35c2a50e"
