index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening Theme",193317,True,True,"","Title Themes","","7e4a494f-18f9-41d8-b31a-6392e83b1151","https://image-assets.m.nintendo.com/b467309e-fa63-46ae-880e-6f3cfaf58dd9"
2,"Mute City",115833,True,True,"Courses","","","fe5ec978-cebb-475f-8728-f1ee6dbf7e1b","https://image-assets.m.nintendo.com/6f49329a-3c68-4ddd-b9b8-aff320db4887"
3,"Big Blue",134773,True,True,"Courses","","","b26d83fb-cdfb-4d5b-868c-58c8673b206a","https://image-assets.m.nintendo.com/645a7285-7b32-4d69-9c63-46c4ff8b849d"
4,"Sand Ocean",130183,True,True,"Courses","","","0b692a05-321b-44e8-9e25-b744d02e51ed","https://image-assets.m.nintendo.com/de684fcd-cf72-483e-be34-80b08b963595"
5,"Death Wind",130308,True,True,"Courses","","","84429df5-bf47-4457-81f8-e36027b23bb5","https://image-assets.m.nintendo.com/f9ca02e1-778e-4d70-ac53-107be0a4fcd0"
6,"Silence",91955,True,True,"Courses","","","2b26653e-a768-4953-9c6b-4df5911fa70b","https://image-assets.m.nintendo.com/f599cbd5-d909-4e7d-bc04-c7a6bdaf2f42"
7,"Port Town",136073,True,True,"Courses","","","21f7ce39-8383-42d1-9673-ac3364476d2e","https://image-assets.m.nintendo.com/9841c41c-ef73-49b4-b221-e4188ea023a8"
8,"Red Canyon",135565,True,True,"Courses","","","2e6bcdf2-1c5d-45ac-b654-48d3537cbdeb","https://image-assets.m.nintendo.com/33910ab6-da27-455d-a428-f73243032901"
9,"White Land I",113416,True,True,"Courses","","","d128e85c-6c7a-4845-acdd-57eaa724f23a","https://image-assets.m.nintendo.com/967fe9f6-ada5-40d5-a9ac-4e3e0af37732"
10,"White Land II",103296,True,True,"Courses","","","fe10d8ac-9c2e-4386-ab83-637a263f5d3b","https://image-assets.m.nintendo.com/dd1b90b8-4d50-44f5-b7ee-d02ca9508893"
11,"Fire Field",184283,True,True,"Courses","","","c3533153-5f94-45b0-be1c-885f9be05ceb","https://image-assets.m.nintendo.com/18ec1f1d-1346-43e8-91b8-ff49ffd78ea1"
12,"Finish - Top 3",3835,False,True,"","Victory!","","2444cf3a-c796-4eb8-b1cf-ae7bcea80674","https://image-assets.m.nintendo.com/0d08b7e5-4cfa-4993-b055-4c3aa4cbb6f4"
13,"Finish",4242,False,True,"","","","2a90e600-6e28-4f9c-8a25-84274142c693","https://image-assets.m.nintendo.com/bb01e0ae-4286-437c-afbc-7d79be6b1754"
14,"Results",64153,True,True,"","","","5128dfe9-8ee2-48ed-a379-e5985c41264b","https://image-assets.m.nintendo.com/18430c43-657f-4f36-8562-b3389c490618"
15,"You Lost",3166,False,False,"","","","6d767847-6b0e-4edf-8214-7968f15a9483","https://image-assets.m.nintendo.com/35e78564-ad45-4ba4-be9a-f810156abef9"
16,"Lucky Bumper Theme",139461,True,True,"","","","d7bd7c1f-0603-4017-9a7d-3b9b351e4229","https://image-assets.m.nintendo.com/e9caeaa3-1e9f-48f9-86b9-72b235a26b50"
17,"Lucky Bumper Ending",2657,False,False,"","","","06dc7238-64d8-431c-9b39-f35997cdf404","https://image-assets.m.nintendo.com/004ed054-9eda-41a4-8119-751af80df0cf"
18,"Select Time",39668,True,True,"","","","2bee5c8e-fee8-4c6c-aba8-26a3b56fa0f7","https://image-assets.m.nintendo.com/430540ab-d418-470a-a860-d61dda1437a7"
19,"Team Battle Complete",4230,False,False,"","","","ec40eb49-895e-44f0-bacc-8ce1b1aa4cef","https://image-assets.m.nintendo.com/4f48c4b9-5cb7-48fb-80b7-2df059c89256"
20,"Opening Theme - Grand Prix",193319,True,True,"","","","21762496-09a9-45d1-a5e9-8b4493372577","https://image-assets.m.nintendo.com/76e8168d-01e1-4bf9-ae77-4e0a7a5ccfe3"
21,"End of Final Race - Grand Prix",5701,False,True,"","","","afa371ed-0a26-42a5-b5af-73bf70c3d19f","https://image-assets.m.nintendo.com/1d79533d-3334-42ff-a1af-f647adeccd0d"
22,"Ending Theme",71262,True,True,"","","","2f193411-8c5a-4c9d-8ed2-cb47bfaefcd8","https://image-assets.m.nintendo.com/5807e28a-919f-4f62-9648-a4a3f1e7985f"
23,"Top 3 - Grand Prix",64585,True,True,"","Victory!","","86a476cf-1f67-40f4-8da0-dd965fd466b1","https://image-assets.m.nintendo.com/91f84b2c-c7f8-47d6-aa29-ceda0d4632a7"
24,"Elite Rank Promotion",8393,False,False,"","","","fb14d647-2323-4814-a19c-041602b20758","https://image-assets.m.nintendo.com/c98b14c0-1c06-45da-8f8a-4de78bfb0fe0"
25,"??? - Mute City Remix",191170,True,True,"Courses","","Nintendo Music Selects|Nintendo Switch Selects","c38411b0-6c0c-4655-b097-efb4b20bb959","https://image-assets.m.nintendo.com/2146900a-3811-4d11-8189-5f9edfaf40ac"
26,"??? - Big Blue Remix",177492,True,True,"Courses","Running","Nintendo Music Selects|Nintendo Switch Selects","36e17ca3-d581-4457-8707-29b2ad8ccb07","https://image-assets.m.nintendo.com/be52f111-2887-4510-950a-f618bb0b3bfe"
27,"??? - Sand Ocean Remix",149499,True,True,"Courses","","","e2f6764a-c3bf-436d-a222-61cb614274df","https://image-assets.m.nintendo.com/b7a12265-0b17-4647-8bf3-d54d9ec0a167"
28,"??? - Death Wind Remix",113462,True,True,"Courses","Winter","","68ee1465-8489-42d9-b21d-0433243af9f1","https://image-assets.m.nintendo.com/d420487a-2448-47e1-923f-2496d11151e3"
29,"??? - Silence Remix",86723,True,True,"Courses","","Nintendo Music Selects|Nintendo Switch Selects","ce55ac51-9798-4aee-a7be-66df242ceb75","https://image-assets.m.nintendo.com/6572d4b8-9657-4e3d-a422-f6765d7969ae"
30,"Opening Theme - Submenu",193321,True,True,"","","","545c07c3-49ce-40a1-ab23-6af2ba7b3786","https://image-assets.m.nintendo.com/0af9a033-9b4d-49a1-955c-52084ec0ac46"
31,"Credits",208464,True,True,"","Staff Credits","","a3cbccaf-6a91-4567-b8ca-f8db9cc4ca42","https://image-assets.m.nintendo.com/93f1770d-949f-48a3-9324-2b517ef3f9db"
32,"Opening Theme - Frozen World Tour",185765,True,False,"","Winter","","d059679c-f86f-4023-abfb-b3d5e24f8c6c","https://image-assets.m.nintendo.com/ac5bf9db-edde-44e0-b4e7-4a1547f52081"
33,"Results - Frozen World Tour",64156,True,False,"","Winter","","de37a95f-e1b0-457d-b174-64feb1fe3a9c","https://image-assets.m.nintendo.com/5b5b5269-b170-43c3-9d0c-906a0944965b"
