index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Opening: History Unveiled",66724,False,True,"","","ffa9e7df-0e06-4e98-aba0-a3437282074d","https://image-assets.m.nintendo.com/f887bfd6-bf3e-4b63-bbbe-9bae02d2c95a"
2,"Fire Emblem Theme",232586,True,True,"","Title Themes","826a32c2-67ab-4b38-b050-3a33dde8c299","https://image-assets.m.nintendo.com/901f41eb-dbd8-4d24-ba03-97a831493c13"
3,"A Hint of Things to Come",122584,True,True,"","","1176df82-45ac-4732-b10c-9fc012b66e3d","https://image-assets.m.nintendo.com/0236155d-5179-44fc-b563-1e429073472e"
4,"Road of Trials",163580,True,False,"","","9a96bafa-c434-431d-bb69-5be727114651","https://image-assets.m.nintendo.com/43ccc0c6-8d36-4c53-b64a-c4e6c4f2c553"
5,"Destiny Enlaced by Fear",140573,True,False,"","","336ef922-e6a3-457f-a155-56104d511456","https://image-assets.m.nintendo.com/6dc39bab-7594-4460-b355-0643c1bf982e"
6,"Winds across the Plains",136585,True,True,"Battlefields","New Adventures","53a9154b-aae0-4a77-ade3-4bcc8c12a14c","https://image-assets.m.nintendo.com/f538c1f5-4ad2-49cc-9395-e92b16375dff"
7,"Precious Things",136591,True,True,"Battlefields","Walking","189b8f13-90e0-4050-a4f7-5e94603b6367","https://image-assets.m.nintendo.com/c58c16db-9e90-43a1-85c9-fe6995912209"
8,"Companions",178584,True,True,"Battlefields","","d8961d40-13e7-4e9e-9b75-503cce615990","https://image-assets.m.nintendo.com/6cc3bb76-fa1f-44ac-b4a3-983f3f17eef1"
9,"Friendship and Adventure",144585,True,True,"Battlefields","","14ed4098-dcd6-428d-bd6b-3c4703465fac","https://image-assets.m.nintendo.com/eca27032-5a46-4513-931d-bd103ada2f12"
10,"Distant Travels",140568,True,True,"Battlefields","","79d4052c-9780-4158-ba4e-7f3a30a13128","https://image-assets.m.nintendo.com/f4372068-4415-43d4-93bc-92f2248b5055"
11,"Inescapable Fate",146579,True,True,"Battlefields","","33d3b326-cd12-46c9-96ae-db81fc457aab","https://image-assets.m.nintendo.com/4da02f78-3c98-44ae-99dd-87e720916022"
12,"Dragon's Gate II",205589,True,True,"Battlefields","","a70ee3cc-abed-4da5-b1b3-28dd8696f218","https://image-assets.m.nintendo.com/c511b7f8-79a2-4818-b304-550f22ef7e84"
13,"Winning Road",106583,True,True,"Battlefields","","989d864f-4e25-4831-9ab5-07c2f1a8880a","https://image-assets.m.nintendo.com/ffe3ab07-3af6-40b5-b2c0-62f7ffd4754d"
14,"Binding Ties",103584,True,False,"Battlefields","","5e0b1964-e03e-43b8-ad3d-164b8ab8c616","https://image-assets.m.nintendo.com/791ec446-1b86-420f-9913-ba66775f7788"
15,"Scars of the Scouring",169573,True,False,"Battlefields","","949de707-a01a-4cd8-aa25-cf611b200d30","https://image-assets.m.nintendo.com/a95703d9-8ff1-428e-b5cd-675923046c80"
16,"Raise Your Spirits",136585,True,False,"Battlefields","","dda57511-aecb-41ab-b1e7-ff3ea7956534","https://image-assets.m.nintendo.com/ca76ae5f-6eed-4e1d-9950-5d2463b6d788"
17,"Shadow Approaches",144589,True,False,"Battlefields","","a7b1e087-b98d-4b15-bdcd-9d361dae0a6b","https://image-assets.m.nintendo.com/c08890a5-f97f-466c-a07c-3d3e60b2d392"
18,"Enemies Appear",148590,True,False,"Battlefields","","e817897a-c008-4f72-8c75-675d42cf3121","https://image-assets.m.nintendo.com/54f4e7ed-a29f-47ac-86d9-986e2498fdc9"
19,"The Messenger",177577,True,False,"Battlefields","","084fa64a-151e-4a15-b447-d8e79d309824","https://image-assets.m.nintendo.com/928e225f-377f-44d7-8e03-7e9307bee723"
20,"Darkness Comes",170581,True,False,"Battlefields","","244a6083-54ec-4bf0-b86e-440339c9fa92","https://image-assets.m.nintendo.com/51df1581-bff0-431b-b2b5-d2cb545ca663"
21,"Dragon's Gate I",224589,True,False,"Battlefields","","beb35777-93d8-46d5-93f0-57b895547bf2","https://image-assets.m.nintendo.com/d4a5f6aa-57f0-4211-9d0d-28b0cb60b8ae"
22,"Nabata's Wandering Messenger",155580,True,False,"Battlefields","","9459592f-680e-442b-a45f-d7d0fae8a6c4","https://image-assets.m.nintendo.com/19240796-8cdb-4ea7-a381-21d22cc532dd"
23,"Legendary Inheritance",108576,True,False,"Battlefields","","e6619665-3aaf-4a3e-9fa8-d9df49f532a0","https://image-assets.m.nintendo.com/68a8325f-e3ab-47e9-bbf5-cbc5c09086fa"
