index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",48332,True,True,"","Title Themes","Mario Series Selects|Nintendo Music Selects|Nintendo Music Top Tracks","fea0ef23-d4ac-4f41-bf08-daddd6363f03","https://image-assets.m.nintendo.com/82f59c6b-3017-45e8-884c-9517f382308a"
2,"Prologue: Out for a Walk",9194,False,False,"Peach","","","85b5fec0-315e-4630-a016-fbf88dbcc938","https://image-assets.m.nintendo.com/fafbd7bc-c9f6-4aaa-8b79-a038b867e53a"
3,"Prologue: Princess Peach Kidnapped",16482,False,False,"Bowser Jr.|Peach","","","ed3ab2f4-a041-4c57-b474-290024f7f68c","https://image-assets.m.nintendo.com/cf68b11e-50cf-40f8-9535-e547c5e2be17"
4,"World 1",47020,True,True,"Worlds","","Mario Series Selects|Nintendo Music Selects|Nintendo Music Top Tracks","bdfe2705-c782-45c9-a302-2172cd4b0d71","https://image-assets.m.nintendo.com/42dc2b9e-a853-4712-9d11-b60a59a14ebe"
5,"Ground Theme",190286,True,True,"Courses","New Adventures","Mario Series Selects|Nintendo Music Selects|Nintendo Music Top Tracks","2ba9c7be-b7e3-4372-a597-86952959c42a","https://image-assets.m.nintendo.com/c0ba13b4-3803-47e0-8ade-720a019c4ae1"
6,"Mega Mario",34303,True,True,"","","Nintendo Music Top Tracks","4c4246c5-c44d-4d9c-b602-9d3366b277e3","https://image-assets.m.nintendo.com/344696b0-9036-4895-bb05-87c8ada55833"
7,"Course Clear",4687,False,True,"","","Nintendo Music Top Tracks","7fbec461-6c15-495d-bde1-6528551b59f4","https://image-assets.m.nintendo.com/d163faf6-c6bb-44b6-ab11-67f0b3763244"
8,"World 2",63113,True,True,"Worlds","","Nintendo Music Top Tracks","91e63920-7284-449a-97a2-8813b383d3d7","https://image-assets.m.nintendo.com/44e9bb42-9c3c-4666-9929-644e87e7e675"
9,"Desert Theme",98515,True,True,"Courses","","Nintendo Music Top Tracks","395de535-7901-46d6-8fd5-786211bb90ac","https://image-assets.m.nintendo.com/84c2f5df-57f3-4c50-a1b5-430d010a4f78"
10,"Switch On!",27407,True,False,"","","","dd3adffa-713a-4bf3-b516-e728c4e76830","https://image-assets.m.nintendo.com/3b7a6452-766d-4ccf-82bf-9e9448cec497"
11,"Underground Theme",135146,True,True,"Courses","","Nintendo Music Top Tracks","aacdced4-5c1e-460f-8bed-6ac620407360","https://image-assets.m.nintendo.com/314fb07c-d6ff-437a-a2ba-2d38b87f469a"
12,"Course Clear (Special)",6960,False,False,"","","","3f014b9f-9a52-4673-9ebb-ab7fa4409ba5","https://image-assets.m.nintendo.com/f9756bcc-bd1f-4b57-b694-b7a90cea4599"
13,"World 3",89794,True,True,"Worlds","Summer","Nintendo Music Top Tracks","7963261c-5ade-4d0e-b3b4-2b288b038e49","https://image-assets.m.nintendo.com/dbea42f4-0287-45d8-8300-9bd4b001c07f"
14,"Beach Theme",85283,True,True,"Courses","Summer","Nintendo Music Top Tracks","94173506-5d26-418e-99fa-ee224d18cc97","https://image-assets.m.nintendo.com/48672e88-34a8-4ac5-9ee1-18fd3265e1a0"
15,"Underwater Theme",87120,True,True,"Courses","Summer","Nintendo Music Top Tracks","678be02a-ccff-4c0e-b9ce-e97dd488b043","https://image-assets.m.nintendo.com/b53ee325-d3ce-446c-8f4d-8c3e94636079"
16,"Bonus Area",72116,True,True,"","","Nintendo Music Top Tracks","35fe7ea0-8bad-4727-87c7-e38703ae0fd8","https://image-assets.m.nintendo.com/7888c1f9-f0e5-49d9-83e8-de7f7cfd7d9d"
17,"World 4",55119,True,True,"Worlds","","Nintendo Music Top Tracks","7c608a9d-6d48-44e3-bc66-67d0f5f11e3d","https://image-assets.m.nintendo.com/0ba2243f-4e9b-4e5a-b0f5-b7fbad0849d3"
18,"Ghost House Theme",113053,True,True,"Boo|Courses","","Nintendo Music Top Tracks","b138ce03-99d1-4daa-a53d-aae7c322f6fe","https://image-assets.m.nintendo.com/9cb925f5-d15f-4164-bbcc-7fb2db472f01"
19,"Too Bad!",2877,False,False,"","","","a592e8b2-fd0d-4ce6-aa0f-dc56ee2e1286","https://image-assets.m.nintendo.com/67358d86-a5e4-41b6-9fda-0573d10ea6e2"
20,"Game Over",4825,False,False,"","","","77f5cd67-8a98-416c-865c-2d92bd64323e","https://image-assets.m.nintendo.com/35360305-ea44-4a11-b593-c79d1b956fbe"
21,"Toad House Minigame",105591,True,False,"Toad","","","201e4f93-77be-4ffe-af10-b836be683cd1","https://image-assets.m.nintendo.com/fad1dba0-39ae-4756-a6a5-03186ed8d12b"
22,"Minigame Clear",2453,False,False,"","","","8dfc84a6-85ff-4a86-b054-46d6a00c03ba","https://image-assets.m.nintendo.com/adb4bc7f-4f4e-4b49-8f71-7c3d0c5c62c4"
23,"World 5",48709,True,True,"Worlds","Winter","Nintendo Music Top Tracks","8330c6e7-533f-4dc6-9069-8160712855cc","https://image-assets.m.nintendo.com/3332a601-3e90-4498-9122-88bb17df8394"
24,"Tower Theme",104532,True,True,"Bowser Jr.|Courses","","Nintendo Music Top Tracks","1f9c58c9-c16f-4067-bc31-0e064256a86a","https://image-assets.m.nintendo.com/e87f7fd5-2c95-469e-be43-742836f0c7fc"
25,"Bowser Jr. Battle",70556,True,True,"Bowser Jr.","Boss Battles","Nintendo Music Top Tracks","b8d4e765-4a93-493f-8242-50cbf910ba44","https://image-assets.m.nintendo.com/36e6c8d2-d6bb-4a55-b9bf-95069fb24c24"
26,"World 6",61644,True,True,"Worlds","","Nintendo Music Top Tracks","e5d29f6e-c959-4569-b15d-45f2daf341db","https://image-assets.m.nintendo.com/84715799-0af0-4eb6-9def-62a3cb07d0bf"
27,"Athletic Theme",168000,True,True,"Courses","","Nintendo Music Top Tracks","794e4d8d-49e3-47be-9a5e-858a706097c4","https://image-assets.m.nintendo.com/1f3eccaa-746e-4024-bbd4-b7da4015a429"
28,"Super Star",57326,True,False,"","","","d38eb6f9-71b3-426e-a763-ecd270232cb0","https://image-assets.m.nintendo.com/929070b2-efc6-4ec2-ae6d-aa35ade6d3f2"
29,"World 7",82330,True,True,"Worlds","","Nintendo Music Top Tracks","d27a143f-fd34-46e0-ae67-85d8b4c80907","https://image-assets.m.nintendo.com/63184723-e980-44b4-bdf5-63071e292e45"
30,"Castle Theme",102585,True,True,"Bowser|Courses","","Nintendo Music Top Tracks","a60a3996-3ed1-461e-ba53-ba27a891fb68","https://image-assets.m.nintendo.com/326bfeae-875b-43be-b361-672bdf385336"
31,"Boss Battle",90824,True,True,"","","Nintendo Music Top Tracks","3d19c59d-2416-48f5-b2fe-4db8fffb4b0d","https://image-assets.m.nintendo.com/7ddc86a5-1ffa-49e7-8734-b7b7885b6909"
