index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Pikmin Title Screen",128487,True,True,"","Title Themes","Nintendo Music Selects|Nintendo Music Top Tracks","33460fd7-c7eb-4f06-bac3-9eb8c04860a3","https://image-assets.m.nintendo.com/6700dd91-a576-47fd-a001-8e8763ac9d2e"
2,"They Carry, Fight, Multiply, and Get Eaten",43101,False,False,"","Walking","","d2fc6c04-84ba-4aab-b397-2c8f4a4a51bc","https://image-assets.m.nintendo.com/0068aa01-9cf9-44d2-8309-1ed11c5d2ff1"
3,"Choose a Ship's Log",75119,True,True,"","","Nintendo Music Top Tracks","853ec77e-5437-439b-8885-774dffeba448","https://image-assets.m.nintendo.com/ab8cf420-35e2-4eb3-bd38-9a2fe53866ee"
4,"Prologue",56286,False,True,"","","Nintendo Music Top Tracks","7c25efe0-eeba-4be8-b791-be9a8cbed2b6","https://image-assets.m.nintendo.com/141de7b4-af10-4307-a983-7e306c5ed7dd"
5,"The Impact Site",394590,True,True,"Weird Planet","New Adventures","Nintendo Music Top Tracks","43afad0e-556e-42f8-aba0-87484882430b","https://image-assets.m.nintendo.com/22589610-f9f9-4c85-8143-886df25132f6"
6,"Onion Discovered!",9132,False,True,"","","Nintendo Music Top Tracks","bfe1aa54-8764-44a7-8484-ca86900081c8","https://image-assets.m.nintendo.com/2934a0fb-bfbf-4177-92ed-143053c8d8bf"
7,"First Encounter",4449,False,True,"Pikmin","","Nintendo Music Top Tracks","65ddf649-28c3-4b72-8f27-3d67eb3e6c82","https://image-assets.m.nintendo.com/a3d3a000-1275-47bf-b52e-5f79b59cb73a"
8,"Ship Parts Discovered!",4792,False,False,"","","","09bd2644-d7ff-40f1-9cd2-7d0ec6a24ab5","https://image-assets.m.nintendo.com/5d421156-b0cc-49a4-9d10-0707c6ec140a"
9,"Ship Parts Recovered!",6885,False,True,"","","Nintendo Music Top Tracks","d6f5cd02-a1df-40af-a648-cadb9ed4b1a4","https://image-assets.m.nintendo.com/21f7046d-f13f-402c-9c3a-ecdbc9759024"
10,"Nightfall",25204,False,True,"","","Nintendo Music Top Tracks","73f83439-c9cd-40e7-9e6e-f38f61799503","https://image-assets.m.nintendo.com/d7e86e8e-dc1b-4c07-8dad-def0cde9e08a"
11,"Today's Report",121556,True,True,"","Nighttime","Nintendo Music Top Tracks","e09650df-1b2e-44c7-84c7-e91a6ea2c9ee","https://image-assets.m.nintendo.com/08759653-29b3-447f-ae8b-ec5e390a41b4"
12,"Bird's-Eye View",132275,True,True,"Weird Planet","","Nintendo Music Selects|Nintendo Music Top Tracks","568ca234-7d5b-426b-a201-53f235028546","https://image-assets.m.nintendo.com/3c99e0ef-082c-4b4a-bfe4-a02e6bee31e1"
13,"The Forest of Hope",337366,True,True,"Weird Planet","Break Time","Nintendo Music Selects|Nintendo Music Top Tracks","5317a37c-6e73-435b-a2d3-730b175ad9c4","https://image-assets.m.nintendo.com/b98dc015-8f22-4b35-a8e1-9a69ffeef14c"
14,"Ship Parts Appear!",2287,False,False,"","Victory!","","b872c521-a436-481c-a4ba-a917dc457eb5","https://image-assets.m.nintendo.com/01ffb59b-850e-440a-aabc-f917d09cd832"
15,"Powering Up the Ship",54879,True,True,"","","Nintendo Music Top Tracks","bc699bf7-139c-4152-b66b-d8065c748659","https://image-assets.m.nintendo.com/f34e47ad-9f61-411a-ae06-26e9da8f8e56"
16,"The Forest Navel",267132,True,True,"Weird Planet","","Nintendo Music Top Tracks","edb79b08-72ef-4bb2-b15b-6b5a394cfb0c","https://image-assets.m.nintendo.com/d71a8c94-8698-44e3-b9fa-06de4c11b2af"
17,"A Boss Approaches",109771,True,True,"Weird Planet","Boss Battles","Nintendo Music Top Tracks","e624b690-18dc-48b1-a293-14e29a8474d9","https://image-assets.m.nintendo.com/20377fd4-eed0-42dd-80d5-ccf1c4a016b1"
18,"Due to My Carelessness...",14078,False,False,"","","","aae8e932-8075-4489-bcf9-a20c3ee520d7","https://image-assets.m.nintendo.com/02f4af23-7f6d-4306-b7ef-7f69891024cd"
19,"The Distant Spring",422830,True,True,"Weird Planet","","Nintendo Music Top Tracks","e2e1be12-4098-473e-bfef-4f8dfdae1737","https://image-assets.m.nintendo.com/050aacd7-348b-40d7-bfa0-5cafb382c2d2"
20,"It's Now or Never. Time for Lift Off!",36787,False,False,"","","","90c1ea55-9d25-4c51-be41-cded95c5fc3a","https://image-assets.m.nintendo.com/280cdfb8-59b7-442a-989b-a51868f6b4fa"
21,"Escape, Only to Crash",11656,False,False,"","","","00617061-46e2-4a9f-ba9a-3d42442871c9","https://image-assets.m.nintendo.com/6044040e-4132-44ce-922e-e73bf0d762f9"
22,"Life as a Pikmin",36053,False,False,"","","","41b5335b-a7ad-4478-8150-144835a6649a","https://image-assets.m.nintendo.com/8396870f-3540-4bb3-88fa-8852584b69dd"
23,"The Final Trial",299725,True,True,"Weird Planet","","Nintendo Music Top Tracks","16a758de-d7cb-4bbb-ad58-5d3d2a72fbaf","https://image-assets.m.nintendo.com/959eb946-8bff-482d-9c4d-04891aa74687"
24,"The Final Boss",204228,True,True,"Weird Planet","The Final Battles","Nintendo Music Top Tracks","04c3ba55-e062-4966-af60-9fca436cfc4e","https://image-assets.m.nintendo.com/e845baad-0e1c-4190-a5de-f08d9062cfaf"
25,"Ship Complete!",16155,False,True,"","","Nintendo Music Top Tracks","9687159a-7730-488c-a693-0df527adcbe6","https://image-assets.m.nintendo.com/eb86cb0e-d2f9-405d-8f3a-9eb78617d9cd"
26,"The Ship Is Complete. To Space!",59130,False,True,"","","Nintendo Music Top Tracks","6a1da3fa-a963-46e9-95b0-66af657be249","https://image-assets.m.nintendo.com/8ae704d3-6a52-451e-8125-af65117bb4b0"
27,"Escape! Next Stop...Hocotate!",54624,False,True,"","","Nintendo Music Top Tracks","f44f4719-53e8-49d0-85e3-d48bc3f84d07","https://image-assets.m.nintendo.com/3e3f2572-f74b-428b-bf81-d0caeea65da4"
28,"Complete Shipwreck Records",61079,True,True,"","","Nintendo Music Top Tracks","7dfc1df3-0e5f-4bcb-b4b7-0327665f9f56","https://image-assets.m.nintendo.com/1a3943b4-1fb1-4727-a3b2-ced64a92b21d"
29,"Staff Credits",140106,False,True,"","Staff Credits","Nintendo Music Top Tracks","2d53ec82-c3c9-499a-8d4c-7ba31a07e1e9","https://image-assets.m.nintendo.com/b7a515e4-a2ef-4684-9634-67b9c3310cd4"
30,"Creature Records",314690,False,True,"Weird Planet","Walking","Nintendo Music Top Tracks","3e2693fd-77c2-40bb-8ae5-6ccd1cc377aa","https://image-assets.m.nintendo.com/fb4fd100-cd58-4a41-843f-df02bc96e0b6"
31,"Take on the Challenge",80639,True,False,"","Walking","","86d010bd-6ca2-4bc4-af92-510097a8aa97","https://image-assets.m.nintendo.com/a02e1686-3c0d-4146-be15-0de3f39a9686"
32,"Challenge Results",85400,True,False,"","","","d54091d4-3eab-4aee-b4c1-4455ff831744","https://image-assets.m.nintendo.com/17e0f0b0-bfe6-4a0a-bf6d-bcc5f027e7d6"
33,"New Record!",2585,False,False,"","","","a7ee6892-07ea-48f7-be71-eae466bbbd16","https://image-assets.m.nintendo.com/118fd8b8-a36c-4dac-aa30-a857caf16f28"
