index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",47231,True,True,"","Title Themes","Nintendo Music Top Tracks","927d90b1-2fcd-4f07-b10b-12394b4782f5","https://image-assets.m.nintendo.com/717ec455-6983-481c-9aaf-18ed2643dad0"
2,"File/Vehicle Select",170654,True,True,"","","Nintendo Music Top Tracks","6d29ebeb-704d-4307-bd3a-1d13ea484d51","https://image-assets.m.nintendo.com/75d9601e-dd4e-42b0-bbd9-539541820f32"
3,"Instructions Screen",118395,True,True,"","Walking","Nintendo Music Top Tracks","acc78964-97e8-40fe-8320-dd95ed74854d","https://image-assets.m.nintendo.com/6d9c0ec8-8776-4100-9327-e393206ecc0e"
4,"Hang Glider",345346,True,True,"","","Nintendo Music Selects|Nintendo Music Top Tracks","cf0abc9a-5a7d-4d6f-a241-2ce6b7063d70","https://image-assets.m.nintendo.com/fb174461-0048-46ce-a1a5-14e37719853c"
5,"Hang Glider: Landing Accomplished",5856,False,True,"","","Nintendo Music Top Tracks","8bd6bf4f-0585-4ed5-b3b0-ef3d94d1bf0a","https://image-assets.m.nintendo.com/f3fcb253-ad60-4a7b-aa57-4b85c3260a6b"
6,"Hang Glider: Landed Outside Target",6122,False,False,"","","","53ca25a8-b78e-4bc9-a325-e964d3307d5f","https://image-assets.m.nintendo.com/94df5d58-7c5f-401b-858d-903b7dbebfac"
7,"Hang Glider: Failure",6853,False,False,"","","","62d635f9-dd7c-4288-a657-d46ad162ded7","https://image-assets.m.nintendo.com/75a23dca-cc57-4cbc-81be-18e93fe60087"
8,"Rocket Belt",240754,True,True,"","","Nintendo Music Top Tracks","f83b4ec5-1f13-4943-8bcd-e86c2689e91c","https://image-assets.m.nintendo.com/8af348b6-22a7-4500-8fcb-7cda2ee14a72"
9,"Rocket Belt: Landing Accomplished",3800,False,True,"","","Nintendo Music Top Tracks","c7fe0a2c-53d5-4757-97c2-1e4acbd98000","https://image-assets.m.nintendo.com/e53679ed-4d96-4635-988f-ee1c4cb28c45"
10,"Rocket Belt: Landed Outside Target",4458,False,False,"","","","b2c86dbb-a31e-44f5-a363-2f6448196a7d","https://image-assets.m.nintendo.com/99cf7599-a4e6-454b-a330-9f4762b91bdb"
11,"Rocket Belt: Failure",4939,False,False,"","","","8ebf45c3-9c4b-4197-aecc-10f0830b811e","https://image-assets.m.nintendo.com/8035a26f-f1bf-4efe-a5a0-17f135f10a99"
12,"Gyrocopter",243465,True,True,"","","Nintendo Music Selects|Nintendo Music Top Tracks","424a088c-7726-4abf-a2da-cfa873b16a74","https://image-assets.m.nintendo.com/7825dee4-80c9-4b71-b40d-3cba15e6052b"
13,"Gyrocopter: Landing Accomplished",6344,False,True,"","","Nintendo Music Top Tracks","b747ed23-718b-41fe-bb46-092e269a5022","https://image-assets.m.nintendo.com/45e5cf81-6c82-4c0e-81d7-df6c88bb16cd"
14,"Gyrocopter: Landed Outside Target",6225,False,False,"","","","c5212c2a-cbeb-469d-b402-44dc658feb07","https://image-assets.m.nintendo.com/b1571c33-0d97-472f-9c4b-796102896488"
15,"Gyrocopter: Failure",5007,False,False,"","","","e7e5b22f-ee23-46b0-834f-7a25cc500c0f","https://image-assets.m.nintendo.com/7222b6ce-a540-4612-ba4d-d30d31c97a8a"
16,"Cannonball",66331,True,True,"","","Nintendo Music Top Tracks","ed9809f0-c541-40ca-bef6-9be72dd1bd3f","https://image-assets.m.nintendo.com/60795b3f-544e-49a3-90b4-41c7453d03f9"
17,"Cannonball: Hit",2875,False,True,"","","Nintendo Music Top Tracks","d61b8aac-d22a-4ccc-8543-433fd1629467","https://image-assets.m.nintendo.com/bbcfb56a-cecf-4e8a-b0d7-0527a50c2b99"
18,"Cannonball: Missed",4808,False,False,"","","","59c6b920-8ea4-46b2-a406-15260f1cd46b","https://image-assets.m.nintendo.com/75cd4abf-1c53-4b28-8566-205da88154a3"
19,"Skydiving",111117,True,True,"","","Nintendo Music Top Tracks","2d4126ea-83ee-45fa-83a8-1e5f1ae480f0","https://image-assets.m.nintendo.com/22e898d2-4f4d-4f3c-8d3f-44faef6d2aaa"
20,"Skydiving: Landing Accomplished",3252,False,True,"","","Nintendo Music Top Tracks","38527626-9ce5-4b5e-b77f-710bf3221acd","https://image-assets.m.nintendo.com/a7376290-5273-407e-91c5-814a624620d7"
21,"Skydiving: Landed Outside Target",5009,False,False,"","","","2e3a7ddd-3f25-4345-a071-10ef850c90e8","https://image-assets.m.nintendo.com/e469a150-920a-4098-8875-45f5ed349bb3"
22,"Skydiving: Failure",5139,False,False,"","","","660d3f7d-0efa-43ab-8196-9ce33563ba84","https://image-assets.m.nintendo.com/c8e8d528-7902-4519-bac3-b3273c6df40d"
23,"Jumble Hopper",200346,True,True,"","","Nintendo Music Top Tracks","d2e1aa48-3d9a-4a6f-8142-fc4a90992a63","https://image-assets.m.nintendo.com/cdb0f0d8-a306-43ba-bf39-9eccef5e288c"
24,"Jumble Hopper: Goal!",2676,False,True,"","","Nintendo Music Top Tracks","7b379ae5-c57f-45be-b16b-f9ac3555d18c","https://image-assets.m.nintendo.com/6d7ad017-ec3b-4850-9edf-46f7cb3c0e4d"
25,"Birdman",443826,True,True,"","Break Time","Nintendo Music Selects|Nintendo Music Top Tracks","1a1573d0-cc06-41b6-a46b-da1e81644caa","https://image-assets.m.nintendo.com/e7757739-de39-4eb0-9d96-9fd947ce3c27"
26,"Birdman: Landing Accomplished",10606,False,True,"","","Nintendo Music Top Tracks","855df538-96ba-4175-b1b9-d448f6919e9a","https://image-assets.m.nintendo.com/3a7228ec-6464-4a80-9929-e20fe076858b"
27,"Birdman: Failure",6822,False,False,"","","","e8bf461a-2bac-4407-af8e-d0ab7ace79db","https://image-assets.m.nintendo.com/a5bfcf6c-87e1-444b-b050-cdf6822815e1"
28,"Replay",309635,True,True,"","","Nintendo Music Top Tracks","9d65b2db-9376-4322-926b-3d5bf2a2bede","https://image-assets.m.nintendo.com/343df482-9cb2-4437-b9f9-02e0e4116acf"
29,"Badge Earned",50021,True,True,"","","Nintendo Music Top Tracks","4dc5969b-672b-4fe5-bf02-060d3ec0d159","https://image-assets.m.nintendo.com/b11ca36c-bed8-4720-bcbd-d32374beb9d3"
30,"Staff Credits",347971,True,True,"","Staff Credits","Nintendo Music Top Tracks","6eaaee54-d153-492d-8e5a-aad683c58fad","https://image-assets.m.nintendo.com/0739572e-1954-4b10-b435-a570d7a73c08"
