index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening",14350,False,False,"","Title Themes","","f6abb66a-6fb5-422f-980f-65d530d0b104","https://image-assets.m.nintendo.com/585b4e1c-dcc2-44f7-aab5-5d1f8c6b774c"
2,"Main Theme",170655,True,True,"","","Nintendo Music Selects|Nintendo Music Top Tracks","46101b41-09d1-4608-8a33-bce14b3394a4","https://image-assets.m.nintendo.com/b9532261-bd2d-49a8-ba2b-eca3c21afef9"
3,"Plane Mission: Introduction",18984,False,False,"","","","9b74664e-75e6-4774-84c1-89be51c5921e","https://image-assets.m.nintendo.com/8bd20b95-337e-4cd8-9969-38acbd68948a"
4,"Plane",235200,True,True,"","Walking","Nintendo Music Selects|Nintendo Music Top Tracks","a0a3bc51-a118-4cdb-b05a-58961486981c","https://image-assets.m.nintendo.com/f24a97e9-220d-42a0-a9ac-fd9921081248"
5,"Turbo Jet",234941,True,True,"","Autumn","Nintendo Music Top Tracks","a79ae846-6ca3-4c49-929e-35cf5f5b5207","https://image-assets.m.nintendo.com/6f95b0b7-39a0-4ab5-b2f4-57d3d57ce545"
6,"Plane Mission: Success",6399,False,False,"","","","fd23ad09-610f-4eda-949f-3d22fc5c942e","https://image-assets.m.nintendo.com/896869f9-3799-432a-8d0f-f6c760528b57"
7,"Plane Mission: Time's Up",7331,False,False,"","","","e238d8e6-4121-4742-8a76-b6769bea1294","https://image-assets.m.nintendo.com/b61eb966-3b8b-492a-8a9e-4d1d9f706e0d"
8,"Plane Mission: Failure",4837,False,False,"","","","ab1939a2-253b-4cac-9f88-4e60ac3d8d61","https://image-assets.m.nintendo.com/9d19c54e-cb13-49e2-9152-d75fb76c48c0"
9,"Rocket Belt Mission: Introduction",24487,True,False,"","","","fcef84c5-b13e-43a4-b313-c562f6a73a66","https://image-assets.m.nintendo.com/8d6231d0-0bfb-4498-99f6-c23b8078c115"
10,"Rocket Belt",271551,True,True,"","","Nintendo Music Selects|Nintendo Music Top Tracks","79b33250-f9d3-422a-8369-a6e4322133df","https://image-assets.m.nintendo.com/68bebd2d-fb4b-4874-81ef-8f78baf12047"
11,"Flying-Squirrel Suit",65078,True,False,"","","","6bdfd18c-6a16-4507-b577-d904021d2161","https://image-assets.m.nintendo.com/5d894d55-cac5-451b-b3f3-475c7b0517f2"
12,"Super Rocket Belt",209622,True,True,"","","Nintendo Music Top Tracks","58c5ef3a-3b5d-410f-b2c4-11745f0f8124","https://image-assets.m.nintendo.com/ff9d06e9-31ba-464c-bc3a-57174cd8ed75"
13,"Rocket Belt Mission: Success",7124,False,False,"","","","090bc8b8-d035-42b9-b5b9-33a13c586ea7","https://image-assets.m.nintendo.com/17589afd-a4a5-4687-b44f-085784a04fe3"
14,"Rocket Belt Mission: Failure",4604,False,False,"","","","3bfe60d2-ad33-4142-980d-f10c4d047675","https://image-assets.m.nintendo.com/26631132-b198-40f4-9451-1e81d559ebe4"
15,"Glider Mission: Introduction",25725,False,False,"","","","b09dd854-94a2-4a04-a49d-d3efb9a53147","https://image-assets.m.nintendo.com/25b5a12e-57e3-466e-8e34-182383459546"
16,"Glider",273400,True,True,"","Break Time|Summer","Nintendo Music Top Tracks","5a2f4132-9d53-4915-a5e7-4122a7dd151d","https://image-assets.m.nintendo.com/c72c17a2-fe97-4963-868f-be988a2a9df8"
17,"Pedal Glider",244628,True,True,"","Autumn","Nintendo Music Top Tracks","bda4fbd7-7247-4eb2-beee-dc9d3d77df28","https://image-assets.m.nintendo.com/fa0ba6ff-595d-47dc-a6db-4ffb022c4e97"
18,"Glider Mission: Success",6554,False,False,"","","","cc469725-0106-4aef-a237-aacf785c0c99","https://image-assets.m.nintendo.com/25fcf85c-58a8-4a0e-b49b-4b169f87cb16"
19,"Glider Mission: Time's Up",6651,False,False,"","","","8d3a406e-bf0d-4524-a7d3-d5a802a5c58d","https://image-assets.m.nintendo.com/52a3874f-9088-4720-a752-b6af02eea573"
20,"Glider Mission: Failure",4667,False,False,"","","","eb533dcd-46a7-491d-b1d8-9465cc8d18bf","https://image-assets.m.nintendo.com/c85ee205-4263-4d54-ae19-22cbe4f11bef"
21,"Results",105786,True,True,"","","Nintendo Music Top Tracks","6f3ed052-c219-4c19-ba8c-8d1bb7c5db12","https://image-assets.m.nintendo.com/18133117-b9b6-4480-b45a-816a002a3936"
22,"Fly Higher",8350,False,False,"","","","b9aa394e-e111-43ba-9530-19775d8d610e","https://image-assets.m.nintendo.com/196d587b-d610-4019-883d-8b76efac0c92"
23,"Congratulations",10892,False,False,"","","","694eb73c-3d25-4555-b170-9d4ad6a66114","https://image-assets.m.nintendo.com/4179d2f8-8499-4162-b52d-315f17ac725b"
24,"Staff Credits",208625,False,True,"","Staff Credits","Nintendo Music Top Tracks","87d5fa58-0c3b-40f4-a926-4930090f93cc","https://image-assets.m.nintendo.com/9c793a41-2325-4d0c-865e-9100f64e5f18"
