index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening / Wet Floor",21081,False,True,"Turf War|Wet Floor","","Nintendo Music Top Tracks","305eddb5-bf70-4b3e-aacc-d9bd10f6cfe7","https://image-assets.m.nintendo.com/a39a9425-25d8-455c-a80f-f7606941a290"
2,"Inkoming! / Wet Floor",168168,True,True,"Turf War|Wet Floor","Powering Up|Turf War & Splatfest Battle","Nintendo Music Selects|Nintendo Music Top Tracks|Nintendo Switch Selects","eae92d45-5515-4f6f-b9aa-f2a8ead9078d","https://image-assets.m.nintendo.com/d8795235-43e8-4d19-964c-ae50efba879d"
3,"Rip Entry / Wet Floor",145432,True,True,"Turf War|Wet Floor","Turf War & Splatfest Battle","Nintendo Music Top Tracks","5c29a683-f6bd-4abb-a6b3-e604702eb025","https://image-assets.m.nintendo.com/5f53e8d9-79a7-4895-aee7-04a5955fded5"
4,"Undertow / Wet Floor",176602,True,True,"Turf War|Wet Floor","Running|Turf War & Splatfest Battle","Nintendo Music Top Tracks","74859398-ccf1-4fb0-9efd-991deae83697","https://image-assets.m.nintendo.com/91b41643-3ddb-41aa-b198-d46b6cf44a82"
5,"Don't Slip / Wet Floor",186656,True,True,"Turf War|Wet Floor","Turf War & Splatfest Battle","Nintendo Music Top Tracks","d99dd2e6-a048-4294-9faa-a458c4217805","https://image-assets.m.nintendo.com/2c5fa8b5-1990-435d-a0a3-947639e21b86"
6,"Endolphin Surge / Wet Floor",267313,True,True,"Turf War|Wet Floor","Turf War & Splatfest Battle","Nintendo Music Top Tracks","b044d5c7-f897-4f5f-8bea-16c2e6cdedb1","https://image-assets.m.nintendo.com/59122c80-f605-4965-bcf6-bf5311d1c18e"
7,"Shipwreckin' / Bottom Feeders",164542,True,True,"Bottom Feeders|Turf War","Turf War & Splatfest Battle","Nintendo Music Top Tracks","30260ad8-cc63-4acb-8eff-cd9e9cf119ae","https://image-assets.m.nintendo.com/a19ce97d-b579-464e-ab3e-3ee043f71f8f"
8,"Fins & Fiddles / Bottom Feeders",126975,True,True,"Bottom Feeders|Turf War","Turf War & Splatfest Battle","Nintendo Music Top Tracks","14f2fc54-ee6d-4f6a-b4d4-143c8356a148","https://image-assets.m.nintendo.com/07d39020-dcf2-4543-9894-4cd2897070f5"
9,"Seafoam Shanty / Bottom Feeders",203788,True,True,"Bottom Feeders|Turf War","Powering Up|Turf War & Splatfest Battle","Nintendo Music Top Tracks","8d88859e-0fa2-4140-abe5-7d13d311a083","https://image-assets.m.nintendo.com/c20720d4-0906-4e30-bb2d-74996c2a9275"
10,"Broken Coral / Ink Theory",164453,True,True,"Ink Theory|Turf War","Powering Up|Turf War & Splatfest Battle","Nintendo Music Top Tracks","620b5492-36a8-4d11-9839-6de02c812fbc","https://image-assets.m.nintendo.com/d25a79eb-23dc-43fc-9f60-4bfc4b70a690"
