index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
1,"Overture",80892,True,True,"","f536b664-d3bd-4457-b3e1-3b453e8f72fd","https://image-assets.m.nintendo.com/1a8ccd4c-2068-4a0b-8b55-171656b57b70"
2,"The Star Festival",85760,True,True,"Galaxy Tour|Peach","33b890cb-ec15-448b-b8ec-deb64f1cdad2","https://image-assets.m.nintendo.com/8de916e5-9ac8-48cc-9299-aca64bd84ef3"
3,"Attack of the Airships",77696,False,False,"Bowser","2ae5ab5c-dabc-4a05-a714-f25d2f52098b","https://image-assets.m.nintendo.com/a39dd300-9000-4d01-8edd-4fd116cfebc0"
4,"Catastrophe",54139,False,False,"","662115f9-9b8a-4631-b4ce-ab705c4daf48","https://image-assets.m.nintendo.com/7bb0b4f4-45e5-47bf-b62d-ea1ec110bcef"
5,"Peach’s Castle Stolen",31415,False,False,"","b705cc32-987f-408c-a400-b554e2c1fd70","https://image-assets.m.nintendo.com/13271a52-7f67-41c0-a7bd-d8dd717a0a7e"
6,"Enter the Galaxy",83078,True,True,"Galaxy Tour","009c00fc-641b-4b17-9b7e-dfda13a4a837","https://image-assets.m.nintendo.com/324b7d3a-239c-437b-9505-9314730d5b75"
7,"Egg Planet",158476,True,True,"Galaxy Tour","77eaadc7-0800-4af6-8388-995d72df6090","https://image-assets.m.nintendo.com/6ab35feb-c1d8-40ae-950a-0223e74e8faa"
8,"Rosalina in the Observatory 1",144653,True,False,"Rosalina","f8713711-ca9e-4fef-bfad-3135884b520b","https://image-assets.m.nintendo.com/85848304-10ce-417c-bc32-79b27126c9cc"
9,"The Honeyhive",155231,True,True,"Galaxy Tour","a88efbde-5b68-4aed-8be3-825884d23a40","https://image-assets.m.nintendo.com/de39d501-aeab-4335-a05f-fa78fc99dc04"
10,"Space Junk Road",198737,True,True,"Galaxy Tour","7fa73f86-cbdf-4742-88bd-ad22467022e8","https://image-assets.m.nintendo.com/19f72e58-1363-4c0a-a5c0-0a59bfbc6fed"
11,"Battlerock Galaxy",197997,True,True,"Galaxy Tour","151e950c-a09f-4a86-843e-65cb10f17bf7","https://image-assets.m.nintendo.com/9a7bc0f1-00fd-4671-8aff-16a617bda5c8"
12,"Beach Bowl Galaxy",139132,True,True,"Galaxy Tour","cd3d04d7-d3ce-41b2-996b-11a21ea1bead","https://image-assets.m.nintendo.com/e757b778-ad02-4195-a334-95519f9020e7"
13,"Rosalina in the Observatory 2",141827,True,False,"Rosalina","f6efcb6e-5d7f-4dcb-b69b-82fa4d819e31","https://image-assets.m.nintendo.com/433b7f3d-0c9c-4f81-a6db-3e841dd23867"
14,"Enter Bowser Jr.!",172073,True,True,"Boss Battles|Bowser Jr.","31ca2c92-5576-4ce8-be8d-d59ffaf0bca5","https://image-assets.m.nintendo.com/2962c536-f60f-49d4-a67a-91611f4ecfbb"
15,"Waltz of the Boos",159396,True,True,"Boo|Galaxy Tour","e54b3274-53c8-4b99-9420-559161935b6a","https://image-assets.m.nintendo.com/d8f98bbb-9ca3-4475-90e6-afd67519db0e"
16,"Buoy Base Galaxy",188505,True,True,"Galaxy Tour","9f8393f8-c01f-4a8e-8c67-ffeac9bef825","https://image-assets.m.nintendo.com/8d106a70-b131-4fda-a02c-a79ca9097931"
17,"Gusty Garden Galaxy",221859,True,True,"Galaxy Tour","e9884ace-a617-4c6a-aefe-aaa2f5857538","https://image-assets.m.nintendo.com/89578fa4-e758-4af0-aec4-65be0e6e447c"
18,"Rosalina in the Observatory 3",161774,True,True,"Rosalina","23538192-34b7-4096-8873-e3c944068a92","https://image-assets.m.nintendo.com/c1cb3796-4b20-48c0-8cdf-ca2245cbaad6"
19,"King Bowser",192433,False,True,"Boss Battles|Bowser","908a0fb5-9d0a-4872-81d9-a9c9ccf400b4","https://image-assets.m.nintendo.com/0b6aa163-a4e1-460d-8015-41a1826dc982"
20,"Melty Molten Galaxy",246026,True,True,"Galaxy Tour","b962ae32-44f7-40fd-99a6-bf964faaad1a","https://image-assets.m.nintendo.com/060947fa-db7d-495a-893c-3c60fd721107"
21,"The Galaxy Reactor",144894,True,True,"Bowser|Galaxy Tour","4616e4d3-a137-4282-8a1d-0cdbc2c36369","https://image-assets.m.nintendo.com/04f9ea75-46cc-4fa1-81f4-e09cc378a1cc"
22,"Final Battle with Bowser",142520,True,True,"Boss Battles|Bowser","af591c90-bb3c-49d5-aced-1038a4293701","https://image-assets.m.nintendo.com/7651fc1c-0c71-4783-b4ee-3812f4274cdc"
23,"Daybreak - A New Dawn",53824,False,False,"","04b585ca-20a2-4aac-9be9-384ee45bd813","https://image-assets.m.nintendo.com/8ec64a23-382a-4957-9c70-6fffb92acf61"
24,"Birth",113903,True,False,"","4a370094-d27f-44b7-84ca-7c9dfafab842","https://image-assets.m.nintendo.com/3f086685-71f7-45a6-ad32-3dc685f19a68"
25,"Super Mario Galaxy",240987,False,True,"","ec6f7520-8bdd-488c-a98f-827b9293f1d3","https://image-assets.m.nintendo.com/d1d81500-ff09-408f-9bd8-ade90daf472a"
26,"Purple Comet",180416,True,True,"","b0ea22cd-c04e-457f-a580-5db98fc7ebe6","https://image-assets.m.nintendo.com/f7d0076c-ec46-440c-bb54-703d66d40b23"
27,"Blue Sky Athletic",67483,True,True,"Galaxy Tour","330a1817-a223-4bbe-8369-a17d76f3edf3","https://image-assets.m.nintendo.com/8d8f709f-9645-4736-a67c-4e66dc1dd4e8"
28,"Super Mario 2007",138502,True,True,"Galaxy Tour","9999e781-9ca4-4da3-aded-e11367ddc099","https://image-assets.m.nintendo.com/c35b33e3-d8ef-4682-b90b-798f76c22ab7"
29,"File Select",50369,False,False,"","686b7a63-b433-49a7-a6f7-c8b97dbe1dc2","https://image-assets.m.nintendo.com/4ba35e27-b152-418b-8787-e034cd4c800b"
30,"Luma",53594,True,True,"Rosalina","2dd072d6-26e0-40f4-8ef4-493183801edc","https://image-assets.m.nintendo.com/3437c040-9191-444b-9823-fb2d19b501aa"
31,"Gateway Galaxy",119858,False,True,"Galaxy Tour","ae3bef88-75e3-4832-82c8-28f06a30bb17","https://image-assets.m.nintendo.com/20558ed8-fd49-4dd1-83e0-dc62333ca78e"
32,"Stolen Grand Star",32598,False,False,"","162bf20d-4cb8-4642-bd07-0a891a6029a4","https://image-assets.m.nintendo.com/722f4647-67a1-4268-9e4a-021e2771548e"
33,"To the Observatory Grounds 1",42594,False,False,"","b8702263-cd33-446c-85ec-55ec8d5016f5","https://image-assets.m.nintendo.com/3e46f837-00d3-4e83-836d-93de8fa58bd2"
34,"Observation Dome",115291,False,False,"","58ab3647-99ee-4f42-bdde-69c72c480be5","https://image-assets.m.nintendo.com/b122dafe-79fa-479a-8c03-28a8b69a9627"
35,"Course Select",38656,True,False,"","834d6ca4-e13f-4de2-9b3f-31e46b84668f","https://image-assets.m.nintendo.com/50c13643-e0cb-4e05-b42a-cf3be5f6b0cd"
36,"Dino Piranha",70527,True,True,"Boss Battles","6cb9d090-36ad-42ba-a9dd-de2385555583","https://image-assets.m.nintendo.com/82c4e5a6-80b3-4139-b5f8-9bcef2044a3e"
37,"A Chance to Grab a Star!",52183,False,False,"","91e4718a-6950-4c01-a1fc-1ee1ee79210e","https://image-assets.m.nintendo.com/23c23e2e-3db8-4681-9f1b-9395a6550f2c"
38,"A Tense Moment",38331,True,False,"","1e34db4f-2ab3-4ad2-b8e2-c65368a214dc","https://image-assets.m.nintendo.com/7a52c2d3-461d-4ede-b9fa-ac57b16d81e2"
39,"Big Bad Bugaboom",115360,True,False,"","65ff58b7-4b00-4934-901d-3ba52c197f06","https://image-assets.m.nintendo.com/de6ad88a-b560-46d3-9149-615ecfe7aa71"
40,"King Kaliente",68224,True,True,"Boss Battles","2d988f12-6e1b-424f-acfc-85c1df64086f","https://image-assets.m.nintendo.com/5445444f-c582-4e2c-be07-5b8862221d60"
41,"The Toad Brigade",38617,True,False,"Toad","d3d8b324-9d8a-4129-89c5-53bd9549752f","https://image-assets.m.nintendo.com/eeecc2ae-4fb2-4b70-9aa8-79f66af586c4"
42,"Airship Armada",138353,True,True,"Bowser Jr.|Galaxy Tour","57ab0ef2-0924-47d5-9f9f-568d2fc33b79","https://image-assets.m.nintendo.com/b8c03a8f-e0c2-4d22-b511-c8086abec131"
43,"Aquatic Race",79559,True,False,"","6c7f5424-926b-48a9-8a65-13b983377e64","https://image-assets.m.nintendo.com/0304465f-7eba-4379-89d1-c21dd5e7a235"
44,"Space Fantasy",117192,True,True,"","103cbeb7-efcf-4d0a-972c-d2435e24bc43","https://image-assets.m.nintendo.com/b7ae6cc2-0988-4d25-9578-de388170af9b"
45,"Megaleg",88464,True,True,"Boss Battles","9b2255a0-7636-4d26-92b2-dc1535a09b18","https://image-assets.m.nintendo.com/a104686a-7c33-43a0-8868-7072f72016b8"
46,"To the Observatory Grounds 2",27641,False,False,"","a62bb543-2bd9-46d3-88c0-2fe07b2161eb","https://image-assets.m.nintendo.com/c8aee003-5b26-41c6-8520-f9a9bf57cc72"
47,"Space Athletic",73513,True,True,"Galaxy Tour","1fac6c8f-9171-4ced-8d8b-aeb2a8469b64","https://image-assets.m.nintendo.com/2d5ad8b3-d1d8-4808-9b32-05c6c399b08b"
48,"Speedy Comet",110104,True,True,"","07b0bd71-bd7c-464f-a684-c0fe85534903","https://image-assets.m.nintendo.com/3b610f04-fbef-4e9b-bff5-f4338a679780"
49,"Beach Bowl Galaxy - Undersea",88363,True,False,"","7f3c0e55-d42d-40b7-8f75-b839536c8522","https://image-assets.m.nintendo.com/79f475ec-e46c-4fb6-850d-1a3c35c77bdc"
50,"Interlude",34885,True,False,"","5d334033-01b8-4d05-b792-b14414fb0a51","https://image-assets.m.nintendo.com/f015ac13-6be2-4836-9032-99e34d1290bf"
51,"Bowser’s Stronghold Appears",48772,True,False,"","e74a3835-fa7a-4338-875f-e6a193dd8091","https://image-assets.m.nintendo.com/bd94bbc7-161e-459d-8973-7434aacfc3ed"
52,"The Fiery Stronghold",128813,True,True,"Bowser|Galaxy Tour","4d0446b2-be9c-46cf-b7a3-c2037ca3a678","https://image-assets.m.nintendo.com/f8bb001c-b3a8-4005-a7ea-ad5c76f022fb"
53,"The Big Staircase",33443,True,False,"Bowser","18dd5d9b-c6f7-4974-9d8e-46e02fd7c921","https://image-assets.m.nintendo.com/a5b42a8e-b754-40f6-a712-8fbb930ce00b"
