index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",94646,True,True,"","Title Themes","Nintendo Music Top Tracks","6f858263-f777-4f7b-95b3-8569010ccdcd","https://image-assets.m.nintendo.com/a9211311-db48-45e7-ab3b-10f546ff2417"
2,"Mushroom BGM",194739,True,True,"","","Nintendo Music Top Tracks","903910ca-b890-4c2d-a072-b086f4337911","https://image-assets.m.nintendo.com/4abf20f2-a2eb-4eda-b829-f0738442b032"
3,"Flower BGM",207056,True,True,"","","Nintendo Music Top Tracks","c271d4df-927d-4c41-9660-6e5d4f692ffc","https://image-assets.m.nintendo.com/5bb6ee95-e837-42a8-9a53-4efb1df5cae3"
4,"Star BGM",204746,True,True,"","","Nintendo Music Top Tracks","00405e6d-a0eb-40a1-91e3-89d6040c8a2c","https://image-assets.m.nintendo.com/d97a777b-68e1-48f3-9d6c-d4c8645db262"
5,"B-Type Clear",3384,False,True,"","","Nintendo Music Top Tracks","9a0ae3f8-266c-485c-b75c-f521f1c4cd19","https://image-assets.m.nintendo.com/261ce62a-676c-40f2-8472-01e594418d31"
6,"Congratulations!",4030,False,True,"","","Nintendo Music Top Tracks","9e23b94a-6dcd-4981-ab15-0dde4f257e3c","https://image-assets.m.nintendo.com/b89d45c3-cf34-41c8-bf73-74182a591477"
7,"Game Over",4011,False,True,"","","Nintendo Music Top Tracks","a10f7dbc-c499-4d2c-9d09-df5d1116d060","https://image-assets.m.nintendo.com/af8404e7-6fa8-4ed1-81ce-2776bd9f4f78"
8,"Vs. Menu (1P)",40399,True,False,"","","","7b5b4ff1-f9c4-41f2-b472-52d4fd4531d6","https://image-assets.m.nintendo.com/2622a1bc-119c-4e21-b5af-7c1bd5efb066"
9,"Vs. Menu (2P)",42202,True,False,"","","","1fec2bb9-8ae7-4309-8dda-e1b6321a31bc","https://image-assets.m.nintendo.com/f73ff9a9-f103-40c6-9f7a-89cb52365587"
10,"Vs. Menu (1P & 2P Combined)",40398,True,True,"","","Nintendo Music Top Tracks","01de53ee-af3e-493d-918f-0e1906c17a79","https://image-assets.m.nintendo.com/4b8c2d40-7063-497e-a584-39fe45540b2f"
11,"Vs. BGM (1P)",127798,True,False,"","","","528eba37-9889-4751-93eb-aa5943f79d2d","https://image-assets.m.nintendo.com/cd1d5d90-eb8d-4a75-8a76-5e0945dbdb5c"
12,"Vs. BGM (2P)",127798,True,False,"","","","10b71973-1fa5-4253-951b-3347098e4904","https://image-assets.m.nintendo.com/558eab92-b280-428f-b87e-faf08fd45dd5"
13,"Vs. BGM (1P & 2P Combined)",127798,True,True,"Yoshi","","Nintendo Music Selects|Nintendo Music Top Tracks","4f514999-e3ef-47c8-8a14-4f02ea1543c0","https://image-assets.m.nintendo.com/4b8c2d40-7063-497e-a584-39fe45540b2f"
14,"One Game Won",1973,False,False,"","Victory!","","af343739-4582-4d3a-b994-8459545c3545","https://image-assets.m.nintendo.com/7d774f1d-3487-47cd-800b-3430230fdddb"
15,"One Game Lost",1950,False,False,"","","","7cfc76ca-3f01-4ea8-b2ba-2223920a1268","https://image-assets.m.nintendo.com/280392fe-f11f-4a64-91fc-afe3ff547d60"
16,"Three Games Won",95468,True,False,"","Victory!","","551f35e6-67fc-4a50-993f-ab45a8afe0fb","https://image-assets.m.nintendo.com/9ad777d5-233f-4d5f-86bd-88fb8e5b2b22"
17,"Three Games Lost",89034,True,False,"","","","feda886c-fd0a-46ec-a118-fef431b28f21","https://image-assets.m.nintendo.com/0aab34b0-0c54-4572-ab1e-a51f1190b2aa"
18,"Three Games Complete (1P & 2P Combined)",95466,True,True,"","","Nintendo Music Top Tracks","50fe48da-50a5-4527-8520-39e23d86255f","https://image-assets.m.nintendo.com/4b8c2d40-7063-497e-a584-39fe45540b2f"
