index,name,year,hardware,is_link,id,thumbnail_url
1,"Super Mario Bros.",1985,"Nintendo Entertainment System",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/ca47dec6-1956-4222-afba-fe0ecca035bf"
2,"Metroid (Famicom Disk System)",1986,"Nintendo Entertainment System",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"Dr. Mario",1990,"Game Boy",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/28ca3fae-13cf-474d-8f27-8e47645ed511"
4,"Kirby's Dream Land",1992,"Game Boy",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/ee442c76-9ec4-4368-8117-2c8c3fda4bb4"
5,"Donkey Kong Country",1994,"Super Nintendo Entertainment System",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/cb9b9d7e-d9e7-4e86-a75f-04a73d1aef84"
6,"Super Mario World 2: Yoshi's Island",1995,"Super Nintendo Entertainment System",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/0e3e33c9-c3fd-49d5-96da-45d32981c036"
7,"Star Fox 64",1997,"Nintendo 64",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/6217089e-4dc0-429a-ad75-6236cdd5d09b"
8,"The Legend of Zelda: Ocarina of Time",1998,"Nintendo 64",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/85bfc89a-ecfd-4588-a40f-b4a48c2af88c"
9,"Fire Emblem: The Blazing Blade",2003,"Game Boy Advance",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/539efea4-7986-47f1-aa86-77d89d0cbe5d"
10,"Metroid Prime Remastered",2023,"Nintendo Switch",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
11,"Metroid Prime",2003,"Nintendo GameCube",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/e078b63b-25a1-418d-a1ad-467b3813bbf1"
12,"nintendogs",2005,"Nintendo DS",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/56d050db-a9dd-4419-944c-b0552338aed1"
13,"Tomodachi Collection",2009,"Nintendo DS",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
14,"Wii Channels",2006,"Wii",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/e5407cba-6e55-4ba2-8691-4ed74cc0e65b"
