index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Animal Crossing: New Leaf (HOME Menu)",2884,False,False,"","","","e51feb7c-7057-4dfb-93d0-9d1cc2ad41e1","https://image-assets.m.nintendo.com/8a1f8cff-06be-4300-b4f9-aa250f7159b4"
2,"Opening Theme",63838,False,True,"","Pantalla del título|Un pequeño respiro","Destacados de Nintendo Music|Selección de Nintendo Music","6b7a4cdc-8bb5-4437-915d-59bd68d0b20c","https://image-assets.m.nintendo.com/63e1f297-ac78-43b3-a68e-c2046cdc74c6"
3,"On the Train",109974,True,False,"","","","d0cdc07a-c219-4992-b918-869ae07489d6","https://image-assets.m.nintendo.com/9c056a9f-1f27-4c8e-ae61-f4d279399c6d"
4,"Arrived at the Village",49732,False,False,"","","","b184ff19-abfd-4299-982d-56ee99eae810","https://image-assets.m.nintendo.com/f1452bb7-01c2-415d-9af1-88ef30ed5a47"
5,"Welcome to the Village!",5747,False,False,"","","","a6d4795b-cb8a-4f93-8b53-ab18eedaf6b8","https://image-assets.m.nintendo.com/c711f60e-9c7b-4552-9c78-ba9579b63c20"
6,"First, to Town Hall",97488,True,False,"Canela","","","ba30e47b-adb9-4288-b1f4-ea6e2c77dd53","https://image-assets.m.nintendo.com/b45d1ae6-1a0d-49ee-b3e7-3ecc5d5c98f6"
7,"Town Hall",107872,True,True,"Amigos del pueblo|Canela","","Destacados de Nintendo Music","efe696a2-2b41-4310-a7d9-e7c67a39c163","https://image-assets.m.nintendo.com/77c32b49-5cec-411f-960d-a73c0eb223f0"
8,"House Hunting",50033,True,False,"","","","56d5785a-9162-4301-95b8-5399068bee02","https://image-assets.m.nintendo.com/c0fee9bc-9e3d-4d0a-ba28-05afcac0ee28"
9,"Nook's Homes",123076,True,True,"Amigos del pueblo|Tom Nook","","Destacados de Nintendo Music","1e9d719d-ed10-49cc-9850-798e35e1d983","https://image-assets.m.nintendo.com/48a80bfb-1592-4ae3-8c6f-cd9603ab8e8e"
10,"Let's Build a House",82763,True,False,"Tom Nook","De paseo","","921df096-6212-458b-b846-39d4901b12f4","https://image-assets.m.nintendo.com/a9b80f32-2bfd-4c82-a281-d2e4e64edf06"
11,"Build Here",11083,False,False,"","","","4a27dd4b-846e-4f6a-bdfd-f59d52b78dac","https://image-assets.m.nintendo.com/3495efa9-4be5-4077-9422-c635f962a807"
12,"Tent's All Set",78187,True,False,"Tom Nook","","","f4bf2496-0cf3-4557-92f7-331031cdaba9","https://image-assets.m.nintendo.com/455737f3-cc8e-4c38-b3c2-cfb1ba788f51"
13,"Mayoral Inauguration",39431,False,False,"Canela","","","a98f1d33-a3f1-4dbf-bf3f-7faef427a661","https://image-assets.m.nintendo.com/ce82152e-3209-44c5-9339-9df0a41d00b0"
14,"12:00 AM - Clear",82887,True,True,"Un día de sol","","Destacados de Nintendo Music","f739275d-c713-4ccb-ac51-2721f9404496","https://image-assets.m.nintendo.com/53072a35-fece-4ccf-a110-fd2961402e84"
15,"1:00 AM - Clear",131024,True,True,"Un día de sol","Un pequeño respiro","Destacados de Nintendo Music","dab13087-2345-466c-8431-c46531f35c34","https://image-assets.m.nintendo.com/657da4f1-8fee-43ba-baa8-e6b56bdbcc76"
16,"2:00 AM - Clear",198970,True,True,"Un día de sol","","Destacados de Nintendo Music","f9b8e8a6-431e-4267-9466-76d45c54530f","https://image-assets.m.nintendo.com/a5ca7362-fed1-4b2f-b22a-0b6ca88f6270"
17,"3:00 AM - Clear",97174,True,True,"Un día de sol","","Destacados de Nintendo Music","6c48ed3a-21f9-48de-b016-bae4f95f6328","https://image-assets.m.nintendo.com/7c7c4e8a-239c-46c1-ba1f-9b53ca7a6698"
18,"4:00 AM - Clear",124128,True,True,"Un día de sol","","Destacados de Nintendo Music","64026550-032e-42ef-8b7b-8def9b9da7ab","https://image-assets.m.nintendo.com/f92f8e9b-e371-4275-ba3f-526fe7870bee"
19,"5:00 AM - Clear",123094,True,True,"Un día de sol","","Destacados de Nintendo Music","c76d713a-c0a7-427c-b9fd-66998140041e","https://image-assets.m.nintendo.com/287f7222-d16e-4a4f-9633-553b5113103b"
20,"6:00 AM - Clear",92722,True,True,"Un día de sol","","Destacados de Nintendo Music","843a214b-99c9-4377-b6bb-11a29aaa8df8","https://image-assets.m.nintendo.com/0f227d14-401c-4a13-b8cb-c2766d109df5"
21,"7:00 AM - Clear",109752,True,True,"Un día de sol","","Destacados de Nintendo Music","4fa93e4b-6c9d-4c41-a52d-d10d983c1915","https://image-assets.m.nintendo.com/22424587-c894-46d4-8450-f685bf8aa6bc"
22,"8:00 AM - Clear",101492,True,True,"Un día de sol","","Destacados de Nintendo Music|Selección de Nintendo Music","9dc0dc9f-4518-48fa-a01f-db8fd6ef1ba9","https://image-assets.m.nintendo.com/5e7c583e-23c8-4594-8dd0-471df1d165c9"
23,"9:00 AM - Clear",72682,True,True,"Un día de sol","","Destacados de Nintendo Music","fa509262-efd6-43ff-9389-718878549722","https://image-assets.m.nintendo.com/be859720-7406-4fa6-9413-d25cb91f3cd3"
24,"10:00 AM - Clear",96735,True,True,"Un día de sol","","Destacados de Nintendo Music","4e0e9510-7dde-4c45-884b-b06752c1bf90","https://image-assets.m.nintendo.com/badbc0c7-37ae-41b0-9964-a3c1afaf6769"
25,"11:00 AM - Clear",99075,True,True,"Un día de sol","","Destacados de Nintendo Music","1573a56a-60b6-4c71-8c52-0d28146dd819","https://image-assets.m.nintendo.com/e2bbe93e-02c0-430b-ba56-f56b04843a57"
26,"12:00 PM - Clear",105610,True,True,"Un día de sol","","Destacados de Nintendo Music","f8c7c96b-2962-4dac-92e2-59436aaf23b6","https://image-assets.m.nintendo.com/a86280b6-27c7-4e6c-be5d-b3ff93a9284e"
27,"1:00 PM - Clear",102184,True,True,"Un día de sol","","Destacados de Nintendo Music","86aba7c5-1ce0-4dc2-ba91-c2a0a1c0a07f","https://image-assets.m.nintendo.com/a4251217-5af3-4b61-bc80-670a458cbf2d"
28,"2:00 PM - Clear",95193,True,True,"Un día de sol","","Destacados de Nintendo Music","61963c0e-7ea8-4056-a3bd-a0e65548efb9","https://image-assets.m.nintendo.com/72272805-ee81-4eeb-84b3-a8d686543ef4"
29,"3:00 PM - Clear",75089,True,True,"Un día de sol","","Destacados de Nintendo Music","46b58143-869b-4618-b30e-ee4f1da5c4c3","https://image-assets.m.nintendo.com/99e0ba76-1372-4bee-865a-7be5df796fad"
30,"4:00 PM - Clear",109710,True,True,"Un día de sol","","Destacados de Nintendo Music","8dafc377-ed33-4ccf-9a52-2aac5d868165","https://image-assets.m.nintendo.com/209b1398-2599-467a-98d1-0c1ebb07d105"
31,"5:00 PM - Clear",157501,True,True,"Un día de sol","","Destacados de Nintendo Music","91566a0f-d99a-4ad1-a813-e0676b392a25","https://image-assets.m.nintendo.com/c7766c44-4c44-4ec0-a275-0a2928fe8bcf"
32,"6:00 PM - Clear",104765,True,True,"Un día de sol","","Destacados de Nintendo Music","a00e29a7-2c71-4b10-97e1-5cfcb412e8c2","https://image-assets.m.nintendo.com/6de90739-7587-49a9-9650-51757b486c6f"
33,"7:00 PM - Clear",104682,True,True,"Un día de sol","","Destacados de Nintendo Music","5e55cb33-83b7-421e-881e-8ff8acca2957","https://image-assets.m.nintendo.com/43e9e029-ee8b-47cf-9acf-a3b13f146360"
34,"8:00 PM - Clear",98569,True,True,"Un día de sol","Un pequeño respiro","Destacados de Nintendo Music","dc5895c8-fc17-44ca-bb85-cce992661a86","https://image-assets.m.nintendo.com/e28ddc2c-8c14-4aa9-ab6f-1a41d0ef77ce"
35,"9:00 PM - Clear",110425,True,True,"Un día de sol","","Destacados de Nintendo Music","b8d1e2e4-ac9b-4cc3-9709-d5ff9a9f8f94","https://image-assets.m.nintendo.com/01b1e7a7-9b5e-44bd-bd9d-f0c62e79dfd7"
36,"10:00 PM - Clear",88500,True,True,"Un día de sol","","Destacados de Nintendo Music","4fad98e2-06c4-4ede-8b9a-e256bc93c714","https://image-assets.m.nintendo.com/6719482d-8b51-4e57-bccf-a0b2aea436c6"
