index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",72399,True,True,"Toad","De paseo|Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","ab33ad9f-8a08-4770-aeb5-046c1ce441a9","https://image-assets.m.nintendo.com/3000edb9-e33f-42b0-9146-1676031fdb51"
2,"Tutorial",139113,True,False,"","","","1cc22bc9-5afe-44ad-b316-977321b7f3b9","https://image-assets.m.nintendo.com/82822e2e-6794-4193-816c-c5807d9daa18"
3,"Course Clear",5984,False,False,"","","","8651ecda-9b61-4b66-965d-1219cf53fdd0","https://image-assets.m.nintendo.com/5f2f5b0e-a830-421d-b5dc-01a928cf06b9"
4,"Episode 1 Opening",42250,False,False,"","","","92c92f36-5fb4-4705-bdc6-7c09f099d3ba","https://image-assets.m.nintendo.com/b25cdcad-58a9-44e6-a858-c9bb1c5f0835"
5,"Episode 1",101315,True,True,"Toad","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","198783ac-bdae-499e-a3f5-fe4ecdac216d","https://image-assets.m.nintendo.com/3238cef3-4d57-48d3-b3c1-7eb45dc3702f"
6,"Plucky Pass Beginnings",177596,True,True,"Niveles","De paseo|Nuevas aventuras|Primavera","Destacados de Nintendo Music","1e8927c8-8f75-4d82-9e66-7bf21e977870","https://image-assets.m.nintendo.com/220774e6-9f5f-4f34-9aaf-2b3a6b989c0e"
7,"Complete!",3959,False,False,"","","","0ffdf029-e61d-49e2-accf-a8a5d4bb6326","https://image-assets.m.nintendo.com/04a7c227-209a-4ef7-a81b-7ca7b9acac17"
8,"Walleye Tumble Temple",135086,True,True,"Niveles","","Destacados de Nintendo Music","922895dd-9b92-4dcc-9725-2adba9d5a5e1","https://image-assets.m.nintendo.com/02f7e4ed-9980-48fa-b44e-2f4e793da5af"
9,"Touchstone Trouble",163085,True,True,"Niveles","Buenas noches","Destacados de Nintendo Music","6a0e61b9-ad49-4ded-bf26-75946ea144f9","https://image-assets.m.nintendo.com/22bcf4a1-9a20-44fd-afdc-4976001d9aca"
10,"Spinwheel Library",164353,True,True,"Niveles","Por la noche","Destacados de Nintendo Music","3bff6909-69bd-410e-b15b-d48738a5a6ca","https://image-assets.m.nintendo.com/d378418d-e00b-4d0b-8337-7c8329db415d"
11,"Mine Cart Tunnel Throwdown",97086,True,False,"Niveles","","","e6c4c1f3-4b15-4dae-b5e3-03cefca8036b","https://image-assets.m.nintendo.com/278cd7c3-d07a-43ee-88e2-6606781edbb4"
12,"Mine Cart Tunnel Throwdown (Mine Cart)",131001,True,True,"Niveles","","Destacados de Nintendo Music","a2437dcc-c9c2-4b14-a519-effcd87f5590","https://image-assets.m.nintendo.com/a544de42-d866-4b45-92b4-c7531d254c9d"
13,"Spinwheel Bullet Bill Base",145516,True,False,"Niveles","","","97036c0d-ddc4-4d0d-8613-c20e29b8f7eb","https://image-assets.m.nintendo.com/5e577fd9-b0c0-4bff-a1d0-9981056bf5df"
14,"The King of Pyropuff Peak",124003,True,True,"Toad","Enemigos temibles","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","059f44f7-a5a1-46be-9058-083e53099b82","https://image-assets.m.nintendo.com/e4210173-957d-4fac-a7ea-a8320f384f0e"
15,"Boss Defeated",67341,True,True,"","¡Victoria!","Destacados de Nintendo Music","e037ece4-3467-4a68-88f5-8cc4e1140cdb","https://image-assets.m.nintendo.com/746503bd-7457-4150-8d45-553ffb33eaba"
16,"The Hunt for the Great Bird's Lair",19801,False,False,"","","","198212c8-0669-47f3-9e0a-e98728520513","https://image-assets.m.nintendo.com/d2745b09-c02a-4558-a4e5-4e2ce1fc4fd1"
17,"Piranha Creeper Cove",173417,True,True,"Niveles|Planta Piraña","","Destacados de Nintendo Music","7ba3f3a1-227d-4f16-8c9e-bf783e62bd23","https://image-assets.m.nintendo.com/98ab3d96-4c5c-40d4-bd8f-26686f71059a"
18,"Briny Bowl Swimming Hole",257171,True,True,"Niveles","Llega el verano","Destacados de Nintendo Music","53253d88-83de-4bc8-8d33-bbb125f5e4f3","https://image-assets.m.nintendo.com/538a10f1-995e-4ea3-af89-32fcbe76b222"
19,"Coins Galore (Entrance)",41263,True,False,"Niveles","","","bdaadf92-a32b-4103-9491-3c35dafd66ad","https://image-assets.m.nintendo.com/4d4146b1-ad27-41c4-8d03-806dff2ebe04"
20,"Coins Galore",164720,True,True,"Niveles","","Destacados de Nintendo Music","2eddb72d-57ed-4a37-a7b8-a96ed1c9096b","https://image-assets.m.nintendo.com/27a22000-8ff6-4669-810e-2ee3333827ac"
21,"Drop-Road Dash",135974,True,False,"Niveles","","","9e09c5cb-1562-4a4b-ba09-c06574081720","https://image-assets.m.nintendo.com/6c20427b-9244-4760-8884-58914990d8a3"
22,"Bizarre Doors of Boo Mansion",103161,True,True,"Boo|Niveles","","Destacados de Nintendo Music","1b1b888f-1fd0-418b-bb22-63f54cd4688e","https://image-assets.m.nintendo.com/34d107a8-f4f5-4c3c-a89b-00df9b4aca78"
23,"Blizzard on the Star Express",164234,True,True,"Niveles","Llega el invierno","Destacados de Nintendo Music","947b97af-c60f-4dd1-9835-bc3c063d6b37","https://image-assets.m.nintendo.com/84853975-670f-4cf2-952c-716b80619786"
24,"Wingo's Watchtower",166224,True,True,"","","Destacados de Nintendo Music","85f147bc-9826-4747-902e-94af702e1f1f","https://image-assets.m.nintendo.com/e52d6bd0-bfa1-4b3a-98e9-d689e3d7caa7"
25,"Showdown with Wingo",110968,True,True,"","","Destacados de Nintendo Music","6be09277-e240-40b4-b9cb-6a57c99c6328","https://image-assets.m.nintendo.com/fda822a5-c757-4237-926f-aa9fee5cb48c"
26,"A Notification!",2895,False,False,"","","","e00246b3-f496-46f8-8350-d4a2d669a32d","https://image-assets.m.nintendo.com/066d76e5-c432-4bea-9710-54440a6e0cc9"
27,"Episode 2 Opening",35522,False,False,"","","","0d97d464-df7e-44a4-8215-e543c78fb889","https://image-assets.m.nintendo.com/d573ce4a-f7b8-4b04-bec9-d021e4c988c6"
28,"Episode 2",99555,True,True,"","De paseo","Destacados de Nintendo Music","d16c1535-696f-4305-a9d1-72d072c463fe","https://image-assets.m.nintendo.com/a69a5bad-2874-478a-8864-7350601c22e1"
29,"Mine Cart Sunset Rundown",67522,True,False,"Niveles","Otoño","","b298979a-065e-4881-ad3a-3fd05991530a","https://image-assets.m.nintendo.com/a17b8ba1-91d9-4ee7-99f0-a1c6b6c6c7ea"
30,"Mine Cart Sunset Rundown (Mine Cart)",135782,True,True,"Niveles","","Destacados de Nintendo Music","aae4601b-ba9d-41aa-8676-8fd6cce09a2c","https://image-assets.m.nintendo.com/3b4ba88f-fb10-4036-adba-fa13c819e508"
31,"Sinister Street Signs",103157,True,False,"Niveles","","","933cf7b2-0303-428c-8967-7d39b5952a42","https://image-assets.m.nintendo.com/2a38af02-5523-433a-8b2d-a86ab4628542"
32,"Spotted!",70526,True,False,"","","","f31174bf-ab46-4208-b2aa-97dae4d54a53","https://image-assets.m.nintendo.com/bfb2709d-d10a-4d53-b32f-b18859e444ec"
33,"Too Bad!",2543,False,False,"","","","ce86d218-bde6-4476-a566-58688d82570b","https://image-assets.m.nintendo.com/6be5db4b-793e-4609-903e-84384cf69983"
34,"Game Over",6371,False,False,"","","","0184dec0-6311-4760-b6d9-84fbc5ed009c","https://image-assets.m.nintendo.com/4ef45641-4c5a-4d68-9ccb-7ef5c4689a07"
35,"Sliding Slab Shuffle",161172,True,True,"Niveles","","Destacados de Nintendo Music","b99c05f6-0442-4bb3-8066-3421531078d5","https://image-assets.m.nintendo.com/878241fb-add5-42d6-84c6-0485ff6c15b7"
36,"Mummy-Me Maze",76604,True,False,"Niveles","","","e62bf56e-4350-4da1-9770-328afddf5ecf","https://image-assets.m.nintendo.com/349e557c-eeef-4aee-8445-d8bb36bed108"
