index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Emblem Engage!",245950,False,True,"","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","2407c386-bbaa-443e-92fc-901c2ebdd0dd","https://image-assets.m.nintendo.com/30cac0fd-0011-4e6a-b2ae-291a4fbcad89"
2,"Emblem Engage! (English)",245982,False,True,"","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","1214d313-b6b2-4f15-8dfc-ec0e6654076c","https://image-assets.m.nintendo.com/44be1508-c84b-47cc-a6f1-91a969a2e4b3"
3,"Engage...",98348,True,True,"","Pantalla del título","Destacados de Nintendo Music","8f48da2e-ac01-483d-9b56-c8d75371db9b","https://image-assets.m.nintendo.com/94dabc48-12f0-4aa4-aa39-93151d335f8f"
4,"Fire Emblem Theme",112731,True,True,"","","Destacados de Nintendo Music","ffcba08c-0cac-4953-8348-c0dda3ae46c2","https://image-assets.m.nintendo.com/d547fb1c-282d-4606-9408-8cb64b5f6f69"
5,"The Dragon's Dream",82511,False,False,"Alear|Marth","","","1993ae9b-edcc-4a07-9811-ec6007645714","https://image-assets.m.nintendo.com/d1e8840f-fbc2-45eb-86e9-802a235fd354"
6,"Weary Confrontation",139561,True,False,"","","","489f62f4-4f29-4cca-9030-9527c122898f","https://image-assets.m.nintendo.com/0fb62c90-03e9-415c-97eb-fe6f00df56dc"
7,"Weary Confrontation (Gloom)",148282,True,False,"Campos de batalla","","","9fbf99e4-6d8b-4a76-9694-4656257dd42f","https://image-assets.m.nintendo.com/db4dbe1d-2da5-40e4-8afe-b1035c6cbbad"
8,"Garden of Light",150762,False,False,"Somniel","Buenas noches","","26d7b278-f08d-4357-a6f8-7b7584dc047e","https://image-assets.m.nintendo.com/718c4aae-b619-4883-b809-9cf41a42febb"
9,"Faraway Holy Land",184827,True,True,"Campos de batalla","Nuevas aventuras","Destacados de Nintendo Music","0ff715aa-ac23-4266-94be-2b25f3bd2011","https://image-assets.m.nintendo.com/f292b767-5c91-4937-9963-b1a3c56ed0d1"
10,"Faraway Holy Land (Flare)",185114,True,False,"Combates","","","f0e93bcc-666c-43d7-b65e-7dbb6291dbf1","https://image-assets.m.nintendo.com/cfa4b9db-692a-4199-8994-1c27416402bb"
11,"Corrupted",62508,True,True,"Campos de batalla","","Destacados de Nintendo Music","c8eb3fe9-31a4-486c-8e6e-6fa9eabff936","https://image-assets.m.nintendo.com/6bd57633-56fa-496a-bbd3-d5b39aa1f22f"
12,"Shine on, Emblem of Beginnings",17211,False,False,"Emblemas|Marth","","","cf3050b0-dad2-4316-844e-5f8db4a30dc5","https://image-assets.m.nintendo.com/125df17d-cd9a-4c51-a146-50027cc88f12"
13,"Engage",204375,True,True,"Alear|Campos de batalla","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","ef0ee43b-e957-4772-afef-b259a3c5000f","https://image-assets.m.nintendo.com/86ad9cb9-71ff-4d55-9072-ade7ee06bd36"
14,"History of Elyos",101187,False,False,"Lumera","","","e14d8422-e0bf-4324-b425-8c72f833266f","https://image-assets.m.nintendo.com/cb9edfa2-32d8-450d-bd23-998569d3bf83"
15,"Holy Land of Lythos",126005,True,True,"Lumera","Buenas noches","Destacados de Nintendo Music","596f19fe-7da3-4bac-97e6-a860aeb1a827","https://image-assets.m.nintendo.com/91ce71fd-78f9-47de-8a12-07c18c9ba6a8"
16,"The Twelve Stars",96683,True,False,"Somniel","","","365e11fd-8072-4dfb-9919-d0bc24d07501","https://image-assets.m.nintendo.com/95bf3f6f-5ae9-457a-9011-d7ce2b9ff716"
17,"Trial of Emblems",119538,True,True,"Campos de batalla|Emblemas|Marth","","Destacados de Nintendo Music","17cf7bfe-7ccc-4483-b738-20b506febe85","https://image-assets.m.nintendo.com/adb29ce2-9719-4451-a7ee-897b3585dd24"
18,"Trial of Emblems (Shine On)",119358,True,False,"Combates|Emblemas|Marth","","","28d8be4d-cde4-473d-b4ff-9734977dd456","https://image-assets.m.nintendo.com/378d25d8-1fe4-45bb-b325-8c9003a81f7a"
19,"Mother and Child Reunited",142177,True,True,"Alear|Lumera","","Destacados de Nintendo Music","750a6677-73c8-432d-a5ae-c80d9f8c05c9","https://image-assets.m.nintendo.com/dc2b66be-d238-4273-8829-073c5afed1b9"
20,"Provide for Us, Emblem of the Holy War",16170,False,False,"Emblemas|Sigurd","","","5d29a374-9419-4ad0-a47e-b3c822431913","https://image-assets.m.nintendo.com/8090f666-85d0-468a-9cfd-41dc02ce5669"
21,"Trial of the Holy War",110087,True,False,"Campos de batalla|Emblemas|Sigurd","","","9b646eca-61df-4065-a254-b11e2802b31a","https://image-assets.m.nintendo.com/a137c2c9-e58c-4a71-ba9f-cf9b74bba007"
22,"Trial of the Holy War (Provide for Us)",109837,True,False,"Combates|Emblemas|Sigurd","","","5f86ed8f-d2b4-435e-8ef4-1eeba15007a4","https://image-assets.m.nintendo.com/938f6737-c304-442e-94a6-60939f82dec5"
23,"A Goddess and Her Puppets",132826,True,False,"Campos de batalla|Lumera","","","1836f066-a3a9-4696-bd1c-5d08d3be9b08","https://image-assets.m.nintendo.com/8fc2eab4-d4ad-4c0d-b79d-111c3094110f"
24,"Memories from Red Days",61326,True,True,"Alear","","Destacados de Nintendo Music","91a2e68b-10cf-465f-b9fc-bd409a02e5f1","https://image-assets.m.nintendo.com/1155b0a7-47d6-41e3-89ae-41c426f286fa"
25,"Faraway, Eternal Holy Land",184824,True,False,"Campos de batalla","","","5579ce1d-b0bf-473a-aa16-48117a65a37e","https://image-assets.m.nintendo.com/11e2a67f-db14-4e2c-85be-3c8bf59ce580"
26,"Faraway, Eternal Holy Land (Flare)",185126,True,False,"Combates","","","45442ea2-a844-47a4-a6f0-aeb3cfd364ee","https://image-assets.m.nintendo.com/964cdb26-814d-4c66-b0c2-6a4dab5a8679"
27,"Surprise Attack",163321,True,False,"","","","ed2cd269-3629-4437-b18a-4caa152a9a07","https://image-assets.m.nintendo.com/cf078a17-2558-49ec-8a6c-b6c051ccf580"
28,"Pinky Promise",234688,True,False,"Alear|Lumera","","","208884f8-a964-4919-b11e-2a71442716a7","https://image-assets.m.nintendo.com/593a9a44-d2bc-46d1-9234-12d0f9fa184d"
29,"Good Morning, Divine One",166283,True,False,"Alear|Somniel","","","35a3b112-d63e-4b7f-bc3f-2fffbc400fa0","https://image-assets.m.nintendo.com/70791c98-8590-4642-8d60-7aeee548365a"
30,"Emblems at the Dinner Table",132102,True,False,"Somniel","Un pequeño respiro","","7c1f9157-6fbe-4cd3-99da-433970e18a40","https://image-assets.m.nintendo.com/a5c9a4b2-ff93-4527-9ed8-b5273a08d500"
31,"Bloom in the Breeze",203955,True,True,"Alfred|Campos de batalla","","Destacados de Nintendo Music","8f3e9815-fde0-4f6c-9ca6-7d4d5a640b40","https://image-assets.m.nintendo.com/700ef956-b4db-4d5a-adcc-a8efcc8f5860"
32,"Bloom in the Breeze (Blossom)",203971,True,False,"Alfred|Combates","","","bc70b292-2370-416a-9cbc-a29f49b46868","https://image-assets.m.nintendo.com/a985c08d-328b-4a43-a9ec-db79267b6d6f"
33,"Firene, Kingdom of Abundance",167009,True,True,"Alfred","Primavera","Destacados de Nintendo Music","3573c5a0-849d-469c-8c7b-477fe3bde9b9","https://image-assets.m.nintendo.com/5065aba5-3682-4387-ac61-f4fb524cb9b3"
34,"The Bountiful Prince",84360,True,False,"Alfred","","","1c089780-7284-4997-bdc4-5963fafb9307","https://image-assets.m.nintendo.com/7622ab56-96d4-4628-a519-73f3b4c109b1"
35,"Crisis",78818,False,False,"","","","9a9421b6-8386-44b3-a164-e21b23880f4d","https://image-assets.m.nintendo.com/de7c3a17-1b9d-4f37-8279-efc0cc9013ff"
36,"Care for Us, Emblem of Echoes",15134,False,False,"Celica|Emblemas","","","848b49cc-9f29-4c78-9752-708c860cb5b7","https://image-assets.m.nintendo.com/0ade6d8b-b322-4db3-841f-6db09c9d5b0a"
37,"Trial of Echoes",122187,True,False,"Campos de batalla|Celica|Emblemas","","","d99c29f2-c79c-4e19-8ff7-e4b2e062e1a3","https://image-assets.m.nintendo.com/80bb330b-8dde-4131-a74f-ff18f404f601"
38,"Trial of Echoes (Care for Us)",122764,True,False,"Celica|Combates|Emblemas","","","1ba0608c-2b88-4cbc-913f-fba4271b053f","https://image-assets.m.nintendo.com/60657766-1867-48ff-9117-9a4c3203d2d5"
39,"A Beacon of Light Awakens",50265,True,True,"Somniel","","Destacados de Nintendo Music","087e523e-158b-44d3-b68a-f00d4abe398a","https://image-assets.m.nintendo.com/662584b7-1f85-44c6-aa2a-6b9cca98b437"
40,"Preparations",97891,True,True,"","","Destacados de Nintendo Music","8075ea15-546c-4373-966e-a8db387a302b","https://image-assets.m.nintendo.com/6d2122a4-eaca-4b81-ad4e-356dc50fbadb"
41,"Spreader of Chaos",55858,True,False,"","","","55985458-a9c1-4705-89da-76b4a7424cb2","https://image-assets.m.nintendo.com/0dbbbee5-e7f4-4e57-a8ed-0b6a8798d8be"
42,"Spreader of Chaos (Frenzy)",92075,True,False,"Combates","","","d79b2451-ee53-47c0-b3a2-3129110414ab","https://image-assets.m.nintendo.com/d200c760-247b-4385-a817-77ca30816e98"
43,"Silver-White Heart",134564,True,True,"Veyle","Un pequeño respiro","Destacados de Nintendo Music","6397c133-26d4-4fd6-bdb1-050de891e541","https://image-assets.m.nintendo.com/525d9c9b-cd28-483a-929d-c13f6e7a4ce3"
