index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Main Theme (Title)",161541,True,True,"","Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music","6e919803-7f91-4128-ae04-145d7dc1bc32","https://image-assets.m.nintendo.com/af9c9149-0ef4-4837-9064-663accb81ddd"
2,"Setting Off",188422,True,True,"","","Destacados de Nintendo Music","c6102b83-42fc-4ff9-af5b-ea042b7271ce","https://image-assets.m.nintendo.com/26cb23c1-2b33-4a1a-98d4-2640fa2f5026"
3,"Dungeon Theme",211770,True,True,"","","Destacados de Nintendo Music","8377edff-be27-4afe-b034-7eb29a2d8cdb","https://image-assets.m.nintendo.com/e8271fa6-f68f-46ed-b1c4-47d12b3d3f28"
4,"Chance Meeting with Sworn Enemies",124189,True,True,"Saturos y Menardi","","Destacados de Nintendo Music","a04c73db-9d65-4a32-8a5e-18b65f486bf7","https://image-assets.m.nintendo.com/8a45e0ef-99e7-4577-b0e0-b620ac19785c"
5,"Defeated...",135081,True,False,"Saturos y Menardi","","","5f60d384-4d41-421a-b10a-15e54422e73d","https://image-assets.m.nintendo.com/994b19b4-405d-414f-acae-62740709d262"
6,"The Passage of Time",16478,False,False,"","","","04d52c6d-5c2a-4aa1-a554-b4b5ca8fa56e","https://image-assets.m.nintendo.com/b92c21d6-b497-41ae-83b4-f1e890ef6785"
7,"Village Theme",184528,True,True,"Vida cotidiana","Un pequeño respiro","Destacados de Nintendo Music","0a5e265b-a492-445e-8359-305a90bb46bd","https://image-assets.m.nintendo.com/69b100ec-bd9d-4f8b-9192-dba297de1877"
8,"Sol Sanctum",152237,True,True,"","","Destacados de Nintendo Music","9d37c205-c0a6-4a16-a1cf-6d33ee4b2c10","https://image-assets.m.nintendo.com/88f471f8-e03b-41bf-bfaa-942afc9c07e9"
9,"Elemental Stars",198421,True,True,"","","Destacados de Nintendo Music|Sugerencias de reproducción en bucle","da57e854-2c3a-4904-91c5-cbdab75de1f2","https://image-assets.m.nintendo.com/820d744e-5ca5-404a-ba0e-9be8af085b19"
10,"Mount Aleph Erupts",215618,True,False,"","","","f69504fb-c510-4483-bb03-c6e254e2b6a4","https://image-assets.m.nintendo.com/771a4d92-c31d-47bc-9fc0-ede56a66fbe2"
11,"A Long Journey",187094,True,True,"","De paseo|Nuevas aventuras","Destacados de Nintendo Music|Selección de Nintendo Music","4855999f-8d54-4a9f-9c21-3d831f71c680","https://image-assets.m.nintendo.com/c2fbd708-846d-4ee8-8252-1423698db44f"
