index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title BGM",7621,False,True,"","","Selección de NES","02c5b2dd-69d2-489e-a5b1-622a5cb17acb","https://image-assets.m.nintendo.com/f4ee0585-3260-4351-af31-b75f802cfa3d"
2,"Test BGM",42803,True,True,"","","","969f6b70-8479-4116-831b-d5d6cca4a524","https://image-assets.m.nintendo.com/0a28bd42-8b1f-4c18-968e-4bca6470bf51"
3,"Direct BGM",4943,False,True,"","","","19ea2e51-ff16-4d35-bf7d-0b6647dfd6eb","https://image-assets.m.nintendo.com/e6822d6c-d228-4f9e-826f-c5b54d4096ea"
4,"Game A Start",3980,False,True,"","","","3bd33c20-1b8d-4802-89ba-ca96138c8472","https://image-assets.m.nintendo.com/4d452429-44d8-4443-b6d8-d215f398fe09"
5,"Game A BGM",162061,True,True,"","","Selección de NES","efb4ccc8-6450-4681-8088-141f255b6e70","https://image-assets.m.nintendo.com/7d206b83-d13b-4b1e-bfcb-96cc17ce073c"
6,"Hurry Up!",32191,True,True,"","","","633dcb73-8259-43b1-b46c-3b48382b03d1","https://image-assets.m.nintendo.com/e52088d4-a519-4f16-8c0f-4838ea7ccb7c"
7,"Game A Clear",3032,False,True,"","","","1e76dbff-19c3-4dad-ad49-2871057b7ebb","https://image-assets.m.nintendo.com/abbace69-41a7-48a2-a3ec-22069a7404cf"
8,"Game B BGM",168450,True,True,"","","Selección de NES","494ea324-350d-4461-8d52-4d3b08ba5e79","https://image-assets.m.nintendo.com/473f8433-e42f-477f-9866-cccc5986234f"
9,"Game B Clear",2419,False,True,"","","","9d7872ae-b0ad-45ea-81d9-1aafbe29fd3a","https://image-assets.m.nintendo.com/1e9cc12c-63bc-4e51-a2bf-a1beed7ad2a9"
10,"Game Over",3326,False,True,"","","","f1993c75-f68d-4a2b-a8a6-007ebe4cedca","https://image-assets.m.nintendo.com/21c511ba-8387-4597-947e-77911acbed61"
