index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",84933,False,True,"","Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","759f2f39-3ecd-4d76-8fd2-5beafa787298","https://image-assets.m.nintendo.com/b97e1df6-36dc-4fd0-86ea-c89490adcb64"
2,"Exhibition Match",113920,False,True,"Desafío de los gimnasios|Lionel","","Destacados de Nintendo Music","8b05319c-b2b3-4d91-a7bf-4333ad2f0e68","https://image-assets.m.nintendo.com/93313c1d-3beb-4b3b-b3a5-2227a08ce9a1"
3,"Postwick",204720,False,True,"Paul|Zonas abiertas","Primavera|Un pequeño respiro","Destacados de Nintendo Music","5734e254-6da4-4a5f-8196-50467f5399e9","https://image-assets.m.nintendo.com/b5c44db1-a19f-4ee5-aa30-72cb371f917d"
4,"Hop’s Theme",155706,False,True,"Paul","","Destacados de Nintendo Music","488abc24-f3d8-45f7-bc54-8b81b251d4d1","https://image-assets.m.nintendo.com/7cf23fe7-3437-44ac-941d-ae8aa61fb8bc"
5,"Route 1",76946,False,True,"Zonas abiertas","De paseo|Nuevas aventuras|Primavera","Destacados de Nintendo Music","6d563b34-0263-47d3-b456-562a80009ae1","https://image-assets.m.nintendo.com/7262d666-b3a2-40ec-9b61-35a435b6fdb3"
6,"Wedgehurst",177306,False,True,"Zonas abiertas","","Destacados de Nintendo Music","1602e2d8-6efa-48e1-99b5-e94090e92364","https://image-assets.m.nintendo.com/238bb00b-280d-47bd-a07a-9c4a087f6806"
7,"Let’s Have a Champion Time!",87400,False,True,"Lionel","","Destacados de Nintendo Music","d22ce1dd-fc1b-4db3-9827-ad91c41f0b80","https://image-assets.m.nintendo.com/fa111616-f435-483e-b024-6ebe8dd6d715"
8,"Time for a Breather",6093,False,False,"","","","32ff3804-24c9-44c7-88da-0497e6c5665f","https://image-assets.m.nintendo.com/a0b53a6a-c39d-4754-8c3b-6d91702e240e"
9,"Battle! (Hop)",198120,False,True,"Combates Pokémon|Paul","","Destacados de Nintendo Music","7f972a69-42be-4ef7-8738-4b6407f121b6","https://image-assets.m.nintendo.com/2a41be9e-0ffa-42d8-8458-bf6504d7c3b0"
10,"Slumbering Weald",243893,False,True,"Zacian/Zamazenta|Zonas abiertas","¡Miedo!","Destacados de Nintendo Music","67eb7952-2e12-43e1-ac7a-c160fcf454ee","https://image-assets.m.nintendo.com/a1875c4b-eb84-48e0-a921-0f8ef1052324"
11,"In the Fog",105293,False,True,"Combates Pokémon|Zacian/Zamazenta","","Destacados de Nintendo Music","4980e488-7297-4483-9155-385f6ab5f34f","https://image-assets.m.nintendo.com/100a8140-2223-47c7-a59f-9475d3c33904"
12,"Pokémon Research Lab",118946,False,True,"","Un pequeño respiro","Destacados de Nintendo Music","290334f2-c018-4b07-b57e-223db7e4aad9","https://image-assets.m.nintendo.com/ba04fd7f-cde9-4ac4-b58c-ca0fc651c156"
13,"Sonia’s Theme",127613,False,True,"","","Destacados de Nintendo Music","a8b2b9d7-d4e5-4121-a162-c4232aacee57","https://image-assets.m.nintendo.com/25e0891f-7b2b-4c82-865c-d800f530e3e6"
14,"Pokémon Center",136906,False,True,"","","Destacados de Nintendo Music","e402f745-d02f-4d60-96fe-3ddf86c62c3d","https://image-assets.m.nintendo.com/b4a80b3a-fd74-4487-92bf-b43cb7045cb0"
15,"Pokémon Healed",4853,False,False,"","","","92c969ec-54b8-4202-9570-1aa17623c821","https://image-assets.m.nintendo.com/9cae127d-c87f-4b15-a9ea-4ae9038ce07a"
