index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Entrancing Prelude",83658,True,True,"","Pantalla del título","Destacados de Nintendo Music","35f20f3c-f2d1-4d57-9978-4206004441c6","https://image-assets.m.nintendo.com/0abd8d3b-37b5-4e9a-a0d8-4298d052d2b1"
2,"Opening",23684,False,True,"","","Destacados de Nintendo Music","98a16dbe-872d-4a32-bc65-48eeb48626ea","https://image-assets.m.nintendo.com/7f35eb62-8781-426b-8747-eb662328c5b4"
3,"Welcome to Sparkle Theater",154126,True,True,"Peach","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","fe3a07a0-7ab8-4393-add7-6cb712cb5770","https://image-assets.m.nintendo.com/e656cd99-f6ae-4c6c-8e2b-6c012fc33b43"
4,"Grape's Arrival",30055,False,True,"Compañía Malaúva","","Destacados de Nintendo Music","1952a9a2-909f-4ba7-9751-8be990cb93fb","https://image-assets.m.nintendo.com/075ef31b-ca16-4c51-98b3-90942d1232d6"
5,"Uneasy Intermission",130641,True,True,"","","Destacados de Nintendo Music","4b78dcf6-16d3-4569-8d18-25107154ebf4","https://image-assets.m.nintendo.com/3cc9a9a0-ad8f-4d0c-bf6a-1cb1b6547381"
6,"Soon the Curtain Will Rise",114961,True,False,"","","","b3207676-3b60-420c-a0a0-c45ec9eef335","https://image-assets.m.nintendo.com/4c968ac5-dbcd-472f-8665-7b289cc3b3de"
7,"Gift",71641,False,True,"","","Destacados de Nintendo Music","cd33d05b-297a-482b-943c-126f43147dc3","https://image-assets.m.nintendo.com/6c0b2cff-e153-4d61-8caa-7f16f81d8cbe"
8,"It's Up to Me",114711,True,True,"","De paseo|Nuevas aventuras","Destacados de Nintendo Music","273d9f70-cb4d-4423-92a8-03de1e735c25","https://image-assets.m.nintendo.com/cdd5b61d-87cd-4a21-9cba-ff17ee3102df"
9,"Princess Transformation",10223,False,True,"Showtime!","","Destacados de Nintendo Music","887978d0-69e2-4eb8-b517-e9b8b2be95ba","https://image-assets.m.nintendo.com/863cfe9c-09ea-4765-b0f9-07486427f45a"
10,"Swordfighter Transformation",13287,False,True,"Showtime!","","Destacados de Nintendo Music","bc9355f0-38b7-4638-be55-9801900664b1","https://image-assets.m.nintendo.com/4b005ab9-9f0f-487d-86ef-5315e5aa3ed7"
11,"The Mysterious Swordfighter",136735,True,True,"Peach","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de Nintendo Switch","614425e9-06bb-408e-8616-275c611eeea3","https://image-assets.m.nintendo.com/da81f5e4-e961-4b0d-b72a-e778ad7d2600"
