index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"\"It's-a Me, Mario!\"",1975,False,True,"","","f42b033b-27c9-4f6a-bbdd-58a91e5c7284","https://image-assets.m.nintendo.com/a6aef74c-5e94-46fd-9044-fc7fb4896bd5"
2,"Title Theme",209388,True,True,"","Pantalla del título","40ed0805-d0bb-493d-b166-c1dee5a6e6c9","https://image-assets.m.nintendo.com/5c1c3834-28c2-4079-b6b3-851b7a48e7ed"
3,"File Select",42046,True,True,"","","8588b676-9881-40f8-9354-5a3a470dd657","https://image-assets.m.nintendo.com/5dace038-0e27-48e4-b473-cc80f45b4bbd"
4,"Peach's Letter",6382,False,False,"Peach","","cb71d3fd-0b3b-447d-a683-1330be2578fe","https://image-assets.m.nintendo.com/72e46fe3-50ab-499c-9c27-957bc3294465"
5,"Opening",32201,False,True,"","","76d27ff0-da46-4644-9c8c-51149d031a69","https://image-assets.m.nintendo.com/9f50b43e-0fc9-4693-be9c-6acc6e58e135"
6,"Bowser's Message",3659,False,False,"Bowser","","bd74aebc-edba-4207-a4ed-23d8e22deba6","https://image-assets.m.nintendo.com/683b2438-b588-4d21-a78a-dd3425566004"
7,"Peach's Castle",117980,True,True,"Peach","","217026ac-84a4-4d83-940c-62d2e4350983","https://image-assets.m.nintendo.com/d2d61fbe-f2d7-4dbc-8993-8afead0383f3"
8,"Toad's Message",3520,False,False,"Toad","","a9ac6953-9d74-43cb-8eac-7299e6126f9f","https://image-assets.m.nintendo.com/13d52736-34e3-4dca-92f2-306dbcacc241"
9,"Game Start",2425,False,False,"","","d8cdcf8c-a067-4d7e-846c-24ab5df9dadd","https://image-assets.m.nintendo.com/37fa2bc9-2e87-423d-81fd-8f8228383895"
10,"Main Theme",140138,True,True,"","Nuevas aventuras","73d1d03b-475e-41a7-9602-57d3c7d5ff88","https://image-assets.m.nintendo.com/cebcd027-51cf-4e84-8aab-784aee14d20b"
11,"Stage Boss",79085,True,True,"","Enemigos temibles","ea7a676e-252d-4356-a94e-1dc247519d7b","https://image-assets.m.nintendo.com/7d850f50-0928-4291-854c-ac832c81de5b"
12,"Power Star",6111,False,False,"","","234ed1d3-6734-453e-9fc3-06457c05d138","https://image-assets.m.nintendo.com/7f5f76da-eada-41c1-b5bc-1426380385f5"
13,"Course Clear",4253,False,False,"","","43655154-a42b-4cfe-b5d3-0ce9a7615663","https://image-assets.m.nintendo.com/283f89a3-66c7-462c-814f-a73781d9a0eb"
14,"Star Catch Fanfare",2898,False,False,"","","6f01eade-3169-4c16-b1f9-bef3d757789e","https://image-assets.m.nintendo.com/61aa4819-5589-4313-8ca2-b9fbcc387e9b"
15,"Race Fanfare",3432,False,False,"Koopa","","dad90066-bf69-4d91-bae2-b28dcb025b69","https://image-assets.m.nintendo.com/c0681d10-4e05-4289-977d-b4d7fcb0a90b"
16,"Slider",167332,True,True,"","","7e1af7a5-cca1-4f71-85cf-08d7da1a356f","https://image-assets.m.nintendo.com/1ec9622c-9110-4581-a7f3-8a82a0efbfbe"
