index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",80251,True,True,"","Pantalla del título","Destacados de Nintendo Music","ed6d1a78-ed21-4f48-88df-860ec53cc1c2","https://image-assets.m.nintendo.com/b45b0c1f-0036-4ead-8958-9145bfc5e497"
2,"The Skies above Peach's Castle",81218,False,False,"Bowser","","","4b0a8665-b525-4464-befd-a0e01ba9474b","https://image-assets.m.nintendo.com/137ee37f-6bdb-489a-ae2d-106a7bc917fe"
3,"Meeting Cappy",81070,False,False,"Cappy","","","3e86cc39-9e09-4878-9da9-998a6b63861f","https://image-assets.m.nintendo.com/5c365c34-63d2-4862-ba90-d1e2a640b75e"
4,"Bonneton",161325,True,True,"Cappy|Reinos","¡Miedo!","Destacados de Nintendo Music","8de440a1-2901-4ea0-8cc1-fdae0cef1290","https://image-assets.m.nintendo.com/3898f1cb-905d-4ce3-a49e-cc5f0fbb67a0"
5,"Top-Hat Tower",128966,True,False,"Reinos","","","87faf014-2460-4f12-9c18-a117e77bbbce","https://image-assets.m.nintendo.com/8f83d202-6bda-42b2-ae8b-cbb80b8451dd"
6,"Capturing a Frog",4698,False,False,"Cappy","","","c14cbef9-023e-4857-8803-37c69ff00064","https://image-assets.m.nintendo.com/565627c5-3a0c-4306-8cff-a1dfc511949c"
7,"Here Come the Broodals",43713,False,False,"","","","3ad94701-ac08-4434-9345-46c7e594a26f","https://image-assets.m.nintendo.com/e16d034e-0d4c-40ad-9c0b-f7f9c6a57c86"
8,"Dey Call Us da Broodals!",3716,False,False,"","","","1dc6587a-dfc1-4a19-bba4-0c30acffe5c9","https://image-assets.m.nintendo.com/f362d014-b071-424b-9df6-abe9c8d40521"
9,"Battling the Broodals",116386,True,True,"Combates contra jefes","Enemigos temibles","Destacados de Nintendo Music","08157ae4-43ca-4e87-9671-2bd51c44c076","https://image-assets.m.nintendo.com/e0bec9e4-cd47-4569-82e0-c8b6a64effb2"
10,"The Odyssey Begins",12360,False,False,"Cappy","","","3a1bfcb1-e313-4752-a52a-cadd89630749","https://image-assets.m.nintendo.com/553b2881-eb53-4802-8099-eff7e7818625"
11,"Fossil Falls",246974,True,True,"Reinos","De paseo|Nuevas aventuras|¡Con fuerza!","Destacados de Nintendo Music|Selección de Mario|Selección de Nintendo Music|Selección de Nintendo Switch","bd48e2d6-6161-4752-ab3d-d040c89b3bfc","https://image-assets.m.nintendo.com/31c00d77-5d5b-438c-b6a4-2bee81c1e67a"
