index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title BGM",95578,True,True,"","Pantalla del título","Destacados de Nintendo Music|Selección de Mario|Selección de Nintendo Music","80c04bd9-1285-4902-87d1-e8587045b920","https://image-assets.m.nintendo.com/266f0834-2703-4a21-bc9b-daefc322a64e"
2,"Yoshi's Island (Map Screen)",35452,True,True,"País de los Dinosaurios|Yoshi","","Destacados de Nintendo Music","05c1a0e2-acb3-4de5-a00e-f1e790d87239","https://image-assets.m.nintendo.com/d5ecb575-d176-4efb-a9bd-503479dd021c"
3,"Ground BGM",99285,True,True,"Niveles","De paseo|Nuevas aventuras|¡Con fuerza!","Destacados de Nintendo Music|Selección de Mario|Selección de Nintendo Music|Sugerencias de reproducción en bucle","560c86d4-baf6-4bcd-894c-b4e200c814e8","https://image-assets.m.nintendo.com/ba6600d2-f158-4ef9-819b-187a09f6707c"
4,"\"Hurry Up!\"",2055,False,False,"","","","0bf6b67a-43d9-46fb-83c2-c9a2456c5569","https://image-assets.m.nintendo.com/14dd0005-4383-4b00-9133-26386adca133"
5,"\"Hurry Up!\" Ground BGM",86379,True,False,"Niveles","","","c2b91d27-1acb-47a2-8e45-932e2d6b8749","https://image-assets.m.nintendo.com/cb64dacb-47f1-4619-9224-43a71f53dc85"
6,"Yoshi Ground BGM",99339,True,False,"Niveles|Yoshi","","","08fa800a-9927-4c11-b4b9-464b0f7054ce","https://image-assets.m.nintendo.com/af8d068c-8d13-43f5-b5b0-a72ad7276ba4"
7,"\"Hurry Up!\" Yoshi Ground BGM",86374,True,False,"Niveles","","","db824332-fd77-49c8-9041-31a66113dc43","https://image-assets.m.nintendo.com/afc0fb9f-3522-4057-8efd-6dab72c9bf0f"
8,"P Switch BGM",36158,True,False,"","","","6990d6a3-3bd9-4552-ac07-c4ced2c05f1f","https://image-assets.m.nintendo.com/e3275ce2-2f69-446c-b8bf-53fe4cc3a8f8"
9,"\"Hurry Up!\" P Switch BGM",32500,True,False,"","","","f7516b39-9427-44da-a24e-5e695f19e22e","https://image-assets.m.nintendo.com/cb2135a2-e1e2-45e7-95df-b0343957fef2"
10,"Course Clear",7554,False,True,"","","Destacados de Nintendo Music","393dbdc6-bd2a-4b36-bbdf-82c757c040b2","https://image-assets.m.nintendo.com/a5ceb832-14ec-402b-a49d-edde916488ee"
11,"Donut Plains (Map Screen)",69399,True,True,"País de los Dinosaurios","","Destacados de Nintendo Music","da838779-1f2e-4a6c-a2d1-ac61b77a7b1b","https://image-assets.m.nintendo.com/15bd25ba-ea10-4cba-9971-1cc182c92f22"
12,"Athletic BGM",101424,True,True,"Niveles","En carrera|¡Con fuerza!","Destacados de Nintendo Music|Selección de Mario|Selección de Nintendo Music|Sugerencias de reproducción en bucle","99f1de1b-868f-4f66-8d70-4fb3c1755a26","https://image-assets.m.nintendo.com/0a1f8890-c2c9-43fe-aa94-fcc41cd1c572"
13,"\"Hurry Up!\" Athletic BGM",89908,True,False,"Niveles","","","9e907d96-ff1b-4333-9d45-01e30472a9d9","https://image-assets.m.nintendo.com/88e8f097-b3de-4df9-a371-6a2462d8f386"
14,"Yoshi Athletic BGM",101423,True,False,"Niveles|Yoshi","","","3e95ba78-ac5c-4b95-a7fd-ff6548f6a233","https://image-assets.m.nintendo.com/0e771a4f-6fd0-4ae7-aa7d-025c55180bb0"
15,"\"Hurry Up!\" Yoshi Athletic BGM",89912,True,False,"Niveles","","","aa56f619-3c6d-475a-ac89-9be68d257fe4","https://image-assets.m.nintendo.com/ec0e86cb-97d2-47a7-b885-7bac44deb80e"
16,"Invincibility BGM",28942,True,False,"","","","5e8908ba-8483-46bd-88c7-445e6d4b2be5","https://image-assets.m.nintendo.com/e9218bdd-c3fc-4448-8349-fb3fbe01b676"
17,"\"Hurry Up!\" Invincibility BGM",38659,True,False,"","","","fa3c0db9-0368-41c4-860b-4ae9383c541f","https://image-assets.m.nintendo.com/c453bc59-96c2-48d4-ae35-9a8834d11d75"
18,"Bonus Game BGM",84827,True,True,"","En carrera|¡Con fuerza!","Destacados de Nintendo Music","1f50e0d6-18fd-4f06-abac-6a55b9c9beb7","https://image-assets.m.nintendo.com/5ccef0ab-013b-4568-a18e-b5a281c23b52"
19,"Bonus Game Clear",3101,False,False,"","","","6425c34c-8b29-4545-965b-d8198981217d","https://image-assets.m.nintendo.com/fa3569e8-3c8d-4372-b8af-85d1e4f25981"
20,"Vanilla Dome (Map Screen)",53375,True,True,"País de los Dinosaurios","","Destacados de Nintendo Music","9dd09b28-252e-4efb-b224-d1e5cfc2093a","https://image-assets.m.nintendo.com/6e9178f6-926d-4f23-a395-6ff099c9689a"
21,"Underground BGM",102932,True,True,"Niveles","","Destacados de Nintendo Music","568c59c2-eff8-4ede-8901-ea468c97d78b","https://image-assets.m.nintendo.com/8637ce53-79ac-435f-acda-24c02574effe"
