index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme (The Great Sea)",131493,True,True,"Música del mundo","Nuevas aventuras|Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de la serie The Legend of Zelda","9026f92d-ec0c-4be9-88ef-9db8dafd2114","https://image-assets.m.nintendo.com/2d880675-274c-43e1-a708-933af466118b"
2,"File Selection",67351,True,True,"","","Destacados de Nintendo Music","ab02a702-2453-447b-b7e5-392ee203dcc6","https://image-assets.m.nintendo.com/d10ff652-6095-4147-8a10-f11c88d6f3ad"
3,"Paper-Cutout Theater - Beginning",34045,False,True,"Tetra","","Destacados de Nintendo Music","a71eb36f-de82-4354-b820-d4a639216997","https://image-assets.m.nintendo.com/8b7b6a61-f41f-4e72-8618-173ce8b36b5d"
4,"Paper-Cutout Theater - Meeting",18845,False,True,"Tetra","","Destacados de Nintendo Music","1409f341-5236-4008-884c-42579acb11d6","https://image-assets.m.nintendo.com/d3f9c65e-4e93-49a7-b392-5fe19d2b8bdd"
5,"Paper-Cutout Theater - Princess Zelda",17315,False,True,"Zelda","","Destacados de Nintendo Music","7a8b382f-ba07-49e3-b35e-53dc1240202d","https://image-assets.m.nintendo.com/f10a9955-ae61-4df0-a778-858119cd4f1d"
6,"Paper-Cutout Theater - Demon King's Scheme",35555,False,True,"Ganon/Ganondorf","","Destacados de Nintendo Music","10dd7980-2df0-41de-98db-04b2294f4061","https://image-assets.m.nintendo.com/354be278-f8d2-4a0d-b669-82d0b1e096f6"
7,"Paper-Cutout Theater - The Boy Who Became a Hero",34007,False,True,"","","Destacados de Nintendo Music","0117c515-5074-407e-83c0-6dbe316a326f","https://image-assets.m.nintendo.com/a71d9236-85be-4097-ac00-75eda191ff8f"
8,"Paper-Cutout Theater - Departure",20735,False,True,"Tetra","","Destacados de Nintendo Music","20d01453-a43e-4767-846e-2fb34b1ddd06","https://image-assets.m.nintendo.com/0d8abfb4-9f0a-4ca0-98a8-e15521adef2a"
9,"The Pirate Ship",178433,True,True,"Gentes del océano|Tetra","","Destacados de Nintendo Music","8487484a-ffc0-4806-b83b-d20629726eb9","https://image-assets.m.nintendo.com/e112e2ea-4a7f-47b4-9b48-60414b262d5c"
10,"The Ghost Ship Appears",104041,False,True,"","¡Miedo!","Destacados de Nintendo Music","fdd9d253-e940-482c-a2fe-b44f4222c893","https://image-assets.m.nintendo.com/196ead7b-924c-4143-9cda-6e6f073257af"
11,"Tetra's Call",63987,True,True,"Tetra","","Destacados de Nintendo Music","98d7099d-f580-464f-934b-59097713a660","https://image-assets.m.nintendo.com/8c49a984-9d18-42d5-8d4a-79613656b434"
12,"South Mercay Island",101630,True,True,"Música del mundo","Un pequeño respiro","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de la serie The Legend of Zelda","4bb5e75a-4dcb-40e9-bf7a-13001a768bab","https://image-assets.m.nintendo.com/e5cd20f4-4865-4915-b6c2-054a361744ad"
13,"House Theme",97414,True,True,"Gentes del océano","","Destacados de Nintendo Music","140fe2a1-b697-4a80-879c-a6f794647f44","https://image-assets.m.nintendo.com/81676194-06be-4bb2-8c50-00c644e47788"
14,"Oshus's Theme",134115,True,True,"Gentes del océano","","Destacados de Nintendo Music","726adea1-0383-4e48-874a-2385aeba24ab","https://image-assets.m.nintendo.com/86de5312-2450-4ae9-b73d-dc2a3279f935"
15,"Oshus's Sword Training",108416,False,True,"Combates","","Destacados de Nintendo Music","47c590c8-9e59-4bc3-a3b6-7c43229225ff","https://image-assets.m.nintendo.com/adc2bfa5-6163-471c-a7b3-2cdcee5968dd"
16,"Item Acquired",2031,False,False,"","","","aa5094d7-cdad-4b6a-92c2-3ebfeac80759","https://image-assets.m.nintendo.com/644b1f25-fbd3-48c9-9b37-5fb9191b883c"
17,"Cavern Interior",55095,True,True,"","","Destacados de Nintendo Music","a7ab30ed-0b22-4edd-9b57-0ec98cd59ae6","https://image-assets.m.nintendo.com/81129ed8-f58d-442d-a95c-67a2550cacda"
18,"Linebeck's Theme",85551,True,True,"Gentes del océano|Linebeck","","Destacados de Nintendo Music|Selección de Nintendo Music|Selección de la serie The Legend of Zelda","5fb02110-c16b-49c5-88d9-aee7bea558ff","https://image-assets.m.nintendo.com/93992edd-4972-41e5-902d-ddcf1bd0bdf6"
19,"Item Acquired (Dizzy)",2667,False,False,"","","","4fc401ce-ab65-4eff-8e25-c3cd0ffc932e","https://image-assets.m.nintendo.com/29741565-4ccf-4c69-86fc-4175275c4cec"
20,"Fortune-Teller's House",170584,True,True,"Gentes del océano","","Destacados de Nintendo Music","21e5ca1d-40f3-4a95-aecf-e15f83fa941e","https://image-assets.m.nintendo.com/662d55c2-7d79-46d2-9321-9646f82cfc50"
21,"Phantom Hourglass Acquired",4691,False,True,"","","Destacados de Nintendo Music","dbd1fa2a-8b15-4af1-aadc-246cf8b8b02e","https://image-assets.m.nintendo.com/47d72de4-018c-45aa-925d-0c8ee25e8fc3"
