index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Disc Startup Screen (Wii Sports Resort)",5685,False,True,"Isla Wuhu","","Destacados de Nintendo Music","5487be4b-5e3a-41b9-8adf-e21528abafd4","https://image-assets.m.nintendo.com/9654406c-0bf3-45c9-8128-2c37b00d684a"
2,"Opening Theme",37637,False,True,"Isla Wuhu","","Destacados de Nintendo Music","4bd25459-a4e0-4040-9b54-e1804c4ce28e","https://image-assets.m.nintendo.com/7b790521-47fa-4105-b52f-525daba0984f"
3,"Title Theme",181530,True,True,"Isla Wuhu","Llega el verano|Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music","0ee3cfd9-71dc-43ff-ba62-d436f3bcba66","https://image-assets.m.nintendo.com/edb2c016-f7b7-4acb-acaa-c31b68df494a"
4,"Settings Screen",170885,True,True,"","De paseo","Destacados de Nintendo Music","c9d60549-0d6c-43a8-9ed4-f3e9af940870","https://image-assets.m.nintendo.com/75b6e620-e59d-4485-858a-955a3b059aff"
5,"Mii Settings",74178,True,True,"","","Destacados de Nintendo Music|Selección de Nintendo Music","67a67fd0-7865-4e23-a79f-441aeb4e64aa","https://image-assets.m.nintendo.com/4c88d81c-f1bc-4fad-9647-6dd474ff7d70"
6,"Practice",54677,True,True,"","","Destacados de Nintendo Music","ea36d14b-9519-425c-88b8-20fb83ac8ce0","https://image-assets.m.nintendo.com/e83a0541-c3ae-42b1-a24d-e5df93ad4bba"
7,"Swordplay: Vs. Screen",33045,True,True,"","","Destacados de Nintendo Music","58c844f2-4439-4750-bdfa-5258e938072e","https://image-assets.m.nintendo.com/1f47878b-93ea-413c-a3c0-622c704593f7"
8,"Swordplay: Vs. Screen (Champion)",49314,True,False,"","","","74071ad6-4191-45b0-8366-b5664b76659f","https://image-assets.m.nintendo.com/a8be24ab-5b60-43ac-8a01-368c25e200c0"
9,"Swordplay: Round Display",2241,False,False,"","","","c862914c-89e9-45e6-a028-2e2ad19fc678","https://image-assets.m.nintendo.com/4392b2ff-0224-4e02-a8e2-a2c6b3a79b09"
10,"Swordplay: During a Match",28815,True,False,"Isla Wuhu","","","ecba85e6-d90e-45bf-acde-c8db56e41375","https://image-assets.m.nintendo.com/12ac13d3-e3e6-4091-9cbb-5cf5fe56a557"
11,"Swordplay: On the Edge",28802,True,False,"","","","12ac8077-bcac-4346-a9ac-ccc73ea318c0","https://image-assets.m.nintendo.com/25c97ec5-078a-4d15-b7ec-1fe45074915d"
12,"Swordplay: Point",4061,False,False,"","","","008d26c8-d107-4030-a85e-ff7507073066","https://image-assets.m.nintendo.com/c664552d-2fff-49fc-9e48-b14e3b07d612"
13,"Swordplay: Replay (Victory)",9845,False,False,"","","","3a4961f5-80d3-4908-917e-664db98e706e","https://image-assets.m.nintendo.com/a1f9aa23-1395-47f8-a216-d7a3e4849a86"
14,"Swordplay: Replay (Defeat)",9845,False,False,"","","","9676a67b-b612-4393-9545-c318414d507f","https://image-assets.m.nintendo.com/815cf537-8ef6-4834-8abe-b5a559962595"
15,"Swordplay: Final Round",4485,False,False,"","","","ae821126-83c6-4b75-b8b1-26497c65db3d","https://image-assets.m.nintendo.com/06ae90c7-24c1-44d1-8a0b-5d2322a56a76"
16,"Swordplay: Victory",61190,True,True,"","¡Victoria!","Destacados de Nintendo Music","0b2c9d99-f7d6-42d7-a86a-02df9599d240","https://image-assets.m.nintendo.com/c8f9cbd5-4def-443c-820f-fd4492d2a436"
17,"Swordplay: Defeat",67087,True,False,"","","","bb5dc5ba-ecf1-4cae-9b9d-4d663a5ea2c5","https://image-assets.m.nintendo.com/5e96a3bf-b923-44b3-a459-637e4f05ccd6"
18,"Swordplay: Tie Game",67086,True,False,"","","","0517f8c4-feda-45f8-83e9-a0b75f2f53aa","https://image-assets.m.nintendo.com/03ea1b8f-5c2e-4ec4-8d86-4a3fa183f684"
19,"Swordplay (Speed Slice): During a Match",28809,True,True,"","","Destacados de Nintendo Music","2e10ec6d-0bc1-4a62-b5c1-5e12b10a15d0","https://image-assets.m.nintendo.com/30dcb51b-5990-4fdb-8f9c-77fffeddb9f0"
20,"Stage Select",74179,True,True,"","","Destacados de Nintendo Music","cc26d958-799b-4ba9-a342-698e6ac9fe0c","https://image-assets.m.nintendo.com/70dc8a74-baff-4860-b757-4083aa406c02"
21,"Swordplay (Showdown): During a Battle",73261,True,True,"Isla Wuhu","","Destacados de Nintendo Music","5176ddf1-743f-4fd2-a4e7-2de5927d8269","https://image-assets.m.nintendo.com/f6deaa42-cf7c-46be-a4e9-9270e7b28da4"
22,"Swordplay (Speed Slice / Showdown): Victory",59260,True,True,"","¡Victoria!","Destacados de Nintendo Music","00b99b8d-ec12-4e38-a8f5-70a0680e30c5","https://image-assets.m.nintendo.com/35841c1c-5ac8-4952-81ab-4d0c51b42ad7"
23,"Wakeboarding: Opening Theme",95317,True,True,"Isla Wuhu","Llega el verano","Destacados de Nintendo Music","27e0a4dc-8e18-44af-873d-6b5c4b71f174","https://image-assets.m.nintendo.com/40d32ca4-3160-4cb2-9645-c6530e207522"
24,"Wakeboarding: Player Change",85082,True,False,"","","","3e018e26-de31-480f-95ae-af9a9d321645","https://image-assets.m.nintendo.com/17adc3bd-6292-4825-8a6e-4a9cbe9184f4"
25,"Wakeboarding: Results",66068,True,True,"","","Destacados de Nintendo Music","08755417-1463-469c-a36a-5dad5046f530","https://image-assets.m.nintendo.com/12a84317-cd79-41be-9380-d2c681a5ac8c"
26,"Frisbee® Dog: Opening Theme",94102,True,True,"Isla Wuhu","","Destacados de Nintendo Music","1555c26f-1f45-4be8-ab8a-d75f7ea2536b","https://image-assets.m.nintendo.com/07b2649f-c91c-48ac-a77f-6c597cabdcb5"
27,"Frisbee® Dog: Player Change",32818,True,False,"","","","a07a946a-538a-48e5-a317-2a0e520b7867","https://image-assets.m.nintendo.com/81e6c737-ecc1-4db5-ad1c-587a44b39bca"
