index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Nintendo!",1452,False,True,"","","Destacados de Nintendo Music","4864ec77-757c-477f-9c9a-9c418e2b8a9e","https://image-assets.m.nintendo.com/d437979d-fbce-4a29-8523-a886613a6ddc"
2,"Yoshi's Story!",72337,True,True,"Yoshi","Pantalla del título","Destacados de Nintendo Music|Selección de Nintendo Music","9edce687-70e2-4813-8b27-a060c258dbd1","https://image-assets.m.nintendo.com/1d78b40d-f8d8-4d52-bda2-b264bc90e9ee"
3,"Yoshi's Song",168200,True,True,"Niveles|Yoshi","De paseo|Nuevas aventuras","Destacados de Nintendo Music|Selección de Nintendo Music","1b40b971-e6d2-4106-9ed8-eadeb97f3b3f","https://image-assets.m.nintendo.com/92f6a81e-5644-4f4d-849f-7ce62be643a6"
4,"Yoshis on the Beach",171031,True,True,"Niveles","Llega el verano","Destacados de Nintendo Music","ddbfcdb5-2574-446d-817b-4e6797be5b08","https://image-assets.m.nintendo.com/e37acbfa-a7b8-40c6-ba97-7d70f81ab81f"
5,"Yoshi Curry",203247,True,True,"Niveles","","Destacados de Nintendo Music","e73e3e93-a945-4cec-b3fb-61dfa979e66b","https://image-assets.m.nintendo.com/2e9501d0-5a3b-415e-951f-cf54741e6a2c"
6,"Yo-Yo-Yoshi!",151480,True,True,"Niveles","","Destacados de Nintendo Music","44600272-b2ea-41c8-bd85-c55d77bf331a","https://image-assets.m.nintendo.com/6de308f2-8ffe-4f5c-ae49-e55a0fb5c2cb"
7,"Yoshis and the Wind",132220,True,True,"Niveles","","Destacados de Nintendo Music","f0a6f7ea-1b90-4317-a3b9-8a406370c3dc","https://image-assets.m.nintendo.com/d8864d0a-2f4b-4805-9d73-d3cf44bf39e0"
8,"Steal into the Tall Tower",124428,True,False,"Niveles","","","da4dee6c-c97f-440e-b50a-bf9617648875","https://image-assets.m.nintendo.com/dca4d6d7-e41a-47cc-96a9-c4c80dd6a725"
9,"Alpine Yoshi Music",142185,True,True,"Niveles","Llega el invierno","Destacados de Nintendo Music","f52d39cb-d7ab-49fc-a2ee-cf814a7036dd","https://image-assets.m.nintendo.com/20b3ddb7-4ba7-4da0-b1fe-b145d963600f"
10,"Play It Again, Yoshi",201201,True,True,"Niveles","","Destacados de Nintendo Music","0d8e3ed2-e3da-46d5-b127-b0b1ac46c56b","https://image-assets.m.nintendo.com/64f87c93-f232-4318-8335-a939e8da72a0"
11,"Jungle Yoshi Jam",132954,True,True,"Niveles","","Destacados de Nintendo Music","973a0cee-ca77-4e82-8d7d-58ae002aadd0","https://image-assets.m.nintendo.com/bf40e455-993b-4cd9-b67a-27a324e88171"
12,"Yoshis in the Seabed",124560,True,True,"Niveles","","Destacados de Nintendo Music","95d578ed-c370-44ff-9aca-e5254394d2af","https://image-assets.m.nintendo.com/f99afbfa-4093-43f3-976c-5a4b569f2ce0"
13,"Yoshi Games",121896,True,True,"Niveles","","Destacados de Nintendo Music","7405971c-7a69-4c16-901a-0760f19f11bb","https://image-assets.m.nintendo.com/7028d642-41da-43f6-b01a-42e358854ac4"
14,"The Toughies",51231,True,True,"Niveles","","Destacados de Nintendo Music","68664ce5-6dbe-48ac-8560-8e494cf645d9","https://image-assets.m.nintendo.com/8c75e684-3358-4075-b57b-1cbc5850320e"
15,"Dub Master Spider",39375,True,False,"Niveles","","","bb439f90-5cf2-4e7c-b240-14f2662a6b28","https://image-assets.m.nintendo.com/2b5fc8c2-cefa-47fc-9559-60b076c4d93f"
16,"The Story Begins",4470,False,False,"","","","d53566ce-1af7-4c9c-8896-cc11c4aa5211","https://image-assets.m.nintendo.com/e1579193-48c3-4283-9f38-16171da50fb7"
17,"P.1-Beginning",24911,True,True,"","","Destacados de Nintendo Music","51604ac9-ca30-4c5f-9988-0eb44d13fd24","https://image-assets.m.nintendo.com/eb14529b-dd96-4858-9cbb-af53db64a6cf"
18,"P.2-Cavern",28664,True,True,"","","Destacados de Nintendo Music","7afb385c-a3a0-44ba-a61a-ed139d180d18","https://image-assets.m.nintendo.com/18f9a7d6-067f-4ddb-8899-0d1862fc6bd6"
19,"P.3-Summit",29962,True,True,"","","Destacados de Nintendo Music","390bf89b-7c90-47ae-8b3b-119d0480dd5c","https://image-assets.m.nintendo.com/b87c1347-1c6f-475d-a232-220d831c0839"
20,"P.4-Jungle",36629,True,True,"","","Destacados de Nintendo Music","3dfc1c25-2eea-4cbd-a59c-5b22927c4fad","https://image-assets.m.nintendo.com/a4106857-1f82-4791-a9c3-786892fb1f31"
21,"P.5-Ocean",44066,True,True,"","","Destacados de Nintendo Music","9df371bd-cc9e-4a56-9fae-16c6d2a768cb","https://image-assets.m.nintendo.com/740f4d22-3d7d-4c86-be90-768dbc113eed"
22,"P.6-Finale",30606,True,True,"","¡Miedo!","Destacados de Nintendo Music","750443e1-8f00-4be2-aeac-6fdcc1ffafbc","https://image-assets.m.nintendo.com/c33f9990-fa96-4a06-be08-c8cfe144c23d"
23,"30 Fruit!",9312,False,True,"","","Destacados de Nintendo Music","56e34d24-4bd6-4ad2-beb2-1a6c312afe18","https://image-assets.m.nintendo.com/d5c10e55-73de-42af-9f48-7942ef862d14"
