index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Game Startup",119552,False,False,"","","","411c2576-bead-4ceb-901a-9beb570ba298","https://image-assets.m.nintendo.com/a41014af-aae3-47d2-82f6-f7f7379c5e63"
2,"Title Screen",153824,True,True,"","Écrans titre","Sélection Nintendo Music","50e75610-58d1-4583-9f35-9e9fab644742","https://image-assets.m.nintendo.com/59f82bf3-0747-4a35-bd26-ea6a0f9f6eab"
3,"Stage Select",88304,True,True,"","","","71a80e55-f1a8-42f7-a6ca-6cc0a3036e60","https://image-assets.m.nintendo.com/adb3fc61-9761-48f6-b34c-bf6cb1aca90e"
4,"Cosmic",113999,True,True,"","","Sélection Nintendo Music","2e827320-c06f-4056-982b-8c6279ce91fc","https://image-assets.m.nintendo.com/87a24bef-5620-4a3f-a25f-38aaa6b51a12"
5,"Cosmic (Bonus Chance)",45916,True,True,"","","","ab853afd-ba3c-43a3-849e-b4b29875413b","https://image-assets.m.nintendo.com/49a7ffc7-4c17-4834-a558-f550a798d586"
6,"Cosmic (Bumper Clash)",61325,True,True,"","","","f226ff32-3064-4c16-a0d6-bdd5a5ba0fb3","https://image-assets.m.nintendo.com/e67e28bf-96fd-4ed9-b5a0-6984d9ce8ffc"
7,"Cosmic (Shooting Bonus)",69065,True,True,"","","","2e51e5b2-f520-49eb-aa12-c6f2a1cf11d7","https://image-assets.m.nintendo.com/645c2181-0018-41e5-b9a7-f1c7835d73b7"
8,"Bonus Game",146159,True,True,"","","","62c8d2f1-67d3-4ef6-b4e7-6af22eea2097","https://image-assets.m.nintendo.com/3ab490fa-9806-4b1b-a628-aeb266f124d7"
9,"Target-Letter Bonus",7381,False,True,"","","","71b90d9a-5c34-400f-abc3-956f841a18f8","https://image-assets.m.nintendo.com/329f3581-0309-49dc-a67e-338e5e478e01"
10,"Colony",196215,True,True,"","","Sélection Nintendo Music","0ef94880-8da1-4926-8b78-acba29101614","https://image-assets.m.nintendo.com/f1dad3c1-b13e-46d9-9bff-e441d85d836f"
11,"Colony (Shoot Comets)",84455,True,True,"","","","2299aaa5-8862-41b1-bf8b-03b57dc3c48b","https://image-assets.m.nintendo.com/6e22c1f4-71cb-4cfa-b339-1a32285b0653"
12,"Colony (1 Million)",30474,True,True,"","","","7bf245e2-f1bd-4c73-a221-4047b8c6a4d2","https://image-assets.m.nintendo.com/4d10a504-8113-416b-9342-c9f5a0ebff38"
13,"Colony (Target Bonus)",4829,False,True,"","","","c5f3434c-083a-4aac-b52f-9090bbe91e47","https://image-assets.m.nintendo.com/27018e46-edc0-4bc8-91a7-9811e9b09dfb"
14,"Colony (Next Target Formation)",2231,False,True,"","","","70dd624f-a581-4680-af58-2b27b9f5a3fe","https://image-assets.m.nintendo.com/08847ef7-43a5-47ac-ae2f-fda97c9141aa"
15,"Jackpot Chance",76454,True,True,"","","","55c72b8c-02bc-4d57-8005-d178c1fd91d8","https://image-assets.m.nintendo.com/e5942a65-91a7-41c2-84e3-07e4f0380511"
16,"UFO (Flying Bonus)",85399,True,True,"","","","e8974f25-02e1-460c-9f23-8a12c6cce06f","https://image-assets.m.nintendo.com/6e7c9092-2e3f-431c-8f12-39c69cd5ca30"
17,"UFO",107094,True,True,"","","","02e34d7b-5ce6-4ae5-9b88-be32a2cf4b7f","https://image-assets.m.nintendo.com/9b4e5fc8-20ae-4e64-befd-d1371b452a0f"
18,"UFO (Lucky Star)",110504,True,True,"","","","a63c23ad-1962-4dea-b586-90026e881bbc","https://image-assets.m.nintendo.com/2e117db1-22a5-4625-ad10-c0fc8be3c142"
19,"UFO (Jackpot Chance)",138408,True,True,"","","","34139db0-c550-4cdf-a435-9ba67081d222","https://image-assets.m.nintendo.com/41db4715-96fe-420a-9fbf-6bb52d6799ca"
20,"Alien",176943,True,True,"","","","48c50c18-f0aa-4518-9461-a5700a1e6d22","https://image-assets.m.nintendo.com/b8090865-1904-4273-bfea-e9cb6d59d2cd"
21,"Alien (Vs.) 1",35637,True,True,"","","","f1c9b148-712e-4aba-bf10-05386390cbb3","https://image-assets.m.nintendo.com/c7d00ecf-a79d-48e9-a3a7-d2f1c1e221e9"
22,"Alien (Vs.) 2",45916,True,True,"","","","6940ba8e-83cb-4495-846e-8e40f091748d","https://image-assets.m.nintendo.com/2c54f588-f1f5-4728-82ad-3603c753757e"
23,"Alien (Bonus Chance)",32287,True,True,"","","","3995fe1c-f3cd-45aa-a47e-30a7e4e6094d","https://image-assets.m.nintendo.com/2a533e1c-0212-4f1b-883b-691944636b6f"
24,"Alien (Million Chance)",68075,True,True,"","","","a584b88c-e00d-45c2-9abe-1bbd7e3843bc","https://image-assets.m.nintendo.com/331dadef-d243-40c7-855c-3bf556765da2"
25,"Game Over",3782,False,False,"","","","b53bfc56-bc05-4e2c-902f-d4a272997366","https://image-assets.m.nintendo.com/a6900450-59f8-4212-bd6c-5bff6a22e98a"
26,"Name Entry",85899,True,True,"","","","f6f10ca0-f948-4041-993f-17bccf4491df","https://image-assets.m.nintendo.com/3ef527df-0097-4f20-a99c-1bbccd7aac0f"
27,"Top Score",30500,True,True,"","","","4485aae3-97e3-45b2-9279-14292dfb4b81","https://image-assets.m.nintendo.com/d41a69c4-b1fe-4067-b24f-400a2f6f2e4b"
28,"Staff Credits",160397,False,True,"","Crédits","","ead36d06-72e8-46b0-aa91-5112ae856452","https://image-assets.m.nintendo.com/c3f4ce16-482a-40ae-aab7-5e7303f956fb"
