index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Thème principal",87400,False,True,"","Écrans titre","Compilation Nintendo Music|Sélection Nintendo Music|Sélection série Mario","db46c057-82b3-4800-8ffc-d62c3b223e1c","https://image-assets.m.nintendo.com/32069322-f32d-4001-b30d-38ba4b61ca8d"
2,"Thème principal (en boucle)",209873,True,False,"","","","416219c7-e565-4f25-9f4d-c76dae398025","https://image-assets.m.nintendo.com/7bcf7273-ca1c-4e82-9c87-d99cf8dc0b1b"
3,"Thème principal (version longue)",107521,False,False,"","","","704243a8-adf6-4967-9d1c-a63e9a45d78f","https://image-assets.m.nintendo.com/1f599b71-f428-4d08-becd-3f1dc4371c51"
4,"Circuit Mario Bros. (intro)",116451,True,False,"Luigi","","","f0565cba-ec6b-47db-a5c2-c840ec80a828","https://image-assets.m.nintendo.com/00143b20-4b51-4e14-90be-3a253d073fc3"
5,"Circuit Mario Bros.",127564,True,True,"Luigi","","Compilation Nintendo Music|Sélection Nintendo Music|Sélection série Mario","4e074be4-f89e-4266-a2b8-adfb421f60b0","https://image-assets.m.nintendo.com/e157e430-1ea9-49f0-9330-a46dca344bb8"
6,"Trophéopolis (intro)",138697,True,False,"","","","d984eb47-5930-47c6-9185-fe4add478efc","https://image-assets.m.nintendo.com/ddf0551f-49ea-41c9-b9c3-4560e9a2c0fc"
7,"Trophéopolis",127780,True,True,"","Marche à pied","Compilation Nintendo Music","b25a2222-22b9-43c2-95b7-b4d5679822d9","https://image-assets.m.nintendo.com/0fd6341d-0476-450e-b2a6-0606c0b2b778"
8,"Mont Tchou Tchou (intro)",105184,True,False,"","","","205312d8-abc4-4ec6-b7c5-fafd0339ec67","https://image-assets.m.nintendo.com/9e95f036-a0aa-4210-93f9-836f63e12021"
9,"Mont Tchou Tchou",142014,True,True,"","Le plein d'énergie","Compilation Nintendo Music","ce818fdb-b885-482a-a74b-69c292c1baa3","https://image-assets.m.nintendo.com/a76c0810-7b08-467d-8048-7f97f0d17550"
10,"Spatioport DK (intro)",104988,True,False,"","","","733b0329-af1c-4604-9940-f6229981989e","https://image-assets.m.nintendo.com/c3a84328-4f70-4a8e-bb55-bb56d4ce68c8"
11,"Spatioport DK",129639,True,True,"","Le plein d'énergie","Compilation Nintendo Music","244dbe5b-6aab-462e-b36e-cd2c4c2c71ca","https://image-assets.m.nintendo.com/fef9dc13-ca09-46f5-9ae9-3dbbf2beb43f"
12,"Spatioport DK (2e tour)",44119,True,False,"","","","322115da-d8d1-4c14-b49d-3ce8d504b3ec","https://image-assets.m.nintendo.com/946d226d-e9ea-4b7e-89b7-3db2128033fd"
13,"Spatioport DK (3e tour)",59295,True,False,"","","","fef95d04-c51a-4531-ae83-08544f25fc5e","https://image-assets.m.nintendo.com/9eee7182-35b6-45ea-bf0b-e45e73e339e8"
14,"Spatioport DK (4e tour)",59292,True,False,"","","","59af017c-0624-4bd1-8aa4-7707c2eefa2c","https://image-assets.m.nintendo.com/f0b93996-4715-4c1a-b769-712a36b82950"
15,"Spatioport DK (5e tour)",59304,True,False,"","","","c52d7901-f58c-4aca-86cd-99643621c493","https://image-assets.m.nintendo.com/763c907a-cf56-4b86-9715-93bbfab2ed56"
16,"Spatioport DK (dernier tour)",31468,True,True,"","","Compilation Nintendo Music","18b088e7-75dd-4492-b600-9209a281ba1c","https://image-assets.m.nintendo.com/baa933ac-d13f-4b9a-985b-5f343494cccf"
17,"Désert du Soleil (intro)",76095,True,False,"","","","b3d31454-5858-4de6-9021-61a2b354b05a","https://image-assets.m.nintendo.com/ad77f219-2a07-4ab6-b6c4-7a617c916494"
18,"Désert du Soleil",138876,True,True,"","","Compilation Nintendo Music","b61debc6-5aeb-4e35-9880-90ca09b4e386","https://image-assets.m.nintendo.com/469fc47e-ce86-4267-b666-3e3d7f73b7b6"
19,"Souk Maskass (intro)",85877,True,False,"","","","5e7356f6-5dd0-44a0-8e69-c65a3bd8895c","https://image-assets.m.nintendo.com/cfc66ec7-bfee-4c20-a205-e7c82225c87d"
20,"Souk Maskass",143721,True,True,"","","Compilation Nintendo Music","c3944324-c0eb-44db-9a72-909f8c285a82","https://image-assets.m.nintendo.com/ab2418a9-8037-41b4-b0ef-c4f8d8b42ddd"
21,"Stade Wario (intro)",126721,True,False,"Wario","","","d723eb42-36fc-46dd-a5fa-94957d73a673","https://image-assets.m.nintendo.com/cd111abb-5790-4a6f-b610-b1cd2702078e"
22,"Stade Wario",163024,True,True,"Wario","","Compilation Nintendo Music","ee392325-1550-47a5-980b-7a65a86bc677","https://image-assets.m.nintendo.com/2977c675-e896-4d32-8b3d-94b78491f6d3"
23,"Bateau volant (intro)",117723,True,False,"","","","58e7c85b-b4ad-43e9-8a3e-f82a12cd45f0","https://image-assets.m.nintendo.com/f360faf3-724c-4e4d-9566-096d028bb6d9"
24,"Bateau volant",176761,True,True,"","","Compilation Nintendo Music","dff90d3d-8988-441b-a531-4c8632a85c76","https://image-assets.m.nintendo.com/fb44e1c5-4496-47e9-b03c-677b7f17e0b6"
25,"Alpes DK (intro)",78573,True,False,"","","","80e13370-6134-4141-9909-3ea2f5ee0181","https://image-assets.m.nintendo.com/0f73b556-6abe-421b-a363-a2e223fa4b9f"
26,"Alpes DK",132352,True,True,"","Hiver|Marche à pied","Compilation Nintendo Music","f01cbe73-9c4c-4ee2-97d3-5ebf18455bbf","https://image-assets.m.nintendo.com/118f3e8f-efe4-4f8b-99a5-59feded006cd"
27,"Pic de l'observatoire (intro)",106928,True,False,"Harmonie","","","b5fc1e36-e4b7-4a78-afc7-d2ed7ea96827","https://image-assets.m.nintendo.com/13fcf9e2-2a16-48b8-b3f7-9b460608d0a4"
28,"Pic de l'observatoire",119633,True,True,"Harmonie","Hiver","Compilation Nintendo Music","554d3bbc-9453-4937-8164-2fe9de73503a","https://image-assets.m.nintendo.com/7888018b-370d-4fc9-a47b-1c475a2b2568"
29,"Cité Sorbet (intro)",107311,True,False,"","","","f92170c8-d0ab-4bf8-8dc8-3bfcbb4cc8bb","https://image-assets.m.nintendo.com/ee271d2f-8a92-4d2f-8319-9e6193e5cd0d"
30,"Cité Sorbet",138728,True,True,"","Le plein d'énergie","Compilation Nintendo Music","e297f0b7-39ff-473a-8e40-7dba1dee932f","https://image-assets.m.nintendo.com/1e43509d-abe3-4aaa-ad70-bfb27081e2ee"
31,"Galion de Wario (intro)",117829,True,False,"Wario","","","d9d761b8-586e-4989-9a48-c80bb4afc75e","https://image-assets.m.nintendo.com/939a8d88-89ca-4486-8828-93eb393b7f86"
32,"Galion de Wario",138325,True,True,"Wario","Course à pied","Compilation Nintendo Music","5ee0cc47-994e-47bb-ab28-54b719d4bc13","https://image-assets.m.nintendo.com/f222490e-d025-4ec5-814e-e0f017cf6ed8"
33,"Plage Koopa (intro)",79768,True,False,"Koopa Troopa","","","9b8e3e3f-0a5c-4cf7-b696-ee402ba605fa","https://image-assets.m.nintendo.com/306518bf-e754-4605-9b78-3faa27d93684"
34,"Plage Koopa",94029,True,True,"Koopa Troopa","C'est l'été","Compilation Nintendo Music","e1f20544-276b-492d-be1e-143cf3c2349b","https://image-assets.m.nintendo.com/a0c2a973-568f-4857-a708-aece5682a4b1"
35,"Savane sauvage (intro)",65955,True,False,"","","","66a64c40-1ef3-4926-a5be-04c76a107100","https://image-assets.m.nintendo.com/bb21b85b-71f2-4da0-b23d-16494cf6a739"
36,"Savane sauvage",138266,True,True,"","Course à pied","Compilation Nintendo Music","77f9dace-79a8-4073-8b41-1b96f9eb5052","https://image-assets.m.nintendo.com/49000928-e03f-4a4f-9634-ae26d3f6b52e"
37,"Stade Peach (intro)",100645,True,False,"Peach","","","2217b2e2-0015-4213-a83e-f8fa086344d8","https://image-assets.m.nintendo.com/915638c8-5798-4ddc-b779-a9b505951cdf"
38,"Stade Peach",135768,True,True,"Peach","Le plein d'énergie|Printemps","Compilation Nintendo Music","53080cf6-c06b-4413-b0a0-f880d43b725b","https://image-assets.m.nintendo.com/ad75c11e-62ae-4b7b-9712-31b3a4cc06bc"
39,"Plage Peach (intro)",141043,True,False,"Peach","","","fad033db-d4e6-4390-96fa-ba834f4dd08a","https://image-assets.m.nintendo.com/08bf3d60-ffb1-4088-b920-265c693a465a"
40,"Plage Peach",147160,True,True,"Peach","C'est l'été","Compilation Nintendo Music","9b642c83-a21d-455b-95cf-1d8f69e6176c","https://image-assets.m.nintendo.com/755f0ae0-9ee1-4dc8-b4ad-7336fb2d0154"
41,"Cité Fleur-de-sel (intro)",122011,True,False,"","","","3546585c-c003-43d7-a9b9-024dd91c8e61","https://image-assets.m.nintendo.com/5fb9cf93-a918-4f53-bcfd-bef076ec0ea8"
42,"Cité Fleur-de-sel",136237,True,True,"","","Compilation Nintendo Music","1ff40a31-339f-4db4-b8af-2ed267e6ee7e","https://image-assets.m.nintendo.com/e61aea4c-a7a6-4487-ba0d-bfc9dc1b5aae"
43,"Jungle Dino Dino (intro)",127278,True,False,"","","","06427f68-b68c-4347-a878-891b37fa6a6b","https://image-assets.m.nintendo.com/ba36803a-54e5-4afa-a678-5a9041c765cf"
44,"Jungle Dino Dino",141299,True,True,"","","Compilation Nintendo Music","8501ab61-ae83-42aa-94d6-dd3e91311d0d","https://image-assets.m.nintendo.com/48415179-444d-4997-be75-1bf794e027ae"
45,"Bloc ? antique (intro)",121195,True,False,"","","","54550909-8f35-48ed-85c2-4829519c76ad","https://image-assets.m.nintendo.com/3ccf020b-c57e-43dc-9633-a444ee78fe64"
46,"Bloc ? antique",126939,True,True,"","","Compilation Nintendo Music","625e86e9-7e3a-421f-8455-897f8e8b9ce9","https://image-assets.m.nintendo.com/f6fb0d12-9dbb-45a7-aef9-6458b0a0dfdc"
47,"Chutes Cheep Cheep (intro)",118568,True,False,"","","","8f90318d-f0f6-4042-95c9-48103f837baf","https://image-assets.m.nintendo.com/87adf054-befa-4c3f-aa57-9fed6a08129b"
48,"Chutes Cheep Cheep",129033,True,True,"","Automne","Compilation Nintendo Music","60537196-6cbe-40a3-8c6e-3e5d61cf0aff","https://image-assets.m.nintendo.com/2bcf48d6-05da-4ef8-971d-90d496847582"
49,"Gouffre Pissenlit (intro)",126893,True,False,"","","","ecc9632f-5fcd-4722-ad2e-e0c675e8e47f","https://image-assets.m.nintendo.com/4c625c80-08e9-4f9b-a67c-8b3a11eacfd6"
50,"Gouffre Pissenlit",135613,True,True,"","","Compilation Nintendo Music","f887bcc8-67db-4bf5-ab2b-76d1641700e5","https://image-assets.m.nintendo.com/f4091e22-33a7-48af-ad7c-bed7b7756163"
51,"Cinéma Boo (intro)",91731,True,False,"Boo","","","e8cf96fa-d0b4-4f76-85f6-20084093e48d","https://image-assets.m.nintendo.com/56b5f0c6-3f74-4a5c-8e32-7d685c6ee07c"
52,"Cinéma Boo",121133,True,True,"Boo","Chair de poule !","Compilation Nintendo Music","73e15bb4-36c3-4739-ab85-c63bc24151dd","https://image-assets.m.nintendo.com/c8937c0c-6250-48fb-9b88-51e47639293b"
53,"Cinéma Boo (dans l'écran)",121133,True,False,"","Chair de poule !","","52594087-e328-4ea5-820a-a0b977313031","https://image-assets.m.nintendo.com/8b235361-bb98-4919-9787-d240f373c4b2"
54,"Fournaise osseuse (intro)",105145,True,False,"","","","70bab376-a978-4541-b5d7-88675975011b","https://image-assets.m.nintendo.com/d1b13863-b8e7-4558-94f0-767458ce0d5c"
55,"Fournaise osseuse",119107,True,True,"","","Compilation Nintendo Music","48d858ab-a41b-462e-96f2-bb827c8b6d70","https://image-assets.m.nintendo.com/027716ac-c58f-44f7-8e76-7bd6b94e508b"
56,"Prairie Meuh Meuh (intro)",136777,True,False,"","","","24626475-1cee-4e2e-a2c5-efe6f6b0e78d","https://image-assets.m.nintendo.com/1f65c20b-dfd2-4b9c-9ed1-2b0847739f3f"
57,"Prairie Meuh Meuh",135399,True,True,"","","Compilation Nintendo Music","32913cd7-8143-4169-beba-dd3962276218","https://image-assets.m.nintendo.com/9c0c1bcd-13a5-40d5-944d-82a0b13a76f4"
58,"Montagne Choco (intro)",121559,True,False,"","","","759cef17-c030-4888-9fbd-ae8f5208be06","https://image-assets.m.nintendo.com/7d52d604-4fac-4231-835c-fa063ce9e978"
59,"Montagne Choco",195167,True,True,"","Le plein d'énergie","Compilation Nintendo Music","fd72de89-a6dc-456a-8c73-f5dfef717eab","https://image-assets.m.nintendo.com/2c74c6a9-7545-4689-9078-c2bf021e69e8"
60,"Usine Toad (intro)",86062,True,False,"Toad","","","ea1c4c86-00a1-4d9e-bed0-11e3eae6482a","https://image-assets.m.nintendo.com/065e46eb-848c-4bf8-8f06-48bfd0ef7db4"
61,"Usine Toad",157091,True,True,"Toad","","Compilation Nintendo Music","d972fc71-8496-440b-9895-0ff4dbac58d4","https://image-assets.m.nintendo.com/6b95c6d7-c579-4011-800c-f5a45b25ded3"
62,"Château de Bowser (intro)",70811,True,False,"Bowser","","","f82e2ca8-5390-4d7a-8342-91cb4c46ecb5","https://image-assets.m.nintendo.com/784ae922-d845-430a-acd7-68d8b842ad55"
