index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title",104806,True,True,"","Écrans titre","Compilation Nintendo Music|Sélection Nintendo Music|Sélection Nintendo Switch|Sélection série Mario","254cb7a5-eac4-4b92-8381-f21c970a6fc2","https://image-assets.m.nintendo.com/cab1dc13-6426-4fd5-a42b-d5e424852670"
2,"File Select",56109,True,False,"","","","f422d994-d314-4b08-bdcd-a4a1f0b2b922","https://image-assets.m.nintendo.com/97405513-b0d2-4535-bda6-edd7fcb84771"
3,"Prologue",60944,False,False,"","","","6649c054-d45a-430e-b963-e29ffbaa0872","https://image-assets.m.nintendo.com/c5f5ad1e-dc81-408a-8242-ba3d2a7cf1ae"
4,"World: Acorn Plains",56187,True,True,"Mondes","Marche à pied","Compilation Nintendo Music|Sélection Nintendo Music|Sélection Nintendo Switch|Sélection série Mario","e5b5d7eb-7da3-45e7-b4ec-ae538ad26907","https://image-assets.m.nintendo.com/7531415d-129e-48a6-8a0f-537e62c6c839"
5,"Ground Theme",101157,True,True,"Stages","De nouvelles aventures","Compilation Nintendo Music|Sélection Nintendo Music|Sélection Nintendo Switch|Sélection série Mario","1838c1e2-e914-40e3-b58e-cc22bd9c9b1b","https://image-assets.m.nintendo.com/3ac4dc8e-20e5-41c1-a953-172e95e2fa17"
6,"Hurry Up!",2617,False,False,"","","","d0c80813-80b0-4eb2-bd94-5b6a5c391d68","https://image-assets.m.nintendo.com/442a3646-4b75-4aa5-b7b3-76207ef39c27"
7,"Ground Theme (Hurry Up!)",85368,True,False,"Stages","","","6412641d-d22e-4e50-a509-15699af4bf18","https://image-assets.m.nintendo.com/d0f61cb1-604e-4677-b006-0c01980948f0"
8,"Ground Theme (Baby Yoshi)",99539,True,False,"Stages","","","b253e78a-895f-475c-845e-5d525fe9dd36","https://image-assets.m.nintendo.com/6c8c2298-24c1-4c66-be45-805938c3c8b8"
9,"Course Clear",3578,False,False,"","","","e5128122-bdbb-4bd5-a06f-ace1c3ec5652","https://image-assets.m.nintendo.com/d5e74ac8-933c-479b-832c-306c389c73e6"
10,"Underground Theme",133200,True,True,"Stages","","Compilation Nintendo Music","d6de566f-494e-45d8-b582-394185b1a44d","https://image-assets.m.nintendo.com/f909a44f-fa89-4bf5-8e8f-6d95cc972742"
11,"Underground Theme (Hurry Up!)",116155,True,False,"Stages","","","23bd4b4b-04ae-49bf-8bfe-80eb8c9337f3","https://image-assets.m.nintendo.com/d05d7147-691e-49d3-b210-623b101794a7"
12,"Underground Theme (Baby Yoshi)",131233,True,False,"Stages","","","2bc4da33-8c9a-43e3-8ec1-c25655aad85c","https://image-assets.m.nintendo.com/81b252a9-59a5-479e-947c-0118a0e610ec"
13,"Sudden Encounter",94114,True,False,"Combats","Course à pied","","acc81bf2-6f9d-4880-bc28-432305ce4501","https://image-assets.m.nintendo.com/eb2dc087-b54c-4278-8dfd-99285121e56f"
14,"World: Layer-Cake Desert",56282,True,True,"Mondes","","Compilation Nintendo Music","6ea1aec4-770c-40a1-a95b-b5928d8fb316","https://image-assets.m.nintendo.com/e739e2e2-92e0-4a97-9649-087ebb16563c"
15,"Desert Theme",123905,True,True,"Stages","","Compilation Nintendo Music","9a783b94-98d2-41eb-a4fa-994a9ec04935","https://image-assets.m.nintendo.com/38298bb1-c32e-4928-bda5-e913a5ab7c5e"
16,"Desert Theme (Hurry Up!)",114258,True,False,"Stages","","","6c22c705-a56e-49e5-9c9e-20ff388f9eef","https://image-assets.m.nintendo.com/14b85c2e-815f-40bb-b65f-7c16480881c3"
17,"Desert Theme (Baby Yoshi)",121813,True,False,"Stages","","","c04f651a-07dc-4e50-9f8d-a263ae879c21","https://image-assets.m.nintendo.com/fcffb16a-77ff-4528-9bcc-48bfe9910b70"
18,"Toad House Minigame",99928,True,False,"Toad","","","a0c27f51-9e82-42b7-b923-2ef5cce8fe90","https://image-assets.m.nintendo.com/6fc55812-6e11-48bf-a4d3-674b24aed761"
19,"Fortress Theme",114913,True,True,"Stages","","Compilation Nintendo Music","5e97ec44-1d55-40f0-994f-3844860f500b","https://image-assets.m.nintendo.com/47e1d117-46a5-45d0-b562-27ece18a3e50"
20,"Fortress Theme (Hurry Up!)",95460,True,False,"Stages","","","d75c8d22-143a-4154-b10f-c75875d5eb1e","https://image-assets.m.nintendo.com/2c0e5d53-c4fd-480d-9424-a845addd4d95"
21,"Boom Boom Battle",94277,True,True,"Combats","","Compilation Nintendo Music","2bd6718d-32fa-4a7f-975f-535bd7d89e6f","https://image-assets.m.nintendo.com/2d3a3595-3cd2-41bb-bbfb-cd36bf62eb04"
22,"Boom Boom Battle (Hurry Up!)",82666,True,False,"Combats","","","0350bf36-1554-4dbe-9873-98dd8b79e64c","https://image-assets.m.nintendo.com/23f3b6a4-9fff-4c4e-b6d1-a946adbc1dc0"
23,"Boss Clear",4864,False,False,"","Victoire !","","a27b30e4-7b74-4b77-ba7d-f52d3cd0f245","https://image-assets.m.nintendo.com/59177bcb-c476-4f31-b159-3be5045b5ea5"
24,"World: Sparkling Waters",56390,True,True,"Mondes","C'est l'été","Compilation Nintendo Music","b8353b51-1108-4e66-a08d-435230d6b398","https://image-assets.m.nintendo.com/ed85c0fd-f8f1-4433-9d96-3dbc1ae22d05"
25,"Coast Theme",101882,True,True,"Stages","C'est l'été|Marche à pied","Compilation Nintendo Music","dc787871-ef90-433e-97d8-cfb7b2144a4d","https://image-assets.m.nintendo.com/6edf73f6-fe66-46f5-adc2-2c486cab6b0f"
26,"Coast Theme (Hurry Up!)",97789,True,False,"Stages","","","6705f1fa-bc2e-4200-b284-c32c015abd97","https://image-assets.m.nintendo.com/25352ab7-2557-411c-8c44-30382b43736b"
27,"Coast Theme (Baby Yoshi)",99683,True,False,"Stages","","","a979d275-c2b1-4300-bea9-69781b12df16","https://image-assets.m.nintendo.com/1feb6323-f3af-4a3d-bb44-7808d773d1e5"
28,"Underwater Theme",95129,True,True,"Stages","C'est l'été|Petite pause","Compilation Nintendo Music","f56ee882-9ce3-4162-b132-9606aa9e3169","https://image-assets.m.nintendo.com/12fd8b90-43d9-4f2d-816b-b29cc238cad5"
29,"Underwater Theme (Hurry Up!)",86476,True,False,"Stages","","","8a8df46d-0487-4a47-b12a-8e9affad51f6","https://image-assets.m.nintendo.com/0acbd339-0a19-462d-8529-c25d71225dc0"
30,"Underwater Theme (Baby Yoshi)",93244,True,False,"Stages","","","c8e7a8f8-4f48-4a37-935c-bd108500812a","https://image-assets.m.nintendo.com/4a44e4e5-3b50-452f-a6c5-2c7453b01e79"
31,"World: Frosted Glacier",56440,True,True,"Mondes","Hiver","Compilation Nintendo Music","d2f35a8b-98ed-4e6a-841e-c5b58549edf9","https://image-assets.m.nintendo.com/e15a1450-373f-4919-ba80-638c802f4548"
32,"Snowfield Theme",100875,True,True,"Stages","Hiver","Compilation Nintendo Music","437fea50-0100-4db6-b7c0-713ad5384864","https://image-assets.m.nintendo.com/c8595a3f-1bc6-4fc2-830c-4d6ec7e23350"
33,"Snowfield Theme (Hurry Up!)",85034,True,False,"Stages","","","d7fbd635-de46-4bfc-85d2-05c427ff639f","https://image-assets.m.nintendo.com/ecbbf1f1-5230-4b4e-b8de-3c3b3ae980be"
34,"Snowfield Theme (Baby Yoshi)",99513,True,False,"Stages","","","76db8145-ae9c-4e43-94b6-8c9f5a9c7cfe","https://image-assets.m.nintendo.com/2110ba60-2ac3-4e3d-be86-0fad82da00bb"
35,"Castle Theme",153988,True,True,"Stages","","Compilation Nintendo Music","c2716d20-a3d4-41f8-82c8-663ce3428173","https://image-assets.m.nintendo.com/8af9c1f6-ceed-4926-bb39-9c12daf542ab"
36,"Castle Theme (Hurry Up!)",153310,True,False,"Stages","","","6e8ada5a-9ee3-49e8-ac26-9839292c0c40","https://image-assets.m.nintendo.com/455b5831-0cb7-4970-b588-40105af6063f"
37,"Castle Passage",47268,True,False,"Stages","","","3e471aab-7015-411f-a208-e0a601586908","https://image-assets.m.nintendo.com/2672be40-a35c-4ec9-8724-710bfe1a3243"
38,"Castle Passage (Hurry Up!)",40140,True,False,"Stages","","","691e3d0d-e49c-4206-b048-2c581a47e3b1","https://image-assets.m.nintendo.com/3fb7209b-bfcb-4139-ab53-5d7a68a90d77"
39,"Koopaling Battle",151614,True,True,"Combats","","Compilation Nintendo Music","d507935e-513b-41bc-b7a0-2df3cda02a4d","https://image-assets.m.nintendo.com/52591264-c0cf-4522-937d-80e759f24d55"
40,"Koopaling Battle (Hurry Up!)",133895,True,False,"Combats","","","0214a6d9-5933-40d3-89e7-4edd42675675","https://image-assets.m.nintendo.com/9bb10c20-1616-4893-9f37-21a56f4b6737"
41,"Too Bad!",1939,False,False,"","","","37d69e61-c206-416b-8c43-b97582a0f790","https://image-assets.m.nintendo.com/0f2443fe-6e0d-4ebf-8184-ac5e6d92a44c"
42,"Game Over",6316,False,False,"","","","31d043a5-94f3-444d-906d-13520fcbfb31","https://image-assets.m.nintendo.com/152959e2-fe15-4e26-8a68-1bdfc0a50c30"
43,"World: Soda Jungle",56350,True,True,"Mondes","","Compilation Nintendo Music","99eb627a-f0a1-4e9a-ac8c-51a8d1b8a4cd","https://image-assets.m.nintendo.com/d08ea9f3-74e6-445a-ac53-099266c5c59e"
44,"Forest Theme",134509,True,True,"Stages","","Compilation Nintendo Music","e753a978-eb7b-43ea-b6b9-bda363e24f5b","https://image-assets.m.nintendo.com/9cb67b3e-c887-44f6-a0eb-d5cf4ac8b01d"
45,"Forest Theme (Hurry Up!)",112605,True,False,"Stages","","","09c4b1ed-454c-41d5-933d-b7c46b658015","https://image-assets.m.nintendo.com/a9557594-f8f2-422e-8e28-958f6a89506e"
46,"Forest Theme (Baby Yoshi)",132168,True,False,"Stages","","","6555c429-4b3b-4c28-b848-e00cca896685","https://image-assets.m.nintendo.com/2886366b-2502-4a71-b890-bb5495dbe964"
47,"World: Soda Jungle (Ghost House Area)",56342,True,True,"Mondes","Chair de poule !","Compilation Nintendo Music","e50ba845-77fe-408d-aed7-804a5ef4c1fd","https://image-assets.m.nintendo.com/4399167d-576d-4b80-8d10-6e840c4ca706"
48,"Ghost House Theme",129702,True,True,"Boo|Stages","Chair de poule !","Compilation Nintendo Music","87aee81e-1196-4fdb-882d-090d2202c73b","https://image-assets.m.nintendo.com/e7bd3a42-4bff-4214-a325-190d7a41c5eb"
49,"Ghost House Theme (Hurry Up!)",107982,True,False,"Stages","","","c7db6732-dd73-4283-a65d-192282f35cd1","https://image-assets.m.nintendo.com/3ced6a04-fec2-43f9-bbb3-6a652ab8f8aa"
50,"Ghost House Theme (Baby Yoshi)",127714,True,False,"Stages","","","472c7584-c232-40b0-a949-f8c815943201","https://image-assets.m.nintendo.com/718e9a75-cfcc-4ada-9170-bba26ce4e698"
51,"World: Rock-Candy Mines",56297,True,True,"Mondes","","Compilation Nintendo Music","06ecb415-bfee-4b81-9f54-6c996e4d42ec","https://image-assets.m.nintendo.com/804a38be-54bf-4fdb-a895-f6b0b2898527"
