index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Paper Mario: The Thousand-Year Door (Japanese Ver.)",250073,True,True,"","Écrans titre","Compilation Nintendo Music|Sélection Nintendo Music|Sélection série Mario","de5d624a-462b-4b67-850c-26a44177134a","https://image-assets.m.nintendo.com/f653f94d-ea28-4db0-98a6-2d450561f51d"
2,"Paper Mario: The Thousand-Year Door (International Ver.)",259798,True,True,"","Écrans titre","Compilation Nintendo Music|Sélection Nintendo Music|Sélection série Mario","b7540cfb-e920-409a-8667-eb874504a3fe","https://image-assets.m.nintendo.com/6f095903-4b10-4878-bdba-d35830ef3ab7"
3,"An Awfully Long Time Ago...",115192,False,True,"","","Compilation Nintendo Music","dd77e6e6-6c1a-4d76-b5d0-bd56118c1873","https://image-assets.m.nintendo.com/260271b8-aed0-4934-8da4-a8abfde8b283"
4,"Prologue",105418,False,False,"Peach","","","96b9353f-d98d-402a-8972-a3961fe8157b","https://image-assets.m.nintendo.com/0ab15f23-67e4-42ec-b0ec-28ab2dac0a55"
5,"Mario's House",143679,True,False,"Partenaires de papier","","","e2db93c9-e321-43e3-b726-5111799c7bc2","https://image-assets.m.nintendo.com/72bfd4d8-85d9-469b-9199-421608e7d475"
6,"Grand Opening",19702,False,False,"","","","aff311f7-29c8-4ab9-9d79-82a8c3c080e9","https://image-assets.m.nintendo.com/a21e818d-47dc-49bd-b54d-289e92e21c84"
7,"Rogueport",270190,True,True,"Carmina|Goomélie|Monde de papier","","Compilation Nintendo Music|Sélection Nintendo Music|Sélection série Mario","310bfd03-0444-41d8-9802-b26383d17911","https://image-assets.m.nintendo.com/0b20a992-43e2-480e-ac59-ef9ef86b68e1"
8,"Rogueport Underground",149198,True,True,"Monde de papier","","Compilation Nintendo Music","f5d29bab-9338-4d11-a1b2-a8384bdcc5ad","https://image-assets.m.nintendo.com/bc80db99-e2c3-4c5c-b5f6-a02cd373e4b3"
9,"Cutting It Pretty Close!",131781,True,False,"Goomélie|Mégatroupe","","","e8716f86-0375-411c-a788-142408d6d30e","https://image-assets.m.nintendo.com/b3fae85a-5751-4c11-92d7-b925d995b47b"
10,"Professor Frankly",155167,True,True,"Partenaires de papier","","Compilation Nintendo Music","6ddb1a49-2643-45a0-9822-b92dbe354e20","https://image-assets.m.nintendo.com/ce2435a9-4b89-4960-992a-ea9afa449fdc"
