index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",16470,False,True,"","Écrans titre","Compilation Nintendo Music","7c49c5c0-3b90-4d14-ac48-852ad6aa4ad3","https://image-assets.m.nintendo.com/2a194d33-4e7b-4567-a016-39c0887ec223"
2,"The Flight Club",39695,True,True,"","","Compilation Nintendo Music","7293a18e-eb03-48d4-97f1-575c51e81649","https://image-assets.m.nintendo.com/199b3cd5-78c0-4b21-bf78-e51c8dad72c2"
3,"Course Select",43199,True,True,"","","Compilation Nintendo Music","d53f10e4-90be-4f1e-8e78-51360c166f23","https://image-assets.m.nintendo.com/a1d82742-ec35-4a24-aedc-e0fe2ed50e0d"
4,"Light Plane",113532,True,True,"","","Compilation Nintendo Music|Sélection Nintendo Music","3dc60965-31c5-4b92-9c81-a2b12ba2fdb4","https://image-assets.m.nintendo.com/9a2f3073-a7c5-4572-b600-7ec2efad3ee6"
5,"Great Landing",4556,False,True,"","","Compilation Nintendo Music","cfb35240-4bbe-4277-ae76-870692567bca","https://image-assets.m.nintendo.com/e12ef2b2-d75d-4a87-abd5-d45bef372d74"
6,"Flight Results (Great)",60266,True,True,"","","Compilation Nintendo Music","24068474-31b4-428c-8612-36427f231309","https://image-assets.m.nintendo.com/e9a77ff3-eeb2-4337-99ca-435b9bbbdf49"
7,"Skydiving",95639,True,True,"","Petite pause","Compilation Nintendo Music|Sélection Nintendo Music","f7c365ee-fbf0-41e8-ae8c-a4216dab9929","https://image-assets.m.nintendo.com/423504bb-5a8e-4949-ad7d-fb794090cf21"
8,"Rough Landing",3671,False,False,"","","","fc76268e-8903-4e30-8d51-61f6c09ddf06","https://image-assets.m.nintendo.com/94104496-38be-4f4c-89d5-ed7cd631f307"
9,"Flight Results (Rough)",44257,True,False,"","","","73b2af1d-5571-4d7c-86ed-036e96fb3b4e","https://image-assets.m.nintendo.com/e7178c06-a3da-464b-984f-10292f4c1878"
10,"Rocket Belt",109373,True,True,"","","Compilation Nintendo Music|Sélection Nintendo Music","eeeaef8b-64c1-4fa2-a2c2-d67444d92bc2","https://image-assets.m.nintendo.com/a26d4e72-f56e-47db-8847-e7c59d5892f2"
11,"Crash Landing",3802,False,False,"","","","512d13b9-2ef2-4134-aeca-62263fa6690d","https://image-assets.m.nintendo.com/db3dae69-1631-4a74-bf1b-ce1d3bfe2e3a"
12,"Game Over",4908,False,False,"","","","a091ac4d-3d4f-4ab9-8340-614c29b19995","https://image-assets.m.nintendo.com/919e5269-bba9-46c4-b9e0-b85e7f85be5f"
13,"Hang Glider",111381,True,True,"","","Compilation Nintendo Music","b2dffcd3-0018-4dc2-aa70-d4a4d218db60","https://image-assets.m.nintendo.com/030be524-6c74-4c5b-b290-3932659a237e"
14,"Bonus Chance",85680,True,True,"","","Compilation Nintendo Music","078b5a4f-5867-4e22-bb19-0aafde5d810c","https://image-assets.m.nintendo.com/a2c5f256-74bf-4fb9-aa7c-01bd51dda893"
15,"License Acquired",5811,False,True,"","","Compilation Nintendo Music","c8d1d91f-e8e0-47a4-853b-32dd18b6ce8e","https://image-assets.m.nintendo.com/be4ba0e7-c603-4430-a759-cddd106751d0"
16,"Secret Command",59837,True,True,"","","Compilation Nintendo Music","6960157b-d9dc-4ed2-894e-509577afaa03","https://image-assets.m.nintendo.com/85868895-8d5b-4728-9418-b73f2f06ac2a"
17,"Helicopter",216714,True,True,"","","Compilation Nintendo Music","f7e8aa50-5911-498a-8097-e4934f1f637c","https://image-assets.m.nintendo.com/533a133b-a956-43b0-9249-72213620eedb"
18,"Helicopter Landed",6736,False,True,"","","Compilation Nintendo Music","8f287278-ebd8-4b06-b038-d6f37ff44903","https://image-assets.m.nintendo.com/1b24d834-03c4-4604-b67c-2b6a361a6b0c"
19,"Rescue Successful",54465,True,True,"","","Compilation Nintendo Music","d6e5231b-89fb-41c2-9744-dab21b4c9a09","https://image-assets.m.nintendo.com/8afddedf-2d9e-422f-82a9-27bc8f2d8173"
20,"Awarded the Pilot's Wings",9680,False,True,"","","Compilation Nintendo Music","b80185f4-9af6-4a7d-abb9-702bc9ca9496","https://image-assets.m.nintendo.com/0eeebfc9-a52a-4e54-b947-42a98caa465c"
21,"Ending Theme",69338,False,True,"","Crédits","Compilation Nintendo Music","7950de49-a5b5-4e0d-b02b-f8996cf0dce5","https://image-assets.m.nintendo.com/85b339fb-9869-4724-9724-1f5239cf23d8"
