index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",16052,False,True,"","Écrans titre","Compilation Nintendo Music","266c0047-ca61-41f6-9bfc-8c4687275e97","https://image-assets.m.nintendo.com/ba9c612d-1ef2-476c-9b38-89c50ea03fa2"
2,"Opening Scene",123718,True,False,"","","","b95a2474-5c7b-4331-9846-ba3333f896a2","https://image-assets.m.nintendo.com/9d15c055-48dc-4df6-bae4-1706533e3f6e"
3,"Player Select",62818,True,True,"","Petite pause","Compilation Nintendo Music","fad03893-fb53-4f9d-8da7-60ae433f996d","https://image-assets.m.nintendo.com/f94c9879-4361-4fcb-ad6e-574e06791435"
4,"Rainy Night",62616,True,True,"","","Compilation Nintendo Music","fc4ccc48-53ee-4d15-a6d3-67550bdf1f08","https://image-assets.m.nintendo.com/6987aeaf-3097-4fc0-805e-fa98d28b840f"
5,"Hyrule Castle",184049,True,True,"","","Compilation Nintendo Music|Sélection Nintendo Music|Sélection The Legend of Zelda|Sélection « Extension de piste »","46758d75-44a9-47cc-85bb-4dbbfc399b1e","https://image-assets.m.nintendo.com/32894099-353d-4648-9535-eac615cb355d"
6,"Princess Zelda, Rescued",105111,True,True,"Zelda","Petite pause","Compilation Nintendo Music","2720f8d5-ece8-4314-9831-b7fc63353b42","https://image-assets.m.nintendo.com/fa444a4a-1dc4-4dde-8754-45fc30ffa4ed"
7,"Sanctuary",76119,True,True,"","","Compilation Nintendo Music","fa63253f-9964-4e1a-a076-462df08c3da1","https://image-assets.m.nintendo.com/953ce18c-5a83-484b-84e3-1381c5c3cc98"
8,"Light World",92467,True,True,"","De nouvelles aventures|Le plein d'énergie","Compilation Nintendo Music|Sélection Nintendo Music|Sélection The Legend of Zelda|Sélection « Extension de piste »","881d4708-57f0-4bc9-accf-03bfd0cd315f","https://image-assets.m.nintendo.com/5236cf65-7d31-43af-84ae-c71eb01a9fa4"
9,"Kakariko Village",200842,True,True,"","Petite pause","Compilation Nintendo Music","8ebf72cb-0dd1-4bd3-879c-0656d15a4999","https://image-assets.m.nintendo.com/7988e598-c1b8-4dd4-a859-d1378d31f38d"
10,"Kakariko Soldiers",33928,True,False,"","","","30c7dc18-4ec3-4e30-8bcb-7aa306a68d58","https://image-assets.m.nintendo.com/4eccf459-ae54-41e7-8ea4-5391b8431f10"
11,"Minigames",57365,True,False,"","","","25fb9489-78b1-4d9f-a70d-558b20590a5a","https://image-assets.m.nintendo.com/93895ecc-1d94-4294-b9b3-d0f5da6e02fb"
12,"Cave Interior",58399,True,False,"","","","de0326ef-2dce-4e9d-afb9-227a34d9958c","https://image-assets.m.nintendo.com/6b630d80-2623-4bcd-ad9a-d2e30dee1288"
13,"Fortune Teller's House",62722,True,False,"","","","c9954764-e37b-4cb2-bf64-1627ce331c5a","https://image-assets.m.nintendo.com/b4f8ba7d-0e17-49f3-977e-7336ec2a341c"
