index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",36609,False,True,"Wario","Écrans titre","Sélection Nintendo Music","d5fb834a-1d2b-4a23-8e62-5a829ebb345c","https://image-assets.m.nintendo.com/a52151d2-10c0-4e0c-a55f-4a4bc32ba98f"
2,"File Select",26643,True,True,"","","","6558aa36-d204-4454-847a-47b9cc359219","https://image-assets.m.nintendo.com/38ec74f0-61ec-450f-a74a-33435fb08157"
3,"Opening 1",10711,False,True,"","","","0bd0c0ca-4a90-4feb-813e-bc4a444585a0","https://image-assets.m.nintendo.com/0b3a676b-7fad-46df-87f6-89c986a8c05d"
4,"Opening 2",14965,False,True,"","","","6001e5af-c764-4952-84f2-1090d52a45c3","https://image-assets.m.nintendo.com/0e2a3343-284c-40e3-9cdd-66037aeb2f74"
5,"Opening 3",7405,False,True,"","","","a12000cd-db6d-452e-8748-0c880d738218","https://image-assets.m.nintendo.com/cf2b438f-4e6e-446f-bcdb-8b171d8ac77a"
6,"Stage BGM 1",133428,True,True,"Stages|Wario","De nouvelles aventures","Sélection Nintendo Music","9858779c-c6f4-462a-a808-9f3162a17351","https://image-assets.m.nintendo.com/53aa1c74-7349-4051-9c10-5c4af65989bd"
7,"Got a Key 1",3597,False,True,"","","","638671e5-a141-4131-a654-11e362968a43","https://image-assets.m.nintendo.com/83b48844-b5b7-4184-8b69-5a1f252d3048"
8,"Hidden Room BGM 1",280655,True,True,"Stages","","","deddfb54-93e9-4061-b6a3-1173b4ad20ab","https://image-assets.m.nintendo.com/161301ba-097a-4d8b-a4f3-b2f1d36b50dd"
9,"Got Treasure",1586,False,True,"","","","e5ac1a5e-b120-4217-a3b9-c258f575d68e","https://image-assets.m.nintendo.com/682b6737-9e01-43d2-b158-e41aace66f64"
10,"Elevator",46193,True,True,"Wario","","Sélection Nintendo Music","35f6d339-5fc4-429c-bcd4-e93572172e5f","https://image-assets.m.nintendo.com/1dcdf697-35a4-4a81-be40-04735631836f"
11,"Stage BGM 2",146113,True,True,"Stages","","","e29616fd-0adb-48de-b75e-2149d06c4f9d","https://image-assets.m.nintendo.com/a49e53f2-d833-49de-8398-fcf2a03dba2c"
12,"Hidden Room BGM 2",33403,True,True,"Stages","","","c0d928a3-1c33-4e82-a3a8-ae6b50de709f","https://image-assets.m.nintendo.com/5c69c149-8943-4d26-9f49-8c14e37c341c"
13,"Bet Coins!",34356,True,True,"","","","04e1a68b-a83b-43d6-a99c-f37b220ba362","https://image-assets.m.nintendo.com/cc95f951-5af4-4bd7-8f7c-7d6d64ff2bde"
14,"Heart Game",51298,True,True,"","","","8638f603-3637-45b5-b3fc-998e815b5bfc","https://image-assets.m.nintendo.com/4e45dcf3-b2ca-4fd7-abc6-e5fcdffd35fe"
15,"Stage BGM 3",189782,True,True,"Stages","","","3ad68ff5-976e-4d91-9639-2521e1bad803","https://image-assets.m.nintendo.com/b3c811b1-5676-4876-8a02-3c3eacedbf67"
16,"Miniboss Battle",62900,True,True,"","","","2da744a9-4e06-4bf1-856c-3fa7a244e191","https://image-assets.m.nintendo.com/a7134d8a-0b94-40e5-95d0-3a289352a939"
17,"Miniboss Defeated",45914,True,True,"","","","5ff5e9fb-3b9b-418a-a605-2af2acd6f316","https://image-assets.m.nintendo.com/9d76916f-07b8-412e-bf66-4bfd40d86ece"
18,"Stage BGM 4",132210,True,True,"Stages","","","49750f80-f648-4e23-936d-7ad2eb56dd0b","https://image-assets.m.nintendo.com/afc44bf9-3a78-439f-b051-b0f7243b2519"
19,"Coin Game",141393,True,True,"","","","5ee1cced-9c67-4dce-aea9-7fe4a1dda55b","https://image-assets.m.nintendo.com/d5a41cdb-bbcc-4adc-be23-6c5b98301625"
20,"Coin Game Success",2087,False,True,"","","","b62bebc7-2290-4187-a631-925b6162c4d4","https://image-assets.m.nintendo.com/2212b83e-c7dc-476a-8731-5073a9d20af4"
21,"Coin Game Failure",2173,False,False,"","","","c616e5ce-aa1a-4caa-a850-6b40a992e31c","https://image-assets.m.nintendo.com/022a3195-71b8-4379-a472-c2606239f649"
22,"Stage BGM 5",194932,True,True,"Stages","","","3b23ba01-dbdd-4c7b-81c4-b617ab7f11c9","https://image-assets.m.nintendo.com/dfb1aafe-a723-47de-8670-ebf334e7aee4"
23,"Hidden Room BGM 3",26645,True,True,"Stages","","","41a386a9-e95f-4f53-ba9a-27bcdc881baa","https://image-assets.m.nintendo.com/ccdf062e-73de-41ba-8642-97c419c47b4e"
24,"Too Bad!",2985,False,False,"","","","cb7bad6e-b9bc-4133-b202-1b4bcfe84144","https://image-assets.m.nintendo.com/737671f4-7318-4489-8a00-06b356703694"
25,"Game Over",58201,True,False,"","","","3e54ff65-8aad-4353-b69b-36e3a73b157e","https://image-assets.m.nintendo.com/710994c3-18e1-4bf1-a129-6e5fab063fd0"
26,"Stage BGM 6",122986,True,True,"Stages","","","eb1e86f8-bd89-4a34-8394-709cf66aa4ed","https://image-assets.m.nintendo.com/26393294-2de9-48f8-b46b-f0b2e26d6e03"
27,"Medium Boss Appears",10391,False,True,"","","","ff7c90cd-9869-4285-ad85-9b1be597813c","https://image-assets.m.nintendo.com/da44c477-e8b8-4479-a662-e1635fa9536f"
28,"Medium Boss Battle",28813,True,True,"","Combats contre les boss","","812d3b0d-8980-4ebd-9c84-04b5fdd49e93","https://image-assets.m.nintendo.com/95498cf7-bb25-4363-9357-b01488ad16d2"
29,"Medium Boss Defeated",21288,False,True,"","Victoire !","","5f35deb0-13ae-4b3a-81aa-9604a7dce3f8","https://image-assets.m.nintendo.com/a6d6eec4-5072-4796-9d3a-98ece65c88e1"
30,"Got a Key 2",5994,False,True,"","","","c7e7d7d9-604f-4e4c-975c-6582d3fba19e","https://image-assets.m.nintendo.com/71aa317f-79d8-4567-8b8c-05bfe0a61994"
31,"Stage BGM 7",162369,True,True,"Stages","","","7297a7fe-2bde-422f-a10a-409147e6c3ab","https://image-assets.m.nintendo.com/5860ee57-53e4-4a10-bc71-813a55eccb92"
32,"Big Boss Room",24762,True,True,"","","","123bc61a-8225-470b-97b6-623706213f5f","https://image-assets.m.nintendo.com/d4443aa6-5e30-4956-9ac9-74a7190ce787"
33,"Big Boss Appears",2916,False,True,"","","","6bc6e761-2b70-471b-b8cb-7044b14047dc","https://image-assets.m.nintendo.com/c15e6243-6d91-451e-b54d-10a2e05114b0"
34,"Big Boss Battle",107577,True,True,"","Ultimes batailles","","3d8f925b-7bf3-46f7-acdf-6ac11d3d3145","https://image-assets.m.nintendo.com/674b3a14-6180-4e31-ac75-3b308f9f8bee"
35,"Treasure of the Awazon",30265,True,True,"","","","7274f51d-24da-4b06-b9b5-247092075dc5","https://image-assets.m.nintendo.com/b970ab8b-2a6b-42fc-851e-f2cd765260b0"
36,"Epilogue 1",56192,True,True,"","","","e20365b4-e9a5-45f8-be17-4426b30e50d1","https://image-assets.m.nintendo.com/7c63e7b9-069f-4e29-8167-ff81187b7ff4"
37,"Epilogue 2",33070,True,True,"","","","904a58c2-82ab-4ed6-b2cb-a95ee9da5e51","https://image-assets.m.nintendo.com/9846e832-895b-4151-a009-55dcab79732b"
38,"Staff Credits",116299,False,True,"","Crédits","","1c9f5bee-f625-4ae1-9992-074a58cf2de6","https://image-assets.m.nintendo.com/38ba996c-18e2-4cad-b424-ca0523f3e5d5"
