index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening Fanfare",6330,False,True,"","","Il meglio di Nintendo Music","3a8b7b4c-7b35-4aa3-bb24-28a1941d817c","https://image-assets.m.nintendo.com/a6170142-506d-41a5-808a-f0586cec0949"
2,"Theme",81930,True,True,"Cranky Kong","Temi dello schermo del titolo","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","78270fbb-9a5d-4841-b90c-bd8affff7718","https://image-assets.m.nintendo.com/b89381f0-957d-4cb9-9792-7e269062f7b4"
3,"Simian Segue",111387,True,True,"","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","1bf78585-61ea-4cea-b9a3-397396b79390","https://image-assets.m.nintendo.com/5d43a184-e22c-4c3b-8499-8e31ceb175a3"
4,"DK Island Swing",165461,False,True,"Livelli","Inizia l'avventura","Il meglio di Nintendo Music","56b8df73-ea36-4349-abb3-953ee0e7e948","https://image-assets.m.nintendo.com/1f366861-5f96-468e-a6c8-c3ade769c476"
5,"Cave Dweller Concert",187164,False,False,"Livelli","","","1701b45c-c90a-4dbe-8897-1c6e148b68ae","https://image-assets.m.nintendo.com/0f6229cf-9f1a-4712-a811-d0765c747aaf"
6,"Aquatic Ambiance",206438,True,True,"Livelli","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","03f5d55e-cdd6-47da-9ea0-8899ebd1c57b","https://image-assets.m.nintendo.com/4794a1ce-af50-4c83-a3e0-57f23318c760"
7,"Well Done",6444,False,False,"","Vittoria!","","024c726a-d647-4941-8be6-5331bd176eb4","https://image-assets.m.nintendo.com/5ba3f6d0-c9a3-4ba8-b192-654e9d16ab6f"
8,"Cranky's Theme",75928,False,False,"Cranky Kong","","","0b1102da-c4c3-4380-8144-ee1a4030eeb5","https://image-assets.m.nintendo.com/aaeedc7a-f5f2-4d59-b9dc-33565d79dbc0"
9,"Life in the Mines",129675,False,False,"Livelli","","","48a43b3f-6aef-43c3-8daf-8af9a0b449da","https://image-assets.m.nintendo.com/3221992b-0f26-4256-af36-20be8f807b90"
10,"Mine Cart Madness",143924,True,True,"Livelli","","Il meglio di Nintendo Music","bd5e4534-d735-437c-8599-7eadfb1bd695","https://image-assets.m.nintendo.com/8cfcf4af-3db6-4943-8169-f487aab91c2d"
11,"Misty Menace",147418,True,False,"Livelli","","","f9a5f616-4d92-4e07-bed8-39977f183732","https://image-assets.m.nintendo.com/4131bafc-ff2c-4168-9407-28788db6753f"
12,"Voices of the Temple",130207,False,False,"Livelli","","","e08a0735-9610-4323-b925-6e56c30e65ac","https://image-assets.m.nintendo.com/7e6e1387-63a7-44b7-b35b-41cf7806e38f"
13,"Lost a Balloon",3882,False,False,"","","","1877f930-6bbc-49a1-81b4-8d87c407291f","https://image-assets.m.nintendo.com/9d454738-05cd-41f5-97cf-c33a05236b7a"
14,"Funky's Fugue",134386,True,True,"Funky Kong","Per darsi la carica","Il meglio di Nintendo Music","f968ea6d-f650-4746-964e-37d6c3d3d59f","https://image-assets.m.nintendo.com/17e63675-9882-4dbb-9b87-7486da26d972"
15,"Forest Frenzy",119953,True,False,"Livelli","","","6ffcc2b3-b615-472f-8e6f-f4d3c7104de0","https://image-assets.m.nintendo.com/b1f53ebc-c96a-41ed-93de-b49b87cfb256"
16,"Treetop Rock",117911,True,True,"Livelli","","Il meglio di Nintendo Music","5bff5fa0-6d8f-4ff8-95eb-0be9b425ce4e","https://image-assets.m.nintendo.com/f1fccd7e-cf00-4c7a-8b09-de45fa0dbe0a"
