index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening / Squid Squad",12490,False,True,"Mischia mollusca|Squid Squad","","Il meglio di Nintendo Music","0caa4b97-d1ab-42f5-b565-1d5ea0118a82","https://image-assets.m.nintendo.com/4e8f70dc-96b2-4e18-8e40-bd1c7515e094"
2,"Splattack! / Squid Squad",231330,True,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica|Per darsi la carica","Il meglio di Nintendo Music","0af3c90c-080d-413c-9258-7888a9c27f2b","https://image-assets.m.nintendo.com/b00b2c54-b8d2-469d-8641-604797bbf42f"
3,"Ink or Sink / Squid Squad",154556,True,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica","Il meglio di Nintendo Music","02778bb8-8d6a-4e6e-a127-950475e59264","https://image-assets.m.nintendo.com/c82aac90-99a1-4878-93aa-c23ee67d1715"
4,"Seaskape / Squid Squad",175574,True,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica","Il meglio di Nintendo Music","918c7bd9-473a-4fd0-b9c2-0b681308e529","https://image-assets.m.nintendo.com/57411274-5e1e-4ab6-b4eb-039d807aa71c"
5,"Kraken Up / Squid Squad",140651,True,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica|Per correre","Il meglio di Nintendo Music","7d0380cc-f283-41c5-b58a-263e882248d4","https://image-assets.m.nintendo.com/e5f66393-a79d-409c-bfb8-05704f1f9c82"
6,"Metalopod / Squid Squad",151411,True,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica|Per correre","Il meglio di Nintendo Music","09154f78-c87f-4c78-879e-240af1fd9857","https://image-assets.m.nintendo.com/c7f047ee-ad00-4150-ab6b-a40b2f695777"
7,"Shellfie / Chirpy Chips",124567,True,True,"Chirpy Chips|Mischia mollusca","Mischia mollusca e partita tematica|Party|Per darsi la carica","Il meglio di Nintendo Music","5ef8ef5f-479b-4089-bd75-48ba3d6ed2c6","https://image-assets.m.nintendo.com/d86159b5-988c-477a-8d8a-bf0cde1911f1"
8,"Split & Splat / Chirpy Chips",150688,True,True,"Chirpy Chips|Mischia mollusca","Mischia mollusca e partita tematica","Il meglio di Nintendo Music","edf37faf-3353-4712-8fb2-6663233bb35b","https://image-assets.m.nintendo.com/b3a497a1-f82d-4df3-b5fc-76cea42507ab"
9,"Hooked / Hightide Era",145872,True,True,"Hightide Era|Mischia mollusca","Mischia mollusca e partita tematica","Il meglio di Nintendo Music","30ad5f18-0cf9-416b-8647-22c1e637f79e","https://image-assets.m.nintendo.com/bb540c34-9949-4799-b5fa-2a588cdfb5bb"
10,"Sucker Punch / Hightide Era",156518,True,True,"Hightide Era|Mischia mollusca","Mischia mollusca e partita tematica|Per darsi la carica","Il meglio di Nintendo Music","79eebe58-4bdd-48c3-b59a-8342eefa8cdd","https://image-assets.m.nintendo.com/ae580d78-5e2a-48c8-bf4f-6dfd9417f65f"
11,"Now or Never! / Squid Squad",61558,False,True,"Mischia mollusca|Squid Squad","Mischia mollusca e partita tematica","Il meglio di Nintendo Music","3c418c40-b31f-4ccd-8e5d-e145e534aacf","https://image-assets.m.nintendo.com/6ae0115e-c960-4090-8f58-333c4b4af947"
12,"You Got Them!",4336,False,False,"Mischia mollusca","Vittoria!","","e0ab4de2-546a-4214-ae75-b89cccb534f9","https://image-assets.m.nintendo.com/96678ca6-01f3-4833-ba69-99afa641a132"
13,"Battle Victory",66906,True,False,"Mischia mollusca","Vittoria!","","43438954-092c-453f-932d-23188c7be3c2","https://image-assets.m.nintendo.com/7fea842e-54aa-4151-9294-38bf2d43390f"
14,"They Got You!",6515,False,False,"Mischia mollusca","","","3bc32a3e-5de6-449e-8d5c-03b472c6a4b8","https://image-assets.m.nintendo.com/e6b4a057-0996-4393-adbb-d5b8ca20f9be"
15,"Battle Defeat",68268,True,False,"Mischia mollusca","","","8cb87aaf-6446-448e-9b90-b1447c41a289","https://image-assets.m.nintendo.com/9e1b5b96-82ca-478f-9c38-62c3fadc7c2c"
16,"Splattack! (Jam Sesh) / Squid Squad",151632,True,False,"Coloropoli|Squid Squad","Inizia l'avventura","","fe0c2275-7194-4613-bb78-4d7003b74945","https://image-assets.m.nintendo.com/fb07a2bd-5c42-4336-8106-8e0970c86ac4"
17,"Slip into Inkopolis",61470,True,False,"Coloropoli","","","a9544f77-758d-4cbc-bd14-1d046d0f175e","https://image-assets.m.nintendo.com/b0bbe60a-21f0-4645-9a8e-8ff6e1c47ef4"
18,"Start Fresh",65421,True,False,"Coloropoli","","","c2b01f0e-f891-44f3-94ba-06c01c268db7","https://image-assets.m.nintendo.com/a901942b-fed5-4130-bc11-eb130411aa31"
19,"La piazza",294614,False,False,"Coloropoli","","","0bdac903-e5c1-46c9-a488-e1f3db43a500","https://image-assets.m.nintendo.com/d504639d-32c8-4ce9-8f5a-b021206e073c"
20,"Inkopolis News / Sea Sirens",51782,True,False,"Coloropoli|Festival","","","57852bfe-56c2-4855-a7fa-f0bfdd1716bb","https://image-assets.m.nintendo.com/ab13a56d-2e81-483d-a4ff-bf9ffb8f5bef"
21,"Inkopolis Lobby",93226,True,False,"Coloropoli","","","c5dcd9db-4e22-46b2-9cf7-61f3ca74ad52","https://image-assets.m.nintendo.com/a6e4c69a-4841-416d-b5fa-88650b166767"
22,"Dubble Bath / Bob Dub",127773,True,False,"Bob Dub|Coloropoli","Estate","Scelti per la riproduzione in loop","84db3add-c186-4dd9-bad5-40ac59109ff6","https://image-assets.m.nintendo.com/abc63144-4d36-4b26-a055-c4036c65c379"
23,"Bomb Rush Blush / Stella",149234,True,False,"Coloropoli|Sea Sirens","Per correre","","9ddf8479-2990-417f-a6a6-090843f7cd25","https://image-assets.m.nintendo.com/11996c75-db69-47a5-8e49-ba93a5519a25"
24,"Tide Goes Out / Marina",145985,True,False,"Coloropoli|Sea Sirens","Notte","","ccd4623c-9e28-41f8-b97b-f423994d15b5","https://image-assets.m.nintendo.com/842f6f4f-6e26-4594-b766-68c7071dbd37"
