index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title BGM",9433,False,True,"","","Il meglio del NES","d223e96a-4bac-417c-9db5-4d250c3134b9","https://image-assets.m.nintendo.com/2891011c-b04d-4c14-a3e8-33117e51e559"
2,"Test BGM",42803,True,True,"","","","e9a4899b-14fa-48f9-ac08-3f6ed44aedb2","https://image-assets.m.nintendo.com/90db8f3a-6263-412e-afc5-7340ed38856e"
3,"Direct BGM",5380,False,True,"","","","da2cc53b-55fc-447e-8ecf-5fbdb3871a63","https://image-assets.m.nintendo.com/74539957-f665-424a-b59b-915f05c6739b"
4,"Memory Start",3510,False,True,"","","","e0ce004a-e5c7-49ff-8e68-a7b532a6beeb","https://image-assets.m.nintendo.com/6eb53c50-b880-4efa-8457-5f5d601f3d28"
5,"Memory BGM",87553,True,True,"","","Il meglio del NES","33b2fd53-907b-4c56-be46-4d35c99d3e2e","https://image-assets.m.nintendo.com/dc83632d-deb5-4919-b058-76bf18b84aeb"
6,"Bingo BGM",117350,True,True,"","","Il meglio del NES","a0ac921d-a565-4125-9ae7-0a1fb1586ab1","https://image-assets.m.nintendo.com/bf63958e-198b-46b1-b409-d8ab3e83ff7e"
7,"Bingo BGM (Paused)",117350,True,True,"","","","77032863-b160-4151-95d1-1128ceff6017","https://image-assets.m.nintendo.com/b7ce837c-2a73-4a78-b889-cedfc956170d"
8,"Hurry Up!",27998,True,True,"","","","fa2ecb56-e6ce-48ac-b8f7-56157ced6dc8","https://image-assets.m.nintendo.com/713b080c-2761-4388-9e0b-fbaa10393fdd"
9,"Hurry Up! (Paused)",27998,True,True,"","","","f4bd1e22-cd0f-4353-9af7-8c90ffb68401","https://image-assets.m.nintendo.com/27dbc0dd-857e-41e4-9692-ca9ba925e4e5"
10,"Time Up",3515,False,True,"","","","568626de-511e-4bb9-86e3-9a196285bf7b","https://image-assets.m.nintendo.com/1ad109dd-787a-4010-b787-7bd127b59c45"
11,"\"Up\"",1234,False,False,"","","","fe97cda6-f552-4e3a-93b3-cd77b8251646","https://image-assets.m.nintendo.com/6ed538dd-df3e-41bd-9979-bdcb1f2dcc3a"
12,"\"Down\"",1484,False,False,"","","","72136e13-bea4-40e4-80fc-ab0de68ecb21","https://image-assets.m.nintendo.com/3ba8f29e-6a45-42c3-bd03-70a7e8b6e878"
13,"\"Left\"",1416,False,False,"","","","d19773f6-756b-4340-8952-8f21b3414d21","https://image-assets.m.nintendo.com/9714401b-9129-4f30-9018-296268927223"
14,"\"Right\"",1353,False,False,"","","","44b4195a-a344-459b-be82-10ca6419f85e","https://image-assets.m.nintendo.com/537dadb1-7343-4e55-8b90-7993bd4841c8"
15,"\"Open\"",1486,False,False,"","","","4866e146-14d2-4c48-a13c-1e4e4b12965c","https://image-assets.m.nintendo.com/cf8488dc-80e1-48db-926c-8895fe912e11"
16,"\"Close\"",1613,False,False,"","","","8e998ba3-6c27-49a8-a8f6-5fb016051c60","https://image-assets.m.nintendo.com/84343a17-fee6-4199-8f9a-4a26ec64182a"
