index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Birabuto Kingdom BGM",65077,True,True,"Sarasaland","Inizia l'avventura","Il meglio di Mario|Il meglio di Nintendo Music","b44060d2-c52e-46b4-8300-d633cfc3c3cc","https://image-assets.m.nintendo.com/6f466ea8-119c-421a-b66e-897ce6b11356"
2,"\"Hurry Up!\" Birabuto Kingdom BGM",55698,True,False,"Sarasaland","","","f5c7feff-5696-416d-bd69-316de2527c0b","https://image-assets.m.nintendo.com/49c8ec97-cc1c-4581-998f-ecdba9e2b189"
3,"\"HURRY UP!\" Birabuto Kingdom BGM",49461,True,False,"Sarasaland","","","e4c4747e-c016-4f20-b859-a2e75c7b8a7c","https://image-assets.m.nintendo.com/4ce3d99b-b169-4ce1-9696-e90aa1e461b5"
4,"Treasure Room BGM",24087,True,True,"Sarasaland","","Il meglio di Nintendo Music","06bcf814-0d67-40d4-a474-e6267afdd467","https://image-assets.m.nintendo.com/c0e8176e-aa1b-4b41-9482-ed92e01601fa"
5,"\"Hurry Up!\" Treasure Room BGM",29712,True,False,"Sarasaland","","","203e061c-c004-45b5-9357-387a9182dde0","https://image-assets.m.nintendo.com/b9029555-d7af-48c8-882f-d817af7c7a4d"
6,"\"HURRY UP!\" Treasure Room BGM",27462,True,False,"Sarasaland","","","7d74ed1a-9cd3-4503-9535-901cf2a69b17","https://image-assets.m.nintendo.com/c583fb85-b3d5-4f8a-8166-714f318757cf"
7,"Area Cleared",3416,False,True,"","","Il meglio di Nintendo Music","2f9c950a-0d4d-47d0-a095-b15b60789ab7","https://image-assets.m.nintendo.com/19c6cfa6-3e21-4e6d-9984-9cd78597a53c"
8,"Boss BGM",24086,True,True,"","Scontri con i boss","Il meglio di Nintendo Music","a6477c2f-c2d9-49c7-8191-0c6be9556316","https://image-assets.m.nintendo.com/cd2f41c4-c277-4f83-8182-a33042810bd9"
9,"\"Hurry Up!\" Boss BGM",34583,True,False,"","","","c5f2a6f6-8cda-46d9-a1fe-ccdde106936d","https://image-assets.m.nintendo.com/9bf366fd-9e80-4a69-9baa-fc22b03b4966"
10,"\"HURRY UP!\" Boss BGM",31583,True,False,"","","","91e19865-dee9-45a2-8e0c-ad9c9f0e7a7f","https://image-assets.m.nintendo.com/e7cf4160-085b-4bef-b5f3-2f75cf77f974"
11,"Princess Daisy Rescued?",32817,True,True,"","","Il meglio di Nintendo Music","b0dc128a-acfa-4096-bb6e-f8509c922cb7","https://image-assets.m.nintendo.com/ebef254f-609c-44b3-b289-0604f81a2818"
12,"Bonus Game BGM",25082,True,True,"","","Il meglio di Nintendo Music","2ed4ad8a-163d-49f5-8363-b93756757c97","https://image-assets.m.nintendo.com/8c12cd35-e58b-47d8-808f-2bd184d22d3c"
13,"Bonus Game Fanfare",3830,False,True,"","","Il meglio di Nintendo Music","82df4777-691b-4ef0-a320-72041713849b","https://image-assets.m.nintendo.com/97288ab7-dab0-4d96-bf6c-9d4ad31cac2e"
14,"Muda Kingdom BGM",66066,True,True,"Sarasaland","","Il meglio di Mario|Il meglio di Nintendo Music","29866607-7cb2-4aeb-8d12-3fdd7ab133c4","https://image-assets.m.nintendo.com/14116df9-3b21-44a4-8c64-223a52aec1af"
