index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",39159,False,True,"","Temi dello schermo del titolo","Il meglio di Nintendo Music","30d9dfdd-7707-46de-95cc-98db04487fb4","https://image-assets.m.nintendo.com/ac88889b-d7fd-4211-b276-03df5a93d67b"
2,"A-Type (Early Version)",92236,True,True,"","","Il meglio di Nintendo Music","35411cf6-2358-43ae-8b0b-90e28e5dc1fb","https://image-assets.m.nintendo.com/afa0e897-0958-42f6-ac6e-60b62ca89d02"
3,"A-Type",92236,True,True,"","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","7e232803-f559-4c72-a746-757988a06240","https://image-assets.m.nintendo.com/d34f71ab-80d8-4fc4-924c-3f756e9cd8d7"
4,"B-Type",89019,True,True,"","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","fd83cf0c-c612-425d-8006-39d89f7e9c2b","https://image-assets.m.nintendo.com/c86dd53d-1cb1-41d5-aa05-490e02cb610c"
5,"C-Type",92236,True,True,"","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","da6d84fe-068d-497e-a495-39628ed48619","https://image-assets.m.nintendo.com/444b1155-5aca-4f0f-9d4e-01527db0564b"
6,"25 Lines Cleared",1464,False,True,"","","Il meglio di Nintendo Music","8c387ec7-f96c-435a-98f6-ffc2cff2c24f","https://image-assets.m.nintendo.com/c518b849-0cc2-45d6-a2e5-5c2f51af42b8"
7,"Ending: High 0",3799,False,False,"","","","10894436-9187-4948-a56e-24839b8bcc70","https://image-assets.m.nintendo.com/8e951a13-e045-47df-9349-80c5d3e7c0a0"
8,"Ending: High 1",3758,False,False,"","","","4781bab6-2756-4670-b262-9c7d3fedf016","https://image-assets.m.nintendo.com/db1c22bb-c50b-4632-859e-dde1301098ff"
9,"Ending: High 2",3771,False,False,"","","","d055d1ec-7619-4965-a68f-2a2a45db11db","https://image-assets.m.nintendo.com/42e8b728-71e0-4226-ab99-24debead4111"
10,"Ending: High 3",3770,False,False,"","","","c1d7a195-4680-41b1-9ad9-5e80044e220e","https://image-assets.m.nintendo.com/99873c6a-0c9f-423b-9651-4d6b72b9453b"
11,"Ending: High 4",7014,False,False,"","","","1df6c58b-6bd2-4af3-8c0e-42d09bb1ac6f","https://image-assets.m.nintendo.com/6d37b00f-fb85-4b2e-8a27-482612e30bd4"
12,"Ending: High 5",13444,False,True,"","","Il meglio di Nintendo Music","dc8ff7c8-89a2-4f23-b093-196e00e68719","https://image-assets.m.nintendo.com/81e366c3-47aa-47bf-abee-2f994be7aadd"
13,"Rocket Launch",58483,True,True,"","","Il meglio di Nintendo Music","c7f6a7f9-9b99-483a-89de-cf8f227085a2","https://image-assets.m.nintendo.com/f5fd72f8-2c82-4ef3-b395-21c9ed2e555f"
14,"Game Over",1925,False,True,"","","Il meglio di Nintendo Music","5a581301-f458-4bbd-963d-d12ca8de4e12","https://image-assets.m.nintendo.com/2a59bba0-6632-4804-898e-038e5083619c"
15,"Name Entry",67725,True,True,"","","Il meglio di Nintendo Music","177e3e4b-793b-4ea6-8cf9-8a0b45a2a8de","https://image-assets.m.nintendo.com/57f2ec78-5499-40cb-9d9b-c0e20f49c118"
16,"2 Player: Danger",36517,True,True,"","","Il meglio di Nintendo Music","cc49da8c-9144-4f9f-89db-820357b49973","https://image-assets.m.nintendo.com/37950277-d057-4d77-84e7-b33ceb9a016d"
17,"2 Player: Intermission",5855,False,False,"","","","47496311-c51a-46eb-b0d1-82bd8c8fc5a3","https://image-assets.m.nintendo.com/d845edd9-4dcf-430d-a6af-0b9a03f86a9e"
18,"2 Player: Final Results",40799,True,True,"","","Il meglio di Nintendo Music","3aa79a74-e0e6-481a-a8aa-f827f2740842","https://image-assets.m.nintendo.com/333e9442-5c52-4222-87da-629395e962be"
