index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",114498,True,True,"","Estate|Temi dello schermo del titolo","Il meglio di Nintendo Music","cf86df17-e45e-4345-b17b-5d68769368f1","https://image-assets.m.nintendo.com/583e460d-a8a2-4e4a-97e9-aa78b07911f7"
2,"Options",111623,True,False,"","","","5ab092f1-8083-4715-9910-9d25468ee8e5","https://image-assets.m.nintendo.com/5134a5a5-c20f-482f-89db-359391baee33"
3,"Watercraft Select",39337,True,False,"","","","6e3e9fc2-9ce7-459c-a7a9-504a3620afcb","https://image-assets.m.nintendo.com/ab165ee5-48a3-452d-9995-f0a90027ef72"
4,"Welcome to...",12617,False,False,"","","","7e147597-a118-4236-b951-01b21c699b9b","https://image-assets.m.nintendo.com/c6d45dc4-4883-4ec8-b8c0-2656e5badf07"
5,"Dolphin Park",109149,True,True,"","Estate|Per camminare","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","8e0d1933-03ce-4ca9-aee5-0dc13083cee7","https://image-assets.m.nintendo.com/6e3839e0-b9ca-4462-b0c7-0f22976120e5"
6,"Championship Opening",15421,False,False,"","","","63056852-f91c-4f46-a5ac-89294602f9b6","https://image-assets.m.nintendo.com/1ad38b80-d46e-4046-aa07-3b2dc9dfaf06"
7,"Sunny Beach (1996 Ver.)",80962,True,True,"","Estate|Per correre","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","999bb9bd-771b-4591-942b-1b258055d1b9","https://image-assets.m.nintendo.com/b43960d7-d7df-41ef-a5e4-7fa387e3f60c"
8,"Sunset Bay",63202,True,True,"","Estate|Per correre|Per darsi la carica","Il meglio di Nintendo Music","d5319063-fd31-4871-96b6-8f0f2594865c","https://image-assets.m.nintendo.com/23341505-b39a-4b95-932d-10938b19ac24"
9,"Drake Lake",85853,True,True,"","","Il meglio di Nintendo Music|Scelti per la riproduzione in loop","7613f4f3-bd21-469d-ac3e-f8aee8dbbf0c","https://image-assets.m.nintendo.com/d1cce649-026d-4f34-97c3-90b430245899"
10,"Marine Fortress",96293,True,True,"","","Il meglio di Nintendo Music","983838c1-eafa-4a5b-9ac0-eab68ea5c671","https://image-assets.m.nintendo.com/dc7256dc-5660-4a3d-98c8-b9a46c3c7bf8"
11,"Port Blue",69278,True,True,"","","Il meglio di Nintendo Music","3654d4d3-8f62-4da3-8e4e-f8bf2bb1c635","https://image-assets.m.nintendo.com/3917e8c9-e6e5-48a6-8bb6-76f67d6d3861"
12,"Twilight City",82529,True,True,"","","Il meglio di Nintendo Music","80f0707d-35c5-4425-8fd4-bb7ea1636a48","https://image-assets.m.nintendo.com/814aff80-dbce-4d77-a6bb-3e4e9ac27a32"
13,"Glacier Coast",112173,True,True,"","Inverno","Il meglio di Nintendo Music","6c54dec2-6e3f-4120-a8b8-2c1e5da24c6c","https://image-assets.m.nintendo.com/91fa95f0-c32c-46a0-a2ee-c30cc410c82e"
14,"Southern Island (1996 Ver.)",80032,True,True,"","","Il meglio di Nintendo Music","6452af16-b617-4f88-8792-c56f2f201dfd","https://image-assets.m.nintendo.com/864e9ee8-aeed-45e7-a254-9ed75217c4b9"
15,"1st-Place Finish",40676,True,False,"","Vittoria!","","141096e0-01c1-4738-8901-98c04925202b","https://image-assets.m.nintendo.com/4a95ee09-e8d2-4f9c-82f4-14c43ee65315"
16,"2nd-Place Finish",29477,True,False,"","","","6e4d1775-d831-4911-a92c-d3ad9642b559","https://image-assets.m.nintendo.com/97c51c7a-1011-49fe-a04c-0e0de8a85dfb"
