index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Wiiメニュー 起動",2921,False,True,"","","Nintendo Musicピックアップ集","c4849668-c57f-482a-9ec6-895e2ead4451","https://image-assets.m.nintendo.com/aad3885b-d367-4070-ab10-327c983916be"
2,"Wiiメニュー",242700,True,True,"","おやすみなさい","Nintendo Musicセレクション|Nintendo Musicピックアップ集|「ながさチェンジ」におすすめ","2528a95b-30a7-4750-9347-e5608b853ed6","https://image-assets.m.nintendo.com/04653aef-157b-4b8f-a0b3-edde88680f4d"
3,"チャンネル画面（似顔絵チャンネル）",5588,False,False,"似顔絵チャンネル","","","1f007c91-341d-4975-b0a3-6b75875a8533","https://image-assets.m.nintendo.com/d22ac1f5-bbf1-49a6-b54e-f2b404b5292e"
4,"似顔絵広場（似顔絵チャンネル）",120351,True,True,"似顔絵チャンネル","ほっとひと息","Nintendo Musicセレクション|Nintendo Musicピックアップ集","07abf31e-8db1-4c44-95cf-a0f510cffb36","https://image-assets.m.nintendo.com/a621ae8f-d401-4f40-b464-828500f76d7f"
5,"Miiを作る（似顔絵チャンネル）",120348,True,False,"似顔絵チャンネル","","","58795c8b-da8c-4a41-9ae9-5ad778e021f5","https://image-assets.m.nintendo.com/e47e0f8f-af55-42aa-97e2-f552aa821381"
6,"似顔絵パレード 歩く（似顔絵チャンネル）",120352,True,True,"似顔絵チャンネル","","Nintendo Musicピックアップ集","9ab2c598-788c-439a-8ffe-d8e21a57827b","https://image-assets.m.nintendo.com/b807e392-3e5c-4fe7-810b-2afa2f6527f8"
7,"似顔絵パレード 走る（似顔絵チャンネル）",111859,True,False,"似顔絵チャンネル","","","6bffe087-523c-4d08-b1d1-9419020ca3f7","https://image-assets.m.nintendo.com/f18e2e61-0c1b-42e2-9658-59996955b64a"
8,"チャンネル画面（写真チャンネル）",4085,False,False,"写真チャンネル","","","e8a9349c-51f4-4540-9043-73a87e61729d","https://image-assets.m.nintendo.com/940a6e53-fff3-46b0-b59c-e4104611f58d"
9,"どちらの写真を見ますか？（写真チャンネル）",43886,True,True,"写真チャンネル","","Nintendo Musicピックアップ集","73d9b3ba-d1e5-4458-9e50-8afd950690a7","https://image-assets.m.nintendo.com/49c3dd4f-851a-4132-b897-bce0bb09525d"
10,"SDカード 写真一覧（写真チャンネル）",155053,True,True,"写真チャンネル","","Nintendo Musicピックアップ集","06ed31b1-308f-4292-82d2-bdd3f15ef880","https://image-assets.m.nintendo.com/2ae72d38-20d9-44be-8ab3-f192f5c36829"
