index,name,year,hardware,isLink,id,thumbnailURL
1,"スーパーマリオブラザーズ",1985,"ファミリーコンピュータ",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/24cb9cbf-5824-46ad-aa44-3f395d1ef1a6"
2,"メトロイド",1986,"ファミリーコンピュータ",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"ドクターマリオ",1990,"ゲームボーイ",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/a5246843-a163-4500-8143-0cbc818cb630"
4,"星のカービィ",1992,"ゲームボーイ",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/fba34849-7643-4682-a667-97a2be9d486a"
5,"スーパードンキーコング",1994,"スーパーファミコン",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/0a8cde94-bd3d-4b31-9363-ddcde7854a32"
6,"スーパーマリオ ヨッシーアイランド",1995,"スーパーファミコン",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/e83f7ccc-5649-4c14-b1db-978fefeb718d"
7,"スターフォックス64",1997,"NINTENDO 64",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/4d3337db-b0eb-48e9-86ee-606553157ce3"
8,"ゼルダの伝説 時のオカリナ",1998,"NINTENDO 64",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/29f24624-c8e1-4305-9899-a0a90704aa15"
9,"ファイアーエムブレム 烈火の剣",2003,"ゲームボーイアドバンス",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/5ba15dd2-4bcc-4344-87a3-70c7fd3ea81c"
10,"メトロイドプライム リマスタード",2023,"Nintendo Switch",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
11,"メトロイドプライム",2003,"ニンテンドーゲームキューブ",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/9664217c-64b5-411c-923b-89982f681fb7"
12,"nintendogs",2005,"ニンテンドーDS",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/b7ace233-54a0-41af-8a89-3f1f165a4086"
13,"トモダチコレクション",2009,"ニンテンドーDS",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
14,"Wiiチャンネル",2006,"Wii",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/470e6987-a73b-4ea0-849d-e3648c56dfed"
15,"スーパーマリオギャラクシー",2007,"Wii",False,"0c667028-4647-49f1-bf7b-06dc4a51cbff","https://image-assets.m.nintendo.com/1dda5ec2-755d-4a0d-a8ae-3d953097a5b5"
16,"ゼルダの伝説　ブレス オブ ザ ワイルド",2017,"Wii U",True,"c0bd59b6-00a2-41f4-acfb-f2d8d92103a1","https://image-assets.m.nintendo.com/a860459f-373d-44e5-8949-5578b4df6ca9"
17,"ゼルダの伝説　ブレス オブ ザ ワイルド",2017,"Nintendo Switch",False,"20960665-fb98-4830-b8d5-37674a140e1b","https://image-assets.m.nintendo.com/ec5684f0-ed98-4c7e-9be7-5a87cf5ee291"
18,"マリオカート8",2014,"Wii U",True,"626ceffe-a7cd-4f9a-9ce5-91c02bd65c65","https://image-assets.m.nintendo.com/51a3718a-44a9-4b61-99ab-9a748a0dbaa3"
19,"マリオカート８ デラックス",2017,"Nintendo Switch",False,"32516e30-667c-4c14-ac1f-fbae00910d86","https://image-assets.m.nintendo.com/9c33162c-d545-407b-ac85-3b614f62c6df"
