index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"タイトル",40782,True,True,"","タイトル画面","Nintendo Musicピックアップ集","1e016c9a-95ae-40f2-a428-579a8338c97e","https://image-assets.m.nintendo.com/6f75ac94-a8c7-4267-89b2-09e326dc3b45"
2,"WORLD 1",68196,True,True,"ワールド","春に聴きたい","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","ceaf6bc7-1af2-437e-ab58-9357fec4ce29","https://image-assets.m.nintendo.com/5a6ede61-8d69-4db9-be61-6f3937dd1293"
3,"スーパーベルの丘",126043,True,True,"コース","冒険のはじまり","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","3e3db71f-de6e-4c88-9066-0d2b78812d70","https://image-assets.m.nintendo.com/3c7f96ba-857e-4423-b3bd-388e5359cf63"
4,"地下洞窟",73680,True,True,"コース","","Nintendo Musicピックアップ集","9272bcd4-cf92-4a15-85af-fd61effe1bff","https://image-assets.m.nintendo.com/bb6030e1-d056-4a27-8f74-7c3d059fea4c"
5,"スイッチサーカス",79793,False,True,"コース","","Nintendo Musicピックアップ集","ab1dd839-ce1c-4265-a76b-ecc4031dd2ef","https://image-assets.m.nintendo.com/1f0a97c8-9cdf-4af1-b746-ce698ca402ec"
6,"コースクリア",5813,False,True,"","","Nintendo Musicピックアップ集","5530b4b0-c689-4f88-9418-bf73c69920d5","https://image-assets.m.nintendo.com/b5dc0328-6298-417b-a6da-6d64870b6088"
7,"WORLD 2",66182,True,True,"ワールド","","Nintendo Musicピックアップ集","ec23dbef-35c6-4664-9973-068958a08df5","https://image-assets.m.nintendo.com/4f087237-52b3-4ec3-b06b-6b331cc1cebe"
8,"ミステリーハウス入口",47388,True,False,"","","","7a8b8e61-c20a-4a04-8572-0d35d9c4931a","https://image-assets.m.nintendo.com/cb1b80e9-23c3-42b0-bd75-fa3d0d6445ce"
9,"全力！ ミステリーハウス",25283,False,True,"","","Nintendo Musicピックアップ集","e2a1300f-6da6-4d3d-842e-30bfab67105d","https://image-assets.m.nintendo.com/ca051569-1d77-4ca7-a541-834f917bdd6f"
10,"オバケ屋敷のうごく床",210541,True,True,"コース|テレサ","おばけがいるかも","Nintendo Musicピックアップ集","69fbc897-5cc4-40a0-b93b-b788945b94ac","https://image-assets.m.nintendo.com/a2f25627-108f-4996-8548-7fe9ac6459b3"
