index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"タイトル",161932,True,True,"","タイトル画面","7477b531-294a-4fc3-8736-881e66596356","https://image-assets.m.nintendo.com/6098a206-b905-466d-80cf-eab8a7b1a84a"
2,"プロローグ：フラワー王国",62835,False,False,"","春に聴きたい","5758578b-d1ce-4d90-81dd-923b21933793","https://image-assets.m.nintendo.com/d44948f5-5043-46ed-94a4-1139f2cdcd79"
3,"プロローグ：城クッパの誕生",80952,False,False,"クッパ","","6e098a33-e584-4243-8742-e70a0794dd6a","https://image-assets.m.nintendo.com/7f4c69fd-497c-4227-b874-af1e5383d13b"
4,"プロローグ：とらわれたポプリン",21984,False,False,"","","3199925d-df29-4403-a7a5-8a91c43142eb","https://image-assets.m.nintendo.com/1c153667-13f5-45af-b4eb-0f9484fbac9c"
5,"プロローグ：冒険に出発！",42401,False,False,"","","8974bac7-fda0-4e12-8683-a08f31fa990e","https://image-assets.m.nintendo.com/103f20c5-2c24-406f-a8b9-51dacbef1b60"
6,"ワールド：ドカンロック平原",174523,True,True,"ワールド","春に聴きたい","99cc2132-3774-47f0-b7ee-b296ba9aa64c","https://image-assets.m.nintendo.com/31ccc198-774b-4ccd-9e47-f9c20d0ead0b"
7,"草原のテーマ",158615,True,True,"コース","冒険のはじまり","73f132bb-c870-4300-b572-1703ac4722de","https://image-assets.m.nintendo.com/9a752c57-d36e-4c66-bcf5-01d209976536"
8,"ぐにゃぐにゃワンダー",82285,True,True,"ワンダー","ランニング","e40002d8-b7e7-43b3-9f04-44a77297c7e2","https://image-assets.m.nintendo.com/27691b27-01cd-4ef1-bfe8-2adbe5a2c9c4"
9,"コースクリア！",10377,False,False,"","","ec1fb279-0c57-4d4a-8652-65a5b3a7bdb5","https://image-assets.m.nintendo.com/c480d504-076f-4821-994c-85a83c0b6955"
10,"森のテーマ",141294,True,False,"コース","","48b453e9-3186-4d87-881a-098453815f93","https://image-assets.m.nintendo.com/ae516bbe-c78d-477b-963e-aeef97ce05df"
11,"パックンマーチ",49299,False,True,"パックンフラワー|ミュージックコース|ワンダー","みんなでいっしょに","8ac235f3-fe36-4b86-be00-475790914c0c","https://image-assets.m.nintendo.com/a127e27b-3b77-4da5-93e6-06c3a755d2f2"
12,"サバンナのテーマ",148695,True,False,"コース","ウォーキング","ec44e569-0d1e-4d99-9967-511864daaab6","https://image-assets.m.nintendo.com/12c6bc9b-e9f4-41dc-b9b3-c9c28471b7b5"
13,"トッシンワンダー",95595,True,False,"ワンダー","","9efaf014-0010-4189-ae09-0890bdfdd9c5","https://image-assets.m.nintendo.com/cd336007-8268-4da4-82b8-e1eaa1db815d"
14,"サンバ・デ・ガボン",42406,False,False,"ミュージックコース|ワンダー","みんなでいっしょに","08897aa0-82ef-4efa-9de1-f657190e6827","https://image-assets.m.nintendo.com/d7873ae6-158d-498d-8ee9-2e5ca34e7b27"
15,"ぷかぷかワンダー",54267,True,False,"ワンダー","おやすみなさい","693891b5-8005-4313-acb7-76a749d3792c","https://image-assets.m.nintendo.com/7811d9e3-c6cb-473f-9d30-3a4429844f91"
16,"スイッチオン",25545,True,False,"","","a5894c29-156a-4dc2-b22e-164263363dc8","https://image-assets.m.nintendo.com/32f27c37-3697-491f-9456-1359b3314bba"
17,"ハナチャンレース 開始",6156,False,False,"ハナチャン","","249a14f7-4799-4e81-8562-24547631f903","https://image-assets.m.nintendo.com/e758f2cd-7142-442f-bcef-97d4cfb3fd91"
18,"ハナチャンレース",124085,True,False,"コース|ハナチャン","ランニング|元気を出して","20b0b490-a250-4529-ac10-d4f70051314a","https://image-assets.m.nintendo.com/844081ef-95f2-4c32-a296-cc9ce66d32ca"
19,"ハナチャンレース 勝利",63085,True,False,"ハナチャン","Win!","69a8b9f8-6a5c-42c6-8c73-6dd0b107f3b0","https://image-assets.m.nintendo.com/37b704cb-75fc-4d49-9dcb-52b8b3a517d1"
20,"ハナチャンレース 敗北",45175,True,False,"ハナチャン","","61f91055-29e7-43fb-9cbb-74bb231fdeb7","https://image-assets.m.nintendo.com/3185da98-00bb-46c0-bd8d-039ba5852f42"
21,"ちょっと一息 音楽室1",84523,True,False,"コース|ミュージックコース","","6ec897a3-d249-4a9d-8661-d03cb797c9e8","https://image-assets.m.nintendo.com/0d81d5cd-dbc4-4ffd-bff2-db6f2e8d831b"
22,"ワールド：フラワー諸島",148831,True,True,"ワールド","","af8cca54-fce8-4aea-b868-6e03d72fbe11","https://image-assets.m.nintendo.com/86b914b4-1844-4720-ace3-1e352e07697f"
23,"クッパ登場！",10296,False,False,"クッパ","","2fa3e810-6de8-47d6-8392-51a5f896ba0e","https://image-assets.m.nintendo.com/1ee41c8e-d00a-48c9-b037-f8055d2db184"
24,"海岸のテーマ",120758,True,True,"コース","ウォーキング","faf01457-b9ad-4392-8fb6-6ec0cc0d470e","https://image-assets.m.nintendo.com/713fa6af-9d05-4d83-bf7a-dfca243a8a01"
25,"水中のテーマ",122130,True,False,"コース","ほっと一息","cbc3e068-f0e0-4ea3-b196-ca93c9b644b1","https://image-assets.m.nintendo.com/c13add1f-1a35-4e52-af4f-409b26dcfb9e"
26,"トワイライトワンダー",64304,True,True,"ワンダー","","33816f05-eef1-4be3-b827-23767b7fede6","https://image-assets.m.nintendo.com/038301e3-e360-4843-9dc4-bf6ca0ccbdea"
27,"ワールド：モックモック高山",163542,True,True,"ワールド","冬に聴きたい","ab99b0a7-6a5a-4964-b698-f8e912475dd9","https://image-assets.m.nintendo.com/420e99a3-ed61-475a-bd1d-f84b236ad855"
28,"雪山のテーマ",150085,True,True,"コース","冬に聴きたい","43338f75-53b3-4786-bee3-7cc1fcb92520","https://image-assets.m.nintendo.com/7cc7b7b6-1990-4f84-94c9-14ffb3b976b6"
29,"バラエティワンダー",131891,True,True,"ワンダー","","7157c700-c1ed-4afa-a429-26e73b473c9b","https://image-assets.m.nintendo.com/6f8c3bc5-ae63-4379-8737-1c9588a67832"
30,"アスレチックのテーマ",127010,True,True,"コース","元気を出して","1c835516-a516-44b3-836c-b269e56df113","https://image-assets.m.nintendo.com/8b390428-54e0-48c4-9220-927d368682dc"
31,"レッツ！チャレンジ！ジャンピング！",49921,False,False,"ミュージックコース|ワンダー","","714075ce-45b4-4ee4-83d9-c604415fccc6","https://image-assets.m.nintendo.com/9853145d-69d2-425e-86d8-9fd805ee0a34"
32,"スーパースター",34085,True,False,"","","fc526808-9e9c-480a-8a58-e229af87e115","https://image-assets.m.nintendo.com/d79cb800-4914-4346-a04a-9f3000962b6e"
33,"パレスのテーマ",206085,True,True,"クッパJr.|コース","","2dabcba1-54f6-4a01-b900-5587caf90283","https://image-assets.m.nintendo.com/47093c39-48d6-456b-a577-7d03da8c3294"
34,"VS.クッパJr.",215085,True,True,"クッパJr.|ワンダー","強敵たち","d3bef287-d34a-45ac-a62b-af10d2aee2b7","https://image-assets.m.nintendo.com/27640c9c-e294-40de-beaa-14b883a57a92"
35,"グランドシードゲット",7688,False,False,"","Win!","d77ae7cc-f52a-414c-aebd-f6a5db81d7cc","https://image-assets.m.nintendo.com/e83683c9-6621-4fb2-85dd-6bbc3a66b126"
36,"ワールドクリア",58560,True,False,"","","501098b5-719c-468c-928d-4d69d3755123","https://image-assets.m.nintendo.com/a7918519-6cfb-4abd-a915-83a19bf71223"
37,"ワールド：オーゴン滝",132971,True,True,"ワールド","","9a3f0e58-78f7-4831-bfbf-05acd22f8522","https://image-assets.m.nintendo.com/5cbb8f70-c357-4550-8644-095e1185df7e"
38,"ポプリンの家",60085,True,False,"コース","春に聴きたい","ae9cc58c-56e5-41b4-a98f-fc53e9ee7884","https://image-assets.m.nintendo.com/b0eea94b-7f6f-4065-ab56-0ee153c5b5ca"
39,"オーゴン滝のテーマ",157081,True,True,"コース","ウォーキング","e01352ae-3efc-405d-a9e2-8f8132c36bed","https://image-assets.m.nintendo.com/d2985bae-25d6-4131-ac9a-2dc37f9332b1"
40,"変身ワンダー",73657,True,True,"ワンダー","","aa23636f-3d5a-4486-9bcf-d92cbb9f5644","https://image-assets.m.nintendo.com/1cb7a501-d7dc-4c42-90b6-8ff332bad91d"
41,"流星群ワンダー",31054,True,False,"ワンダー","","cb0cfc6e-b39a-4416-b30d-1cbe6f125239","https://image-assets.m.nintendo.com/7e09eadd-0a2e-427e-8a53-c81204df8615"
42,"バッジチャレンジ",166871,True,False,"コース","","1f144b79-261c-46b3-bc11-8524ff825635","https://image-assets.m.nintendo.com/119c20d1-cd3d-4f65-a92f-aa34fe6d4e98"
43,"コインざくざく ゴールデンボーナス",27914,False,False,"コース|ミュージックコース","","990d4da7-b71b-4b2a-a6c0-cd9f43cdb340","https://image-assets.m.nintendo.com/cefed77b-2b1c-4c22-816d-4b37e208198d"
44,"ちょっと一息 その1",129460,True,False,"コース","","1324fe72-43ae-4195-9718-7798385d5adb","https://image-assets.m.nintendo.com/8563b95f-73b4-46e9-952e-3b73712cc80a"
45,"ちょっと一息 その2",37449,True,False,"コース","","e379317d-1d54-4eab-b4ff-c4bacdf19d9b","https://image-assets.m.nintendo.com/2691629c-c32f-45a5-ad6a-1fb3809496b9"
46,"発見！ キノピオ隊長",47035,True,False,"","","5aa1835e-d838-4545-b9c2-91b8351da6c5","https://image-assets.m.nintendo.com/f97eb553-383e-41db-8766-12c4e1aac0ae"
47,"新たなワールド",12585,False,False,"","","3c2e9022-c94b-4031-b041-9b157d6c44ce","https://image-assets.m.nintendo.com/45d169d1-44c5-4005-8d44-22b5273453a2"
48,"ワールド：ヒデリー砂漠",150192,True,True,"ワールド","","4fabd367-ee5b-4800-b6cd-a3508f783c01","https://image-assets.m.nintendo.com/33de50ab-9ca4-4a2c-9d1a-8228b0d0c33e"
49,"砂漠のテーマ",156390,True,True,"コース","","0dc1c32f-032c-4d99-8998-8594d1940836","https://image-assets.m.nintendo.com/ba6348a6-bc29-49de-aba8-f7173af95a18"
50,"謎解きワンダー",135085,True,False,"ワンダー","","30dead8d-a5b7-4679-baa7-1a1d39bdbe11","https://image-assets.m.nintendo.com/afa3e6c4-914c-4316-a5d5-c7911c1a7f87"
51,"地下のテーマ",221682,True,False,"コース","","933a1748-484a-40b0-80e0-1daa8e6c5727","https://image-assets.m.nintendo.com/333ec8be-e58a-47d1-913c-6c7d868a78bd"
52,"ヒデリー・ナイト・フィーバー",107155,True,True,"ミュージックコース|ワンダー","みんなでいっしょに|ランニング|元気を出して","72425df9-bfcc-4e6a-8ad4-3e66eb8e9a66","https://image-assets.m.nintendo.com/4332c629-b150-4dd9-9664-520738089c7e"
