index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"地上BGM",186645,True,True,"","冒険のはじまり","efc61259-826b-401d-92ec-17fb452bd6c2","https://image-assets.m.nintendo.com/35f265cd-97f4-4478-8a4e-04f96cc5e3e3"
2,"タイムアップ警告音",3176,False,False,"","","1114ae28-ee49-46a4-915e-e4bc73a644c8","https://image-assets.m.nintendo.com/0ad4cf18-288c-4a0c-b361-de5c10842bb2"
3,"地上BGM（ハリーアップ）",128611,True,False,"","","bb088d31-4e78-45e1-956c-9a1f5a11b172","https://image-assets.m.nintendo.com/430d03d6-3c86-4abe-80e7-c0d769580c4e"
4,"コースクリア ファンファーレ",5903,False,True,"","","6aa15917-f7b9-4d20-b972-7fda68b8784b","https://image-assets.m.nintendo.com/4b62dfde-0c6a-4648-9fa6-d12acf222c33"
5,"地下BGM",35689,True,True,"","","337c8e86-d0f1-438c-90a5-d7150808b1a4","https://image-assets.m.nintendo.com/0bd72220-aefe-47ba-9031-38e297a048a6"
6,"地下BGM（ハリーアップ）",27149,True,False,"","","f12dc68c-3c44-4f44-979c-6cad0b012185","https://image-assets.m.nintendo.com/1a459999-1285-40e3-a304-4bed3a4702cd"
7,"無敵BGM",14638,True,True,"","","c88e8237-95e2-43bf-bfda-1df67efc0c4a","https://image-assets.m.nintendo.com/c069271e-c092-4286-a7e2-0f7b9a903dc9"
8,"無敵BGM（ハリーアップ）",10292,True,False,"","","680cb7be-330d-4bca-9f00-16611feb7b06","https://image-assets.m.nintendo.com/8294e635-2d2e-4ca2-93f6-0485af486328"
9,"プレイヤーダウン",3198,False,True,"","","6d167c8c-a08c-4c66-9e1c-bd0dc82c461b","https://image-assets.m.nintendo.com/fb55cfa5-8cb3-4aff-b6f0-539db631459e"
10,"ゲームオーバー",4193,False,True,"","","38dc7e57-4a2e-48cc-b07d-5592160eebe6","https://image-assets.m.nintendo.com/3da9362b-7b44-4ab8-b503-f3f1f0269542"
11,"水中BGM",64836,True,True,"","","688ca0a0-268b-4d72-b7f4-8b9f72190d42","https://image-assets.m.nintendo.com/199d34e1-0d8e-4ec6-b70a-0ae19d06ac46"
12,"水中BGM（ハリーアップ）",52622,True,False,"","","5fb98dc2-628d-4540-9558-d9cad7a6f13c","https://image-assets.m.nintendo.com/cbc3975d-8556-4fc7-89d0-12f2327fe1ef"
13,"城BGM",27074,True,True,"クッパ","","4480fd9b-3ed6-4267-8ad9-b842c91aa1e1","https://image-assets.m.nintendo.com/b1e16279-5d73-44c8-95ee-b031001667c3"
14,"城BGM（ハリーアップ）",25840,True,False,"","","738a1112-ed82-4a85-a3c2-c086e92ec47b","https://image-assets.m.nintendo.com/a548dc8a-a7be-4915-958d-37585ac2de51"
15,"ワールドクリア ファンファーレ",6725,False,True,"キノピオ","Win!","a2bb9845-5232-40e5-9975-c285ca908f22","https://image-assets.m.nintendo.com/c28824a9-e217-48ff-ba01-4159fc5b2ab7"
16,"エンディング",23623,True,True,"ピーチ","","2e7e15fc-ab48-4c9e-8ada-07c1f627a779","https://image-assets.m.nintendo.com/5937c058-c335-4b1f-a6d5-ff16c22039cf"
