index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"オープニング（全滅した科学アカデミー研究所）",24706,False,True,"メトロイド","","Nintendo Musicピックアップ集","771e54b2-add9-4e9c-8475-b8094632a6a9","https://image-assets.m.nintendo.com/eb4f9bcb-fb48-4a39-8e4c-622cc9a9e9f3"
2,"タイトル",81297,True,True,"メトロイド","タイトル画面","Nintendo Musicピックアップ集","122d732c-2374-414b-9b35-602dddd4d681","https://image-assets.m.nintendo.com/1b298bec-bb60-44d6-92e0-5ae4f819ad5b"
3,"スーパーメトロイドのテーマ",207500,True,True,"","","Nintendo Musicセレクション|Nintendo Musicピックアップ集|スーパーファミコンセレクション","5f639923-f559-4fbf-9b90-e0638ef6df4b","https://image-assets.m.nintendo.com/d21417f3-b139-48f2-89ae-b11622997c04"
4,"サムス・アラン登場ファンファーレ",6103,False,True,"","","Nintendo Musicピックアップ集","55d25aad-a35d-4c82-b6eb-84d53de4b95f","https://image-assets.m.nintendo.com/95eb02de-08bf-4a3b-ad53-e5148a2a427e"
5,"惑星ゼーベス クレテリア到着",167499,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","971ee79f-f165-4876-83c4-849f15cc3e52","https://image-assets.m.nintendo.com/1e40c571-6e9e-4ce9-b8f0-688497ac8d07"
6,"静寂",56660,True,False,"","","","5fb09f75-17b6-408e-bfca-5aa6c1685f7b","https://image-assets.m.nintendo.com/f3c0aca9-cd0c-4fb3-a153-9bb5a245f9db"
7,"アイテム取得ファンファーレ",6298,False,True,"","","Nintendo Musicピックアップ集","07c717f2-4acc-42ee-b7dd-83ded9a39949","https://image-assets.m.nintendo.com/6d3e562f-7e09-4570-a958-9feca4958c26"
8,"クレテリア 宇宙海賊出現",222949,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","f83e4208-500e-4e8e-9538-9db7038a71f3","https://image-assets.m.nintendo.com/29a6aab7-ebc3-44e0-8643-4d65b6b97078"
9,"ブリンスタ 植物密生エリア",226571,True,True,"惑星ゼーベス","冒険のはじまり","Nintendo Musicピックアップ集","f5960629-d317-4bf6-a04c-1a501e9ec5b6","https://image-assets.m.nintendo.com/9ab1757c-fe7f-4df6-8ab2-8a97c1b09b17"
10,"小ボス対決BGM（スポア・スポーン/ボツーン）",138144,True,True,"バトル","","Nintendo Musicピックアップ集","33d5dd00-c8f1-456e-9b81-fab0118947ee","https://image-assets.m.nintendo.com/ed688b18-7305-403f-a7ec-e563b6d2fa10"
11,"ブリンスタ 赤土湿地エリア",234203,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","174951d2-5142-4d29-970e-225135e279c8","https://image-assets.m.nintendo.com/9f81f50e-facd-4972-82b9-d15bcc760426"
12,"大ボス対決BGM（クレイド/クロコマイアー/ファントゥーン）",67128,True,True,"バトル","","Nintendo Musicピックアップ集","af199e5d-e0d5-4bc4-af01-f7230f2db3a3","https://image-assets.m.nintendo.com/03885d70-d0d1-40c9-bd70-35cbdb554daa"
13,"ノルフェア 灼熱の溶岩エリア",146350,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","aa601543-d702-4d70-8a45-2afcfc4bebf1","https://image-assets.m.nintendo.com/5c449042-2735-4c65-9e5e-b886ad4ec84c"
14,"宇宙戦士 サムス・アランのテーマ",225706,True,True,"惑星ゼーベス","","Nintendo Musicセレクション|Nintendo Musicピックアップ集|スーパーファミコンセレクション","ebdf47bf-7e8a-4b69-8a8e-7dcb842ba7e0","https://image-assets.m.nintendo.com/11bad9ac-b456-4331-be0c-fe5ab9702c03"
15,"難破船",279067,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","bccba931-a4a0-4929-8944-98a475d85731","https://image-assets.m.nintendo.com/3ca091cb-0647-44c4-a11b-d26b5fa41543"
16,"マリーディア 岩の地下水エリア",181685,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","a0aa07d7-4ed3-4519-84ca-c4d18e5efcea","https://image-assets.m.nintendo.com/f350627d-3773-46c5-a1ab-e7267e029bff"
17,"マリーディア 流砂の地下水エリア",242164,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","6c6e9659-9695-47d5-be49-8ebc6e86f520","https://image-assets.m.nintendo.com/cb774338-6313-4db7-ab62-a9e8446f4be8"
18,"ノルフェア 古代遺跡エリア",281291,True,True,"惑星ゼーベス","","Nintendo Musicピックアップ集","7a03743a-6b95-4eef-a384-9a3e39a72850","https://image-assets.m.nintendo.com/9535f0b5-a633-42dd-bce1-31b7ae0dce25"
19,"大ボス対決BGM（リドリー/ドレイゴン）",84907,True,True,"バトル","強敵たち","Nintendo Musicセレクション|Nintendo Musicピックアップ集|スーパーファミコンセレクション","97e1d5eb-3412-43b1-b0a8-c8b1bcd898ee","https://image-assets.m.nintendo.com/0bcc0b45-1869-4fdb-8c25-de6661dfc514"
20,"サムス・アラン最後の叫び",3978,False,False,"","","","d1dc5854-b5d8-4dc9-8f2a-38ecc5377e0f","https://image-assets.m.nintendo.com/79e99a5f-b5d8-4366-a115-97ff7ee62890"
21,"謎の彫像部屋",104130,True,False,"惑星ゼーベス","","","a7c3065d-2f18-4b1a-8826-c81f874c5650","https://image-assets.m.nintendo.com/909747b9-1725-42fc-8d5e-e48bd29b470f"
22,"ツーリアン",236591,True,True,"メトロイド|惑星ゼーベス","","Nintendo Musicピックアップ集","a9f97343-a490-4c22-b88a-d71ad23f3f23","https://image-assets.m.nintendo.com/bc0843be-cb7f-4efc-936f-80952b5f5525"
23,"緊張",78092,True,False,"","","","566a8a7d-1521-47f3-a468-ac210e9c3720","https://image-assets.m.nintendo.com/e9712684-f235-47e0-955e-632d90568afe"
24,"マザーブレイン",149050,True,True,"バトル","ラストバトル","Nintendo Musicピックアップ集","4b4798f9-7e3d-4c4b-aada-77816d67b6bf","https://image-assets.m.nintendo.com/7c425593-08e6-4ac1-8ebc-34df968091f2"
25,"脱出",73135,True,True,"","","Nintendo Musicピックアップ集","646e2911-05fd-408f-8d35-7033fb87adb1","https://image-assets.m.nintendo.com/08d82d2c-6dd5-4603-89a8-0744c2992645"
26,"惑星ゼーベス爆発",21469,False,False,"","","","58a54936-6f32-4dde-b2c2-606ea238e4ee","https://image-assets.m.nintendo.com/817a9377-0977-4007-9322-8b8c29397921"
27,"任務完了",17939,False,True,"","","Nintendo Musicピックアップ集","f9d37533-4113-485e-b3d7-0b0ccbf134bb","https://image-assets.m.nintendo.com/e10e1997-cc46-4198-ac36-8094ddcd4201"
28,"エンディング",184236,False,True,"","スタッフロール","Nintendo Musicピックアップ集","633bd869-bcd3-4ca9-aeb1-c92c8312361e","https://image-assets.m.nintendo.com/cc30bede-0a2a-437d-8344-cc180c133efb"
