index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"「Ｉ」ntroduction",99609,True,False,"ルフレ","","","58eb41d7-adec-4db6-87af-4bcdc530a6bf","https://image-assets.m.nintendo.com/824a59b5-a53c-48cc-bcf4-f42af2184544"
2,"予兆/メインテーマ",110306,False,True,"","","Nintendo Musicピックアップ集","25055aab-c117-4f2f-806c-b8d4d223ac4d","https://image-assets.m.nintendo.com/0e47093a-3b5b-4f35-a6bd-c04fba77224d"
3,"こんなところで寝てると風邪ひくぞ",20061,False,False,"クロム|リズ|ルフレ","","","6551b6cd-1841-4517-9032-49e430f0c999","https://image-assets.m.nintendo.com/9e879bef-a69f-4247-b2db-23c332b1eea0"
4,"「Ｉ」～安",161137,True,True,"クロム|リズ|ルフレ","ほっとひと息","Nintendo Musicピックアップ集","63168349-1388-4e2c-b834-75d4c280628b","https://image-assets.m.nintendo.com/8d39a5ec-dc1e-41ab-8b1a-a797c6f3f830"
5,"序幕",317138,True,False,"戦闘マップ","冒険のはじまり","","becff267-b382-4567-8977-bbfb96b38f86","https://image-assets.m.nintendo.com/ceedc4e3-ca37-421c-b2ff-5fdbdec51b2e"
6,"序幕～炎",317230,True,True,"戦闘","","Nintendo Musicピックアップ集","c0be969a-54ad-4ed2-8e9d-4d019a1d22b4","https://image-assets.m.nintendo.com/3a363033-63d8-476a-8a72-fe20cfb5afe0"
7,"猛襲",113463,True,False,"戦闘マップ","","","da51d54e-55f3-47ee-bb85-e4930c5e2063","https://image-assets.m.nintendo.com/0f230efc-9105-4ebd-b61c-efb1109107d4"
8,"猛襲～鋼",113402,True,True,"戦闘","","Nintendo Musicピックアップ集","cd527309-4892-4ee8-9c4d-7e02ab27aeff","https://image-assets.m.nintendo.com/e7ab3335-5d68-418e-9076-dba8cb0679d2"
9,"こんなところにも、屍兵が…！",96590,True,False,"クロム","","","d71a9970-7d92-46e1-a597-1828010fc08e","https://image-assets.m.nintendo.com/0c4aeff5-eca7-4c67-8784-58fbeada2d3c"
10,"大敵・序",45222,True,False,"","","","421717c9-9365-4398-9b3e-6d75e6531d63","https://image-assets.m.nintendo.com/bb7f86d4-6dee-4405-a7aa-0ca9f3518d02"
11,"大敵",150858,True,True,"戦闘","","Nintendo Musicピックアップ集","22688e38-8f40-48f0-86e3-d785d01c65d1","https://image-assets.m.nintendo.com/b4f717ea-1e80-46cb-8dda-fca14d011704"
