index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"オープニング",89991,False,True,"","","Nintendo Musicピックアップ集","44e1dc9f-f52d-4803-96dc-04e49b0552e3","https://image-assets.m.nintendo.com/31fce3b7-d1e4-4779-b1e3-b1fd82aa6d88"
2,"タイトル",204278,True,True,"ワリオ","タイトル画面","Nintendo Musicセレクション|Nintendo Musicピックアップ集","860ebc4e-a2ac-4e9e-b1e9-e6ea0fd7790a","https://image-assets.m.nintendo.com/54c2fb37-f173-44fb-bb59-e7221261ceb6"
3,"メニュー",88208,True,True,"","","Nintendo Musicピックアップ集","ed079b8c-9489-4d8e-b727-eb78230ea1ae","https://image-assets.m.nintendo.com/a9850c3c-93e0-4714-b4f9-30e3f4a71eed"
4,"ワリカセ（テハジメ）：プロローグ",33658,False,True,"","","Nintendo Musicピックアップ集","cec55216-95e3-40db-b963-6fdc5711e859","https://image-assets.m.nintendo.com/81c0f0e4-0803-4423-81cb-417146ed0314"
5,"ワリカセ（テハジメ）：ステージ開始",4309,False,True,"","","Nintendo Musicピックアップ集","c8a00dd6-566f-46f7-b86c-cc96786c861d","https://image-assets.m.nintendo.com/0ce9af03-cc98-4a71-be79-c5dac8765d16"
6,"ボウソウじどうしゃ",4235,False,True,"プチゲーム","","Nintendo Musicピックアップ集","000fa890-3bb1-4466-b1c2-018c9496ee8c","https://image-assets.m.nintendo.com/87b22fd7-2ca6-42e2-89e9-e1de01ebf01d"
7,"ワリカセ（テハジメ）：プチゲーム成功 1",2280,False,True,"","","Nintendo Musicピックアップ集","8e123d96-79d8-473d-8cb6-3b86b481dd39","https://image-assets.m.nintendo.com/d7e812f3-4db7-44a7-b6ac-6f651862916e"
8,"ワリカセ（テハジメ）：プチゲーム開始 1",2385,False,True,"","","Nintendo Musicピックアップ集","3dd81ff1-c2bd-41d0-b51c-fb59961a842b","https://image-assets.m.nintendo.com/e2bf9e27-774c-4659-a85d-86f1dd86c4ec"
9,"かいてんばん",4283,False,True,"プチゲーム","","Nintendo Musicピックアップ集","b66cd5e4-482f-47ac-88fd-daca1c09bfb4","https://image-assets.m.nintendo.com/040a3922-4d25-4cd9-9356-b544f3eb820c"
10,"ぼうつかみ",4184,False,True,"プチゲーム","","Nintendo Musicピックアップ集","6e17647f-ec89-4135-b912-9cbd62a3a351","https://image-assets.m.nintendo.com/3901dc0a-dcf8-4ca6-a7bc-f7cd2100c055"
11,"ダイヤモンド",4052,False,True,"プチゲーム","","Nintendo Musicピックアップ集","5a10d97d-9746-4b07-b51e-a15a415034d2","https://image-assets.m.nintendo.com/5c64cdb6-4661-471a-84f3-3ac779170be5"
12,"ワリカセ（テハジメ）：プチゲーム失敗 1",2285,False,True,"","","Nintendo Musicピックアップ集","5a1cabd2-d62c-4c0c-a49d-8c7b244480d4","https://image-assets.m.nintendo.com/da234ab7-9efd-4383-ad25-5c572a6a6d71"
13,"スピードアップ/レベルアップ",4438,False,True,"","","Nintendo Musicピックアップ集","1d0b8000-7bc9-46a6-a04f-804cc85ed0f1","https://image-assets.m.nintendo.com/0091c609-0c6d-4211-99ec-9091720b9650"
14,"ごろごろボール",3919,False,True,"プチゲーム","","Nintendo Musicピックアップ集","e98bc635-22f3-4aa9-9ab1-33fe43d30327","https://image-assets.m.nintendo.com/6d7f5bcf-a26a-42d8-9656-59d74897e1dc"
15,"UFOをうて！",3933,False,True,"プチゲーム","","Nintendo Musicピックアップ集","390db300-4a52-4863-8a1c-ba33cd9fe311","https://image-assets.m.nintendo.com/06334d91-992a-44d3-8159-f4a08f8bd2c8"
16,"きせかえ",4186,False,True,"プチゲーム","","Nintendo Musicピックアップ集","17e83def-4f9c-4dd3-a837-45b5f9b2c25a","https://image-assets.m.nintendo.com/5dfb8956-9f5b-42d7-98b4-44c7f953aaa3"
17,"ドライブ",4184,False,True,"プチゲーム","","Nintendo Musicピックアップ集","f4f04670-3df0-45ab-a159-10234726c8c8","https://image-assets.m.nintendo.com/010ff7a7-bcc4-4652-b7d2-13cae120d104"
18,"ワリカセ（テハジメ）：プチゲーム成功 2",2201,False,True,"","","Nintendo Musicピックアップ集","194e43bf-47e8-4687-a801-6f6504ebf466","https://image-assets.m.nintendo.com/f8428ec2-5944-44c3-8d9a-64cfee045cd1"
19,"ワリカセ（テハジメ）：プチゲーム開始 2",2371,False,True,"","","Nintendo Musicピックアップ集","e77ef01a-6b7d-4c57-8056-9c4b6916ccf1","https://image-assets.m.nintendo.com/c5626d63-409e-4f28-b255-19bd237655d8"
20,"おタカラいっぱい！",3919,False,True,"プチゲーム","","Nintendo Musicピックアップ集","29d32f23-4713-4a9c-9112-12513078acbe","https://image-assets.m.nintendo.com/c2d6830e-e4fe-45fc-9508-1a7a9ab9e900"
21,"スーパーワリオ",3850,False,True,"プチゲーム","","Nintendo Musicピックアップ集","f99db65c-b203-402b-ab20-738f4eaf8b18","https://image-assets.m.nintendo.com/19005f66-abe0-4208-9026-704d1ffba58d"
22,"スパイ",3933,False,True,"プチゲーム","","Nintendo Musicピックアップ集","3c3d108a-846e-499d-bfcc-9bb399bd81e3","https://image-assets.m.nintendo.com/98de059e-978a-4d61-a29e-108e864bd307"
23,"カウンター",4114,False,True,"プチゲーム","","Nintendo Musicピックアップ集","87c18691-3370-4bb6-827e-51038f2bd9a4","https://image-assets.m.nintendo.com/626e4ee7-eadc-47e4-a55c-959cc9706ef8"
24,"ワリカセ（テハジメ）：プチゲーム失敗 2",2243,False,True,"","","Nintendo Musicピックアップ集","0bb6f109-3b9e-43c2-9814-3cefdcbf33de","https://image-assets.m.nintendo.com/683f9c6c-a55e-4833-9397-9b7b34b0b6f2"
25,"パンチング・マシン（ボス）",71842,True,True,"プチゲーム","","Nintendo Musicピックアップ集","2003d5c1-d9a0-444d-9fe0-37969ccf7932","https://image-assets.m.nintendo.com/7272d56f-bcb6-4f0e-9be2-38a8e99c0712"
26,"ボスゲーム失敗",2344,False,False,"","","","c7bad546-4d80-495d-b0e6-50cc3997acf3","https://image-assets.m.nintendo.com/1353b651-2ecd-40f9-ba7d-6eeb6d8df608"
27,"ボスゲーム成功",3269,False,True,"","Win!","Nintendo Musicピックアップ集","265ca2da-1689-4c56-a50c-bd7bd4da052f","https://image-assets.m.nintendo.com/389b2416-c862-42da-8a49-ce48b13f0de9"
28,"ひとやすみ",7919,False,False,"","","","026b1510-3ce2-4e63-ae3d-cb7f74a70224","https://image-assets.m.nintendo.com/2193b2f6-a7a4-4d05-99e7-bcf61e241ec6"
29,"ワリカセ（テハジメ）：エピローグ",33338,False,True,"","","Nintendo Musicピックアップ集","cf1fab2d-8b54-4078-805a-f8102093bb70","https://image-assets.m.nintendo.com/ad84951e-f048-44c4-bd6e-4004de8c5d35"
30,"ワリカセ（テハジメ）：リザルト",50580,True,True,"","","Nintendo Musicピックアップ集","60fbc2ab-7f13-4810-b669-8becb52bd789","https://image-assets.m.nintendo.com/906e4fb5-34e7-4b1a-85ca-bc04466652ef"
31,"ジミーT.（スポーツ）：プロローグ",40232,False,True,"","","Nintendo Musicピックアップ集","ad116021-04a3-47d4-97b0-6e5b513bea3d","https://image-assets.m.nintendo.com/8a0d8036-b530-407e-8c14-621665276ffa"
32,"ジミーT.（スポーツ）：プチゲーム開始 1",2480,False,True,"","","Nintendo Musicピックアップ集","3a47c5d0-2d37-451c-ae49-4f17ef8daece","https://image-assets.m.nintendo.com/e756f64c-5a75-4294-8a98-730224e9acbf"
33,"まるたわり",4230,False,True,"プチゲーム","","Nintendo Musicピックアップ集","9f54aaf9-0305-42f6-acf1-f86da9638946","https://image-assets.m.nintendo.com/ba0f5f5a-fc66-4775-b3d8-640a5d465c87"
34,"ジミーT.（スポーツ）：プチゲーム成功 1",2608,False,True,"","","Nintendo Musicピックアップ集","dbd01fe3-ec0d-48b6-9900-2be92165674f","https://image-assets.m.nintendo.com/f7979619-080a-46dd-b4b7-d4347c3744c2"
35,"ジミーT.（スポーツ）：プチゲーム開始 2",2694,False,True,"","","Nintendo Musicピックアップ集","c570cadb-5f49-40bf-bbc4-ab38d758471f","https://image-assets.m.nintendo.com/03503f44-8671-4dd0-9d27-399cceec178f"
36,"なわとび",4217,False,True,"プチゲーム","","Nintendo Musicピックアップ集","f5e61433-74f6-4191-806f-868af9b02256","https://image-assets.m.nintendo.com/4a01f32d-684f-4c2b-860c-57b5fe90c9ef"
37,"いちりんしゃ",4152,False,True,"プチゲーム","","Nintendo Musicピックアップ集","5f64d474-9ffb-4e06-88cc-6b1642e2ab45","https://image-assets.m.nintendo.com/4cea5f83-6520-40fa-b7ba-7fa1f8556925"
38,"テニス",4184,False,True,"プチゲーム","","Nintendo Musicピックアップ集","b6a44366-8040-47fe-9613-c6a58bef3e78","https://image-assets.m.nintendo.com/065a25ab-ef52-43d2-9221-ce2c3afa2ef8"
39,"スキージャンプ",6449,False,True,"プチゲーム","","Nintendo Musicピックアップ集","5c137320-f71e-49ab-8098-15178f092809","https://image-assets.m.nintendo.com/419cbba7-5e35-4bae-a189-5de9b1d0ccbd"
40,"パットゴルフ",4067,False,True,"プチゲーム","","Nintendo Musicピックアップ集","1c597e0e-7cc9-4e9c-821b-df78987ed213","https://image-assets.m.nintendo.com/c51a562d-0440-49c3-bfa2-02370c948e54"
41,"ハイパージャンプ",3919,False,True,"プチゲーム","","Nintendo Musicピックアップ集","5db9c0d6-47d1-4a06-9028-c637efb70e25","https://image-assets.m.nintendo.com/08ff5ff3-1b97-4f48-a93e-9ebaf5d3f3bb"
42,"バタフライ",4052,False,True,"プチゲーム","","Nintendo Musicピックアップ集","3c8c44a6-4f65-49dd-a3a2-8a9dc3970e01","https://image-assets.m.nintendo.com/37b6ba7c-b830-45ad-b2f1-8df5fe8d94db"
43,"じゅうりょうあげ",4254,False,True,"プチゲーム","","Nintendo Musicピックアップ集","40882e0b-54f4-4f94-a2ad-3143a8363a15","https://image-assets.m.nintendo.com/fe332343-8ce2-4d9a-836d-c46d60949259"
44,"アーチェリー",4444,False,True,"プチゲーム","","Nintendo Musicピックアップ集","9b5eb18c-d4b8-4054-9eee-3f11918a0204","https://image-assets.m.nintendo.com/9227a595-5464-4214-89ea-b15fe54fa3af"
45,"ジミーT.（スポーツ）：プチゲーム失敗 1",2681,False,True,"","","Nintendo Musicピックアップ集","8066dfa5-28a5-4c96-83a9-e5a645dfe594","https://image-assets.m.nintendo.com/19b244f7-03ba-4942-b141-4956982c6c91"
46,"スノボー",4285,False,True,"プチゲーム","","Nintendo Musicピックアップ集","6dc10840-6e29-4689-b2fd-7c4268e99c31","https://image-assets.m.nintendo.com/98736fbb-d1ea-469c-8ef5-1be99dbaa6cd"
47,"バスケット",4283,False,True,"プチゲーム","","Nintendo Musicピックアップ集","bf3f0771-2e10-4500-abcf-1161f74bc55e","https://image-assets.m.nintendo.com/549ecf37-5217-447e-886d-9f0638a0410b"
48,"キャッチボール",6449,False,True,"プチゲーム","","Nintendo Musicピックアップ集","043e5f96-af13-4b08-a3aa-732bb0adf326","https://image-assets.m.nintendo.com/a8fb6e6d-463d-4382-8f8e-60a3e5eed1d8"
49,"ハードル",4217,False,True,"プチゲーム","","Nintendo Musicピックアップ集","6857c332-a652-4bfa-8b21-23060c8e74ce","https://image-assets.m.nintendo.com/017b9ac7-98cc-481e-902c-4f4774976afb"
