index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"さぁ準備はできたかい",153219,True,True,"","タイトル画面","702b5df1-980b-408a-bf73-aa01a2a3d224","https://image-assets.m.nintendo.com/ba508572-34f8-4a18-9345-f8cdc575c085"
2,"新世界をかけぬけて",285453,True,True,"ステージ","ランニング|元気を出して|冒険のはじまり|春に聴きたい","e298f61b-47e1-475a-97c6-8fb5534eb522","https://image-assets.m.nintendo.com/facfaaad-01ac-4b7b-bcd3-e4852f12f128"
3,"行こうよアライブルモール",180975,True,False,"ステージ","ランニング","235a4ab6-3a2f-4127-b621-356d5e24c9c1","https://image-assets.m.nintendo.com/2814a0d8-a9aa-4b92-aa58-6b8a7c869da4"
4,"VS. デンジャラスビースト",147324,True,True,"ボスバトル","","3b26412a-a1c6-46dc-8264-53f42d8f2f67","https://image-assets.m.nintendo.com/8e10fb11-4d78-42d2-9202-a05e4b6fc429"
5,"泳げ！ひろびろビーチ",239320,True,True,"ステージ","","c74c9394-3686-4232-93cd-6a2b472bc217","https://image-assets.m.nintendo.com/1d06b14c-6669-40ed-8937-4b0b51824604"
6,"ようこそワンダリア",271943,True,True,"ステージ","ランニング","e5b45528-9367-4730-be9d-8430746c4127","https://image-assets.m.nintendo.com/bf36a9b8-b70c-489f-b3e2-0a8d83ea6e5d"
7,"ワドルディの町",154991,True,False,"ワドルディ|ワドルディの町","ウォーキング|春に聴きたい","240a2586-280e-4eb5-b92d-fd9b5eb20b08","https://image-assets.m.nintendo.com/e61f711d-97fa-4167-8458-2bc1fd5f89de"
8,"ワドルディのぶき屋さん",133225,True,False,"ワドルディ|ワドルディの町","","73472d2d-6ca2-45d9-a475-2c673543295b","https://image-assets.m.nintendo.com/fcc3f331-654c-45c3-854b-1737a61aa306"
9,"ランチにうえた！わにゃのむれ",57958,True,False,"ワドルディ|ワドルディの町","みんなでいっしょに","dc04bc2e-2c7f-4e18-bb9e-7be748bd7877","https://image-assets.m.nintendo.com/aeb5b2f1-d4c2-4e45-b404-1dc096e360ea"
10,"SURVIVAL SWORD BOUNCER",301501,True,False,"ボスバトル|メタナイト|ワドルディの町","","b4eb5a07-455d-481b-9d5a-d3e733c8fc05","https://image-assets.m.nintendo.com/2a353720-ccc7-45cb-969f-cbaf53d33bcd"
11,"北のホワイトストリート",323877,True,True,"ステージ","冬に聴きたい","d41e6d29-54bf-4dbf-bdf9-6e02be075d12","https://image-assets.m.nintendo.com/44380509-abb9-421b-a856-b9677181c514"
12,"シャウト オブ デデデ",269659,True,True,"デデデ大王|ボスバトル","強敵たち","d39afaae-b00e-4674-a4ee-395e5183d02c","https://image-assets.m.nintendo.com/3be68b05-d2f1-4dd6-9d68-994ba4ba08dd"
13,"ムーンライトキャニオン",274327,True,True,"ステージ","ウォーキング","a00c92c3-f9e9-45a2-aa1e-a6a6a4bbf7bb","https://image-assets.m.nintendo.com/d433fe53-224f-4765-8f58-1b4e49548b65"
14,"アツアツの禁足地へ",387204,True,True,"ステージ","","ce54779b-490e-42d5-bc2c-0a4daada5b01","https://image-assets.m.nintendo.com/d0245e7f-82cc-47f1-adb7-bd3d65f49df5"
15,"資源エネルギープラント",291889,True,False,"ステージ","","a646047c-d1f7-41e0-9262-69cc3cddb967","https://image-assets.m.nintendo.com/f5f84286-b433-4c0e-a804-4591078ff462"
16,"BAD MASKED WILD：D.D.D.",103934,True,True,"デデデ大王|ボスバトル","元気を出して","6c2c73ce-30d5-44cf-918c-04720c795236","https://image-assets.m.nintendo.com/d5802966-fdb6-4f00-8668-697bfcd9120b"
17,"ドキドキ発見ドリームツアー",145629,False,True,"","","9770a31a-8696-41e2-ae65-f0b319e737e7","https://image-assets.m.nintendo.com/f0557aef-c1f5-421c-9da2-600ce49d07b9"
18,"隆隆たる獅子叢の哮り",354371,True,True,"ボスバトル","","d4dbac08-08b1-4da8-8b00-e45d07f15a4b","https://image-assets.m.nintendo.com/b127e3e9-54c8-4ef7-b5e6-2e435d11a411"
19,"エフィリン",79804,True,False,"エフィリン","おやすみなさい","cd63b503-e77d-4775-951b-67ae7b84aa27","https://image-assets.m.nintendo.com/827498ca-d724-40bd-a6d6-30404d632c9f"
20,"いつしか双星はロッシュ限界へ",498433,True,True,"エフィリン|ボスバトル","ラストバトル","b694c07a-0d69-4261-a7f5-d79a72c2f2a1","https://image-assets.m.nintendo.com/d24429e2-6dc7-43ff-a494-3287bbef1b85"
21,"無敵にGOODBYE NEW WORLD！",191850,True,True,"エフィリン|ボスバトル","元気を出して","7b522821-270c-4f19-b3f8-d4ca285df5c6","https://image-assets.m.nintendo.com/e9e1efd6-cf4c-4087-a0e8-46ae94f4233e"
22,"翔る決意～No night lasts forever",82442,False,False,"エフィリン","","c75782fb-40b7-4b79-949d-9aa05cddbddf","https://image-assets.m.nintendo.com/0524dd1f-c941-453a-9a2a-8cde18b01ab9"
23,"WELCOME TO THE NEW WORLD！（Full）",214638,False,True,"","ウォーキング|スタッフロール|元気を出して","55692139-79ca-4236-bff6-c509a45457c7","https://image-assets.m.nintendo.com/b96204f2-eabf-4d7b-a96e-ab73398a21e9"
