index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Game Startup",4542,False,False,"","","","781ac0d7-d0eb-494a-bc57-3fd57c42a3a5","https://image-assets.m.nintendo.com/1838ebe2-fba9-40bb-8bbf-12a10806c68c"
2,"System Architecture",6167,False,True,"","","","df1aaf54-ad46-4b18-a2e5-a50125820475","https://image-assets.m.nintendo.com/5ac50000-e645-462f-a001-75671b2f8d52"
3,"Opening",20435,False,True,"","","","4ba56ff9-a7d3-454a-99cd-457fe3d91df1","https://image-assets.m.nintendo.com/6c607d7b-92db-427b-ac80-91a1b9a37560"
4,"Title Screen",53300,True,True,"","타이틀 화면","Nintendo Music 셀렉션","d268cfb3-4015-4004-ba44-b7a3003fd9f5","https://image-assets.m.nintendo.com/af2ac18c-9fa8-4af7-ba39-03d6f5145fef"
5,"File Select",30500,True,True,"","","","64c8c68c-8bbf-4641-9cb1-df47fab89e4e","https://image-assets.m.nintendo.com/235149a5-d283-4bdb-8032-8825fd630a5b"
6,"Opponent List",45914,True,True,"","","Nintendo Music 셀렉션","c265bc12-59a3-47a2-9638-97a950a5ebba","https://image-assets.m.nintendo.com/fd73b1ec-a209-40cb-90f9-08c235442605"
7,"Opponent Profile",40777,True,True,"","","","ecf6b860-878b-4f05-b894-d07ccc77d015","https://image-assets.m.nintendo.com/e5382690-3551-4518-afa6-6205206136f8"
8,"Round",2195,False,True,"","","","bdf174da-ffdf-46f2-a592-914db3c4bf0b","https://image-assets.m.nintendo.com/c50e1299-3a5b-4413-af6e-a5de458abf51"
9,"Vs. Pagero",80598,True,True,"","","Nintendo Music 셀렉션","b81764ae-ee86-4ff3-bcb2-1cda8c9f8bce","https://image-assets.m.nintendo.com/6b292929-7ef0-456c-83d6-f64b65c14748"
10,"Round Over",19895,False,True,"","","","0713a1ad-8612-4240-8f3c-be6d65807713","https://image-assets.m.nintendo.com/ad599f26-9407-42ef-a932-5b0b4d550da8"
11,"Vs. Spokong",77707,True,True,"","","","5a4e9e73-50a6-4ab0-bf53-563f5f5207f0","https://image-assets.m.nintendo.com/ba76780c-6101-4c69-9217-db82cc7a4dac"
12,"A Chance to Strike!",79301,True,True,"","","","74419568-df93-475b-a944-c509b6f8dd80","https://image-assets.m.nintendo.com/53e10efe-0d42-434e-86d8-4d824e860974"
13,"Vs. Dorihey",81401,True,True,"","","","5b86ab75-a987-49db-adee-4b30133e4a60","https://image-assets.m.nintendo.com/c672a0e2-5df6-417c-a4b1-22b151f02dc1"
14,"K.O. (Win)",6078,False,True,"","Win!","","e1bc224a-e37b-4d94-8673-ec1d9eccef26","https://image-assets.m.nintendo.com/b33ae28a-d3b8-4201-a2bf-351ffabd471c"
15,"You Win!",28732,True,True,"","Win!","","2e1c757a-d9c2-4d8f-8ce4-a0249f79ca96","https://image-assets.m.nintendo.com/9a4f9a25-81c2-4ab6-9693-32eb1b11d460"
16,"Vs. Bomkun",89270,True,True,"","","","a08b45f3-529e-4d85-a312-e75b6c8d3ca6","https://image-assets.m.nintendo.com/5c9dcd3e-d6e9-4afc-a448-b3b266fb9348"
17,"K.O. (Bomkun)",10719,False,True,"","Win!","","bb7af12c-5de1-43ac-a48c-55de3dd875c3","https://image-assets.m.nintendo.com/3d62a47b-6c90-4562-a2f9-85e500f03a91"
