index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Overture",83438,False,True,"","걷기|타이틀 화면","Nintendo Music 픽업 모음","e3447746-0ddf-4910-bf6b-7887c9e6d25a","https://image-assets.m.nintendo.com/9ddc6c9b-ac53-422d-9cde-b0a801eff81a"
2,"A New Story",88681,True,True,"갤럭시 투어|재생 시간 조정 대응 음악|피치","","Nintendo Music 픽업 모음","1c9ab885-ffa3-4d35-a0c8-a99d9f8ae26d","https://image-assets.m.nintendo.com/9c6ac77a-5296-4ed3-9946-1449c4a95adb"
3,"The Lost Luma",33847,True,False,"재생 시간 조정 대응 음악|치코들","","","35914042-cbd5-4516-aa4a-30a0bb0b8f31","https://image-assets.m.nintendo.com/cd9f2636-db31-4d49-b256-74dba8cef647"
4,"The Power of the Stars",3020,False,False,"","","","0b68e258-8cef-4f0d-b003-709f27adbd78","https://image-assets.m.nintendo.com/5550e91a-2d13-4c7d-adbf-34b733e0724d"
5,"Sky Station Galaxy",145671,True,True,"갤럭시 투어|재생 시간 조정 대응 음악","모험의 시작|힘내","Nintendo Music 셀렉션|Nintendo Music 픽업 모음|마리오 셀렉션","3148219f-3511-45db-bfde-0233389b9c27","https://image-assets.m.nintendo.com/55cbe6a8-0b92-4b08-9a6d-25bbb9493e3a"
6,"Peewee Piranha",75320,True,True,"보스 배틀|재생 시간 조정 대응 음악","","Nintendo Music 픽업 모음","77510733-3830-47a1-9ac5-dbdb56f0be73","https://image-assets.m.nintendo.com/4f3d4a41-02d4-4b45-ad57-f348f54b2e83"
7,"Unknown Star",78327,True,False,"재생 시간 조정 대응 음악|치코들","잘 자","","e780f417-a2ad-4cb1-9819-3610b4667900","https://image-assets.m.nintendo.com/8d568a68-8971-47ac-9b17-79a510de1154"
8,"The Starship Appears",38678,True,False,"재생 시간 조정 대응 음악","","","ea6a4fda-d56b-40eb-a2d2-00d7c9d0fb83","https://image-assets.m.nintendo.com/c6dea1ba-f90c-4f67-813e-7acad8c1e7e9"
9,"Starship Mario, Blasting Off!",85591,True,True,"재생 시간 조정 대응 음악","","Nintendo Music 픽업 모음","3962dc10-fba1-4307-a613-727030d0dfbe","https://image-assets.m.nintendo.com/fe0f9de3-e36d-4489-9b3e-2291ba011d7b"
10,"Yoshi Appears",5431,False,False,"요시","","","c3776b42-03fd-4559-8d57-892645184a4f","https://image-assets.m.nintendo.com/8e321dc4-74a6-4743-a8a1-9d9e03948b70"
