index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Start the Mario Party!",213400,False,True,"마귀","모두 다 같이","Nintendo Music 픽업 모음","3ab255bc-5d15-452c-9cfd-ae3037efaa34","https://image-assets.m.nintendo.com/95d09979-ffed-46d4-b145-945063ba17f9"
2,"Super Mario Party Jamboree",109100,True,True,"","타이틀 화면|힘내","Nintendo Music 셀렉션|Nintendo Music 픽업 모음|Nintendo Switch 셀렉션|마리오 셀렉션","a3340444-2d85-4587-b20b-be9a5638fc22","https://image-assets.m.nintendo.com/1b9f250b-d2cb-4e9b-bc27-9e21332f98f8"
3,"Shopping at the Party Plaza",125516,True,True,"","","Nintendo Music 픽업 모음","98e8b42b-2b32-48c0-bbbb-106893b8499e","https://image-assets.m.nintendo.com/846bfbec-f90e-430e-942c-db8801b5b9b2"
4,"Where to Play?",118093,True,True,"","","Nintendo Music 픽업 모음","6961ec70-e1db-46b9-b0f5-f07dccd3f20a","https://image-assets.m.nintendo.com/fc654711-9429-44cf-9fc5-5430ab4e7a22"
5,"Get the Party Started!",71718,True,True,"","모두 다 같이","Nintendo Music 셀렉션|Nintendo Music 픽업 모음|Nintendo Switch 셀렉션|마리오 셀렉션","05eeb5e4-7418-4fa8-8eb5-110b49b99a4d","https://image-assets.m.nintendo.com/f6001fc3-92ea-4779-8adf-82d584139118"
6,"Mega Wiggler's Tree Party - Opening",15580,False,False,"꽃충이|보드게임의 섬","","","9470ca7e-ef49-4ab3-8f4d-603546b5d54f","https://image-assets.m.nintendo.com/e5a36654-3e79-42b0-a3ff-9ce73ed9999b"
7,"Mega Wiggler's Tree Party 1",204241,True,True,"꽃충이|보드게임의 섬","봄","Nintendo Music 픽업 모음","5f1db575-2642-4763-ad5e-71b9b244c8f1","https://image-assets.m.nintendo.com/2660b75f-c671-46d7-a9cc-83c136079e27"
8,"Mega Wiggler's Tree Party 1 - Wiggler's Back",214883,True,True,"꽃충이|보드게임의 섬","잘 자","Nintendo Music 픽업 모음","dd86ed94-1d36-4ceb-8907-cc2bff3fd2e6","https://image-assets.m.nintendo.com/37d25aa1-0ca7-4750-9b20-9201bd396010"
9,"Things Afoot in the Forest",52560,True,False,"보드게임의 섬","","","23c7507c-ca04-4e09-b44d-4c4e71a9f2b4","https://image-assets.m.nintendo.com/d80ae1c9-ddc6-4556-93fa-daa219ddb187"
10,"Mega Wiggler's Joy",56989,True,False,"꽃충이|보드게임의 섬","걷기","","9bb5de70-9cc9-41ea-b9c8-ce00d60418e8","https://image-assets.m.nintendo.com/7fb61c3e-ea7b-4584-8645-2a0b8dbc26ec"
11,"Mega Wiggler's Anger",59646,True,False,"꽃충이|보드게임의 섬","","","18aa1ddb-40dd-4e31-b1e5-4a19b37dfeaf","https://image-assets.m.nintendo.com/2ec5e034-b0d6-4485-bf1e-a9bab8597e93"
12,"Mega Wiggler's Tree Party 2",186852,True,False,"꽃충이|보드게임의 섬","","","79ff5724-65a6-48e5-b502-16d92dce231c","https://image-assets.m.nintendo.com/4f92e066-9c9d-4398-9a15-d959c87e3958"
13,"Mega Wiggler's Tree Party 2 - Wiggler's Back",199186,True,False,"꽃충이|보드게임의 섬","","","17928867-e1a4-4603-a581-e866d6df8baf","https://image-assets.m.nintendo.com/7f45707d-b6ee-4022-8068-6e7531be2a22"
14,"Roll 'Em Raceway - Opening",16770,False,False,"보드게임의 섬","","","9df8a3c8-65b2-4e8e-ad04-cdefa9795909","https://image-assets.m.nintendo.com/be8c87bc-fa45-496b-9490-7471e7fad2d4"
15,"Roll 'Em Raceway 1 - Before the Dice Roll",177144,True,False,"보드게임의 섬","","","a49952f9-3438-4d0f-b86a-5e4954d1ae1f","https://image-assets.m.nintendo.com/d9e3012f-cddf-4290-9008-508eb376efc0"
16,"Roll 'Em Raceway 1 - After the Dice Roll",177496,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","f6d2ceac-28a3-4e4d-87d3-87b3f5e3b69d","https://image-assets.m.nintendo.com/32c7208c-e933-4984-84c4-c1e5dd8d24d3"
17,"A Wild Ride",66397,True,False,"보드게임의 섬","","","2079b684-352f-4dd0-8151-1d381c3da942","https://image-assets.m.nintendo.com/778a9766-d36a-4fcc-ba52-2372fe781feb"
18,"Midrace",43515,True,False,"보드게임의 섬","","","2d81d7c3-de9c-4d89-8b97-faa5bd00bef2","https://image-assets.m.nintendo.com/486ef6bd-38b5-40df-a2a8-454b943a314a"
19,"Roll 'Em Raceway 2 - Before the Dice Roll",166731,True,False,"보드게임의 섬","","","361167c7-db6f-41eb-829c-a45a015ab817","https://image-assets.m.nintendo.com/cd148310-4dff-4093-bf2c-c44506d242be"
20,"Roll 'Em Raceway 2 - After the Dice Roll",166730,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","e345a3c7-a83a-465b-bb7c-4303690853fc","https://image-assets.m.nintendo.com/fa0a6a97-ad0f-45ff-805c-668994355fd0"
21,"Rainbow Galleria - Opening",15830,False,False,"보드게임의 섬","","","b172e39a-e9fe-40e0-a7c8-568b5ced47af","https://image-assets.m.nintendo.com/95b27383-4f5c-4c42-ae76-f600143538cf"
22,"Rainbow Galleria 1",139371,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","4d6b103a-157a-441f-af6c-240b2c06a552","https://image-assets.m.nintendo.com/f135489b-d774-49d0-afae-8877919daeef"
23,"Shop Till You Drop",33309,True,False,"보드게임의 섬","","","62ea9e4b-0321-48bb-af8d-0cb180423ec1","https://image-assets.m.nintendo.com/dbd75159-630d-4c2c-9cb1-90189ab3ff00"
24,"Galleria Flash Sale",52798,True,False,"보드게임의 섬","","","8acabdaf-d710-42c7-b425-c3bcad8b760a","https://image-assets.m.nintendo.com/8e3dc9a8-e607-46ce-b8ab-9769c1de4950"
25,"Flash Sale!",102348,True,False,"보드게임의 섬","","","25a21505-76e9-4f33-a61b-006dcfc9fc2b","https://image-assets.m.nintendo.com/7188b7ef-f76e-482f-b88b-f01479fad78e"
26,"Rainbow Galleria 2",134485,True,True,"보드게임의 섬","걷기","Nintendo Music 픽업 모음","df238f6b-a468-4899-92e8-46969b867d77","https://image-assets.m.nintendo.com/10c93545-9702-4d08-9378-c9664a3857d7"
27,"Goomba Lagoon - Opening",16259,False,False,"보드게임의 섬","","","bb2a0018-30cb-4924-a65d-35ad3b14f6c7","https://image-assets.m.nintendo.com/8ca5e58c-9297-4a3c-85bc-53c90d0459eb"
28,"Goomba Lagoon 1",195366,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","050c0a0c-ef31-476d-bc7a-e4c94aeb970f","https://image-assets.m.nintendo.com/1f4aa727-e2a5-4478-a567-62c0e57feb72"
29,"Volcanic Eruption",37414,True,False,"보드게임의 섬","","","76c59e9d-3c3d-4b89-b558-6a8f95054195","https://image-assets.m.nintendo.com/2858b66a-8a4a-42da-9bc8-060c2e963f8c"
30,"Lava Bubble Eruption!",34023,True,False,"보드게임의 섬","","","65ae54f3-e14a-4913-b4d8-20da7b9809a8","https://image-assets.m.nintendo.com/66239cc2-f2ae-4e59-90c5-f453e8b19f46"
31,"Fun in the Sun",71522,True,False,"보드게임의 섬","","","23e878cc-fca4-43e9-9169-e7a8eb69ff57","https://image-assets.m.nintendo.com/eff7ad03-26c0-4893-ba42-5f49c4e5d566"
32,"Goomba Lagoon 2",205117,True,True,"보드게임의 섬","걷기","Nintendo Music 픽업 모음","561d80db-cd10-45c0-969f-469745503c43","https://image-assets.m.nintendo.com/1c3cc6a0-f36d-4e36-9d36-630a33ef1574"
33,"Western Land - Opening",15385,False,False,"보드게임의 섬","","","71dbfaf2-a8fe-4d06-b27f-c817197e4702","https://image-assets.m.nintendo.com/55293c92-574f-4c00-a346-bed58bc76959"
34,"Western Land 1",204020,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","8d3f3132-682a-4b5d-b880-819be5059720","https://image-assets.m.nintendo.com/93045396-51a2-46e1-b676-5d1a11c70dfb"
35,"Bottoms Up!",48121,True,False,"보드게임의 섬","","","27435982-ed37-4d6b-903a-83fc930c4cf7","https://image-assets.m.nintendo.com/cbdfeca2-8968-4a69-bb56-3e6cf5e208f5"
36,"Choo-choo!",82453,True,False,"보드게임의 섬","","","9ff2eb82-63ed-41ce-8183-800627396053","https://image-assets.m.nintendo.com/5016e406-8d72-4d52-8673-81b75da4e4c4"
37,"Steamer's Moving!",41620,True,False,"보드게임의 섬","","","e8ea91f8-3572-42de-9810-6bf96cd4a484","https://image-assets.m.nintendo.com/b08a5020-fdc6-41f9-a28b-a36072b58a8f"
38,"Western Land 2",224538,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","4628d8ff-5ac5-406e-b23c-a68bacb8dabb","https://image-assets.m.nintendo.com/289113cc-e2f1-488d-9d4e-a1bf1a822677"
39,"Mario's Rainbow Castle - Opening",16138,False,False,"보드게임의 섬","","","c33c987c-ce3a-4aed-88f6-4659c33943ad","https://image-assets.m.nintendo.com/950ada3b-5c7a-4741-bca1-18caf2e5b31a"
40,"Mario's Rainbow Castle 1",135450,True,True,"보드게임의 섬","","Nintendo Music 픽업 모음","5750befe-3b97-4667-aa06-96e02a69d3ac","https://image-assets.m.nintendo.com/0402418d-8655-40f2-9628-234ded01eefb"
41,"Mario's Rainbow Castle 1 - Impostor Bowser Appears",151984,True,True,"보드게임의 섬|쿠파","","Nintendo Music 픽업 모음","d1b77850-dadd-4406-a4f2-3b658585e023","https://image-assets.m.nintendo.com/7cc5e491-8c9b-4c8e-866f-b7598f5149b3"
42,"The Star above the Tower",49653,True,False,"보드게임의 섬","","","0a1d25ef-3ca1-42ac-90b9-16ee66f82b37","https://image-assets.m.nintendo.com/f2cf3e0f-ca6c-4cef-9caa-5c3b721d8aa9"
43,"Unwanted Ztar",49439,True,False,"보드게임의 섬|쿠파","","","d641c752-3aa7-4e51-84c0-8f6a4e7318f5","https://image-assets.m.nintendo.com/9ce6785a-21c1-49cb-adc3-7e9f81695fc0"
44,"Mario's Rainbow Castle 2",148781,True,False,"보드게임의 섬","","","21c7eac0-4683-429d-a0a8-32fa1832bf3d","https://image-assets.m.nintendo.com/0ee44843-b94a-4d32-9964-32a12d2cb54c"
45,"Mario's Rainbow Castle 2 - Impostor Bowser Appears",146582,True,False,"보드게임의 섬|쿠파","","","9e2bd710-d92d-4ecf-9887-26835aeb542f","https://image-assets.m.nintendo.com/7f9df856-c69c-40df-92ed-a259d4fed290"
46,"King Bowser's Keep - Opening",19391,False,False,"보드게임의 섬|쿠파","","","c09cbc87-3e08-4321-a4eb-23a7a6e42869","https://image-assets.m.nintendo.com/a3547b10-f20e-4793-b108-59efb7ed4263"
47,"King Bowser's Keep 1",149831,True,True,"보드게임의 섬|쿠파","","Nintendo Music 픽업 모음","4b2bf14d-df8c-4b4b-98a4-47e413b5f8ca","https://image-assets.m.nintendo.com/ce8e4340-f6cb-42db-a440-895bcb66a16e"
48,"Bowser's Treacherous Traps",31090,True,False,"보드게임의 섬","","","d0240f48-a4d1-4aba-9031-b0c4477c9332","https://image-assets.m.nintendo.com/039e3442-4bac-43db-a3e8-90719245089c"
49,"Impostor Bowser's Turn",59086,True,False,"보드게임의 섬","","","ca93615a-1324-4bc4-8260-69432fe6b6fb","https://image-assets.m.nintendo.com/c34fa50c-3f80-4f5b-8120-067aa8a6f071"
50,"King Bowser's Keep 2",114488,True,True,"보드게임의 섬|쿠파","","Nintendo Music 픽업 모음","85894ec8-da3e-48b3-90f4-a44eea41610e","https://image-assets.m.nintendo.com/8b3950d4-aeb1-4d89-85d9-428ac020b9e0"
51,"Minigame Time!",28325,True,True,"","","Nintendo Music 셀렉션|Nintendo Music 픽업 모음|Nintendo Switch 셀렉션|마리오 셀렉션","c8a6f95c-93b1-4b7e-9ddd-825c89a8e9ed","https://image-assets.m.nintendo.com/d3206551-090e-4a3f-a17c-e1cefe72bcd1"
