index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Welcome to Paldea",132826,False,True,"클라벨","","c42c84c4-5520-4f87-aa49-9278af8f8f23","https://image-assets.m.nintendo.com/ab2d0bdb-eac0-4b6b-b902-715370bf5884"
2,"Across the Skies of Paldea",75306,False,True,"코라이돈・미라이돈","","68eb7b71-4351-4f01-8b45-f0d15ff8c8d3","https://image-assets.m.nintendo.com/2cb95c8e-3dbc-4a04-9ba1-4ba019ede6a8"
3,"Home",131253,False,False,"","","abc09d85-d84c-4260-8484-82ad753d9fd1","https://image-assets.m.nintendo.com/bfe6dbd4-ad72-4743-96ff-8ef2d974f851"
4,"Cabo Poco",116120,False,True,"필드","","c4070152-6503-4c82-8bd6-c3d346d50b47","https://image-assets.m.nintendo.com/b4eeb388-42a9-40fe-8a87-1697d1469103"
5,"First Meeting",65546,False,True,"네모","","b356ddea-0701-4a37-9100-eeccb3eb141e","https://image-assets.m.nintendo.com/5da10c95-f9fd-4efd-b07a-fa18eb4a5f90"
6,"Becoming Stronger",84666,False,False,"네모|챔피언 로드","달리기","45d86dc6-037d-4a0b-aca2-121ecad536e1","https://image-assets.m.nintendo.com/e3e771ec-2141-4e8e-83e9-d953a0e05121"
7,"Battle! (Nemona)",132253,False,True,"네모|챔피언 로드|포켓몬 배틀","힘내","bafcb61d-228b-4bcb-ad23-a36c2ab04d27","https://image-assets.m.nintendo.com/704fbd54-ab95-4cf4-a738-8be3d8d0a4f5"
8,"Poco Path",139320,False,False,"필드","걷기","97d70dca-4ed7-43bb-a9c9-e57c88a073bf","https://image-assets.m.nintendo.com/4b36e227-0b5e-4b61-84ec-d8e083ed119f"
9,"Battle! (Wild Pokémon)",170333,False,True,"포켓몬 배틀","","f20731c3-2aec-4b72-833b-e458a383fc1f","https://image-assets.m.nintendo.com/98ae08d0-5165-4b72-97a7-f8184e369960"
10,"By the Shore",30933,False,True,"코라이돈・미라이돈","","0ce40243-a764-41b4-b499-8295c686ebc8","https://image-assets.m.nintendo.com/d72c70c8-1bb3-4566-b449-98afd6e361d6"
11,"Going through the Inlet Grotto",156253,False,False,"필드","","503536f8-0459-41bc-acd2-32cad8bb62d2","https://image-assets.m.nintendo.com/a7933014-5fc4-4adc-88f8-eacaf4807de8"
