index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",75656,False,True,"","标题画面","Nintendo Music精选|Nintendo Music精选集","56e5b480-5bda-4618-8a55-feaf28182ecb","https://image-assets.m.nintendo.com/66be5205-34e1-4df3-b39e-64478de6f69e"
2,"Stage 1",96324,True,True,"","冒险的开始","Nintendo Music精选|Nintendo Music精选集","fb5b6ea0-9aa2-4c83-ad25-0f031bfcadfa","https://image-assets.m.nintendo.com/356b87e9-6f76-44ae-85e2-2a4682e98941"
3,"Boss BGM",48692,True,True,"","强敌","Nintendo Music精选集","5b4b8b3d-2c35-439f-9274-70a760390acb","https://image-assets.m.nintendo.com/b27fa73c-96e4-421c-b57e-b044f738fbf6"
4,"Stage Clear",2512,False,False,"","Win!","Nintendo Music精选集","27ae5b60-8027-4de1-955e-c23b09bc5710","https://image-assets.m.nintendo.com/c7003358-01a0-47e1-bde0-8f86a6912d77"
5,"Stage 2",138611,True,True,"","","Nintendo Music精选集","8e8dd6c4-28ff-49d0-aac7-53a69bf759c3","https://image-assets.m.nintendo.com/eab80ee8-6054-4e90-aac3-b2daaa31b765"
6,"Fortress",105234,True,True,"","","Nintendo Music精选集","96bfcc75-2bde-4038-8b70-f521840d509e","https://image-assets.m.nintendo.com/5323cb03-e9ff-4ad8-b6e3-004e9651c483"
7,"Stage 3",60106,True,True,"","","Nintendo Music精选集","1525dcdc-a711-4a63-9d17-c2d4590f5b85","https://image-assets.m.nintendo.com/fdbdf99f-a935-44da-8a75-68dbbb99c4bc"
8,"Reaper's Theme",25392,True,True,"","","Nintendo Music精选|Nintendo Music精选集","c330147b-e4ea-4280-b008-54e0858de846","https://image-assets.m.nintendo.com/3b8ddbf2-5766-4f8b-ac3c-82f9fb7ba8c0"
9,"Game Over",3350,False,False,"","","Nintendo Music精选集","32662be7-8516-48f6-946e-8a652d754c9d","https://image-assets.m.nintendo.com/82f51455-2446-4e37-9fcf-03b0bdfca8b8"
10,"Stage 4",101023,True,True,"","","Nintendo Music精选集","ed5157d8-8fb8-478e-8e61-c2539931ab18","https://image-assets.m.nintendo.com/2a647567-9cc2-473f-95f0-0361f02f7c34"
11,"Final Boss BGM",49914,True,True,"","最终决战","Nintendo Music精选集","746747e7-6c52-4f27-b109-260642c5812b","https://image-assets.m.nintendo.com/d05ee8f1-7aaa-4a4e-a374-c21dd278331f"
12,"Ending Theme",67049,False,True,"","制作人员名单","Nintendo Music精选集","bd0e3e58-9e8f-44a7-9f4a-74d8647f737b","https://image-assets.m.nintendo.com/7a4ebbd4-8f25-408e-81cf-e328a718544e"
