index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Mario Kart 7 (HOME Menu)",3785,False,False,"","","","d979a21e-9ca3-44d3-86ac-bb0c0025dafc","https://image-assets.m.nintendo.com/a4397b84-9e35-43d8-8ffb-0ee379f48b81"
2,"Mario Kart 7 Title Screen",142415,True,True,"","打起精神来|标题画面","Nintendo Music精选|Nintendo Music精选集|马力欧精选","19fdaaee-eb54-47b8-9eee-8e4e933373a0","https://image-assets.m.nintendo.com/25528e50-f309-4892-b68b-c71d05ba0686"
3,"Toad Circuit",122654,True,True,"奇诺比奥","打起精神来","Nintendo Music精选|Nintendo Music精选集|马力欧精选","0c7d2782-13f8-444d-bc06-d7d227730639","https://image-assets.m.nintendo.com/a42c936f-9c5c-46c0-a31a-9d579b0a503c"
4,"Daisy Hills",108524,True,True,"","聆听春日","Nintendo Music精选集","22eeb2d0-811d-40d1-85b9-70fa6a93b9a6","https://image-assets.m.nintendo.com/a05cd202-fd32-4d68-bb4e-f41b5f7e2c43"
5,"Cheep Cheep Lagoon",136184,True,True,"","步行|聆听夏日","Nintendo Music精选集","174a3707-4c4e-445e-aa5c-e7566f0d763f","https://image-assets.m.nintendo.com/8fd4b8aa-f35b-4c0d-8254-b501f647d956"
6,"Shy Guy Bazaar",145817,True,True,"嘿呵","","Nintendo Music精选集","b07ff863-aba8-4549-af2a-d9a91e375602","https://image-assets.m.nintendo.com/1e93c2db-dfb0-455b-afd8-d0879cfbd1c6"
7,"Wuhu Loop",180934,True,True,"","步行|聆听夏日","Nintendo Music精选集","13810f9c-0662-4d9d-897a-1f303a975afe","https://image-assets.m.nintendo.com/8ad9bfcb-bb82-4dc8-b559-acb7a5e1a787"
8,"Mario Circuit",122654,True,True,"","","Nintendo Music精选集","67ae65c3-8003-4dff-8c81-13b554cbba5f","https://image-assets.m.nintendo.com/7cfbde31-c192-4fd6-a331-685661d5ea85"
9,"Music Park",109295,True,True,"","大家一起来","Nintendo Music精选集","84b68e29-4199-4546-a340-f84de1c46089","https://image-assets.m.nintendo.com/92de2715-066b-4bf9-ac32-f7202e3aec4a"
10,"Rock Rock Mountain",138896,True,True,"","打起精神来","Nintendo Music精选集","e747dd3a-dfb3-4252-a0f7-bb26cde81708","https://image-assets.m.nintendo.com/a2590578-5b45-4927-93d9-2a285eef16f1"
11,"Piranha Plant Slide",141145,True,True,"吞食花","打起精神来","Nintendo Music精选集","5ee56a95-8e0d-431b-ad6e-289cb33b6e41","https://image-assets.m.nintendo.com/4b3a47d2-23a0-43fe-aca1-2e6e7ff181ac"
12,"Piranha Plant Slide (Underwater)",141139,True,False,"吞食花","","","a44b287d-eee1-45ca-95b6-cb2e999e6db0","https://image-assets.m.nintendo.com/ce6570cf-303c-4232-8158-c28ece3dc480"
13,"Wario Shipyard",127009,True,True,"","","Nintendo Music精选集","8b37db16-0ef0-467b-a82c-bbc612634517","https://image-assets.m.nintendo.com/7a410fd3-4e96-4843-8603-e8204cf0e52a"
14,"Wario Shipyard (Underwater)",126988,True,False,"","","","f1a4f17a-8c30-43d6-8141-56adb253e7da","https://image-assets.m.nintendo.com/33ab9bd3-1c0d-4d23-b1f2-ca2c34efb255"
15,"Neo Bowser City",124528,True,True,"酷霸","打起精神来","Nintendo Music精选集","6be8417b-d105-4784-be91-2b02ad951de3","https://image-assets.m.nintendo.com/22db7972-4da3-4d16-8c04-4260c850e8a8"
16,"Maka Wuhu",180934,True,True,"","","Nintendo Music精选集","1a397783-16e4-4b26-9268-4ef46e93562b","https://image-assets.m.nintendo.com/bf58008e-ba3f-4322-85ee-7c1b9bc7fbbd"
17,"DK Jungle",132675,True,True,"","","Nintendo Music精选集","a1d3c083-a408-42a2-b0c5-bdb166362524","https://image-assets.m.nintendo.com/b793e8d2-e75b-45d5-8a04-f0b2b876aac6"
18,"Rosalina's Ice World",133037,True,True,"罗莎塔","聆听冬日","Nintendo Music精选集|推荐“更改时长”","80f67019-e764-4073-8ffd-3017063121b9","https://image-assets.m.nintendo.com/a4542276-2548-4a03-bfc6-eb3831e6f671"
19,"Bowser's Castle",133437,True,True,"酷霸","","Nintendo Music精选集","45f908c5-52f1-4ff2-8cee-51bc6f202578","https://image-assets.m.nintendo.com/081091d9-c067-45c0-8dd0-5617b41ea77d"
20,"Rainbow Road",232600,True,True,"","步行","Nintendo Music精选|Nintendo Music精选集|推荐“更改时长”|马力欧精选","fa447aca-8c50-4ca7-8178-268eabddd415","https://image-assets.m.nintendo.com/c664d541-4a9e-49ed-8d11-4fb4e7b7d0cf"
21,"Rainbow Road (Lunar Surface)",232598,True,False,"","","","fd7d668b-f18f-47c8-bd86-c4af68800dd3","https://image-assets.m.nintendo.com/1a6c118e-9261-4628-b13c-d6a7b740c192"
22,"Rainbow Road (Final Lap)",216885,True,False,"","","","e58558bc-c056-4f35-8f7c-69a130222dbe","https://image-assets.m.nintendo.com/40f08ed8-f715-4a40-909e-0c9cf4caa5b9"
23,"N64 Luigi Raceway",177170,True,True,"历代赛道|路易吉","","Nintendo Music精选集","5800b999-2511-4b00-a30b-b719eab079a1","https://image-assets.m.nintendo.com/79bd5deb-f2f1-405a-8566-dcba81bfc3f3"
24,"GBA Bowser Castle 1",138775,True,True,"历代赛道|酷霸","","Nintendo Music精选集","05a033e0-2b8c-4ac2-9473-88988f5a97a9","https://image-assets.m.nintendo.com/ea31e612-0567-44f4-85d1-3acee7a7fd10"
25,"Wii Mushroom Gorge",118821,True,True,"历代赛道","","Nintendo Music精选集","f058f409-dd32-4bb9-ad56-063d7f2b8602","https://image-assets.m.nintendo.com/7c40d9eb-63be-4668-baa6-f2c5e28fbdbe"
26,"DS Luigi's Mansion",185772,True,True,"历代赛道|路易吉","","Nintendo Music精选集","6cd8601a-57f1-485a-88a2-3be9d49328c1","https://image-assets.m.nintendo.com/9d4f1b48-7aa6-4f16-baef-dce3f431d84b"
27,"N64 Koopa Beach",140181,True,True,"历代赛道|慢慢龟","","Nintendo Music精选集","36da4d12-6b8f-466b-ab8d-cab320c83eee","https://image-assets.m.nintendo.com/7a3ea77e-f29f-4903-97b5-75d0b031705e"
28,"SNES Mario Circuit 2",85225,True,True,"历代赛道","","Nintendo Music精选集","0fcf49a3-e256-42b5-89dc-c775c38d2be3","https://image-assets.m.nintendo.com/a272e8bd-6e65-467f-9c70-d8e925c1bd7f"
29,"Wii Coconut Mall",139588,True,True,"历代赛道","","Nintendo Music精选集","5b995a20-4b3b-4e78-b9f0-809f84d77556","https://image-assets.m.nintendo.com/9641014f-a179-4c86-8929-e50b5676a776"
30,"DS Waluigi Pinball",136965,True,True,"历代赛道","","Nintendo Music精选集","db0cef6d-8243-414e-8184-d651268b1d0b","https://image-assets.m.nintendo.com/b3a32b7d-9e3d-4cf0-b7b5-e77c323c976d"
31,"N64 Kalimari Desert",154769,True,True,"历代赛道","","Nintendo Music精选集","0eceb2dd-a9fd-401f-b08d-1342aedfe153","https://image-assets.m.nintendo.com/f82aca29-4c43-4a82-b859-60290f384cc6"
32,"DS DK Pass",137086,True,True,"历代赛道","聆听冬日","Nintendo Music精选集","7ffe1ce5-c114-4ef0-a816-c1d40908aeb1","https://image-assets.m.nintendo.com/7197a877-9d32-480a-95bc-a6565fe221a4"
33,"GCN Daisy Cruiser",147309,True,True,"历代赛道","聆听夏日","Nintendo Music精选集","9724b8f9-adf3-4c28-8935-0afaa9049d80","https://image-assets.m.nintendo.com/1f2be2ea-5402-43c3-a5bd-63274af77475"
34,"Wii Maple Treeway",142211,True,True,"历代赛道","聆听秋日","Nintendo Music精选集","410e33fc-28dd-4049-b9be-0dffd9ac595f","https://image-assets.m.nintendo.com/07936ced-c7cb-4325-a5fa-2f082517112f"
35,"Wii Koopa Cape",91556,True,True,"历代赛道","","Nintendo Music精选集","41032cea-49bc-43f0-9a76-54a19882f846","https://image-assets.m.nintendo.com/498e65b4-7ea8-48dd-9601-921b91d562ad"
36,"Wii Koopa Cape (Underwater)",88588,True,False,"","聆听夏日","","740b2332-88c1-4b0d-a8df-d63d7a2d402f","https://image-assets.m.nintendo.com/1a4c87b0-10fb-44ac-abe2-ea29054c378f"
37,"GCN Dino Dino Jungle",141983,True,True,"历代赛道","","Nintendo Music精选集","87e80bba-e74e-4ac0-9651-350448376603","https://image-assets.m.nintendo.com/40372786-105c-41ad-8316-95f2fef47793"
38,"DS Airship Fortress",180622,True,True,"历代赛道","","Nintendo Music精选集","014bda94-a194-4f78-bc89-9450469ab37f","https://image-assets.m.nintendo.com/769bb411-e071-42f8-bdf5-fcb78530d6a8"
39,"SNES Rainbow Road",122667,True,True,"历代赛道","","Nintendo Music精选集","4113b192-a8da-4512-9402-dfd966749a74","https://image-assets.m.nintendo.com/0be96370-f07c-4cda-bcc9-939db49e4dcb"
40,"GBA Battle Course 1",127289,True,False,"对战模式","","","fa9a5e4b-9d6d-43dc-91a4-1519fecf1527","https://image-assets.m.nintendo.com/ae9fc93a-86c3-4744-bf7e-bc8201915296"
41,"N64 Big Donut",186383,True,False,"对战模式","","","e668e4af-5df2-45ad-b11c-97c258029eba","https://image-assets.m.nintendo.com/e497f1b9-9751-4ac7-a206-25c04634cfbf"
42,"DS Palm Shore",119689,True,False,"对战模式","","","24b92178-468d-4ae3-8278-43451d25f3bb","https://image-assets.m.nintendo.com/f551e645-b2c3-4fb4-a808-357605ec493c"
43,"Honeybee Hive",115382,True,False,"对战模式","","","c73ae720-42c1-4302-a369-7e785c52faae","https://image-assets.m.nintendo.com/76604f43-d7cc-4662-aadf-0cbd1b46cbea"
44,"Sherbet Rink",115375,True,False,"对战模式","大家一起来|聆听冬日","","445c80f2-ae91-41e7-8b65-0acae1dbf564","https://image-assets.m.nintendo.com/23cb5744-9bed-4b68-89ee-a3e3d01a2469"
45,"Wuhu Town",115918,True,False,"对战模式","跑步","","3efbdb36-c740-4446-8070-34cdc454cbf4","https://image-assets.m.nintendo.com/91e0fe4c-5ca2-4f17-b31e-9087c5cb5b02"
46,"Selection Screen",162994,True,True,"","","Nintendo Music精选集|推荐“更改时长”","f0486803-92d4-4f03-ab73-206e7e2d981a","https://image-assets.m.nintendo.com/351ed6ad-128c-4f87-9974-9064ef9a7ace"
47,"Selection Screen (Wireless)",65385,True,False,"","","","780ed1e2-9864-45c3-b639-320352604150","https://image-assets.m.nintendo.com/46db6307-253f-4d70-b5aa-258af3bc6ba8"
48,"Selection Screen (Online)",318162,True,False,"","","","3c5b77fd-3fa1-44a3-b473-092af19898b3","https://image-assets.m.nintendo.com/107918e8-df8b-4f6a-930c-4c9a923d5a7b"
49,"Spectating",207047,True,False,"","","","86f87d2b-dea9-4ae2-908a-aa73dce4fa07","https://image-assets.m.nintendo.com/b4a89d52-3d54-43d6-91b9-3205d3148603"
50,"Mario Kart Channel",117535,True,False,"","","","ef9e2a44-e33e-4fc8-a142-ba8ba9596655","https://image-assets.m.nintendo.com/febe6f3d-4ff7-4827-ba5a-f640b3908361"
