index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
1,"Nintendo Presents...",1139,False,False,"","3c251c54-ef2f-497a-8239-18100761e270","https://image-assets.m.nintendo.com/d1aee232-ca67-4374-b1a7-e64444506616"
2,"Opening Melody",161486,False,True,"","c44632a1-beca-4e2f-b439-eef6aa6d564d","https://image-assets.m.nintendo.com/4e6f6c4f-769e-4802-8a1a-9846623d88b9"
3,"Yoshi's Island",130697,True,True,"","e7cab12f-ba65-4828-8389-e7a740ab3ff6","https://image-assets.m.nintendo.com/ad3ddd72-8f0b-4820-bb34-fb6e2078d351"
4,"The Journey Begins",60638,True,False,"","2c2d4e8b-91c4-46a1-bf8f-204ad7a14ae9","https://image-assets.m.nintendo.com/21df6960-1d50-4c7c-bc38-bf99bb05b1d8"
5,"Practice Stage",41094,True,False,"","46352594-5d39-45e2-9245-cdea4d92403e","https://image-assets.m.nintendo.com/2334c102-3951-4fb4-adc4-b1652362fa5a"
6,"Stage Start",1885,False,True,"关卡","0665ee1a-8876-4d35-b4b2-2797752f273e","https://image-assets.m.nintendo.com/a90b712e-ec01-4561-9f3d-2aab180e71d2"
7,"Flower Field BGM",171991,True,True,"关卡|耀西","b2cb2d99-5b44-4dc5-8e4f-0b7b8042f375","https://image-assets.m.nintendo.com/ef71ea59-e06f-4298-b57b-0cab6a642d53"
8,"Goal!",48681,True,True,"关卡|耀西","0436e7b2-9633-4888-a5c7-67fd69762080","https://image-assets.m.nintendo.com/28837778-716b-4ce1-8a44-27804050bd11"
9,"Underground BGM",104526,True,True,"关卡","5fd7db93-8944-4443-8193-ecf28f0e6f09","https://image-assets.m.nintendo.com/47b6ee70-d08f-464d-92a7-fc56d54611c4"
10,"Castles & Forts BGM",126988,True,True,"关卡|酷霸","ccfc9a1b-90d6-401d-a750-5cea0dbaad4e","https://image-assets.m.nintendo.com/89c3c1e0-e390-4555-aa2f-48bb91d8325a"
11,"Kamek's Theme",30361,True,False,"","c365ec6b-c8ea-437f-b202-746f13a45735","https://image-assets.m.nintendo.com/5f117460-6656-4d65-a22f-332c17f6ef4d"
12,"Stage Boss",71678,True,True,"","d93433af-3dcd-43b5-bf26-ed446ad8d468","https://image-assets.m.nintendo.com/d9121475-848f-427b-863c-2aa2debf8657"
13,"Athletic BGM",129403,True,True,"关卡|耀西","91372f53-f0f6-4114-a732-f2ec84d55aba","https://image-assets.m.nintendo.com/151ea454-eae7-485e-93c4-f04862b0af6d"
14,"Ground BGM",89736,True,True,"关卡","c0651b6a-03ec-4471-aa1f-6b063c3f41d0","https://image-assets.m.nintendo.com/4988e0a5-f55a-44fa-a2d6-fda13d8afa6e"
15,"Yoshi Down!",4159,False,False,"","6c310874-4763-451b-8f50-ad6bb3fe5218","https://image-assets.m.nintendo.com/c75c0068-9f9e-4ffc-8076-3a71dab7fb47"
16,"Game Over",8337,False,False,"","8ddb8238-ad76-4b60-a997-23af405d91ad","https://image-assets.m.nintendo.com/af1eb9af-a6f3-4e5f-b932-7c5e06fb9145"
17,"In the Boss Room",57112,True,False,"酷霸","3fc7a581-07f8-4ec1-9dcd-54d74e862ff5","https://image-assets.m.nintendo.com/d7907dff-e6e7-4fb1-9022-d48ac94df201"
18,"Big Boss BGM",118953,True,True,"酷霸","d21243c4-ac6c-44a9-bafc-7117442231b4","https://image-assets.m.nintendo.com/29c02ccd-922d-4170-834a-fb86bb5271cc"
19,"Big Boss Clear",6893,False,False,"","240902bd-9f77-426a-8da3-ecf1c9d4f1c7","https://image-assets.m.nintendo.com/274b256c-ebed-48ed-a513-20619d9e2f19"
20,"Map Screen",132686,False,True,"","f681075a-ac17-44b2-9a58-c84d1e375859","https://image-assets.m.nintendo.com/4e905a59-5d00-4d18-bdc8-4f7c9123f8ff"
21,"Bonus Challenge",84290,True,False,"","2f7d3dfe-e781-4b1d-81f3-a69ae7b1c4e8","https://image-assets.m.nintendo.com/df3686c2-d325-4372-8699-46bb33401243"
22,"Powerful Mario",57565,True,False,"","7138c987-3909-4d56-b273-bf4e1c6f3041","https://image-assets.m.nintendo.com/e642e331-7128-4994-bc78-5a4b8859aad3"
23,"Bowser",163054,True,True,"酷霸","61f48503-ed90-4a93-aae0-6306bffb2142","https://image-assets.m.nintendo.com/fa073f44-44c2-493f-98aa-9e0637085d5b"
24,"Bowser Defeated",8249,False,False,"","9c1ad273-9698-4fe0-8efc-b0de51a5cdf1","https://image-assets.m.nintendo.com/93090e49-916e-414a-a6c3-9cf6eb1b2a91"
25,"Rescuing Luigi",89958,True,False,"","aaf54c43-3a04-47ec-bda4-0ef45ca0888b","https://image-assets.m.nintendo.com/b4ca3bb4-5c20-41fc-b7a5-e40a0a63914d"
26,"Ending",234516,False,True,"","e1e845a6-f16a-4a74-baf2-1c844eb6acd3","https://image-assets.m.nintendo.com/748a1dc5-91ad-4ab7-9dfe-50a562885e8d"
