index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Title Theme",64262,False,True,"","标题画面","17ffdf38-4c43-4f77-b144-3c9504c3f541","https://image-assets.m.nintendo.com/8c7956c4-a422-44b4-9487-cdf5ce83323a"
2,"File Selection",105174,True,False,"","放松一下","cef857fe-815d-45c2-bcca-75caa3e69f4a","https://image-assets.m.nintendo.com/fd209ac2-7015-47d5-a6db-95158ffef2f1"
3,"Legend of the Hero",211994,False,True,"","","82e19b83-3929-43a5-adee-988b94ce0170","https://image-assets.m.nintendo.com/e18df307-f496-4374-b0fd-fb16175b16b9"
4,"Outset Island",232432,True,True,"原野|阿利尔","","62e5b4a0-a25a-4481-9a45-0cf49113736e","https://image-assets.m.nintendo.com/d4a0a1dc-4a2b-4ec4-8375-ba9cc91b7fa8"
5,"House Theme",59449,True,False,"海洋人民","","38c8d844-315c-4f55-91fa-5ada65b190e1","https://image-assets.m.nintendo.com/0db01934-320c-4cb3-96ed-40e34f72b5ca"
6,"Old Man's House",99822,True,False,"海洋人民","","a0fdfd9b-2efb-4f0d-9a93-7f8d0716adc2","https://image-assets.m.nintendo.com/59590829-e290-482f-9151-5280463fccd8"
7,"Ways of the Sword",96474,True,False,"战斗","","6c6ebc58-1302-49e8-9231-aac7d21e782e","https://image-assets.m.nintendo.com/05735d94-94cd-43f2-9351-956eab8b71fb"
8,"Beedle's Shop Ship",139489,True,False,"海洋人民","","f6f9f145-7d44-429b-b753-8e590722c290","https://image-assets.m.nintendo.com/14cf1892-da5e-4b4a-bd30-b2d2b42ced9a"
9,"A Monstrous Bird",38132,False,False,"吉克洛克","","1fad6c5c-966e-4653-a83b-ecf16ef6b71b","https://image-assets.m.nintendo.com/03041ccc-8d4c-4a9f-ba32-46f906e5161a"
10,"Tetra Located",9021,False,False,"特托拉","","f2732d00-a10a-490f-b053-f775cbf4ba6f","https://image-assets.m.nintendo.com/b9545466-6e61-49e1-94f7-4aad95ab3dd9"
11,"Outset Island Forest",41407,True,False,"原野","","c8657b08-4e9b-4299-9958-bcec0d700013","https://image-assets.m.nintendo.com/b1ac6a03-b384-47b7-bb8f-31a2ac604e5d"
12,"Bokoblins Overhead",7919,False,False,"","","3e10dc6b-0cf2-42d7-87d7-196efacef5c3","https://image-assets.m.nintendo.com/0a416623-ba38-4cdf-a2d0-553cc7782360"
13,"Battle Theme",151502,True,True,"战斗","","98380d4c-3025-46f3-90ed-26166829afe3","https://image-assets.m.nintendo.com/24df8679-2e13-4730-8f12-6c75db8bfd9a"
14,"Meeting Tetra",43718,True,False,"海洋人民|特托拉","","ab8a96ce-d3b0-4969-a6e4-49e12495327e","https://image-assets.m.nintendo.com/c0ba482b-a6cc-409e-8aa6-413f2958d0d2"
15,"Aryll Abducted",76978,False,False,"吉克洛克|阿利尔","","c37886b0-0331-4702-b5eb-642f7dcbe5c4","https://image-assets.m.nintendo.com/4b2b31f3-b33b-456a-91db-ae155194a5cc"
16,"Grandma",188852,True,True,"海洋人民","放松一下","3b6d16d4-5843-4149-8bbe-a3cc2a92e057","https://image-assets.m.nintendo.com/f8ff2e18-6988-4a9c-a199-2350b96bf155"
17,"Setting Sail",91430,True,True,"特托拉","冒险的开始","568472af-7616-45f2-8448-f5ed4dc1be0f","https://image-assets.m.nintendo.com/ee59fd78-f252-4b99-828e-75c2cb321909"
18,"Pirates",171148,True,True,"海洋人民|特托拉","","8f0eff33-e4e9-46a5-989c-108e6e0a7495","https://image-assets.m.nintendo.com/91505a93-36ee-4256-8310-17dcad7ab67e"
19,"Below Deck",175930,True,False,"","","c1225472-0cc6-46bd-852d-ceb2c37e00f9","https://image-assets.m.nintendo.com/b1fa8bfe-590b-4a9d-801a-d436ffc9ac44"
20,"Hatching a Rescue Plan",111159,True,False,"特托拉","","3329c22a-2300-480e-916e-9235a6915df7","https://image-assets.m.nintendo.com/e97b73f8-a6db-4d47-ae8c-32c1024232ae"
21,"Executing the Rescue Plan",40264,False,False,"","","ce8f70d4-66de-44fa-b923-cd65720c4e9d","https://image-assets.m.nintendo.com/24d3781f-d77f-432f-9970-3bdc801668b7"
22,"Forsaken Fortress",185630,True,True,"迷宫","","b47e3655-1a25-43e9-8c20-16c6dcf405cc","https://image-assets.m.nintendo.com/25d3606e-2a70-4b6b-b806-d769f0047b16"
23,"The Prisoner",2746,False,False,"","","e6ad05b9-2318-4d99-8d29-22ee2e380791","https://image-assets.m.nintendo.com/bc296e2d-e694-4d63-afe1-00e7a96619df"
24,"Reuniting with Aryll",76072,False,False,"吉克洛克|阿利尔","","9b33529e-e383-4296-bb61-84765935b345","https://image-assets.m.nintendo.com/a3fe003c-d050-4932-be45-deda2e12f0b0"
25,"Meeting the King of Red Lions",28005,False,False,"","","849e9646-79b3-4481-9238-42d70e465a6d","https://image-assets.m.nintendo.com/212c2c47-24c5-4afe-bc73-487ebac044c0"
26,"The Tale of Ganon",76637,False,False,"海洋人民","","a5ccdb07-a499-44d8-a858-6a69ad80c19f","https://image-assets.m.nintendo.com/0a398cf5-8a12-4c09-81a8-12daa3d87ac4"
27,"Search for a Sail",54560,True,False,"","","f2b8da6e-e28b-4cdc-a684-4946dbd4e5f8","https://image-assets.m.nintendo.com/f12f05a1-7c0e-4e78-ae6b-f55e6ef69a5f"
28,"Windfall Island",133564,True,True,"原野","","60b1021f-735e-4f7c-b7eb-a2e903216557","https://image-assets.m.nintendo.com/4f26230c-e36c-4ea6-97ec-b79f3c9a0238"
29,"Potion Shop",144501,True,False,"海洋人民","","aa551924-91ce-4e3b-ab2c-0d45a6d74da3","https://image-assets.m.nintendo.com/03e00566-8832-425b-8be4-0386cbbc73ef"
30,"Daybreak",20836,False,False,"","","d6421a50-1752-4da2-9f51-cd3bfbe5331e","https://image-assets.m.nintendo.com/619cb48f-755e-4622-a35f-40dd47eb89a6"
31,"The Great Sea",296235,True,True,"原野","打起精神来","88160274-8555-4794-bcb8-56de773a66ac","https://image-assets.m.nintendo.com/284a406a-7aea-4544-99cb-fdc60a65f0ab"
32,"Clash at Sea",195857,True,True,"战斗","","bbefc36c-e224-4434-85ac-432464813234","https://image-assets.m.nintendo.com/ec667705-9c8a-4048-9303-79541f3a96ca"
33,"Battle at Sea",146410,True,True,"战斗","","92d78cfe-35ef-4ce8-828f-49641bf458f0","https://image-assets.m.nintendo.com/022eb3eb-219b-4f14-854c-112d8f19839f"
34,"Got a Treasure",2243,False,False,"","","9100e8d9-ab8f-47d1-9fe8-36a7361ddc57","https://image-assets.m.nintendo.com/9547f065-70e5-416c-9847-f6201891d6be"
35,"Opening a Treasure Chest",7108,False,False,"","","afb7ccfd-4cbe-46d8-b4d0-ca6a11e55ada","https://image-assets.m.nintendo.com/65e9a41c-a370-45fb-ad7b-8cca9751e2a0"
36,"Important Item Acquired",2595,False,False,"","","d3d72ac2-5243-4281-9992-dcdd865c42c7","https://image-assets.m.nintendo.com/a70498f9-cec5-434b-9e8b-de175de1eb13"
37,"Item Acquired",2666,False,False,"","","5f53279a-1dcc-4a05-8413-b87512dddeb0","https://image-assets.m.nintendo.com/3ae0cbc7-6732-44dd-be56-1cc852605c0d"
38,"Dragon Roost Island",180117,True,True,"原野","跑步","8384e918-f824-4c79-88b2-f6547ce4287c","https://image-assets.m.nintendo.com/5afa0699-579f-4e1d-a2a2-b81bc563b81f"
39,"Dragon Roost Cavern",157903,True,False,"迷宫","","359043c3-5188-4e1e-828a-aee9d4eb7bfe","https://image-assets.m.nintendo.com/65cf9403-f695-4857-8047-1026275c6eaa"
40,"Intense Battle",145949,True,True,"战斗","","839868ff-c271-48da-829c-e67abaf54ade","https://image-assets.m.nintendo.com/ae39bcb5-4ef6-45f4-84be-dec62d6f38b5"
41,"Game Over",10344,False,False,"","","f1896e27-b781-4ea4-a19d-2b6f49c32768","https://image-assets.m.nintendo.com/12b5f554-82e8-43b3-957a-eebf4542deeb"
42,"Gohma Appears",23731,False,False,"","","c2ffd07e-d3ea-4ab2-9caa-638513177201","https://image-assets.m.nintendo.com/44da9fbe-6e96-492e-bfeb-a1830fa15736"
43,"Gohma Battle (First Phase)",165792,True,False,"战斗","","c19dab82-cbc7-4aae-ad47-77c6bb8bd3ee","https://image-assets.m.nintendo.com/dfea2e8d-36e7-4a9c-9097-bfd6f28a8dbc"
44,"Gohma Battle (Second Phase)",129034,True,True,"战斗","","c84a8f67-2fc3-4aa6-97be-9c2920a500b9","https://image-assets.m.nintendo.com/aa336d7d-12f7-4b75-a12c-22b232dc8496"
45,"Boss Defeated",25481,False,False,"","Win!","f62a3735-73ad-44f4-b426-335a44e423dd","https://image-assets.m.nintendo.com/10c0e72c-4b3d-475a-8e72-42d93c39742b"
46,"Heart Container Acquired",3595,False,False,"","","655f823f-95cc-4356-a12b-f55933114e1f","https://image-assets.m.nintendo.com/1536326a-8e33-4d44-b4e0-a379a5309440"
47,"Sacred Gem Acquired",3146,False,False,"","","6e4101f5-9b32-44de-a530-cd5fdd748ff4","https://image-assets.m.nintendo.com/71022cc7-3cf3-4b88-8ffc-e2751634e994"
