index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Disc Startup Screen (Wii Fit)",7437,False,True,"","","Nintendo Music精选集","f09e9efd-5168-4856-bbc7-f0be557b15d1","https://image-assets.m.nintendo.com/a622bde2-18cf-45b0-b969-30f058013d5a"
2,"Launch Screen (Wii Fit Channel)",3978,False,False,"","","","469637ab-f069-4f00-b50f-d14aab177b95","https://image-assets.m.nintendo.com/4d1c4c35-d306-4387-8ead-d34665a143fa"
3,"Disc Startup Screen (Wii Fit Plus)",6231,False,True,"","","Nintendo Music精选集","e8e0431c-fd0f-4069-9e14-b23c2d8eb8a1","https://image-assets.m.nintendo.com/24b00d42-dd37-4466-a44a-e7e2317b016d"
4,"Launch Screen (Wii Fit Plus)",3221,False,False,"","","","416a693c-8bc9-497f-a3a6-34e81288468d","https://image-assets.m.nintendo.com/bab7a0f9-a5da-472d-9a82-92d33cd8a0d6"
5,"Wii Fit Plaza",161526,True,True,"","放松一下","Nintendo Music精选|Nintendo Music精选集","216fb83f-f12d-416e-9c74-9572a4b96f1c","https://image-assets.m.nintendo.com/b87f6462-1407-420c-abcb-b36c93c00eab"
6,"Initial Setup",4753,False,False,"Wii Balance Board","","","ca915ddf-92b5-4a9e-9066-b9da7ae97af8","https://image-assets.m.nintendo.com/d61070bb-deed-46b4-9bdc-38d491178b27"
7,"Initial Setup (Body Test)",121258,True,True,"Wii Balance Board","","Nintendo Music精选集","24908a5e-f629-4455-a5a5-5901cb1bab21","https://image-assets.m.nintendo.com/ddf25439-269c-4c4f-bed1-fbfb06674a68"
8,"Mii Debut",2002,False,False,"","","","e9012ded-14d0-423d-a289-a9bf50622686","https://image-assets.m.nintendo.com/eb7ed0a1-6b19-4cb4-951e-0280a5a5f441"
9,"Body Test Start",4091,False,False,"","","","20ef2b6f-04a9-47c4-949d-7f93b17ac4e4","https://image-assets.m.nintendo.com/4ee312f5-955a-4af4-8e4f-372d888ee4c2"
10,"BMI Results (Underweight)",2743,False,False,"","","","28b5e47c-90f2-4279-9345-5d31aa8020b9","https://image-assets.m.nintendo.com/1af0500f-e30d-4d0d-a607-5a64fa35caa3"
11,"BMI Results (Normal)",2921,False,False,"","","","dd2aa4db-eaf8-4207-8820-450452ad3974","https://image-assets.m.nintendo.com/4ecb65b6-f252-4879-b68b-79fac0f9a468"
12,"BMI Results (Overweight)",2781,False,False,"","","","a7c16e52-d474-4e02-8cca-c161852a67ff","https://image-assets.m.nintendo.com/2063f444-ae5b-482b-8e1a-00c4ad70ae73"
13,"BMI Results (Obese)",2850,False,False,"","","","ccf1e9b3-f19f-4e6a-aa0a-1b05cd4cf574","https://image-assets.m.nintendo.com/d6a04925-e2a7-44e3-ad46-f0898458a8d9"
14,"Balance Test Start",3588,False,False,"","","","9fe266c2-098d-4861-a763-6e17791caa8c","https://image-assets.m.nintendo.com/21e9176c-f6a2-4715-b3f8-d9ac288384b9"
15,"Balance Test Results",6390,False,False,"","","","0b5d06c9-1c13-4d0a-823f-9fb45ea98281","https://image-assets.m.nintendo.com/66da8c9c-92d4-4720-b37a-00d6e692ef44"
16,"Wii Fit Age Results (Younger)",4725,False,False,"","","","b7e3dc7b-4531-403f-8b7f-4a0c7051fa5f","https://image-assets.m.nintendo.com/2ff44192-808d-48a1-8da8-c1ef3d67bd18"
17,"Wii Fit Age (Just Right)",2885,False,False,"","","","086e03fd-59eb-4833-81d7-02a9637d54e5","https://image-assets.m.nintendo.com/ada52a78-434e-4ea5-a8e9-541a866feae4"
18,"Wii Fit Age Results (Weaker)",4622,False,False,"","","","ceadda81-b94b-495e-8b21-447d5c02e540","https://image-assets.m.nintendo.com/625ae8f2-f12e-4e48-969a-a64141a80e84"
19,"Stamped",2538,False,False,"","","","5fe639d9-315d-458d-9d95-999a60ce94d5","https://image-assets.m.nintendo.com/1e5c1f38-3f77-4aba-a8ae-39a4111c2103"
20,"Body Test Complete",4975,False,False,"Wii Balance Board","","","beada30a-2267-45a0-ac68-f81895cb2cc6","https://image-assets.m.nintendo.com/a6a547c6-555a-47c4-8563-58886360aec7"
21,"Wii Balance Board Instructions (Data-Transfer Screen)",81552,True,False,"Wii Balance Board","","","d584dd3f-1ff9-433b-88c2-64280aba80c1","https://image-assets.m.nintendo.com/9386f717-17cc-4e8c-a1eb-3a077e4563f1"
22,"User Selection",2287,False,False,"","","","41a3d4d5-7289-40cd-883c-dc086a90dec7","https://image-assets.m.nintendo.com/db00efcc-e651-42d8-ad5e-2bf2e35b3e17"
23,"Main Menu",235409,True,True,"","步行","Nintendo Music精选|Nintendo Music精选集","50d7cb23-07dd-4a44-a7f3-173a8cbb2478","https://image-assets.m.nintendo.com/9bd49bad-b735-4f41-b59a-2fed4a04381c"
24,"Reminder",5052,False,True,"","","Nintendo Music精选集","1ccafa55-3cde-4222-bfd3-39764cd2fd5f","https://image-assets.m.nintendo.com/5c3d9bb7-edab-4cfa-beeb-f41a43abb9c8"
25,"Training Menu",158307,True,True,"","","Nintendo Music精选集","8092b052-1836-47ea-b65a-d1ac1b15f43f","https://image-assets.m.nintendo.com/44134391-a253-4f46-93a2-cc2280260449"
26,"Yoga/Strength Training Start",43450,True,False,"Wii Fit教练|瑜伽/肌肉锻炼","","","76efbb42-150d-4e67-b7b8-9f800e1bb246","https://image-assets.m.nintendo.com/53cbc222-81ec-4e10-8f6e-0af1b8df9f85"
27,"Yoga",249962,True,True,"Wii Fit教练|瑜伽/肌肉锻炼","晚安","Nintendo Music精选集","b8b0ab63-d83d-4099-986d-40907ccb1df0","https://image-assets.m.nintendo.com/30ebfa0f-4e38-4d20-847d-95cd2720b0a4"
28,"Strength Training",161015,True,True,"Wii Fit教练|瑜伽/肌肉锻炼","","Nintendo Music精选集","96f8a777-b554-4324-a8f0-140058cbf20d","https://image-assets.m.nintendo.com/fcaf4c26-d9a6-4fbe-8c5d-75c29b40c15e"
29,"Yoga/Strength Training Results",107611,True,False,"Wii Fit教练|瑜伽/肌肉锻炼","放松一下","","4ef5a32c-64c1-4cd7-aabc-f42b3754da9a","https://image-assets.m.nintendo.com/16eb3d48-aa7a-4968-af2f-66981ad467ad"
30,"Locker Room",154446,True,True,"Wii Balance Board","","Nintendo Music精选集","a15714c6-9c61-47dc-b3bf-8af43f486b41","https://image-assets.m.nintendo.com/3879fbed-b762-4da0-b91d-5e4ac9b440a3"
31,"Wii Fit Plus Routines (Before Starting)",6205,False,False,"","","","68d79f26-a288-4563-8707-f0bf11b2c26c","https://image-assets.m.nintendo.com/d5a6b88d-ad56-4908-8f6a-88fd9ecbdfa9"
32,"My Routine (Yoga)",199093,True,True,"Wii Fit教练|瑜伽/肌肉锻炼","放松一下","Nintendo Music精选集","6f1ae68c-a0e2-4fbb-aed9-4c6eca1ad153","https://image-assets.m.nintendo.com/7c1d8385-0742-433e-a568-6dd6429f1522"
33,"My Routine (Strength Training)",199074,True,True,"Wii Fit教练|瑜伽/肌肉锻炼","步行","Nintendo Music精选集","f739dde9-6791-478b-af26-bd5963e71242","https://image-assets.m.nintendo.com/c81e03ec-0b9e-4a6e-8bd8-6c04d07875b0"
34,"Aerobics/Balance Start 1",11437,False,False,"有氧运动/平衡游戏","","","c2474f70-b713-4ee2-ac5b-f4b3c8243692","https://image-assets.m.nintendo.com/64ad3ccc-b070-44ca-a5a0-14744b9cb6de"
35,"Aerobics/Balance Start 2",44621,True,False,"有氧运动/平衡游戏","","","b761fd4b-7c82-4cf4-b56e-b74954bc78ab","https://image-assets.m.nintendo.com/c4b0050a-8fc6-46ac-adba-444db82f7731"
36,"Hoop Dance",209383,True,True,"有氧运动/平衡游戏","步行","Nintendo Music精选|Nintendo Music精选集","bf19f481-b4ed-48ea-882b-d60ca98bab10","https://image-assets.m.nintendo.com/d7824473-98da-4510-a82a-960fa72c3632"
37,"Hoop Dance Rotation Direction",2458,False,False,"有氧运动/平衡游戏","","","571c4fdb-f2f3-45e8-8c40-73dc37586170","https://image-assets.m.nintendo.com/de470bb4-233b-4ac5-9625-d06c528df5f3"
38,"Basic Step",140884,False,True,"有氧运动/平衡游戏","","Nintendo Music精选集","90427d30-9b9c-44b8-bc67-b5dca02f2058","https://image-assets.m.nintendo.com/88426299-4b97-4df4-8807-f67d8e48eebd"
39,"Advanced Step",250860,False,True,"有氧运动/平衡游戏","大家一起来","Nintendo Music精选集","0f879989-6740-4c56-b73a-49f2ba7c7930","https://image-assets.m.nintendo.com/af8cc415-6cd0-4ab1-ba60-b66a7b53053f"
40,"Rhythm Boxing (Beginner/Advanced)",198118,True,False,"有氧运动/平衡游戏","","","24d98d8a-2674-4241-81c7-c41463e79716","https://image-assets.m.nintendo.com/935dc453-46dd-440b-8f52-1952896a2aa0"
41,"Rhythm Boxing (Expert)",178728,True,True,"有氧运动/平衡游戏","","Nintendo Music精选集","471b55e0-ff3c-41c3-8131-b4bcd07ee10d","https://image-assets.m.nintendo.com/9d170799-cf3b-496e-87ab-20f38cc8ce97"
42,"Table Tilt",169185,True,True,"有氧运动/平衡游戏","","Nintendo Music精选集","a39783d3-b47f-4f4d-bb9a-e370b7ce3415","https://image-assets.m.nintendo.com/753fbcaa-757a-4b7f-8852-bd21cbf754c8"
43,"Tightrope Walk",162327,True,True,"有氧运动/平衡游戏","","Nintendo Music精选集","ce1adfde-4ab9-4718-92e8-e511c9a51167","https://image-assets.m.nintendo.com/c0d6b46d-8458-43c5-b7b0-ec1429fa1e81"
44,"Balance Bubble",89265,True,True,"有氧运动/平衡游戏","","Nintendo Music精选集","e6bc24e6-1d79-4e90-9670-9c7d4120b18b","https://image-assets.m.nintendo.com/fca8f935-07f3-46e8-9d72-54edea110356"
45,"Penguin Slide",92892,True,True,"有氧运动/平衡游戏","聆听冬日","Nintendo Music精选集","12f2d728-3fae-4cf1-9617-57f37d475791","https://image-assets.m.nintendo.com/2521f3f3-8022-40e0-89a6-d874c3dcb23c"
46,"Aerobics/Balance (Failed)",3362,False,False,"有氧运动/平衡游戏","","","9b689d31-19f3-48b0-96a2-433e5f2d5d86","https://image-assets.m.nintendo.com/4e50c0f1-d0c2-4cce-9205-da49b300dcf9"
47,"Aerobics/Balance Results (Failed)",132789,True,False,"有氧运动/平衡游戏","","","621eb893-caf0-4de6-86c7-2bbdc38e4edb","https://image-assets.m.nintendo.com/c10ac49f-9033-46ce-9eac-87dfdd61aa72"
48,"Aerobics/Balance Goal",3071,False,False,"有氧运动/平衡游戏","","","7616d407-1c52-456b-9b03-8d4cdfe42d38","https://image-assets.m.nintendo.com/056f06d1-6d0a-4744-a889-983c01405266"
49,"Aerobics/Balance Perfect",4698,False,False,"有氧运动/平衡游戏","","","bec4c321-e8c1-4bc1-9ac1-84e44ac31727","https://image-assets.m.nintendo.com/3d352884-8e12-480d-9ae7-b0f5396e8009"
50,"Aerobics/Balance Results",111284,True,False,"有氧运动/平衡游戏","步行","","3c9be972-df32-4f6b-af56-5daf68406dce","https://image-assets.m.nintendo.com/f867e34e-0c81-481f-9fca-b13a71cd7270"
51,"Personal Best",2793,False,False,"","","","2e699579-1983-424f-bf55-c334ad0fb40f","https://image-assets.m.nintendo.com/40fe18a4-c883-4b53-bef6-1496898e4c4a"
52,"High Score",2334,False,False,"","","","7e800bad-ca81-4e98-96ad-5e37eba39e74","https://image-assets.m.nintendo.com/951a4cae-fb1d-4e8a-9be8-cf27539f7e36"
53,"Training Added",1893,False,False,"","","","50426fa7-c8a6-4784-881c-70d6c308f3a9","https://image-assets.m.nintendo.com/95096505-ad2d-4f26-a3f5-2972dc3a5019"
54,"Fit Credits (30 Minutes)",3315,False,False,"","","","35983731-48e1-48dd-9f3a-3952ac45cc76","https://image-assets.m.nintendo.com/ce5c6afe-0473-43dc-a988-88994104e5cc"
55,"Perfect 10",138927,True,True,"锻炼＋","","Nintendo Music精选集","00257075-40d2-4736-9b7a-4d6b9bcce56e","https://image-assets.m.nintendo.com/a07d1498-9d1c-4245-9e60-7571a67ab16a"
56,"Rhythm Kung Fu (Tutorial)",29789,False,False,"锻炼＋","","","edc450ac-fc5d-47d3-84b3-c2ed9159cbfc","https://image-assets.m.nintendo.com/088cb427-2984-4fec-b413-6d9f148d0b6e"
